,scores,cavity
682,13.3739995956,1
683,13.3739995956,1
684,13.3739995956,1
699,13.5620002747,1
700,13.5620002747,1
701,13.5620002747,1
702,10.7840003967,1
703,10.7840003967,1
716,13.5620002747,1
717,15.9460000992,1
718,16.3209991455,1
719,16.3209991455,1
720,16.3209991455,1
734,15.9460000992,1
735,16.3209991455,1
736,16.3209991455,1
737,16.3209991455,1
738,13.0690002441,1
1007,13.3739995956,1
1024,13.5620002747,1
1025,10.7840003967,1
1026,10.7840003967,1
1040,15.9460000992,1
1041,16.3209991455,1
1042,16.3209991455,1
1043,16.3209991455,1
1057,15.9460000992,1
1058,16.3209991455,1
1059,16.3209991455,1
1060,16.3209991455,1
1061,13.9379997253,1
1062,12.7580003738,1
1079,12.7580003738,1
1096,12.7580003738,1
1330,13.3739995956,1
1347,13.5620002747,1
1349,10.7840003967,1
1363,16.1310005188,1
1364,16.3209991455,1
1365,16.3209991455,1
1366,16.3209991455,1
1380,16.1310005188,1
1381,16.5979995728,1
1382,16.8400001526,1
1383,16.8400001526,1
1384,16.8400001526,1
1385,15.7460002899,1
1386,11.3240003586,1
1387,11.3240003586,1
1400,16.8400001526,1
1401,16.8400001526,1
1402,15.7460002899,1
1417,16.8400001526,1
1418,16.8400001526,1
1419,15.7460002899,1
1686,16.1310005188,1
1687,16.1310005188,1
1688,16.1310005188,1
1689,15.2370004654,1
1703,16.1310005188,1
1704,16.5979995728,1
1705,16.8400001526,1
1706,16.8400001526,1
1707,16.8400001526,1
1708,15.7460002899,1
1709,11.3240003586,1
1710,11.3240003586,1
1721,16.5979995728,1
1722,16.8400001526,1
1723,16.8400001526,1
1724,16.8400001526,1
1725,15.7460002899,1
1738,16.5979995728,1
1739,16.8400001526,1
1740,16.8400001526,1
1741,16.8400001526,1
1742,15.7460002899,1
2009,16.1310005188,1
2010,16.1310005188,1
2011,16.1310005188,1
2012,15.2370004654,1
2026,16.1310005188,1
2027,16.5979995728,1
2028,16.8400001526,1
2029,16.8400001526,1
2030,16.8400001526,1
2031,15.7460002899,1
2032,11.3240003586,1
2033,11.3240003586,1
2043,16.1310005188,1
2044,16.5979995728,1
2045,16.8400001526,1
2046,16.8400001526,1
2047,16.8400001526,1
2048,15.7460002899,1
2061,16.5979995728,1
2062,16.8400001526,1
2063,16.8400001526,1
2064,16.8400001526,1
2065,15.7460002899,1
2333,14.0430002213,1
2334,14.0430002213,1
2335,14.0430002213,1
2512,15.0089998245,1
2529,15.0089998245,1
2546,15.0089998245,1
2818,14.1579999924,1
2835,15.0089998245,1
2852,15.0089998245,1
2869,15.0089998245,1
3141,14.1579999924,1
3158,15.0089998245,1
