,scores,cavity
132,15.4040002823,1
140,15.4040002823,1
188,15.4040002823,1
196,15.4040002823,1
242,15.4040002823,1
243,15.4040002823,1
244,15.4040002823,1
250,15.4040002823,1
251,15.4040002823,1
252,15.4040002823,1
258,15.4040002823,1
259,15.4040002823,1
260,15.4040002823,1
2743,8.75,1
2770,8.75,1
2797,8.75,1
2851,7.78599977493,1
2878,7.78599977493,1
2905,7.78599977493,1
2932,7.05000019073,1
3769,8.47999954224,1
3796,9.84399986267,1
3823,9.84399986267,1
3824,7.43200016022,1
3825,7.43200016022,1
3850,11.4560003281,1
3851,11.8660001755,1
3852,11.8660001755,1
3853,11.8660001755,1
3854,9.22999954224,1
3877,13.7440004349,1
3878,13.7440004349,1
3879,13.7440004349,1
3880,13.3800001144,1
3881,12.1780004501,1
3882,10.6879997253,1
3904,13.7440004349,1
3905,13.7440004349,1
3906,13.7440004349,1
3907,13.3800001144,1
3908,12.1780004501,1
3909,10.6879997253,1
3931,13.7440004349,1
3932,13.7440004349,1
3933,13.7440004349,1
3934,13.3800001144,1
3935,12.1780004501,1
3936,10.6879997253,1
3958,10.9940004349,1
3959,10.9940004349,1
3960,10.9940004349,1
3961,10.3520002365,1
3962,9.9420003891,1
3985,10.4899997711,1
3986,10.4899997711,1
3987,10.4899997711,1
3988,7.72800016403,1
4012,8.80399990082,1
4013,8.80399990082,1
4014,8.80399990082,1
4015,7.72800016403,1
4795,9.3140001297,1
4796,9.3140001297,1
4797,9.3140001297,1
4798,8.66800022125,1
4799,7.15399980545,1
4800,7.15399980545,1
4822,12.2399997711,1
4823,12.2399997711,1
4824,12.2399997711,1
4825,9.72599983215,1
4826,9.72599983215,1
4827,7.6360001564,1
4849,15.6639995575,1
4850,15.6639995575,1
4851,15.6639995575,1
4852,12.8260002136,1
4853,12.8260002136,1
4854,7.6360001564,1
4876,17.986000061,1
4877,17.986000061,1
4878,17.986000061,1
4879,13.6739997864,1
4880,13.0679998398,1
4881,9.18799972534,1
4903,19.1779994965,1
4904,19.1779994965,1
4905,19.1779994965,1
4906,13.9040002823,1
4907,13.9040002823,1
4908,13.2419996262,1
4909,7.09800004959,1
4930,19.1779994965,1
4931,19.1779994965,1
4932,19.1779994965,1
4933,13.9799995422,1
4934,13.9799995422,1
4935,13.3660001755,1
4936,8.55000019073,1
4957,19.1779994965,1
4958,19.1779994965,1
4959,19.1779994965,1
4960,15.7880001068,1
4961,14.3179998398,1
4962,13.3660001755,1
4963,8.55000019073,1
4984,18.0520000458,1
4985,18.0520000458,1
4986,18.0520000458,1
4987,15.7880001068,1
4988,14.3179998398,1
4989,13.3660001755,1
4990,8.55000019073,1
5011,18.0520000458,1
5012,18.0520000458,1
5013,18.0520000458,1
5014,15.7880001068,1
5015,14.3179998398,1
5016,11.8680000305,1
5038,13.3540000916,1
5039,13.3540000916,1
5040,13.3540000916,1
5041,13.236000061,1
5042,13.013999939,1
5043,8.36800003052,1
5065,9.92399978638,1
5066,12.3039999008,1
5067,12.3039999008,1
5068,12.3039999008,1
5069,7.96799993515,1
5795,6.94999980927,1
5796,6.94999980927,1
5797,6.94999980927,1
5821,11.3420000076,1
5822,12.8559999466,1
5823,12.8559999466,1
5824,12.8559999466,1
5825,11.4739999771,1
5826,8.89999961853,1
5848,14.8500003815,1
5849,15.4759998322,1
5850,15.4759998322,1
5851,15.4759998322,1
5852,14.9099998474,1
5853,10.2539997101,1
5854,6.95800018311,1
5875,18.3099994659,1
5876,18.3099994659,1
5877,20.9200000763,1
5878,20.9200000763,1
5879,20.9200000763,1
5880,14.0439996719,1
5881,9.92399978638,1
5902,18.3099994659,1
5903,18.3099994659,1
5904,20.9200000763,1
5905,20.9200000763,1
