,scores,cavity
439,24.25,1
450,24.2719993591,1
451,24.2719993591,1
462,24.2719993591,1
463,24.2719993591,1
474,24.2719993591,1
475,24.2719993591,1
2131,17.2630004883,1
2132,17.2630004883,1
2133,17.2630004883,1
2143,17.2630004883,1
2144,17.2630004883,1
2145,17.2630004883,1
2155,17.2630004883,1
2156,17.2630004883,1
2157,17.2630004883,1
2335,17.7240009308,1
2336,17.7240009308,1
2347,17.7240009308,1
2348,17.7240009308,1
2349,17.7240009308,1
2359,17.7240009308,1
2360,17.7240009308,1
2361,17.7240009308,1
2539,17.7240009308,1
2540,17.7240009308,1
2541,17.7240009308,1
2551,17.7240009308,1
2552,17.7240009308,1
2553,17.7240009308,1
2563,17.7240009308,1
2564,17.7240009308,1
2565,17.7240009308,1
2743,17.7240009308,1
2744,17.7240009308,1
2745,17.7240009308,1
2755,17.7240009308,1
2756,17.7240009308,1
2757,17.7240009308,1
2767,17.7240009308,1
2768,17.7240009308,1
2769,17.7240009308,1
7082,17.7989997864,1
7094,17.7989997864,1
7106,17.7989997864,1
7286,17.7989997864,1
7287,17.7989997864,1
7288,17.7989997864,1
7298,17.7989997864,1
7299,17.7989997864,1
7300,17.7989997864,1
7310,17.7989997864,1
7311,17.7989997864,1
7312,17.7989997864,1
7459,17.3549995422,1
7460,17.3549995422,1
7461,17.3549995422,1
7471,17.3549995422,1
7472,17.3549995422,1
7473,17.3549995422,1
7483,17.3549995422,1
7484,17.3549995422,1
7485,17.3549995422,1
9219,14.0889997482,1
9240,14.0889997482,1
9259,14.0889997482,1
9260,14.0889997482,1
9261,14.0889997482,1
9304,14.4619998932,1
9305,14.4619998932,1
9306,14.4619998932,1
9325,14.4619998932,1
9326,14.4619998932,1
9327,14.4619998932,1
9346,14.4619998932,1
9347,14.4619998932,1
9348,14.4619998932,1
9723,14.0889997482,1
9725,14.1169996262,1
9726,14.1169996262,1
9727,14.1169996262,1
9744,14.0889997482,1
9746,14.2430000305,1
9747,14.2430000305,1
9748,14.2430000305,1
9765,14.0889997482,1
9766,15.1920003891,1
9767,15.1920003891,1
9768,15.1920003891,1
9769,14.2430000305,1
9786,14.0889997482,1
9787,15.1920003891,1
9788,15.1920003891,1
9789,15.1920003891,1
9790,14.2430000305,1
9808,15.1920003891,1
9809,15.1920003891,1
9810,15.1920003891,1
9829,14.9200000763,1
9830,14.9200000763,1
9831,14.9200000763,1
9850,14.9200000763,1
9851,14.9200000763,1
9852,14.9200000763,1
9853,14.0889997482,1
9872,14.0889997482,1
9873,14.0889997482,1
9874,14.0889997482,1
9893,14.0889997482,1
9894,14.0889997482,1
9895,14.0889997482,1
10227,14.0889997482,1
10229,14.1169996262,1
10230,14.1169996262,1
10231,14.1169996262,1
10232,14.2430000305,1
10233,14.2430000305,1
10234,14.2430000305,1
10248,14.0889997482,1
10250,14.2430000305,1
10251,14.2430000305,1
10252,14.2430000305,1
10253,14.2430000305,1
10254,14.2430000305,1
10255,14.2430000305,1
10269,14.1129999161,1
10270,15.1920003891,1
10271,15.1920003891,1
10272,15.1920003891,1
10273,14.2430000305,1
10274,14.2430000305,1
10275,14.2430000305,1
10276,14.2430000305,1
10290,14.2430000305,1
10291,15.1920003891,1
10292,15.1920003891,1
10293,15.1920003891,1
10294,14.2430000305,1
10295,14.1129999161,1
10296,14.1129999161,1
10297,14.1129999161,1
10312,15.1920003891,1
10313,15.1920003891,1
10314,15.1920003891,1
10315,14.3520002365,1
10316,14.3520002365,1
10333,14.9200000763,1
10334,14.9200000763,1
10335,14.9200000763,1
10336,14.3520002365,1
10337,14.3520002365,1
10338,14.1219997406,1
10354,14.9200000763,1
10355,14.9200000763,1
10356,14.9200000763,1
10357,14.3520002365,1
10358,14.5500001907,1
10359,14.5500001907,1
10360,14.5500001907,1
10376,14.0889997482,1
10377,14.2670001984,1
10378,14.2670001984,1
10379,14.5500001907,1
10380,14.5500001907,1
10381,14.5500001907,1
10397,14.0889997482,1
10398,14.0889997482,1
10399,14.0889997482,1
10400,14.5500001907,1
10401,14.5500001907,1
10402,14.5500001907,1
10735,14.1169996262,1
10736,14.2430000305,1
10737,14.2430000305,1
10738,14.2430000305,1
10756,14.2430000305,1
10757,14.2430000305,1
10758,14.2430000305,1
10759,14.2430000305,1
10773,14.1129999161,1
10774,15.1920003891,1
10777,14.2430000305,1
10778,14.2430000305,1
10779,14.2430000305,1
10780,14.2430000305,1
10794,14.2430000305,1
10795,15.1920003891,1
10796,15.1920003891,1
10797,15.1920003891,1
10798,14.7069997787,1
10799,14.1129999161,1
10800,14.1129999161,1
10801,14.1129999161,1
10816,15.1920003891,1
10817,15.4879999161,1
10818,15.4879999161,1
10819,15.4879999161,1
10820,15.1579999924,1
10837,14.9200000763,1
10838,15.4879999161,1
10839,15.4879999161,1
10840,15.4879999161,1
10841,15.1579999924,1
10842,14.7069997787,1
10858,14.9200000763,1
10859,15.4879999161,1
10860,15.4879999161,1
10861,15.4879999161,1
10862,15.5109996796,1
10863,15.5109996796,1
10864,15.5109996796,1
10880,14.0889997482,1
10881,14.3339996338,1
10882,14.7069997787,1
10883,15.5109996796,1
10884,15.5109996796,1
10885,15.5109996796,1
10886,14.234000206,1
10901,14.0889997482,1
10902,14.2229995728,1
10903,14.4619998932,1
10904,15.5109996796,1
10905,15.5109996796,1
10906,15.5109996796,1
10907,14.234000206,1
10926,14.234000206,1
10927,14.234000206,1
10928,14.234000206,1
11240,14.2430000305,1
11241,14.2430000305,1
11242,14.2430000305,1
11259,15.0109996796,1
11260,15.0109996796,1
11261,14.2430000305,1
11262,14.2430000305,1
11263,14.2430000305,1
11280,15.4119997025,1
11281,15.4119997025,1
11282,14.2430000305,1
11283,14.2430000305,1
11284,14.2430000305,1
11285,14.2430000305,1
11301,15.4119997025,1
11302,15.4119997025,1
11303,15.0109996796,1
11304,15.0109996796,1
11305,14.2430000305,1
11306,14.2430000305,1
11320,14.9239997864,1
11321,15.4879999161,1
11322,15.4879999161,1
11323,15.4879999161,1
11324,15.4119997025,1
11325,15.4119997025,1
11326,14.2430000305,1
11327,14.2430000305,1
11342,15.4879999161,1
11343,15.4879999161,1
11344,15.4879999161,1
11345,15.4119997025,1
11346,15.4119997025,1
11347,14.3520002365,1
11363,15.4879999161,1
11364,15.4879999161,1
11365,15.4879999161,1
11366,15.5109996796,1
11367,15.5109996796,1
11368,15.5109996796,1
11369,14.7069997787,1
11385,14.6359996796,1
11386,15.1979999542,1
11387,15.5109996796,1
11388,15.5109996796,1
11389,15.5109996796,1
11390,14.7069997787,1
11391,14.3339996338,1
11406,14.2229995728,1
11407,14.9200000763,1
11408,15.5109996796,1
11409,15.5109996796,1
11410,15.5109996796,1
11411,14.7069997787,1
11412,14.3339996338,1
11429,14.2670001984,1
11430,14.6420001984,1
11431,14.6420001984,1
11432,14.6420001984,1
11433,14.3339996338,1
11763,15.4259996414,1
11764,15.4259996414,1
11784,15.4259996414,1
11785,15.4259996414,1
11786,14.2299995422,1
11787,14.2430000305,1
11788,14.2430000305,1
11789,14.2430000305,1
11805,15.4879999161,1
11806,15.4259996414,1
11807,15.4259996414,1
11808,15.4259996414,1
11809,14.2430000305,1
11810,14.2430000305,1
11824,15.4879999161,1
11825,15.4879999161,1
11826,15.4879999161,1
11827,15.4879999161,1
11828,15.4259996414,1
11829,15.4259996414,1
11830,14.2430000305,1
11831,14.2430000305,1
11845,15.4879999161,1
11846,15.4879999161,1
11847,15.4879999161,1
11848,15.4879999161,1
11849,15.4259996414,1
11850,15.4259996414,1
11851,14.7869997025,1
11866,14.2430000305,1
11867,15.4879999161,1
11868,15.4879999161,1
11869,15.4879999161,1
11870,15.5109996796,1
11871,15.5109996796,1
11872,15.5109996796,1
11873,15.1979999542,1
11889,14.7259998322,1
11890,15.4879999161,1
11891,15.5109996796,1
11892,15.5109996796,1
11893,15.5109996796,1
11894,15.1979999542,1
11895,14.3339996338,1
11910,14.2229995728,1
11911,15.4879999161,1
11912,15.5109996796,1
11913,15.5109996796,1
11914,15.5109996796,1
11915,15.1979999542,1
11916,14.3339996338,1
11933,14.9119997025,1
11934,14.9119997025,1
11935,14.9119997025,1
11936,14.6420001984,1
11937,14.3339996338,1
12267,15.4259996414,1
12268,15.4259996414,1
12288,15.4259996414,1
12289,15.4259996414,1
12290,14.2299995422,1
12291,14.2430000305,1
12292,14.2430000305,1
12293,14.2430000305,1
12309,15.5109996796,1
12310,15.5109996796,1
12311,15.4259996414,1
12312,15.4259996414,1
12313,14.2430000305,1
12314,14.2430000305,1
12328,15.4879999161,1
12329,15.5109996796,1
12330,15.5109996796,1
12331,15.5109996796,1
12332,15.4259996414,1
12333,15.4259996414,1
12334,14.2430000305,1
12335,14.2430000305,1
12349,15.4879999161,1
12350,15.5109996796,1
12351,15.5109996796,1
12352,15.5109996796,1
12353,15.5109996796,1
12354,15.5109996796,1
12355,15.4119997025,1
12370,14.2430000305,1
12371,14.9239997864,1
12372,14.9239997864,1
12373,15.5109996796,1
12374,15.5109996796,1
12375,15.5109996796,1
12376,15.4119997025,1
12377,15.1979999542,1
12378,14.1510000229,1
12393,14.7259998322,1
12394,15.5109996796,1
12395,15.5109996796,1
12396,15.5109996796,1
12397,15.4119997025,1
12398,15.1979999542,1
12399,14.7259998322,1
12414,14.0889997482,1
12415,15.4879999161,1
12416,15.4879999161,1
12417,15.4879999161,1
12437,14.9119997025,1
12438,14.9119997025,1
12771,15.4259996414,1
12772,15.4259996414,1
12792,15.4259996414,1
12793,15.4259996414,1
12794,14.2299995422,1
12813,15.5109996796,1
12814,15.5109996796,1
12815,15.4259996414,1
12816,15.4259996414,1
12832,15.4879999161,1
12833,15.5109996796,1
12834,15.5109996796,1
12835,15.5109996796,1
12836,15.4259996414,1
12837,15.4259996414,1
12838,14.2299995422,1
12853,15.4879999161,1
12854,15.5109996796,1
12855,15.5109996796,1
12856,15.5109996796,1
12857,15.5109996796,1
12858,15.5109996796,1
12859,15.4259996414,1
12875,14.2860002518,1
12876,14.7259998322,1
12877,15.5109996796,1
12878,15.5109996796,1
12879,15.5109996796,1
12880,15.4879999161,1
12881,15.1979999542,1
12882,14.1510000229,1
12897,14.7259998322,1
12898,15.5109996796,1
12899,15.5109996796,1
12900,15.5109996796,1
12901,15.4879999161,1
12902,15.1979999542,1
12919,15.4879999161,1
12920,15.4879999161,1
12921,15.4879999161,1
12941,14.9119997025,1
12942,14.9119997025,1
13275,15.4259996414,1
13296,15.4259996414,1
13297,14.6359996796,1
13315,15.4879999161,1
13316,15.5109996796,1
13317,15.5109996796,1
13318,15.5109996796,1
13319,14.9870004654,1
13335,14.2049999237,1
13336,15.4879999161,1
13337,15.5109996796,1
13338,15.5109996796,1
13339,15.5109996796,1
13340,14.9870004654,1
13356,14.2049999237,1
13357,15.4879999161,1
13358,15.5109996796,1
13359,16.9440002441,1
13360,16.9440002441,1
13361,16.9440002441,1
13362,16.1599998474,1
13363,15.4259996414,1
13377,14.2049999237,1
13378,14.5959997177,1
13379,15.3739995956,1
13380,16.9440002441,1
13381,16.9440002441,1
13382,16.9440002441,1
13383,16.1599998474,1
13384,15.5109996796,1
13385,14.4119997025,1
13386,14.1510000229,1
13401,16.9440002441,1
13402,16.9440002441,1
13403,16.9440002441,1
13404,16.1599998474,1
13405,15.5109996796,1
13423,14.8669996262,1
13424,15.5109996796,1
13445,14.5699996948,1
13777,15.4259996414,1
13778,15.4259996414,1
13779,15.4259996414,1
13798,15.5109996796,1
13799,15.5109996796,1
13800,15.5109996796,1
13801,14.6359996796,1
13819,15.5109996796,1
13820,15.5109996796,1
13821,15.5109996796,1
13822,15.4119997025,1
13839,14.7469997406,1
13840,15.5109996796,1
13841,15.5109996796,1
13842,15.5109996796,1
13843,15.4879999161,1
13844,15.4879999161,1
13860,14.7469997406,1
13861,15.4879999161,1
13862,15.4879999161,1
13863,16.9440002441,1
13864,16.9440002441,1
13865,16.9440002441,1
13866,16.1599998474,1
13867,15.4259996414,1
13881,14.7469997406,1
13882,15.1510000229,1
13883,15.3739995956,1
13884,16.9440002441,1
13885,16.9440002441,1
13886,16.9440002441,1
13887,16.1599998474,1
13888,15.5109996796,1
13889,14.4119997025,1
13905,16.9440002441,1
13906,16.9440002441,1
13907,16.9440002441,1
13908,16.1599998474,1
13909,15.5109996796,1
13927,15.0520000458,1
13928,15.5109996796,1
13949,14.5699996948,1
14281,15.4259996414,1
14282,15.4259996414,1
14283,15.4259996414,1
14302,15.5109996796,1
14303,15.5109996796,1
14304,15.5109996796,1
14305,14.3629999161,1
14323,15.5109996796,1
14324,15.5109996796,1
14325,15.5109996796,1
14326,15.4259996414,1
14343,15.0520000458,1
14344,15.5109996796,1
14345,15.5109996796,1
14346,15.5109996796,1
14347,15.4879999161,1
14364,15.0520000458,1
14365,15.4879999161,1
14366,15.4879999161,1
14367,16.9440002441,1
14368,16.9440002441,1
14369,16.9440002441,1
14370,16.1599998474,1
14371,15.1470003128,1
14385,15.0520000458,1
14386,15.1510000229,1
14387,15.3739995956,1
14388,16.9440002441,1
14389,16.9440002441,1
14390,16.9440002441,1
14391,16.1599998474,1
14392,15.5109996796,1
14393,14.2460002899,1
14409,16.9440002441,1
14410,16.9440002441,1
14411,16.9440002441,1
14412,16.1599998474,1
14413,15.5109996796,1
14431,15.0520000458,1
14432,15.5109996796,1
14453,14.2119998932,1
14806,15.5109996796,1
14807,15.5109996796,1
14808,15.5109996796,1
14809,14.9119997025,1
14826,14.484000206,1
14827,15.5109996796,1
14828,15.5109996796,1
14829,15.5109996796,1
14830,15.5109996796,1
14846,14.9610004425,1
14847,16.1599998474,1
14848,16.1599998474,1
14849,16.9440002441,1
14867,14.9610004425,1
14868,16.1599998474,1
14869,16.1599998474,1
14870,16.9440002441,1
14874,15.5109996796,1
14875,15.1470003128,1
14888,14.9610004425,1
14889,16.1599998474,1
14890,16.1599998474,1
14891,16.9440002441,1
14895,15.5109996796,1
14896,15.1470003128,1
14910,14.4610004425,1
14911,14.4610004425,1
14912,14.4610004425,1
14913,14.9870004654,1
14914,15.5109996796,1
14915,15.5109996796,1
14916,15.5109996796,1
14917,15.1470003128,1
14918,14.2550001144,1
14935,15.0520000458,1
15310,15.4119997025,1
15311,15.4119997025,1
15312,15.4119997025,1
15313,15.1239995956,1
15329,15.0520000458,1
15330,15.3920001984,1
15331,15.4119997025,1
15332,15.5109996796,1
15333,15.5109996796,1
15334,15.5109996796,1
15349,14.6929998398,1
15350,16.9440002441,1
15351,16.9440002441,1
15352,16.9440002441,1
15353,16.9440002441,1
15370,14.6929998398,1
15371,16.9440002441,1
15372,16.9440002441,1
15373,16.9440002441,1
15374,16.9440002441,1
15378,15.5109996796,1
15379,15.0520000458,1
15391,14.6929998398,1
15392,16.9440002441,1
15393,16.9440002441,1
15394,16.9440002441,1
15395,16.9440002441,1
15399,15.5109996796,1
15400,14.7259998322,1
15413,14.7069997787,1
15414,14.7069997787,1
15415,14.7069997787,1
15416,14.4610004425,1
15417,14.9870004654,1
15418,15.5109996796,1
15419,15.5109996796,1
15420,15.5109996796,1
15421,14.7259998322,1
15439,14.9259996414,1
15813,15.3739995956,1
15814,15.4119997025,1
15815,15.4119997025,1
15816,15.4119997025,1
15817,15.3920001984,1
15818,15.3920001984,1
15819,15.3920001984,1
15820,14.1020002365,1
15832,14.484000206,1
15833,15.8629999161,1
15834,15.8629999161,1
15835,15.8629999161,1
15836,15.5109996796,1
15837,15.5109996796,1
15838,16.9440002441,1
15839,16.9440002441,1
15840,16.9440002441,1
15841,16.1599998474,1
15853,14.6929998398,1
15854,16.9440002441,1
15855,16.9440002441,1
15856,16.9440002441,1
15857,16.9440002441,1
15861,16.9440002441,1
15862,16.1599998474,1
15874,14.6929998398,1
15875,16.9440002441,1
15876,16.9440002441,1
15877,16.9440002441,1
15878,16.9440002441,1
15882,16.9440002441,1
15883,16.1599998474,1
15895,14.6929998398,1
15896,16.9440002441,1
15897,16.9440002441,1
15898,16.9440002441,1
15899,16.9440002441,1
15903,15.5109996796,1
15904,14.234000206,1
15917,14.7069997787,1
15918,14.7069997787,1
15919,14.7069997787,1
15920,14.4610004425,1
15921,14.9870004654,1
15922,15.5109996796,1
15923,15.5109996796,1
15924,15.5109996796,1
15925,14.234000206,1
16317,15.3739995956,1
16318,15.4119997025,1
16319,15.4119997025,1
16320,15.7110004425,1
16321,15.7110004425,1
16322,15.7110004425,1
16323,15.3920001984,1
16336,16.9440002441,1
16337,16.9440002441,1
16338,16.9440002441,1
16339,16.1599998474,1
16340,15.4259996414,1
16341,15.7110004425,1
16342,16.9440002441,1
16343,16.9440002441,1
16344,16.9440002441,1
16345,16.1599998474,1
16357,16.9440002441,1
16358,16.9440002441,1
16359,16.9440002441,1
16360,16.9440002441,1
16361,15.4259996414,1
16365,16.9440002441,1
16366,16.1599998474,1
16378,16.9440002441,1
16379,16.9440002441,1
16380,16.9440002441,1
16381,16.9440002441,1
16382,15.4259996414,1
16386,16.9440002441,1
16387,16.1599998474,1
16399,15.7110004425,1
16400,16.9440002441,1
16401,16.9440002441,1
16402,16.9440002441,1
16403,14.9940004349,1
16407,14.3629999161,1
16421,14.7069997787,1
16422,14.7069997787,1
16423,14.7069997787,1
16425,14.3179998398,1
16426,14.3179998398,1
16427,14.3179998398,1
16804,14.5959997177,1
16805,14.5959997177,1
16806,14.5959997177,1
16820,15.0760002136,1
16821,15.8629999161,1
16822,15.8629999161,1
16823,15.8629999161,1
16824,16.9440002441,1
16825,16.9440002441,1
16826,16.9440002441,1
16827,15.3920001984,1
16828,15.3739995956,1
16840,16.9440002441,1
16841,16.9440002441,1
16842,16.9440002441,1
16843,16.1599998474,1
16844,15.8629999161,1
16845,16.9440002441,1
16846,16.9440002441,1
16847,16.9440002441,1
16848,16.9440002441,1
16849,16.1599998474,1
16861,16.9440002441,1
16862,16.9440002441,1
16863,16.9440002441,1
16864,16.1599998474,1
16865,15.8629999161,1
16866,16.9440002441,1
16867,16.9440002441,1
16868,16.9440002441,1
16869,16.9440002441,1
16870,16.1599998474,1
16882,16.9440002441,1
16883,16.9440002441,1
16884,16.9440002441,1
16885,16.1599998474,1
16886,15.4259996414,1
16887,15.4259996414,1
16888,16.9440002441,1
16889,16.9440002441,1
16890,16.9440002441,1
16891,16.1599998474,1
16903,15.7110004425,1
16904,15.7110004425,1
16905,15.7110004425,1
16906,15.1470003128,1
17308,15.1510000229,1
17325,16.9440002441,1
17326,16.9440002441,1
17327,16.9440002441,1
17328,16.9440002441,1
17329,16.9440002441,1
17330,16.9440002441,1
17331,15.3739995956,1
17332,15.3739995956,1
17344,16.9440002441,1
17345,16.9440002441,1
17346,16.9440002441,1
17347,16.9440002441,1
17348,16.9440002441,1
17349,16.9440002441,1
17350,16.9440002441,1
17351,16.9440002441,1
17352,15.3739995956,1
17353,15.3739995956,1
17365,16.9440002441,1
17366,16.9440002441,1
17367,16.9440002441,1
17368,16.9440002441,1
17369,16.9440002441,1
17370,16.9440002441,1
17371,16.9440002441,1
17372,16.9440002441,1
17373,15.3739995956,1
17374,15.3739995956,1
17386,16.9440002441,1
17387,16.9440002441,1
17388,16.9440002441,1
17389,16.1599998474,1
17390,14.2379999161,1
17392,15.0760002136,1
17393,15.3140001297,1
17394,15.3140001297,1
17395,15.3140001297,1
17407,15.7110004425,1
17408,15.7110004425,1
17409,15.7110004425,1
17410,14.4610004425,1
17790,14.2609996796,1
17811,14.2609996796,1
17812,15.1510000229,1
17829,16.9440002441,1
17830,16.9440002441,1
17831,16.9440002441,1
17832,16.9440002441,1
17833,16.9440002441,1
17834,16.9440002441,1
17850,16.9440002441,1
17851,16.9440002441,1
17852,16.9440002441,1
17853,16.9440002441,1
17854,16.9440002441,1
17855,16.9440002441,1
17871,16.9440002441,1
17872,16.9440002441,1
17873,16.9440002441,1
17874,16.9440002441,1
17875,16.9440002441,1
17876,16.9440002441,1
17877,15.3739995956,1
17878,15.3739995956,1
17891,15.7110004425,1
17892,15.7110004425,1
17893,15.7110004425,1
17894,14.8839998245,1
17895,14.8839998245,1
17897,14.1300001144,1
17898,14.1300001144,1
17899,14.1300001144,1
17911,14.6929998398,1
17912,14.6929998398,1
17913,14.6929998398,1
18294,14.2609996796,1
18315,15.7110004425,1
18316,15.7110004425,1
18333,16.9440002441,1
18334,16.9440002441,1
18335,16.9440002441,1
18336,15.7670001984,1
18337,15.7670001984,1
18354,16.9440002441,1
18355,16.9440002441,1
18356,16.9440002441,1
18357,15.7670001984,1
18358,15.7670001984,1
18375,16.9440002441,1
18376,16.9440002441,1
18377,16.9440002441,1
18378,15.7670001984,1
18379,15.7670001984,1
18380,15.7670001984,1
18381,14.8159999847,1
18382,14.8159999847,1
18395,15.7110004425,1
18396,15.7110004425,1
18397,15.7110004425,1
18398,14.8839998245,1
18399,14.8839998245,1
18798,14.2609996796,1
18820,15.7110004425,1
18841,15.7110004425,1
18862,15.7110004425,1
