,scores,cavity
1255,19.3850002289,1
1256,19.3850002289,1
1257,19.3850002289,1
1279,19.3850002289,1
1280,19.3850002289,1
1281,19.3850002289,1
1303,19.3850002289,1
1304,19.3850002289,1
1305,19.3850002289,1
1711,19.3850002289,1
1712,19.3850002289,1
1713,19.3850002289,1
1735,19.3850002289,1
1736,19.3850002289,1
1737,19.3850002289,1
1759,19.3850002289,1
1760,19.3850002289,1
1761,19.3850002289,1
1891,14.0989999771,1
1892,14.0989999771,1
1893,14.0989999771,1
1915,14.0989999771,1
1916,14.0989999771,1
1917,14.0989999771,1
1939,14.0989999771,1
1940,14.0989999771,1
1941,14.0989999771,1
1963,15.5620002747,1
1964,15.5620002747,1
1986,19.1480007172,1
1987,19.1480007172,1
1988,19.1480007172,1
2010,19.1480007172,1
2011,19.1480007172,1
2012,19.1480007172,1
2034,19.1480007172,1
2035,19.1480007172,1
2036,19.1480007172,1
2060,16.281999588,1
2167,19.3850002289,1
2168,19.3850002289,1
2169,19.3850002289,1
2191,19.3850002289,1
2192,19.3850002289,1
2193,19.3850002289,1
2215,19.3850002289,1
2216,19.3850002289,1
2217,19.3850002289,1
2347,14.0989999771,1
2348,14.0989999771,1
2349,14.0989999771,1
2371,14.0989999771,1
2372,14.0989999771,1
2373,14.0989999771,1
2394,15.3870000839,1
2395,15.3870000839,1
2396,15.3870000839,1
2397,14.0989999771,1
2420,15.5769996643,1
2442,19.1480007172,1
2443,19.1480007172,1
2444,19.1480007172,1
2466,19.1480007172,1
2467,19.1480007172,1
2468,19.1480007172,1
2490,19.1480007172,1
2491,19.1480007172,1
2492,19.1480007172,1
2515,16.8120002747,1
2516,16.8120002747,1
2623,19.341999054,1
2624,19.341999054,1
2625,19.341999054,1
2646,17.1959991455,1
2647,19.341999054,1
2648,19.341999054,1
2649,19.341999054,1
2670,17.1959991455,1
2671,19.341999054,1
2672,19.341999054,1
2673,19.341999054,1
2803,14.0989999771,1
2804,14.0989999771,1
2805,14.0989999771,1
2827,14.0989999771,1
2828,14.0989999771,1
2829,14.0989999771,1
2850,15.7629995346,1
2851,15.7629995346,1
2852,15.7629995346,1
2853,14.2019996643,1
2874,17.4160003662,1
2875,17.4160003662,1
2876,17.4160003662,1
2877,14.2019996643,1
2898,19.1480007172,1
2899,19.1480007172,1
2900,19.1480007172,1
2901,14.2019996643,1
2922,19.1480007172,1
2923,19.1480007172,1
2924,19.1480007172,1
2946,19.1480007172,1
2947,19.1480007172,1
2948,19.1480007172,1
2971,16.8120002747,1
2972,16.8120002747,1
3079,18.8850002289,1
3080,18.8850002289,1
3081,18.8850002289,1
3103,18.8850002289,1
3104,18.8850002289,1
3105,18.8850002289,1
3126,17.1959991455,1
3127,18.8850002289,1
3128,18.8850002289,1
3129,18.8850002289,1
3283,14.6689996719,1
3284,14.6689996719,1
3285,14.6689996719,1
3306,15.9519996643,1
3307,15.9519996643,1
3308,15.9519996643,1
3309,14.6689996719,1
3330,17.8010005951,1
3331,17.8010005951,1
3332,17.8010005951,1
3333,14.6689996719,1
3354,17.8010005951,1
3355,17.8010005951,1
3356,17.8010005951,1
3357,14.2019996643,1
3378,17.8010005951,1
3379,17.8010005951,1
3380,17.8010005951,1
3402,17.7019996643,1
3403,17.7019996643,1
3404,17.7019996643,1
3426,16.8120002747,1
3427,16.8120002747,1
3428,16.8120002747,1
3450,14.6560001373,1
3559,17.1959991455,1
3560,17.1959991455,1
3582,17.1959991455,1
3583,17.1959991455,1
3584,17.1959991455,1
3739,15.640999794,1
3740,15.640999794,1
3741,15.640999794,1
3762,15.9519996643,1
3763,15.9519996643,1
3764,15.9519996643,1
3765,15.640999794,1
3786,17.8010005951,1
3787,17.8010005951,1
3788,17.8010005951,1
3789,15.640999794,1
3810,17.8010005951,1
3811,17.8010005951,1
3812,17.8010005951,1
3813,15.4779996872,1
3834,17.8010005951,1
3835,17.8010005951,1
3836,17.8010005951,1
3860,15.6719999313,1
3906,14.6560001373,1
4016,15.7379999161,1
4040,15.7379999161,1
4195,15.640999794,1
4196,15.640999794,1
4197,15.640999794,1
4218,15.9519996643,1
4219,15.9519996643,1
4220,15.9519996643,1
4221,15.640999794,1
4242,17.8010005951,1
4243,17.8010005951,1
4244,17.8010005951,1
4245,15.640999794,1
4265,16.3999996185,1
4266,17.8010005951,1
4267,17.8010005951,1
4268,17.8010005951,1
4269,15.4779996872,1
4289,16.3999996185,1
4290,17.8010005951,1
4291,17.8010005951,1
4292,17.8010005951,1
4313,16.3999996185,1
4314,16.0520000458,1
4316,15.5380001068,1
4360,14.6560001373,1
4361,14.6560001373,1
4362,14.6560001373,1
4651,15.640999794,1
4652,15.640999794,1
4653,15.640999794,1
4675,15.640999794,1
4676,15.640999794,1
4677,15.640999794,1
4695,17.2150001526,1
4696,17.2150001526,1
4697,17.2150001526,1
4698,16.9319992065,1
4699,16.9319992065,1
4700,16.9319992065,1
4701,15.640999794,1
4719,18.0699996948,1
4720,18.0699996948,1
4721,18.0699996948,1
4722,16.9319992065,1
4723,16.9319992065,1
4724,16.9319992065,1
4725,15.4779996872,1
4743,18.0699996948,1
4744,18.0699996948,1
4745,18.0699996948,1
4746,16.9319992065,1
4747,16.9319992065,1
4748,16.9319992065,1
4767,18.0699996948,1
4768,18.0699996948,1
4769,18.0699996948,1
4770,16.0520000458,1
4792,15.2130002975,1
4793,15.2130002975,1
4794,15.2130002975,1
5104,14.156999588,1
5105,14.156999588,1
5106,14.156999588,1
5129,14.2430000305,1
5130,14.156999588,1
5151,17.5709991455,1
5152,17.5709991455,1
5153,17.5709991455,1
5175,18.0699996948,1
5176,18.0699996948,1
5177,18.0699996948,1
5178,16.0520000458,1
5199,18.0699996948,1
5200,18.0699996948,1
5201,18.0699996948,1
5202,16.0520000458,1
5223,18.0699996948,1
5224,18.0699996948,1
5225,18.0699996948,1
5226,16.0520000458,1
5560,14.156999588,1
5561,14.156999588,1
5562,14.156999588,1
5585,14.2430000305,1
5586,14.156999588,1
5607,17.5709991455,1
5608,17.5709991455,1
5609,17.5709991455,1
5610,14.156999588,1
5630,16.9659996033,1
5631,18.0699996948,1
5632,18.0699996948,1
5633,18.0699996948,1
5634,14.1180000305,1
5654,16.9659996033,1
5655,18.0699996948,1
5656,18.0699996948,1
5657,18.0699996948,1
5678,16.9659996033,1
5679,18.0699996948,1
5680,18.0699996948,1
5681,18.0699996948,1
5792,16.7590007782,1
5793,15.9060001373,1
5816,16.7590007782,1
5817,15.9060001373,1
6016,14.156999588,1
6017,14.156999588,1
6018,14.156999588,1
6041,14.2430000305,1
6042,14.156999588,1
6063,17.5709991455,1
6064,17.5709991455,1
6065,17.5709991455,1
6066,14.156999588,1
6086,16.9659996033,1
6087,17.5709991455,1
6088,17.5709991455,1
6089,17.5709991455,1
6090,14.1180000305,1
6110,16.9659996033,1
6111,17.5709991455,1
6112,17.5709991455,1
6113,17.5709991455,1
6134,16.9659996033,1
6135,16.9659996033,1
6136,16.9659996033,1
6137,16.8999996185,1
6201,17.3040008545,1
6223,17.7560005188,1
6224,17.7560005188,1
6225,17.7560005188,1
6245,16.9440002441,1
6246,16.9440002441,1
6247,17.7560005188,1
