,scores,cavity
598,18.1289997101,1
599,18.1289997101,1
600,18.1289997101,1
601,17.3600006104,1
614,18.1289997101,1
615,18.1289997101,1
616,18.1289997101,1
617,17.3600006104,1
618,16.7779998779,1
630,18.1289997101,1
631,18.1289997101,1
632,18.1289997101,1
633,17.3600006104,1
634,16.7779998779,1
635,16.0830001831,1
648,16.7779998779,1
649,16.7779998779,1
650,16.7779998779,1
651,16.0830001831,1
666,16.0830001831,1
667,16.0830001831,1
854,16.8229999542,1
855,17.6340007782,1
856,17.6340007782,1
857,17.6340007782,1
869,16.0340003967,1
870,18.8180007935,1
871,18.8180007935,1
872,18.8180007935,1
873,18.5559997559,1
874,18.4570007324,1
875,17.2479991913,1
885,16.079000473,1
886,18.8180007935,1
887,18.8180007935,1
888,18.8180007935,1
889,18.5559997559,1
890,18.4570007324,1
891,17.2479991913,1
892,16.3269996643,1
900,16.2140007019,1
901,16.2140007019,1
902,18.8180007935,1
903,18.8180007935,1
904,18.8180007935,1
905,18.5559997559,1
906,18.4570007324,1
907,17.2479991913,1
908,17.1219997406,1
909,16.531999588,1
916,16.2140007019,1
917,16.2140007019,1
918,16.2140007019,1
919,16.1380004883,1
920,16.7779998779,1
921,16.7779998779,1
922,17.1219997406,1
923,17.1219997406,1
924,17.1219997406,1
925,16.531999588,1
932,16.2140007019,1
933,16.2140007019,1
934,16.2140007019,1
937,16.0830001831,1
938,17.1219997406,1
939,17.1219997406,1
940,17.1219997406,1
941,16.531999588,1
1126,17.3209991455,1
1127,17.6340007782,1
1128,19.2479991913,1
1129,19.2479991913,1
1130,19.2479991913,1
1141,16.3969993591,1
1142,18.8180007935,1
1143,26.8950004578,1
1144,26.8950004578,1
1145,26.8950004578,1
1146,20.7929992676,1
1157,17.4179992676,1
1158,18.8180007935,1
1159,26.8950004578,1
1160,26.8950004578,1
1161,26.8950004578,1
1162,20.7929992676,1
1164,18.3479995728,1
1171,16.313999176,1
1172,17.1840000153,1
1173,17.4179992676,1
1174,18.8180007935,1
1175,26.8950004578,1
1176,26.8950004578,1
1177,26.8950004578,1
1178,20.7929992676,1
1180,18.3479995728,1
1181,16.531999588,1
1187,16.313999176,1
1188,17.1840000153,1
1189,17.4179992676,1
1190,17.4470005035,1
1191,21.736000061,1
1192,21.736000061,1
1193,21.736000061,1
1194,19.9270000458,1
1196,18.3479995728,1
1197,16.531999588,1
1203,16.313999176,1
1204,17.1840000153,1
1205,17.1840000153,1
1206,17.1840000153,1
1207,16.9769992828,1
1209,16.0830001831,1
1210,17.1219997406,1
1211,17.1219997406,1
1212,17.1219997406,1
1213,16.531999588,1
1398,17.3209991455,1
1399,19.5209999084,1
1400,19.5209999084,1
1401,19.5209999084,1
1402,19.2479991913,1
1413,17.0510005951,1
1414,22.2240009308,1
1415,26.8950004578,1
1416,26.8950004578,1
1417,26.8950004578,1
1418,20.7929992676,1
1428,16.8680000305,1
1429,18.2269992828,1
1430,22.2240009308,1
1431,26.8950004578,1
1432,26.8950004578,1
1433,26.8950004578,1
