,scores,cavity
723,17.2789993286,1
724,17.2789993286,1
725,17.2789993286,1
726,19.8439998627,1
727,19.8439998627,1
728,19.8439998627,1
741,19.466999054,1
742,19.8439998627,1
743,19.8439998627,1
744,19.8439998627,1
757,19.466999054,1
758,19.8439998627,1
759,19.8439998627,1
760,19.8439998627,1
773,19.466999054,1
774,19.466999054,1
775,19.466999054,1
776,19.0750007629,1
1045,17.7059993744,1
1046,17.7059993744,1
1047,17.7059993744,1
1059,18.7619991302,1
1060,19.3619995117,1
1061,19.3619995117,1
1062,20.0809993744,1
1063,20.0809993744,1
1064,20.0809993744,1
1075,18.7619991302,1
1076,19.3619995117,1
1077,19.466999054,1
1078,20.0809993744,1
1079,20.0809993744,1
1080,20.0809993744,1
1091,18.7619991302,1
1092,19.3619995117,1
1093,19.466999054,1
1094,20.0809993744,1
1095,20.0809993744,1
1096,20.0809993744,1
1109,19.466999054,1
1110,19.466999054,1
1111,19.466999054,1
1112,19.0750007629,1
1380,19.4519996643,1
1381,19.4519996643,1
1382,19.4519996643,1
1383,17.7059993744,1
1395,18.7619991302,1
1396,19.4519996643,1
1397,19.4519996643,1
1398,20.0809993744,1
1399,20.0809993744,1
1400,20.0809993744,1
1411,18.7619991302,1
1412,19.4519996643,1
1413,19.466999054,1
1414,20.0809993744,1
1415,20.0809993744,1
1416,20.0809993744,1
1427,18.7619991302,1
1428,19.3619995117,1
1429,19.466999054,1
1430,20.0809993744,1
1431,20.0809993744,1
1432,20.0809993744,1
1445,19.466999054,1
1446,19.466999054,1
1447,19.466999054,1
1448,19.0750007629,1
1716,19.4519996643,1
1717,19.4519996643,1
1718,19.4519996643,1
1719,17.7059993744,1
1731,18.7619991302,1
1732,19.4519996643,1
1733,19.4519996643,1
1734,20.0809993744,1
1735,20.0809993744,1
1736,20.0809993744,1
1747,18.7619991302,1
1748,19.4519996643,1
1749,19.4519996643,1
1750,20.0809993744,1
1751,20.0809993744,1
1752,20.0809993744,1
1765,19.3619995117,1
1766,20.0809993744,1
1767,20.0809993744,1
1768,20.0809993744,1
1782,18.5769996643,1
1783,18.5769996643,1
1784,18.5769996643,1
2052,19.4519996643,1
2053,19.4519996643,1
2054,19.4519996643,1
2068,19.4519996643,1
2069,19.4519996643,1
2070,19.4519996643,1
2084,19.4519996643,1
2085,19.4519996643,1
2086,19.4519996643,1
2102,18.2080001831,1
2594,18.3640003204,1
