,scores,cavity
1965,12.1000003815,106
1966,10.8360004425,106
2712,10.9239997864,106
2713,10.9239997864,106
2714,10.9239997864,106
2732,8.31999969482,106
2733,12.1000003815,106
2734,14.4060001373,106
2735,14.4060001373,106
2736,14.4060001373,106
2756,16.6359996796,106
2757,16.6359996796,106
2758,16.6359996796,106
2780,17.0900001526,106
2781,12.6120004654,106
3482,10.9239997864,106
3483,10.9239997864,106
3502,8.31999969482,106
3503,12.1000003815,106
3504,14.4060001373,106
3505,14.4060001373,106
3506,14.4060001373,106
3524,9.3719997406,106
3525,15.5799999237,106
3526,16.6359996796,106
3527,16.6359996796,106
3528,16.6359996796,106
3529,11.2259998322,106
3546,12.75,106
3547,16.9619998932,106
3548,17.0900001526,106
3549,17.0900001526,106
3550,17.0900001526,106
3551,11.2259998322,106
3570,17.9200000763,106
3571,17.9200000763,106
3572,17.9200000763,106
3573,10.1099996567,106
3595,10.1099996567,106
4250,8.85400009155,106
4251,11.501999855,106
4252,11.501999855,106
4272,8.86400032043,106
4273,12.7620000839,106
4274,14.4060001373,106
4294,9.3719997406,106
4295,13.6420001984,106
4296,14.4060001373,106
4297,14.4060001373,106
4298,14.4060001373,106
4316,15.6660003662,106
4317,16.6359996796,106
4318,16.6359996796,106
4319,16.6359996796,106
4320,14.7019996643,106
4321,12.3940000534,106
4338,15.6660003662,106
4339,17.9200000763,106
4340,17.9200000763,106
4341,17.9200000763,106
4342,17.7199993134,106
4343,10.3079996109,106
4361,17.9200000763,106
4362,17.9200000763,106
4363,17.9200000763,106
4364,17.7199993134,106
4365,8.37600040436,106
4386,17.7199993134,106
4387,10.0860004425,106
4999,8.72200012207,106
5000,9.53800010681,106
5001,9.53800010681,106
5020,12.1879997253,106
5021,13.3979997635,106
5022,13.3979997635,106
5041,9.52999973297,106
5042,12.2460002899,106
5043,14.5799999237,106
5044,14.5799999237,106
5063,9.52999973297,106
5064,12.986000061,106
5065,17.3959999084,106
5066,17.3959999084,106
5067,17.3959999084,106
5085,13.1099996567,106
5086,15.6660003662,106
5087,17.3959999084,106
5088,17.3959999084,106
5089,17.3959999084,106
5090,14.7019996643,106
5091,12.3940000534,106
5107,13.1099996567,106
5108,15.6660003662,106
5109,17.9200000763,106
5110,17.9200000763,106
5111,17.9200000763,106
5112,14.7019996643,106
5113,10.3079996109,106
5129,13.1099996567,106
5130,20.9720001221,106
5131,20.9720001221,106
5132,20.9720001221,106
5133,17.9200000763,106
5134,14.7019996643,106
5135,10.8260002136,106
5153,20.9720001221,106
5154,20.9720001221,106
5155,17.9200000763,106
5156,13.0,106
5157,10.8260002136,106
5177,17.9200000763,106
5178,15.5799999237,106
5179,10.8260002136,106
5598,8.3079996109,106
5599,8.70600032806,106
5600,9.91199970245,106
5601,9.91199970245,106
5602,9.91199970245,106
5620,9.32400035858,106
5621,9.32400035858,106
5622,9.91199970245,106
5623,9.91199970245,106
5624,9.91199970245,106
5625,8.49600028992,106
5626,8.49600028992,106
5642,9.32400035858,106
5643,9.32400035858,106
5644,9.91199970245,106
5645,9.91199970245,106
5646,9.91199970245,106
5647,8.49600028992,106
5648,8.49600028992,106
5664,9.32400035858,106
5665,9.32400035858,106
5666,9.32400035858,106
5667,8.70800018311,106
5668,8.70800018311,106
5669,8.49600028992,106
5670,8.49600028992,106
5688,8.70800018311,106
5689,8.70800018311,106
5690,8.70800018311,106
5769,8.72200012207,106
5770,9.53800010681,106
5771,9.53800010681,106
