,scores,cavity
659,13.8859996796,1
660,13.8859996796,1
661,13.8859996796,1
678,13.8859996796,1
679,13.8859996796,1
680,13.8859996796,1
697,13.8859996796,1
698,13.8859996796,1
699,13.8859996796,1
867,12.8970003128,1
868,12.8970003128,1
869,12.8970003128,1
886,12.8970003128,1
887,12.8970003128,1
888,12.8970003128,1
905,13.4689998627,1
906,13.4689998627,1
907,13.4689998627,1
924,13.4689998627,1
925,13.8859996796,1
926,13.8859996796,1
927,13.8859996796,1
943,13.4689998627,1
944,13.8859996796,1
945,13.8859996796,1
946,13.8859996796,1
947,12.7119998932,1
963,13.8859996796,1
964,13.8859996796,1
965,13.8859996796,1
966,12.7119998932,1
983,13.3120002747,1
984,13.3120002747,1
985,12.7119998932,1
1133,16.2350006104,1
1134,16.2350006104,1
1135,16.2350006104,1
1152,16.7159996033,1
1153,16.7159996033,1
1154,16.7159996033,1
1171,16.7159996033,1
1172,16.7159996033,1
1173,16.7159996033,1
1174,14.9650001526,1
1190,16.7159996033,1
1191,16.7159996033,1
1192,16.7159996033,1
1193,14.9650001526,1
1209,16.2889995575,1
1210,16.2889995575,1
1211,16.2889995575,1
1212,14.9650001526,1
1213,12.7119998932,1
1371,13.9340000153,1
1372,13.9340000153,1
1373,13.9340000153,1
1399,16.2350006104,1
1400,16.2350006104,1
1401,16.2350006104,1
1402,14.7829999924,1
1418,16.7159996033,1
1419,16.7159996033,1
1420,16.7159996033,1
1421,14.7829999924,1
1440,14.9650001526,1
1459,14.9650001526,1
1468,15.5059995651,1
1469,15.5059995651,1
1470,15.5059995651,1
1478,14.9650001526,1
1487,15.5059995651,1
1488,15.5059995651,1
1489,15.5059995651,1
1506,15.5059995651,1
1507,15.5059995651,1
1508,15.5059995651,1
1637,13.9340000153,1
1638,13.9630002975,1
1639,13.9630002975,1
1640,13.9630002975,1
1659,14.4940004349,1
1665,16.2350006104,1
1666,16.2350006104,1
1667,16.2350006104,1
1668,14.7829999924,1
1684,16.7159996033,1
1685,16.7159996033,1
1686,16.7159996033,1
1697,15.1440000534,1
1713,14.236000061,1
1714,15.1440000534,1
1715,15.1440000534,1
1716,15.1440000534,1
1733,15.1440000534,1
1734,15.5059995651,1
1735,15.5059995651,1
1736,15.5059995651,1
1753,15.5059995651,1
1754,15.5059995651,1
1755,15.5059995651,1
1771,16.0769996643,1
1772,16.0769996643,1
1773,16.0769996643,1
1774,15.5059995651,1
1790,16.0769996643,1
1791,16.0769996643,1
1792,16.0769996643,1
1809,16.0769996643,1
1810,16.0769996643,1
1811,16.0769996643,1
1903,13.9340000153,1
1904,13.9630002975,1
1905,13.9630002975,1
1906,13.9630002975,1
1925,14.4940004349,1
1931,15.1339998245,1
1932,15.1339998245,1
1933,15.1339998245,1
1934,14.7829999924,1
1980,15.1440000534,1
1981,15.1440000534,1
1999,15.1440000534,1
2037,16.0769996643,1
2038,16.0769996643,1
2039,16.0769996643,1
2056,16.0769996643,1
2057,16.0769996643,1
2058,16.0769996643,1
2075,16.0769996643,1
2076,16.0769996643,1
2077,16.0769996643,1
2169,13.8009996414,1
2170,13.9630002975,1
2171,13.9630002975,1
2172,13.9630002975,1
2189,14.4940004349,1
2190,14.4940004349,1
2191,14.4940004349,1
2322,16.0769996643,1
2323,16.0769996643,1
2324,16.0769996643,1
2341,16.0769996643,1
2342,16.0769996643,1
2343,16.0769996643,1
2548,15.3039999008,1
2567,15.3039999008,1
2586,15.3039999008,1
2815,16.7380008698,1
2834,16.7380008698,1
2852,15.3039999008,1
2853,16.7380008698,1
2854,16.7380008698,1
2855,16.7380008698,1
3081,17.9130001068,1
3082,17.9130001068,1
3083,17.9130001068,1
3100,17.9130001068,1
3101,17.9130001068,1
3102,17.9130001068,1
3118,15.3039999008,1
3119,17.9130001068,1
3120,17.9130001068,1
3121,17.9130001068,1
3347,17.9130001068,1
3348,17.9130001068,1
3349,17.9130001068,1
3350,17.5480003357,1
3366,17.9130001068,1
3367,17.9130001068,1
3368,17.9130001068,1
3369,17.5480003357,1
3385,17.9130001068,1
3386,17.9130001068,1
3387,17.9130001068,1
3388,17.5480003357,1
3405,16.5349998474,1
3406,16.5349998474,1
3407,16.5349998474,1
3613,17.9130001068,1
3614,17.9130001068,1
3615,17.9130001068,1
3632,17.9130001068,1
3633,17.9130001068,1
3634,17.9130001068,1
3651,17.9130001068,1
3652,17.9130001068,1
3653,17.9130001068,1
3654,17.5480003357,1
3671,16.7560005188,1
3672,16.7560005188,1
3673,16.7560005188,1
3880,17.5480003357,1
3899,17.5480003357,1
3918,17.5480003357,1
3937,16.7560005188,1
4146,17.0960006714,1
4165,17.0960006714,1
4184,17.0960006714,1
4203,16.7560005188,1
4680,17.2409992218,1
4699,17.2409992218,1
4946,17.2409992218,1
4965,17.2409992218,1
5212,17.2409992218,1
5231,17.2409992218,1
5250,17.2409992218,1
7292,8.1859998703,1
7293,8.1859998703,1
7294,8.1859998703,1
7317,10.3669996262,1
7318,10.3669996262,1
7319,10.3669996262,1
7341,8.76299953461,1
7342,10.3669996262,1
7343,10.3669996262,1
7344,10.3669996262,1
7345,7.50299978256,1
7366,8.76299953461,1
7367,10.3669996262,1
7368,10.3669996262,1
7369,10.3669996262,1
7370,8.92199993134,1
7391,8.76299953461,1
7392,8.76299953461,1
7393,8.92199993134,1
7394,8.92199993134,1
7395,8.92199993134,1
7416,8.45899963379,1
7417,8.51799964905,1
7418,8.92199993134,1
7419,8.92199993134,1
7420,8.92199993134,1
7843,7.65899991989,1
7844,7.65899991989,1
7845,7.65899991989,1
7846,7.55999994278,1
7866,7.57800006866,1
7867,8.23600006104,1
7871,10.9010000229,1
7891,7.57800006866,1
7892,10.6990003586,1
7896,10.9010000229,1
7914,7.59700012207,1
7915,8.16899967194,1
7916,9.39900016785,1
7917,11.1770000458,1
7921,10.9010000229,1
7922,8.23900032043,1
7939,7.59700012207,1
7940,9.13399982452,1
7941,12.3839998245,1
7942,12.3839998245,1
7943,12.3839998245,1
7944,11.9750003815,1
7945,11.9750003815,1
7946,9.82800006866,1
7947,8.23900032043,1
7964,7.59700012207,1
7965,9.13399982452,1
7966,12.3839998245,1
7967,12.3839998245,1
7968,12.3839998245,1
7969,11.9750003815,1
7970,11.9750003815,1
7971,9.82800006866,1
7972,8.23900032043,1
7989,7.47200012207,1
7990,9.13399982452,1
7991,12.3839998245,1
7992,12.3839998245,1
7993,12.3839998245,1
7994,11.9750003815,1
7995,11.9750003815,1
7996,8.99300003052,1
8015,7.71299982071,1
8016,10.8809995651,1
8017,10.8809995651,1
8018,10.8809995651,1
8019,10.361000061,1
8020,8.92199993134,1
8041,8.44999980927,1
8042,8.44999980927,1
8043,8.44999980927,1
8044,8.375,1
8045,8.375,1
8395,8.03100013733,1
8420,8.03100013733,1
8445,9.3719997406,1
8446,7.55999994278,1
8466,8.95199966431,1
8471,10.9010000229,1
8472,8.37699985504,1
8489,7.99599981308,1
8490,10.1940002441,1
8491,10.1940002441,1
8497,8.37699985504,1
8514,10.3470001221,1
8515,10.5719995499,1
8516,11.5430002213,1
8517,11.5430002213,1
8522,9.21599960327,1
8523,7.37900018692,1
8539,10.3470001221,1
8540,10.6949996948,1
8541,15.2620000839,1
8542,15.2620000839,1
8543,15.2620000839,1
8547,9.81799983978,1
8548,8.5640001297,1
8564,10.3470001221,1
8565,10.6949996948,1
8566,15.2620000839,1
8567,15.2620000839,1
8568,15.2620000839,1
8569,13.2829999924,1
8570,13.2829999924,1
8571,12.6059999466,1
8572,9.81799983978,1
8573,8.5640001297,1
8589,9.45899963379,1
8590,10.6949996948,1
8591,15.2620000839,1
8592,15.2620000839,1
8593,15.2620000839,1
8594,12.8839998245,1
8595,12.8839998245,1
8596,11.6040000916,1
8597,9.81799983978,1
8598,8.5640001297,1
8615,9.48999977112,1
8616,13.3199996948,1
8617,13.3199996948,1
8618,13.3199996948,1
8619,11.0539999008,1
8620,11.0539999008,1
8621,10.0249996185,1
8622,8.32699966431,1
8640,7.38000011444,1
8641,9.70899963379,1
8642,10.0830001831,1
8643,10.0830001831,1
8644,10.0830001831,1
8645,8.80500030518,1
8909,7.95399999619,1
8910,7.95399999619,1
8911,7.95399999619,1
8932,7.88800001144,1
8933,7.88800001144,1
8934,7.95399999619,1
8935,7.95399999619,1
8936,7.95399999619,1
8957,7.88800001144,1
8958,7.88800001144,1
