,scores,cavity
12442,2.29399991035,1
12443,2.29399991035,1
12444,2.29399991035,1
12445,2.07500004768,1
12446,1.97500002384,1
12462,2.96399998665,1
12463,2.96399998665,1
12464,2.96399998665,1
12465,2.81500005722,1
12466,2.23600006104,1
12467,1.98800003529,1
12481,3.17100000381,1
12482,3.50500011444,1
12483,3.50500011444,1
12484,3.50500011444,1
12485,2.81500005722,1
12486,2.257999897,1
12487,1.98800003529,1
12488,1.91600000858,1
12501,3.17100000381,1
12502,3.50500011444,1
12503,3.50500011444,1
12504,3.50500011444,1
12505,2.81500005722,1
12506,2.47799992561,1
12507,2.47799992561,1
12508,2.18099999428,1
12521,3.17100000381,1
12522,3.50500011444,1
12523,3.50500011444,1
12524,3.50500011444,1
12525,2.54299998283,1
12526,2.47799992561,1
12527,2.47799992561,1
12528,2.18099999428,1
12541,1.14199995995,1
12542,3.1740000248,1
12543,3.1740000248,1
12544,3.1740000248,1
12545,2.47799992561,1
12546,2.47799992561,1
12547,2.47799992561,1
12548,2.18099999428,1
12564,1.47000002861,1
12565,1.93900001049,1
12566,1.93900001049,1
12567,1.93900001049,1
12568,1.0870000124,1
12782,1.93799996376,1
12783,1.93799996376,1
12784,1.93799996376,1
12785,1.93799996376,1
12801,2.07800006866,1
12802,3.76099991798,1
12803,3.79699993134,1
12804,4.17999982834,1
12805,4.17999982834,1
12806,4.17999982834,1
12807,1.91199994087,1
12808,1.19299995899,1
12820,1.28100001812,1
12821,2.86999988556,1
12822,4.12099981308,1
12823,4.13899993896,1
12824,4.23000001907,1
12825,4.23000001907,1
12826,4.23000001907,1
12827,3.09400010109,1
12828,1.50499999523,1
12840,1.9279999733,1
12841,3.96199989319,1
12842,4.55499982834,1
12843,5.07499980927,1
12844,5.07499980927,1
12845,5.07499980927,1
12846,4.23000001907,1
12847,3.09400010109,1
12848,1.98300004005,1
12849,1.98300004005,1
12860,1.9279999733,1
12861,3.96199989319,1
12862,4.55499982834,1
12863,5.07499980927,1
12864,5.07499980927,1
12865,5.07499980927,1
12866,4.23000001907,1
12867,3.09400010109,1
12868,2.36100006104,1
12869,2.36100006104,1
12880,1.9279999733,1
12881,3.96199989319,1
12882,4.55499982834,1
12883,5.07499980927,1
12884,5.07499980927,1
12885,5.07499980927,1
12886,3.41799998283,1
12887,2.47799992561,1
12888,2.36100006104,1
12889,2.36100006104,1
12890,1.12699997425,1
12901,2.77300000191,1
12902,3.79200005531,1
12903,3.79200005531,1
12904,3.79200005531,1
12905,3.24099993706,1
12906,2.47799992561,1
12907,2.47799992561,1
12908,2.36100006104,1
12909,2.36100006104,1
12910,1.12699997425,1
12921,1.2879999876,1
12922,1.78600001335,1
12923,1.78600001335,1
12924,1.78600001335,1
12925,1.93900001049,1
12926,2.09899997711,1
12927,2.09899997711,1
12928,2.09899997711,1
12929,1.42999994755,1
12930,1.12699997425,1
13126,1.20899999142,1
13127,1.20899999142,1
13128,1.20899999142,1
13140,1.87300002575,1
13141,1.87300002575,1
13142,1.93799996376,1
13143,1.93799996376,1
13144,2.70799994469,1
13145,3.03299999237,1
13146,3.03299999237,1
13147,3.03299999237,1
13148,1.80599999428,1
13149,1.61600005627,1
13159,1.5870000124,1
13160,3.4319999218,1
13161,3.4319999218,1
13162,3.76099991798,1
13163,3.79699993134,1
13164,4.17999982834,1
13165,4.17999982834,1
13166,4.17999982834,1
13167,3.53399991989,1
