,scores,cavity
31411,6.19600009918,9
31412,6.19600009918,9
31413,6.19600009918,9
31414,5.60200023651,9
31441,7.02699995041,9
31442,8.58500003815,9
31443,8.58500003815,9
31444,8.58500003815,9
31445,6.50299978256,9
31446,5.81699991226,9
31472,7.02699995041,9
31473,8.58500003815,9
31474,8.58500003815,9
31475,8.58500003815,9
31476,8.35000038147,9
31477,7.71500015259,9
31478,7.71500015259,9
31503,7.02699995041,9
31504,8.58500003815,9
31505,8.58500003815,9
31506,8.95699977875,9
31507,8.95699977875,9
31508,8.95699977875,9
31509,8.00500011444,9
31510,6.16599988937,9
31534,5.55499982834,9
31535,8.46399974823,9
31536,8.46399974823,9
31537,8.95699977875,9
31538,10.2030000687,9
31539,10.2030000687,9
31540,10.2030000687,9
31541,8.34099960327,9
31542,5.98999977112,9
31565,5.55499982834,9
31566,7.31599998474,9
31567,8.06200027466,9
31568,8.95699977875,9
31569,10.2030000687,9
31570,10.2030000687,9
31571,10.2030000687,9
31572,8.34099960327,9
31573,5.98999977112,9
31596,5.55499982834,9
31597,7.20599985123,9
31598,7.20599985123,9
31599,8.53800010681,9
31600,10.2030000687,9
31601,10.2030000687,9
31602,10.2030000687,9
31603,8.34099960327,9
31604,5.98999977112,9
31628,5.38100004196,9
31629,5.59499979019,9
31630,5.59499979019,9
31631,5.91499996185,9
31632,5.91499996185,9
31633,5.91499996185,9
32218,5.23000001907,9
32219,6.757999897,9
32220,6.757999897,9
32221,6.757999897,9
32222,5.15299987793,9
32247,8.14299964905,9
32248,8.78800010681,9
32249,8.78800010681,9
32250,8.78800010681,9
32251,8.47500038147,9
32252,7.56599998474,9
32253,6.51200008392,9
32277,6.9889998436,9
32278,8.88300037384,9
32279,10.7060003281,9
32280,10.7060003281,9
32281,10.7060003281,9
32282,10.2709999084,9
32283,10.2709999084,9
32284,7.67500019073,9
32307,5.21299982071,9
32308,6.9889998436,9
32309,8.88300037384,9
32310,11.0080003738,9
32311,11.0080003738,9
32312,11.0080003738,9
32313,10.5249996185,9
32314,10.2709999084,9
32315,9.21800041199,9
32316,7.86100006104,9
32317,6.30900001526,9
32318,5.79099988937,9
32338,7.20599985123,9
32339,7.33300018311,9
32340,8.88300037384,9
32341,11.0080003738,9
32342,11.0080003738,9
32343,12.2650003433,9
32344,12.2650003433,9
32345,12.2650003433,9
32346,10.781999588,9
32347,10.781999588,9
32348,10.781999588,9
32349,7.15899991989,9
32369,7.20599985123,9
32370,7.33300018311,9
32371,8.88000011444,9
32372,11.0080003738,9
32373,11.0080003738,9
32374,12.2650003433,9
32375,12.2650003433,9
32376,12.2650003433,9
32377,10.781999588,9
32378,10.781999588,9
32379,10.781999588,9
32380,7.15899991989,9
32400,7.20599985123,9
32401,7.43300008774,9
32402,8.49300003052,9
32403,10.281999588,9
32404,10.281999588,9
32405,12.2650003433,9
32406,12.2650003433,9
32407,12.2650003433,9
32408,10.781999588,9
32409,10.781999588,9
32410,10.781999588,9
32411,7.69000005722,9
32431,5.21400022507,9
32432,7.43300008774,9
32433,8.49300003052,9
32434,10.281999588,9
32435,10.281999588,9
32436,10.4379997253,9
32437,10.4379997253,9
32438,10.4379997253,9
32439,10.2550001144,9
32440,10.2550001144,9
32441,9.09300041199,9
32442,7.69000005722,9
32462,5.21400022507,9
32463,7.43300008774,9
32464,8.49300003052,9
32465,8.49300003052,9
32466,9.36699962616,9
32467,9.36699962616,9
