,scores,cavity
1187,8.58800029755,1
1188,8.58800029755,1
1189,8.58800029755,1
1190,7.85799980164,1
1191,7.34200000763,1
1192,7.34200000763,1
1193,7.34200000763,1
1207,8.58800029755,1
1208,11.3339996338,1
1209,11.3339996338,1
1210,11.3339996338,1
1211,10.6840000153,1
1212,10.0760002136,1
1213,10.0760002136,1
1214,9.53800010681,1
1227,8.58800029755,1
1228,11.3339996338,1
1229,11.3339996338,1
1230,11.3339996338,1
1231,10.6840000153,1
1232,10.0760002136,1
1233,10.0760002136,1
1234,9.53800010681,1
1248,11.3339996338,1
1249,11.3339996338,1
1250,11.3339996338,1
1251,10.6840000153,1
1252,10.0760002136,1
1253,10.0760002136,1
1254,9.53800010681,1
1271,9.23999977112,1
1272,9.23999977112,1
1273,9.23999977112,1
1382,15.8839998245,1
1402,35.5839996338,1
1403,31.0160007477,1
1422,46.7799987793,1
1423,34.408000946,1
1442,57.6640014648,1
1443,47.5200004578,1
1444,36.2400016785,1
1607,7.46199989319,1
1608,7.46199989319,1
1609,7.46199989319,1
1626,8.07600021362,1
1627,11.7119998932,1
1628,11.7119998932,1
1629,11.7119998932,1
1646,14.3699998856,1
1647,14.7840003967,1
1648,14.7840003967,1
1649,14.7840003967,1
1650,13.9739999771,1
1651,8.37600040436,1
1665,10.5279998779,1
1666,17.1599998474,1
1667,17.9400005341,1
1668,17.9400005341,1
1669,17.9400005341,1
1670,15.1920003891,1
1671,13.5220003128,1
1672,10.3020000458,1
1684,7.38399982452,1
1685,10.5279998779,1
1686,17.1599998474,1
1687,19.0279998779,1
1688,22.8120002747,1
1689,22.8120002747,1
1690,22.8120002747,1
1692,10.8280000687,1
1693,8.78800010681,1
1704,11.7740001678,1
1705,11.7740001678,1
1706,17.1599998474,1
1707,19.0279998779,1
1708,22.8120002747,1
1709,22.8120002747,1
1710,22.8120002747,1
1711,21.0540008545,1
1714,9.53800010681,1
1724,11.7740001678,1
1725,11.7740001678,1
1726,14.4580001831,1
1727,19.0279998779,1
1728,22.8120002747,1
1729,22.8120002747,1
1730,22.8120002747,1
1731,21.0540008545,1
1734,10.7899999619,1
1735,8.97999954224,1
1744,11.7740001678,1
1745,11.7740001678,1
1746,11.7740001678,1
1747,14.1000003815,1
1748,22.3640003204,1
1749,22.3640003204,1
1750,22.3640003204,1
1751,21.0540008545,1
1754,10.7899999619,1
1755,9.70600032806,1
1765,8.71399974823,1
1766,8.71399974823,1
1767,12.0279998779,1
1768,17.9440002441,1
1769,17.9440002441,1
1770,17.9440002441,1
1771,13.0480003357,1
1772,12.1459999084,1
1773,11.6660003662,1
1774,10.7899999619,1
1775,9.70600032806,1
1790,9.38599967957,1
1791,9.38599967957,1
1792,9.38599967957,1
1793,9.70600032806,1
1794,9.70600032806,1
1795,9.70600032806,1
1922,33.4319992065,1
1923,25.672000885,1
1942,39.608001709,1
1943,39.0079994202,1
1944,36.2400016785,1
