,scores,cavity
1371,13.2589998245,1
1372,13.2589998245,1
1373,13.2589998245,1
1374,12.9090003967,1
1389,13.2589998245,1
1390,13.2589998245,1
1391,13.2589998245,1
1392,12.9090003967,1
1407,13.2589998245,1
1408,13.2589998245,1
1409,13.2589998245,1
1410,12.9090003967,1
1411,13.2229995728,1
1412,13.2229995728,1
1413,13.2229995728,1
1429,13.2229995728,1
1430,13.2229995728,1
1431,13.2229995728,1
1447,13.2229995728,1
1448,13.2229995728,1
1449,13.2229995728,1
2019,13.2589998245,1
2020,13.2589998245,1
2021,13.2589998245,1
2036,13.0260000229,1
2037,13.2589998245,1
2038,13.3109998703,1
2039,13.3109998703,1
2054,13.0260000229,1
2055,13.2589998245,1
2056,14.1770000458,1
2057,15.0439996719,1
2058,15.0439996719,1
2059,15.0439996719,1
2072,13.0260000229,1
2073,13.0260000229,1
2074,14.1770000458,1
2075,15.0439996719,1
2076,15.0439996719,1
2077,15.0439996719,1
2078,14.1339998245,1
2092,14.1770000458,1
2093,15.0439996719,1
2094,15.0439996719,1
2095,15.0439996719,1
2096,14.1339998245,1
2097,13.2229995728,1
2110,12.7790002823,1
2111,12.7790002823,1
2112,12.7790002823,1
2205,12.7550001144,1
2206,12.7550001144,1
2207,12.7550001144,1
2208,12.4569997787,1
2667,13.2589998245,1
2668,13.2589998245,1
2669,13.2589998245,1
2684,13.0260000229,1
2685,13.2589998245,1
2686,13.3109998703,1
2687,13.3109998703,1
2702,13.0260000229,1
2703,13.2589998245,1
2704,14.9549999237,1
2705,15.0439996719,1
2706,15.0439996719,1
2707,15.0439996719,1
2720,13.5659999847,1
2721,15.4899997711,1
2722,16.0680007935,1
2723,16.0680007935,1
2724,16.0680007935,1
2725,15.0439996719,1
2738,13.5659999847,1
2739,15.4899997711,1
2740,16.0680007935,1
2741,16.0680007935,1
2742,16.0680007935,1
2743,15.0439996719,1
2756,13.5659999847,1
2757,15.4899997711,1
2758,16.0680007935,1
2759,16.0680007935,1
2760,16.0680007935,1
2776,14.7150001526,1
2777,14.7150001526,1
2800,29.0659999847,1
2801,14.5329999924,1
2817,15.6560001373,1
2818,15.6560001373,1
2819,15.6560001373,1
2820,15.251999855,1
2821,15.251999855,1
2822,15.251999855,1
2835,15.6560001373,1
2836,15.6560001373,1
2837,15.6560001373,1
2838,15.251999855,1
2839,15.251999855,1
2840,15.251999855,1
2853,15.6560001373,1
2854,15.6560001373,1
2855,15.6560001373,1
2856,15.251999855,1
2857,15.251999855,1
2858,15.251999855,1
2874,14.7189998627,1
2875,14.7189998627,1
2876,14.7189998627,1
3285,14.2290000916,1
3300,15.9630002975,1
3301,16.1439990997,1
3302,16.1439990997,1
3303,16.1439990997,1
3318,15.9630002975,1
3319,16.1439990997,1
3320,16.1439990997,1
3321,16.1439990997,1
3332,13.0260000229,1
3333,13.0260000229,1
3336,15.9630002975,1
3337,16.1439990997,1
3338,16.1439990997,1
3339,16.1439990997,1
3350,13.0260000229,1
3352,14.9549999237,1
3353,15.0439996719,1
3354,15.0439996719,1
3355,15.0439996719,1
3368,13.5659999847,1
3369,15.4899997711,1
3370,16.0680007935,1
3371,16.0680007935,1
3372,16.0680007935,1
3373,15.0439996719,1
3386,14.4940004349,1
3387,16.1660003662,1
3388,16.1660003662,1
3389,16.1660003662,1
3390,16.0680007935,1
3391,15.0439996719,1
3404,14.4940004349,1
3405,16.1660003662,1
3406,16.1660003662,1
3407,16.1660003662,1
3408,16.0680007935,1
3422,14.4940004349,1
3423,16.1660003662,1
3424,16.1660003662,1
3425,16.1660003662,1
3441,13.4189996719,1
3448,29.0659999847,1
3465,15.6560001373,1
3466,15.6560001373,1
3467,15.6560001373,1
3468,15.251999855,1
3469,15.251999855,1
3470,15.251999855,1
3483,15.6560001373,1
3484,15.6560001373,1
3485,15.6560001373,1
3486,15.251999855,1
3487,15.251999855,1
3488,15.251999855,1
3501,15.6560001373,1
3502,15.6560001373,1
3503,15.6560001373,1
3504,15.251999855,1
3505,15.251999855,1
3506,15.251999855,1
3507,14.6309995651,1
3517,14.3330001831,1
3518,14.3330001831,1
3519,14.3330001831,1
3522,14.7189998627,1
3523,14.7189998627,1
3524,14.7189998627,1
3525,14.6309995651,1
3541,14.6309995651,1
3542,14.6309995651,1
3543,14.6309995651,1
3933,14.2290000916,1
3948,15.9630002975,1
3949,16.1439990997,1
3950,16.1439990997,1
3951,16.1439990997,1
3966,15.9630002975,1
3967,16.1439990997,1
3968,16.1439990997,1
3969,16.1439990997,1
3970,14.779999733,1
