,scores,cavity
170,26.5119991302,1
171,26.5119991302,1
172,26.5119991302,1
178,26.9880008698,1
179,26.9880008698,1
180,26.9880008698,1
186,26.9880008698,1
187,26.9880008698,1
188,26.9880008698,1
194,26.9880008698,1
195,26.9880008698,1
196,26.9880008698,1
235,25.563999176,1
236,25.563999176,1
237,25.563999176,1
242,26.8360004425,1
243,28.0400009155,1
244,28.0400009155,1
245,28.0400009155,1
250,26.9880008698,1
251,28.0400009155,1
252,28.0400009155,1
253,28.0400009155,1
258,26.9880008698,1
259,28.0400009155,1
260,28.0400009155,1
261,28.0400009155,1
266,26.9880008698,1
267,26.9880008698,1
268,26.9880008698,1
307,25.563999176,1
308,25.563999176,1
309,25.563999176,1
314,26.8360004425,1
315,28.0400009155,1
316,28.0400009155,1
317,28.0400009155,1
322,26.9880008698,1
323,28.0400009155,1
324,28.0400009155,1
325,28.0400009155,1
330,26.9880008698,1
331,28.0400009155,1
332,28.0400009155,1
333,28.0400009155,1
338,26.9880008698,1
339,26.9880008698,1
340,26.9880008698,1
379,25.563999176,1
380,25.563999176,1
381,25.563999176,1
386,26.8360004425,1
387,28.0400009155,1
388,28.0400009155,1
389,28.0400009155,1
394,26.968000412,1
395,28.0400009155,1
396,28.0400009155,1
397,28.0400009155,1
402,26.968000412,1
403,28.0400009155,1
404,28.0400009155,1
405,28.0400009155,1
410,26.968000412,1
411,26.968000412,1
412,26.968000412,1
458,25.8680000305,1
459,27.4619998932,1
460,27.4619998932,1
461,27.4619998932,1
466,26.968000412,1
467,27.4619998932,1
468,27.4619998932,1
469,27.4619998932,1
474,26.968000412,1
475,27.4619998932,1
476,27.4619998932,1
477,27.4619998932,1
482,26.968000412,1
483,26.968000412,1
484,26.968000412,1
531,27.4619998932,1
532,27.4619998932,1
533,27.4619998932,1
538,26.968000412,1
539,27.4619998932,1
540,27.4619998932,1
541,27.4619998932,1
546,26.968000412,1
547,27.4619998932,1
548,27.4619998932,1
549,27.4619998932,1
554,26.968000412,1
555,26.968000412,1
556,26.968000412,1
920,14.0799999237,1
959,12.6160001755,1
1010,14.4090003967,1
1049,12.6160001755,1
1100,14.4090003967,1
1139,12.6160001755,1
1190,14.4090003967,1
1229,12.2530002594,1
1280,14.3000001907,1
1281,14.3000001907,1
1282,14.3000001907,1
1283,14.1579999924,1
1370,14.0799999237,1
1371,15.1190004349,1
1372,15.1190004349,1
1373,15.1190004349,1
1379,14.4639997482,1
1748,17.5030002594,1
1749,17.5039997101,1
1750,17.5039997101,1
1757,17.5039997101,1
1764,17.5039997101,1
1771,16.7989997864,1
