,scores,cavity
1275,17.6119995117,1
1276,17.6119995117,1
1277,17.6119995117,1
1278,12.7229995728,1
1296,17.6119995117,1
1297,17.6119995117,1
1298,17.6119995117,1
1299,12.7229995728,1
1317,17.6119995117,1
1318,17.6119995117,1
1319,17.6119995117,1
1320,12.7229995728,1
1338,13.7010002136,1
1339,13.7010002136,1
1340,13.7010002136,1
1737,17.6119995117,1
1738,17.6119995117,1
1739,17.6119995117,1
1740,12.7229995728,1
1758,17.6119995117,1
1759,17.6119995117,1
1760,17.6119995117,1
1761,12.7229995728,1
1779,17.6119995117,1
1780,17.6119995117,1
1781,17.6119995117,1
1782,12.7229995728,1
1800,13.7010002136,1
1801,13.7010002136,1
1802,13.7010002136,1
2051,14.1630001068,1
2072,15.8219995499,1
2092,15.7889995575,1
2093,15.8959999084,1
2113,17.781999588,1
2114,17.781999588,1
2115,17.781999588,1
2116,16.9960002899,1
2134,17.781999588,1
2135,17.781999588,1
2136,17.781999588,1
2137,16.9960002899,1
2155,17.781999588,1
2156,17.781999588,1
2157,17.781999588,1
2158,16.9960002899,1
2177,14.6350002289,1
2178,14.6350002289,1
2179,14.6350002289,1
2180,13.9139995575,1
2199,17.6119995117,1
2200,17.6119995117,1
2201,17.6119995117,1
2202,12.7229995728,1
2220,17.6119995117,1
2221,17.6119995117,1
2222,17.6119995117,1
2223,12.7229995728,1
2241,17.6119995117,1
2242,17.6119995117,1
2243,17.6119995117,1
2244,12.7229995728,1
2262,13.7010002136,1
2263,13.7010002136,1
2264,13.7010002136,1
2534,15.8219995499,1
2554,19.3260002136,1
2555,19.3260002136,1
2556,19.3260002136,1
2575,19.3260002136,1
2576,19.3260002136,1
2577,19.3260002136,1
2578,16.9960002899,1
2596,19.3260002136,1
2597,19.3260002136,1
2598,19.3260002136,1
2599,16.9960002899,1
2617,18.9960002899,1
2618,18.9960002899,1
2619,18.9960002899,1
2620,16.9960002899,1
2639,14.6350002289,1
2640,14.6350002289,1
2641,14.6350002289,1
3016,19.3260002136,1
3017,19.3260002136,1
3018,19.3260002136,1
3037,19.3260002136,1
3038,19.3260002136,1
3039,19.3260002136,1
3040,16.9960002899,1
3058,19.3260002136,1
3059,19.3260002136,1
3060,19.3260002136,1
3061,16.9960002899,1
3079,18.9960002899,1
3080,18.9960002899,1
3081,18.9960002899,1
3082,16.9960002899,1
3101,14.6350002289,1
3102,14.6350002289,1
3103,14.6350002289,1
3478,19.3260002136,1
3479,19.3260002136,1
3480,19.3260002136,1
3499,19.3260002136,1
3500,19.3260002136,1
3501,19.3260002136,1
3520,19.3260002136,1
3521,19.3260002136,1
3522,19.3260002136,1
3541,18.9960002899,1
3542,18.9960002899,1
3543,18.9960002899,1
5658,13.6440000534,1
5659,13.6440000534,1
5660,13.6440000534,1
5679,13.6440000534,1
5680,13.6440000534,1
5681,13.6440000534,1
5700,13.6440000534,1
5701,13.6440000534,1
5702,13.6440000534,1
6117,10.6579999924,1
6118,12.2419996262,1
6119,14.3009996414,1
6120,14.3009996414,1
6121,14.3009996414,1
6122,13.6440000534,1
6138,12.7530002594,1
6139,12.7530002594,1
6140,15.0729999542,1
6141,15.0729999542,1
6142,15.0729999542,1
6143,13.6440000534,1
6157,12.4350004196,1
6158,18.3689994812,1
6159,18.3689994812,1
6160,18.3689994812,1
6161,15.0729999542,1
6162,15.0729999542,1
6163,15.0729999542,1
6164,13.6440000534,1
6178,13.9320001602,1
6179,18.7980003357,1
6180,18.7980003357,1
6181,18.7980003357,1
6182,15.0729999542,1
6183,15.0729999542,1
6184,15.0729999542,1
6199,13.9320001602,1
6200,18.7980003357,1
6201,18.7980003357,1
6202,18.7980003357,1
6203,14.6949996948,1
6220,13.9320001602,1
6221,18.7980003357,1
6222,18.7980003357,1
6223,18.7980003357,1
6224,14.6949996948,1
6242,15.2390003204,1
6243,15.2390003204,1
6244,15.2390003204,1
6245,14.6949996948,1
6524,14.0760002136,1
6525,14.0760002136,1
6526,14.0760002136,1
6555,10.3830003738,1
6556,10.3830003738,1
6557,10.3830003738,1
6559,11.720000267,1
6560,12.6520004272,1
6561,12.7309999466,1
6562,12.7309999466,1
6563,12.7309999466,1
6576,10.3830003738,1
6577,10.3830003738,1
6578,10.3830003738,1
6579,10.6579999924,1
6580,12.2419996262,1
6581,14.3009996414,1
6582,14.3009996414,1
6583,14.5389995575,1
6584,14.5389995575,1
6585,14.5389995575,1
6597,10.3830003738,1
6598,13.1160001755,1
6599,13.7550001144,1
6600,13.7550001144,1
6601,13.7550001144,1
6602,15.0729999542,1
6603,15.0729999542,1
6604,15.0729999542,1
6605,14.5389995575,1
6606,14.5389995575,1
6618,10.4440002441,1
6619,16.3050003052,1
6620,20.0520000458,1
6621,20.0520000458,1
6622,20.0520000458,1
6623,15.0939998627,1
6624,15.0729999542,1
6625,15.0729999542,1
6626,14.5389995575,1
6639,10.4440002441,1
6640,16.7590007782,1
6641,22.1439990997,1
6642,22.1439990997,1
6643,22.1439990997,1
6644,17.156999588,1
6645,15.0729999542,1
6646,15.0729999542,1
6660,10.4440002441,1
6661,16.7590007782,1
6662,22.1439990997,1
6663,22.1439990997,1
6664,22.1439990997,1
6665,17.156999588,1
6666,12.8280000687,1
6681,9.33100032806,1
6682,16.7590007782,1
6683,22.1439990997,1
6684,22.1439990997,1
6685,22.1439990997,1
6686,17.156999588,1
6687,12.8280000687,1
6703,10.1630001068,1
6704,16.2950000763,1
6705,16.2950000763,1
6706,16.2950000763,1
6707,14.6949996948,1
6708,12.8280000687,1
6728,12.4560003281,1
6729,12.4560003281,1
6986,14.0760002136,1
6987,14.0760002136,1
6988,14.0760002136,1
6997,13.2349996567,1
6998,13.2349996567,1
6999,13.2349996567,1
7000,11.845000267,1
7016,10.7239999771,1
7017,12.3299999237,1
7018,13.2349996567,1
7019,13.2349996567,1
7020,13.2349996567,1
7021,13.8999996185,1
7022,15.2460002899,1
7023,15.2460002899,1
7024,15.2460002899,1
7025,15.0699996948,1
7026,13.140999794,1
7037,10.7239999771,1
7038,12.3299999237,1
7039,13.2349996567,1
7040,13.2349996567,1
7041,13.2349996567,1
7042,13.8999996185,1
7043,15.2460002899,1
7044,15.2460002899,1
7045,15.2460002899,1
7046,15.0699996948,1
7047,14.5389995575,1
7058,10.7239999771,1
7059,12.3299999237,1
7060,13.1160001755,1
7061,13.7550001144,1
7062,13.7550001144,1
7063,13.8999996185,1
7064,15.2460002899,1
7065,15.2460002899,1
7066,15.2460002899,1
7067,15.0699996948,1
7068,14.5389995575,1
7080,10.4440002441,1
7081,16.3050003052,1
7082,20.0520000458,1
7083,20.0520000458,1
7084,20.0520000458,1
7085,15.0939998627,1
7086,15.0729999542,1
7087,15.0729999542,1
7101,10.4440002441,1
7102,16.7590007782,1
7103,22.1439990997,1
7104,22.1439990997,1
7105,22.1439990997,1
7106,17.156999588,1
7107,15.0729999542,1
7108,15.0729999542,1
7122,10.4440002441,1
7123,16.7590007782,1
7124,22.1439990997,1
7125,22.1439990997,1
7126,22.1439990997,1
7127,17.156999588,1
7128,12.8280000687,1
7143,9.33100032806,1
7144,16.7590007782,1
7145,22.1439990997,1
7146,22.1439990997,1
7147,22.1439990997,1
7148,17.156999588,1
7149,12.8280000687,1
7165,10.1630001068,1
7166,16.2950000763,1
7167,16.2950000763,1
7168,16.2950000763,1
7169,14.6949996948,1
7170,12.8280000687,1
7190,12.4560003281,1
7191,12.4560003281,1
7448,14.0760002136,1
7449,14.0760002136,1
7450,14.0760002136,1
7459,15.4060001373,1
7460,15.4060001373,1
7461,15.4060001373,1
7462,11.845000267,1
7479,12.3299999237,1
7480,15.4060001373,1
7481,15.4060001373,1
7482,15.4060001373,1
7483,13.8999996185,1
7484,15.2460002899,1
7485,15.2460002899,1
7486,15.2460002899,1
7487,15.0699996948,1
7488,13.140999794,1
7499,10.7239999771,1
7500,12.3299999237,1
7501,15.4060001373,1
7502,15.4060001373,1
7503,15.4060001373,1
7504,13.8999996185,1
7505,15.2460002899,1
7506,15.2460002899,1
7507,15.2460002899,1
7508,15.0699996948,1
7509,14.5389995575,1
7520,10.7239999771,1
7521,12.3299999237,1
7522,13.9870004654,1
7523,13.9870004654,1
7524,13.9870004654,1
7525,13.8999996185,1
7526,15.2460002899,1
7527,15.2460002899,1
7528,15.2460002899,1
7529,15.0699996948,1
7530,14.5389995575,1
7542,10.4440002441,1
7543,16.3050003052,1
7544,20.0520000458,1
7545,20.0520000458,1
7546,20.0520000458,1
7547,15.0939998627,1
7548,14.4259996414,1
7563,10.4440002441,1
7564,16.7590007782,1
7565,22.1439990997,1
7566,22.1439990997,1
7567,22.1439990997,1
7568,17.156999588,1
7569,13.4619998932,1
7584,10.4440002441,1
7585,16.7590007782,1
7586,22.1439990997,1
7587,22.1439990997,1
7588,22.1439990997,1
7589,17.156999588,1
7590,12.8280000687,1
7605,9.33100032806,1
7606,16.7590007782,1
7607,22.1439990997,1
7608,22.1439990997,1
7609,22.1439990997,1
7610,17.156999588,1
7611,12.8280000687,1
7627,10.1630001068,1
7628,16.2950000763,1
7629,16.2950000763,1
7630,16.2950000763,1
7631,13.1829996109,1
7632,12.8280000687,1
7652,12.4560003281,1
7653,12.4560003281,1
7654,12.4560003281,1
7921,15.4060001373,1
7922,15.4060001373,1
7923,15.4060001373,1
7924,11.845000267,1
7941,12.3299999237,1
7942,15.4060001373,1
7943,15.4060001373,1
7944,15.4060001373,1
7945,13.8999996185,1
7946,15.2460002899,1
7947,15.2460002899,1
7948,15.2460002899,1
7949,15.0699996948,1
7950,13.140999794,1
7961,10.7239999771,1
7962,12.3299999237,1
7963,15.4060001373,1
7964,15.4060001373,1
7965,15.4060001373,1
7966,13.8999996185,1
7967,15.2460002899,1
7968,15.2460002899,1
7969,15.2460002899,1
7970,15.0699996948,1
7971,13.140999794,1
7982,10.7239999771,1
7983,12.3299999237,1
7984,13.9870004654,1
7985,13.9870004654,1
7986,13.9870004654,1
7987,13.8999996185,1
7988,15.2460002899,1
7989,15.2460002899,1
7990,15.2460002899,1
7991,15.0699996948,1
8005,14.1289997101,1
8006,15.5539999008,1
8007,15.5539999008,1
8008,15.5539999008,1
8009,14.4259996414,1
8010,14.4259996414,1
8026,14.7170000076,1
8027,16.3869991302,1
8028,16.3869991302,1
8029,16.3869991302,1
8030,13.404999733,1
8047,14.7170000076,1
8048,16.3869991302,1
8049,16.3869991302,1
8050,16.3869991302,1
8051,13.404999733,1
8068,14.7170000076,1
8069,16.3869991302,1
8070,16.3869991302,1
8071,16.3869991302,1
8072,13.404999733,1
8073,12.6979999542,1
8090,14.2600002289,1
8091,14.2600002289,1
8092,14.2600002289,1
8093,12.6979999542,1
8094,12.6979999542,1
8383,15.4060001373,1
8384,15.4060001373,1
8385,15.4060001373,1
8404,15.4060001373,1
8405,15.4060001373,1
8406,15.4060001373,1
8408,13.609000206,1
8409,14.4099998474,1
8410,14.4099998474,1
8411,14.4099998474,1
8425,15.4060001373,1
8426,15.4060001373,1
8427,15.4060001373,1
8430,14.4099998474,1
8431,14.4099998474,1
8432,14.4099998474,1
8446,13.9870004654,1
8447,13.9870004654,1
8448,13.9870004654,1
8451,14.4099998474,1
8452,14.4099998474,1
8453,14.4099998474,1
9019,24.5400009155,1
9020,28.077999115,1
9021,28.9720001221,1
9022,14.6239995956,1
9023,14.6239995956,1
9024,14.6239995956,1
9040,24.5400009155,1
9041,28.077999115,1
9042,28.9720001221,1
9043,14.6239995956,1
9044,14.6239995956,1
9045,14.6239995956,1
9062,14.0389995575,1
9063,14.486000061,1
9064,14.6239995956,1
9065,14.6239995956,1
9066,14.6239995956,1
9067,13.5710000992,1
9082,12.1949996948,1
9083,13.3950004578,1
9084,13.3950004578,1
9085,13.3950004578,1
9086,13.5710000992,1
9087,13.5710000992,1
9088,13.5710000992,1
9481,24.5400009155,1
9482,28.077999115,1
9483,28.9720001221,1
9484,14.6239995956,1
9485,14.6239995956,1
9486,14.6239995956,1
9502,26.7919998169,1
9503,29.0879993439,1
9504,30.327999115,1
9505,15.2349996567,1
9506,15.2349996567,1
9507,15.2349996567,1
9524,14.5439996719,1
9525,15.1639995575,1
9526,15.2349996567,1
9527,15.2349996567,1
9528,15.2349996567,1
9529,13.5710000992,1
9544,13.3959999084,1
9545,14.5439996719,1
9546,15.1639995575,1
9547,15.2349996567,1
9548,15.2349996567,1
9549,15.2349996567,1
9550,13.5710000992,1
9569,12.1800003052,1
9570,12.1800003052,1
9571,12.1800003052,1
9943,24.5400009155,1
9944,28.077999115,1
9945,28.9720001221,1
9946,14.6239995956,1
9947,14.6239995956,1
9948,14.6239995956,1
9964,26.7919998169,1
9965,29.0879993439,1
9966,30.327999115,1
9967,15.2349996567,1
9968,15.2349996567,1
9969,15.2349996567,1
9986,14.5439996719,1
9987,15.1639995575,1
9988,15.2349996567,1
9989,15.2349996567,1
9990,15.2349996567,1
9991,13.5710000992,1
10006,13.3959999084,1
10007,14.5439996719,1
10008,15.1639995575,1
10009,15.2349996567,1
10010,15.2349996567,1
10011,15.2349996567,1
10012,13.5710000992,1
10031,12.1800003052,1
10032,12.1800003052,1
10033,12.1800003052,1
10406,27.5060005188,1
10407,27.5060005188,1
10426,26.7919998169,1
10427,29.0879993439,1
10428,30.327999115,1
10429,15.2349996567,1
10430,15.2349996567,1
10431,15.2349996567,1
10448,14.5439996719,1
10449,15.1639995575,1
10450,15.2349996567,1
10451,15.2349996567,1
10452,15.2349996567,1
10468,13.3959999084,1
10469,14.5439996719,1
10470,15.1639995575,1
10471,15.2349996567,1
10472,15.2349996567,1
10473,15.2349996567,1
10493,12.1800003052,1
10494,12.1800003052,1
