,scores,cavity
698,15.9409999847,1
722,15.9409999847,1
723,15.9409999847,1
724,15.9409999847,1
748,15.9409999847,1
749,15.9409999847,1
750,15.9409999847,1
1010,15.9409999847,1
1034,15.9409999847,1
1035,15.9409999847,1
1036,15.9409999847,1
1060,15.9409999847,1
1061,15.9409999847,1
1062,15.9409999847,1
1322,15.9409999847,1
1346,15.9409999847,1
1347,15.9409999847,1
1348,15.9409999847,1
1372,15.9409999847,1
1373,15.9409999847,1
1374,15.9409999847,1
2654,14.8280000687,1
2655,14.8280000687,1
2656,14.8280000687,1
2680,16.2380008698,1
2681,16.2380008698,1
2682,16.2380008698,1
2706,16.2380008698,1
2707,16.2380008698,1
2708,16.2380008698,1
2732,16.2380008698,1
2733,16.2380008698,1
2734,16.2380008698,1
2966,14.8280000687,1
2967,14.8280000687,1
2992,16.2380008698,1
2993,16.2380008698,1
2994,16.2380008698,1
3018,16.2380008698,1
3019,16.2380008698,1
3020,16.2380008698,1
3044,16.2380008698,1
3045,16.2380008698,1
3046,16.2380008698,1
3278,14.8280000687,1
3279,14.8280000687,1
3304,16.2380008698,1
3305,16.2380008698,1
3306,16.2380008698,1
3330,16.2380008698,1
3331,16.2380008698,1
3332,16.2380008698,1
3356,16.2380008698,1
3357,16.2380008698,1
3358,16.2380008698,1
6390,14.140999794,1
6391,14.140999794,1
6392,14.140999794,1
6431,14.8800001144,1
6432,14.8800001144,1
6433,14.8800001144,1
6434,14.140999794,1
6472,14.140999794,1
6473,14.8800001144,1
6474,14.8800001144,1
6475,14.8800001144,1
6476,14.140999794,1
6514,14.140999794,1
6515,14.8800001144,1
7398,14.8800001144,1
7399,14.8800001144,1
7400,14.8800001144,1
7440,14.8800001144,1
7441,14.8800001144,1
7442,14.8800001144,1
7480,14.8940000534,1
7481,14.8940000534,1
7482,14.8940000534,1
7483,14.8800001144,1
7484,14.8800001144,1
7522,14.8940000534,1
7523,14.8940000534,1
7524,14.8940000534,1
7525,14.8800001144,1
7562,14.906999588,1
7563,15.015999794,1
7564,15.015999794,1
7565,15.015999794,1
7604,14.906999588,1
7605,15.015999794,1
7646,14.906999588,1
7647,15.015999794,1
7689,14.4060001373,1
7731,14.4060001373,1
7732,14.4060001373,1
7733,14.4060001373,1
8447,15.015999794,1
8448,15.015999794,1
8449,15.015999794,1
8450,14.8800001144,1
8487,14.6359996796,1
8488,14.6359996796,1
8489,15.015999794,1
8490,15.015999794,1
8491,15.015999794,1
8492,14.8800001144,1
8529,14.6359996796,1
8531,15.015999794,1
8532,15.015999794,1
8533,15.015999794,1
8534,14.8800001144,1
8569,14.404999733,1
8570,14.404999733,1
8571,14.8800001144,1
8573,14.8940000534,1
8574,14.8940000534,1
8575,14.8800001144,1
8611,14.404999733,1
8612,14.906999588,1
8613,15.015999794,1
8614,15.015999794,1
8615,15.015999794,1
8652,14.404999733,1
8653,14.404999733,1
8654,14.906999588,1
8655,15.015999794,1
8694,14.404999733,1
8695,14.579000473,1
8696,14.906999588,1
8697,15.015999794,1
8736,14.404999733,1
8737,15.015999794,1
8738,15.015999794,1
8739,15.015999794,1
8778,14.2139997482,1
8779,15.015999794,1
8780,15.015999794,1
8781,15.015999794,1
8782,14.7910003662,1
8783,14.4060001373,1
8821,15.015999794,1
8822,15.015999794,1
8823,15.015999794,1
9413,14.8800001144,1
