,scores,cavity
1014,16.5410003662,1
1015,16.5410003662,1
1016,16.5410003662,1
1039,17.0979995728,1
1040,17.0979995728,1
1041,17.0979995728,1
1064,17.0979995728,1
1065,17.0979995728,1
1066,17.0979995728,1
1089,17.0979995728,1
1090,17.0979995728,1
1091,17.0979995728,1
1366,16.7140007019,1
1367,17.6660003662,1
1368,17.6660003662,1
1369,17.6660003662,1
1370,16.2210006714,1
1391,16.7140007019,1
1392,17.6660003662,1
1393,17.6660003662,1
1394,17.6660003662,1
1395,16.2210006714,1
1416,16.7140007019,1
1417,17.6660003662,1
1418,17.6660003662,1
1419,17.6660003662,1
1420,16.2210006714,1
1438,15.9759998322,1
1439,18.5580005646,1
1440,18.5580005646,1
1441,18.5580005646,1
1442,18.1219997406,1
1443,15.7130002975,1
1463,17.6019992828,1
1464,20.5970001221,1
1465,20.5970001221,1
1466,20.5970001221,1
1467,20.4769992828,1
1468,18.2000007629,1
1488,17.6019992828,1
1489,20.5970001221,1
1490,20.5970001221,1
1491,20.5970001221,1
1492,20.4769992828,1
1493,18.2000007629,1
1513,17.6019992828,1
1514,20.5970001221,1
1515,20.5970001221,1
1516,20.5970001221,1
1517,20.4769992828,1
1518,18.2000007629,1
1539,18.986000061,1
1540,19.1840000153,1
1541,19.1840000153,1
1542,19.1840000153,1
1543,16.2569999695,1
1791,16.7140007019,1
1792,17.6660003662,1
1793,17.6660003662,1
1794,17.6660003662,1
1795,16.2210006714,1
1816,16.7140007019,1
1817,20.2229995728,1
1818,20.2229995728,1
1819,20.2229995728,1
1820,18.5499992371,1
1821,18.5499992371,1
1841,16.7140007019,1
1842,20.2229995728,1
1843,20.2229995728,1
1844,20.2229995728,1
1845,18.5499992371,1
1846,18.5499992371,1
1847,15.7030000687,1
1863,15.9759998322,1
1864,18.5580005646,1
1865,19.0340003967,1
1866,19.2420005798,1
1867,20.2229995728,1
1868,20.2229995728,1
1869,20.2229995728,1
1870,18.5499992371,1
1871,18.5499992371,1
1872,15.7030000687,1
1888,17.6019992828,1
1889,20.5970001221,1
1890,22.9349994659,1
1891,23.311000824,1
1892,23.311000824,1
1893,23.311000824,1
1894,16.6480007172,1
1895,16.6299991608,1
1896,16.5750007629,1
1897,15.7030000687,1
1913,17.6019992828,1
1914,20.5970001221,1
1915,22.9349994659,1
1916,23.311000824,1
1917,23.311000824,1
1918,23.311000824,1
1919,16.6480007172,1
1920,16.6299991608,1
1921,16.5750007629,1
1938,17.6019992828,1
1939,20.5970001221,1
1940,22.9349994659,1
1941,23.311000824,1
1942,23.311000824,1
1943,23.311000824,1
1944,16.6480007172,1
1945,15.6979999542,1
1964,18.986000061,1
1965,21.1420001984,1
1966,21.1420001984,1
1967,21.1420001984,1
1968,21.0200004578,1
1969,16.2709999084,1
2216,16.7140007019,1
2217,17.6660003662,1
2218,17.6660003662,1
2219,17.6660003662,1
2220,16.2210006714,1
2241,16.7140007019,1
2242,20.2229995728,1
2243,20.2229995728,1
2244,20.2229995728,1
2245,18.5499992371,1
2246,18.5499992371,1
2266,16.7140007019,1
2267,20.2229995728,1
2268,20.2229995728,1
2269,20.2229995728,1
2270,18.5499992371,1
2271,18.5499992371,1
2272,15.7030000687,1
2288,15.9759998322,1
2289,18.5580005646,1
2290,19.0340003967,1
2291,19.2420005798,1
2292,20.2229995728,1
2293,20.2229995728,1
2294,20.2229995728,1
2295,18.5499992371,1
2296,18.5499992371,1
2297,15.7030000687,1
2313,17.6019992828,1
2314,20.5970001221,1
2315,22.9349994659,1
2316,23.311000824,1
2317,23.311000824,1
2318,23.311000824,1
2319,18.8549995422,1
2320,16.6299991608,1
2321,16.5750007629,1
2322,15.7030000687,1
2338,17.6019992828,1
2339,20.5970001221,1
2340,22.9349994659,1
2341,23.311000824,1
2342,23.311000824,1
2343,23.311000824,1
2344,18.8549995422,1
2345,17.7080001831,1
2346,16.5750007629,1
2363,17.6019992828,1
2364,20.5970001221,1
2365,22.9349994659,1
2366,23.311000824,1
2367,23.311000824,1
2368,23.311000824,1
2369,18.8549995422,1
2370,17.7080001831,1
2371,16.3810005188,1
2389,18.986000061,1
2390,21.1420001984,1
2391,21.1420001984,1
2392,21.1420001984,1
2393,21.0200004578,1
2394,18.3799991608,1
2395,17.7080001831,1
2641,16.3630008698,1
2642,16.3630008698,1
2643,16.3630008698,1
2644,15.5249996185,1
2666,16.3630008698,1
2667,20.2229995728,1
2668,20.2229995728,1
2669,20.2229995728,1
2670,18.5499992371,1
2671,18.5499992371,1
2691,16.3630008698,1
2692,20.2229995728,1
2693,20.2229995728,1
2694,20.2229995728,1
2695,18.5499992371,1
2696,18.5499992371,1
2697,15.7030000687,1
2714,16.8589992523,1
2715,19.0340003967,1
2716,19.2420005798,1
2717,20.2229995728,1
2718,20.2229995728,1
2719,20.2229995728,1
2720,18.5499992371,1
2721,18.5499992371,1
2722,15.7030000687,1
2739,20.5970001221,1
2740,22.9349994659,1
2741,23.311000824,1
2742,23.311000824,1
2743,23.311000824,1
2744,18.8549995422,1
2745,16.6299991608,1
2746,16.5750007629,1
2747,15.7030000687,1
2764,20.5970001221,1
2765,22.9349994659,1
2766,23.311000824,1
2767,23.311000824,1
2768,23.311000824,1
2769,18.8549995422,1
2770,17.7080001831,1
2771,16.5750007629,1
2789,20.5970001221,1
2790,22.9349994659,1
2791,23.311000824,1
2792,23.311000824,1
2793,23.311000824,1
2794,18.8549995422,1
2795,17.7080001831,1
2796,16.3810005188,1
2814,18.8509998322,1
2815,21.1420001984,1
2816,21.1420001984,1
2817,21.1420001984,1
2818,21.0200004578,1
2819,18.3799991608,1
2820,17.7080001831,1
3118,16.3869991302,1
3119,16.3869991302,1
3120,16.3869991302,1
3140,17.1310005188,1
3141,17.9729995728,1
3142,17.9729995728,1
3143,17.9729995728,1
3144,16.9020004272,1
3145,16.3869991302,1
3146,15.765999794,1
3165,20.545999527,1
3166,21.0900001526,1
3167,21.0900001526,1
3168,21.0900001526,1
3169,18.8549995422,1
3170,16.3869991302,1
3171,16.3810005188,1
3190,20.545999527,1
3191,21.0900001526,1
3192,21.0900001526,1
3193,21.0900001526,1
3194,18.8549995422,1
3195,17.7080001831,1
3196,16.3810005188,1
3214,15.7829999924,1
3215,20.545999527,1
3216,21.0900001526,1
3217,21.0900001526,1
3218,21.0900001526,1
3219,18.8549995422,1
3220,17.7080001831,1
3221,16.3810005188,1
3239,15.7829999924,1
3240,19.4510002136,1
3241,19.9340000153,1
3242,19.9340000153,1
3243,19.9340000153,1
3244,18.3799991608,1
3245,17.7080001831,1
3593,15.6079998016,1
3594,15.6079998016,1
3617,17.0310001373,1
3618,17.0310001373,1
3619,17.0310001373,1
3642,17.0310001373,1
3643,17.0310001373,1
3644,17.0310001373,1
3667,17.0310001373,1
3668,17.0310001373,1
3669,17.0310001373,1
5183,18.8920001984,1
5184,18.8920001984,1
5185,18.8920001984,1
5208,18.8920001984,1
5209,18.8920001984,1
5210,18.8920001984,1
5233,18.8920001984,1
5234,18.8920001984,1
5235,18.8920001984,1
5582,20.0349998474,1
5583,20.0349998474,1
5584,20.0349998474,1
5585,19.2590007782,1
5607,23.3409996033,1
5608,23.3409996033,1
5609,23.3409996033,1
5610,19.8500003815,1
5632,23.3409996033,1
5633,23.3409996033,1
5634,23.3409996033,1
5635,19.8500003815,1
5636,17.6289997101,1
5657,23.3409996033,1
5658,23.3409996033,1
5659,23.3409996033,1
5660,19.8500003815,1
5661,17.6289997101,1
5682,17.9400005341,1
5683,17.9400005341,1
5684,17.9400005341,1
5685,17.6289997101,1
5686,17.6289997101,1
5707,16.9920005798,1
5708,16.9920005798,1
5709,16.9920005798,1
5710,16.982000351,1
5711,16.982000351,1
5732,16.9920005798,1
5733,16.9920005798,1
5734,16.9920005798,1
6007,20.0349998474,1
6008,20.0349998474,1
6009,20.0349998474,1
6010,19.2590007782,1
6032,23.3409996033,1
6033,23.3409996033,1
6034,23.3409996033,1
6035,19.8500003815,1
6036,15.4029998779,1
6057,23.3409996033,1
6058,23.3409996033,1
6059,23.3409996033,1
6060,19.8500003815,1
6061,17.6289997101,1
6082,23.3409996033,1
6083,23.3409996033,1
6084,23.3409996033,1
6085,19.8500003815,1
6086,17.6289997101,1
6107,17.9400005341,1
6108,17.9400005341,1
6109,17.9400005341,1
6110,17.6289997101,1
6111,17.6289997101,1
6132,16.9920005798,1
6133,16.9920005798,1
6134,16.9920005798,1
