,scores,cavity
1073,10.154999733,2
1074,14.6949996948,2
1075,14.6949996948,2
1076,14.6949996948,2
1097,10.154999733,2
1098,14.6949996948,2
1099,14.6949996948,2
1100,14.6949996948,2
1121,10.154999733,2
1122,14.6949996948,2
1123,14.6949996948,2
1124,14.6949996948,2
1481,13.1000003815,2
1482,14.7419996262,2
1483,14.7419996262,2
1484,14.7419996262,2
1485,12.9449996948,2
1505,13.1000003815,2
1506,14.7419996262,2
1507,14.7419996262,2
1508,14.7419996262,2
1509,12.9449996948,2
1529,13.1000003815,2
1530,14.7419996262,2
1531,14.7419996262,2
1532,14.7419996262,2
1533,12.9449996948,2
1889,15.5920000076,2
1890,15.5920000076,2
1891,15.5920000076,2
1892,14.7419996262,2
1893,12.9449996948,2
1912,11.7539997101,2
1913,15.5920000076,2
1914,15.5920000076,2
1915,15.5920000076,2
1916,15.4619998932,2
1917,12.9449996948,2
1936,11.7539997101,2
1937,15.5920000076,2
1938,15.5920000076,2
1939,15.5920000076,2
1940,15.4619998932,2
1941,12.9449996948,2
1960,11.7539997101,2
1961,11.7539997101,2
1962,15.4619998932,2
1963,15.4619998932,2
1964,15.4619998932,2
1986,12.1490001678,2
1987,12.1490001678,2
1988,12.1490001678,2
2297,15.5920000076,2
2298,15.5920000076,2
2299,15.5920000076,2
2300,14.7419996262,2
2301,12.9449996948,2
2320,11.7539997101,2
2321,15.8819999695,2
2322,15.8819999695,2
2323,15.8819999695,2
2324,15.4619998932,2
2325,12.9449996948,2
2344,11.7539997101,2
2345,15.8819999695,2
2346,15.8819999695,2
2347,15.8819999695,2
2348,15.4619998932,2
2349,12.9449996948,2
2368,11.7539997101,2
2369,15.8819999695,2
2370,15.8819999695,2
2371,15.8819999695,2
2372,15.4619998932,2
2394,12.1490001678,2
2395,12.1490001678,2
2396,12.1490001678,2
2705,15.5920000076,2
2706,15.5920000076,2
2707,15.5920000076,2
2708,14.0520000458,2
2729,15.8819999695,2
2730,15.8819999695,2
2731,15.8819999695,2
2732,15.4619998932,2
2753,15.8819999695,2
2754,15.8819999695,2
2755,15.8819999695,2
2756,15.4619998932,2
2757,11.2390003204,2
2776,11.7539997101,2
2777,15.8819999695,2
2778,15.8819999695,2
2779,15.8819999695,2
2780,15.4619998932,2
2802,12.1490001678,2
2803,12.1490001678,2
2804,12.1490001678,2
3007,16.3579998016,2
3008,16.3579998016,2
3031,16.3579998016,2
3032,16.3579998016,2
3055,16.3579998016,2
3056,16.3579998016,2
3138,15.8819999695,2
3139,15.8819999695,2
3140,12.6400003433,2
3161,15.8819999695,2
3162,15.8819999695,2
3163,15.8819999695,2
3164,12.6400003433,2
3185,15.8819999695,2
3186,15.8819999695,2
3187,15.8819999695,2
3188,12.6400003433,2
3316,18.4459991455,2
3317,18.4459991455,2
3318,18.4459991455,2
3338,16.4309997559,2
3339,16.4309997559,2
3340,18.4459991455,2
3341,18.4459991455,2
3342,18.4459991455,2
3362,16.4309997559,2
3363,16.4309997559,2
3364,18.4459991455,2
3365,18.4459991455,2
3366,18.4459991455,2
3386,16.4309997559,2
3387,16.4309997559,2
3388,16.4309997559,2
3410,14.720000267,2
3411,14.720000267,2
3463,16.3579998016,2
3464,16.3579998016,2
3572,12.625,2
3594,12.625,2
3595,12.625,2
3596,12.625,2
3724,18.4459991455,2
3725,18.4459991455,2
3726,18.4459991455,2
3746,16.4309997559,2
3747,16.4309997559,2
3748,18.4459991455,2
3749,18.4459991455,2
3750,18.4459991455,2
3770,16.4309997559,2
3771,16.4309997559,2
3772,18.4459991455,2
3773,18.4459991455,2
3774,18.4459991455,2
3794,16.4309997559,2
3795,16.4309997559,2
3796,16.4309997559,2
3818,14.720000267,2
3819,14.720000267,2
3871,16.3579998016,2
4132,18.4459991455,2
4133,18.4459991455,2
4134,18.4459991455,2
4154,16.4309997559,2
4155,16.4309997559,2
4156,18.4459991455,2
4157,18.4459991455,2
4158,18.4459991455,2
4178,16.4309997559,2
4179,16.4309997559,2
4180,18.4459991455,2
4181,18.4459991455,2
4182,18.4459991455,2
4202,16.4309997559,2
4203,16.4309997559,2
4204,16.4309997559,2
4226,14.720000267,2
4227,14.720000267,2
4562,12.7290000916,2
4563,14.6649999619,2
4564,14.6649999619,2
4586,13.8120002747,2
4587,14.6649999619,2
4610,13.8120002747,2
4611,14.6649999619,2
4634,13.8120002747,2
4635,13.8120002747,2
7238,9.52900028229,2
7266,9.52900028229,2
7267,9.52900028229,2
7268,9.52900028229,2
7269,9.21399974823,2
7294,9.52900028229,2
7295,9.52900028229,2
7296,9.52900028229,2
7297,9.21399974823,2
7324,9.30099964142,2
7325,10.2930002213,2
7326,10.4670000076,2
7327,10.4670000076,2
7328,10.4670000076,2
7352,10.4499998093,2
7353,10.9829998016,2
7354,12.3859996796,2
7355,12.3859996796,2
7356,12.3859996796,2
7357,9.38000011444,2
7379,8.78999996185,2
7380,11.5190000534,2
7381,11.5190000534,2
7382,12.3859996796,2
7383,12.3859996796,2
7384,12.3859996796,2
7385,9.38000011444,2
7386,9.20199966431,2
7407,8.78999996185,2
7408,11.5190000534,2
7409,11.5190000534,2
7410,12.3859996796,2
7411,12.3859996796,2
7412,12.3859996796,2
7413,9.38000011444,2
7414,9.21700000763,2
7435,8.78999996185,2
7436,11.5190000534,2
7437,11.5190000534,2
7438,11.5190000534,2
7439,10.7749996185,2
7440,10.1800003052,2
7441,9.92800045013,2
7442,9.21700000763,2
7464,10.220000267,2
7470,9.21700000763,2
7831,9.16199970245,2
7850,8.88700008392,2
7851,8.88700008392,2
7858,12.3710002899,2
7859,10.6180000305,2
7860,10.5439996719,2
7861,10.1350002289,2
7862,9.96599960327,2
7878,10.2159996033,2
7879,10.2159996033,2
7880,10.7709999084,2
7886,12.6479997635,2
7887,10.829000473,2
7888,11.281999588,2
7889,11.281999588,2
7890,11.281999588,2
7891,9.77099990845,2
7906,10.2159996033,2
7907,10.2159996033,2
7908,10.7709999084,2
