,scores,cavity
1388,16.0939998627,9
1389,16.0939998627,9
1390,16.0939998627,9
1409,16.0939998627,9
1410,16.0939998627,9
1411,16.0939998627,9
1430,16.0939998627,9
1431,16.0939998627,9
1432,16.0939998627,9
1948,15.359000206,9
1949,15.359000206,9
1950,15.359000206,9
1969,15.359000206,9
1970,15.359000206,9
1971,15.359000206,9
1990,16.4950008392,9
1991,16.4950008392,9
1992,16.4950008392,9
2011,16.4950008392,9
2012,16.4950008392,9
2013,16.4950008392,9
2018,16.0939998627,9
2019,16.0939998627,9
2020,16.0939998627,9
2032,16.4950008392,9
2033,16.4950008392,9
2034,16.4950008392,9
2039,16.0939998627,9
2040,16.9260005951,9
2041,16.9260005951,9
2042,16.9260005951,9
2060,16.0939998627,9
2061,16.9260005951,9
2062,16.9260005951,9
2063,16.9260005951,9
2082,16.9260005951,9
2083,16.9260005951,9
2084,16.9260005951,9
2578,15.359000206,9
2579,15.359000206,9
2580,15.359000206,9
2599,15.359000206,9
2600,15.359000206,9
2601,15.359000206,9
2620,16.4950008392,9
2621,16.4950008392,9
2622,16.4950008392,9
2640,17.9580001831,9
2641,17.9580001831,9
2642,17.9580001831,9
2643,16.716999054,9
2648,16.0939998627,9
2649,16.0939998627,9
2650,16.0939998627,9
2661,17.9580001831,9
2662,17.9580001831,9
2663,17.9580001831,9
2664,16.8759994507,9
2669,16.0939998627,9
2670,18.1359996796,9
2671,18.1359996796,9
2672,18.1359996796,9
2673,16.3439998627,9
2682,17.9580001831,9
2683,17.9580001831,9
2684,17.9580001831,9
2685,16.8759994507,9
2690,16.0939998627,9
2691,18.1359996796,9
2692,18.1359996796,9
2693,18.1359996796,9
2694,16.3439998627,9
2705,16.8759994507,9
2706,16.8759994507,9
2712,18.1359996796,9
2713,18.1359996796,9
2714,18.1359996796,9
3208,15.359000206,9
3209,15.359000206,9
3210,15.359000206,9
3229,15.359000206,9
3230,15.359000206,9
3231,15.359000206,9
3250,16.4950008392,9
3251,16.4950008392,9
3252,16.4950008392,9
3270,17.9580001831,9
3271,17.9580001831,9
3272,17.9580001831,9
3273,16.716999054,9
3291,17.9580001831,9
3292,17.9580001831,9
3293,17.9580001831,9
3294,17.6289997101,9
3300,18.1359996796,9
3301,18.1359996796,9
3302,18.1359996796,9
3303,16.3439998627,9
3312,17.9580001831,9
3313,17.9580001831,9
3314,17.9580001831,9
3315,17.6289997101,9
3321,18.1359996796,9
3322,18.1359996796,9
3323,18.1359996796,9
3324,16.3439998627,9
3334,17.6289997101,9
3335,17.6289997101,9
3336,17.6289997101,9
3342,18.1359996796,9
3343,18.1359996796,9
3344,18.1359996796,9
3900,17.9580001831,9
3901,17.9580001831,9
3902,17.9580001831,9
3903,16.716999054,9
3921,17.9580001831,9
3922,17.9580001831,9
3923,17.9580001831,9
3924,17.6289997101,9
3930,18.1359996796,9
3931,18.1359996796,9
3932,18.1359996796,9
3933,16.3439998627,9
3942,17.9580001831,9
3943,17.9580001831,9
3944,17.9580001831,9
3945,17.6289997101,9
3951,18.1359996796,9
3952,18.1359996796,9
3953,18.1359996796,9
3954,16.3439998627,9
3964,17.6289997101,9
3965,17.6289997101,9
3966,17.6289997101,9
