,scores,cavity
1388,16.0939998627,1
1389,16.0939998627,1
1390,16.0939998627,1
1409,16.0939998627,1
1410,16.0939998627,1
1411,16.0939998627,1
1430,16.0939998627,1
1431,16.0939998627,1
1432,16.0939998627,1
1948,15.359000206,1
1949,15.359000206,1
1950,15.359000206,1
1969,15.359000206,1
1970,15.359000206,1
1971,15.359000206,1
1990,16.4950008392,1
1991,16.4950008392,1
1992,16.4950008392,1
2011,16.4950008392,1
2012,16.4950008392,1
2013,16.4950008392,1
2018,16.0939998627,1
2019,16.0939998627,1
2020,16.0939998627,1
2032,16.4950008392,1
2033,16.4950008392,1
2034,16.4950008392,1
2039,16.0939998627,1
2040,16.9260005951,1
2041,16.9260005951,1
2042,16.9260005951,1
2060,16.0939998627,1
2061,16.9260005951,1
2062,16.9260005951,1
2063,16.9260005951,1
2082,16.9260005951,1
2083,16.9260005951,1
2084,16.9260005951,1
2578,15.359000206,1
2579,15.359000206,1
2580,15.359000206,1
2599,15.359000206,1
2600,15.359000206,1
2601,15.359000206,1
2620,16.4950008392,1
2621,16.4950008392,1
2622,16.4950008392,1
2640,17.9580001831,1
2641,17.9580001831,1
2642,17.9580001831,1
2643,16.716999054,1
2648,16.0939998627,1
2649,16.0939998627,1
2650,16.0939998627,1
2661,17.9580001831,1
2662,17.9580001831,1
2663,17.9580001831,1
2664,16.8759994507,1
2669,16.0939998627,1
2670,18.1359996796,1
2671,18.1359996796,1
2672,18.1359996796,1
2673,16.3439998627,1
2682,17.9580001831,1
2683,17.9580001831,1
2684,17.9580001831,1
2685,16.8759994507,1
2690,16.0939998627,1
2691,18.1359996796,1
2692,18.1359996796,1
2693,18.1359996796,1
2694,16.3439998627,1
2705,16.8759994507,1
2706,16.8759994507,1
2712,18.1359996796,1
2713,18.1359996796,1
2714,18.1359996796,1
3208,15.359000206,1
3209,15.359000206,1
3210,15.359000206,1
3229,15.359000206,1
3230,15.359000206,1
3231,15.359000206,1
3250,16.4950008392,1
3251,16.4950008392,1
3252,16.4950008392,1
3270,17.9580001831,1
3271,17.9580001831,1
3272,17.9580001831,1
3273,16.716999054,1
3291,17.9580001831,1
3292,17.9580001831,1
3293,17.9580001831,1
3294,17.6289997101,1
3300,18.1359996796,1
3301,18.1359996796,1
3302,18.1359996796,1
3303,16.3439998627,1
3312,17.9580001831,1
3313,17.9580001831,1
3314,17.9580001831,1
3315,17.6289997101,1
3321,18.1359996796,1
3322,18.1359996796,1
3323,18.1359996796,1
3324,16.3439998627,1
3334,17.6289997101,1
3335,17.6289997101,1
3336,17.6289997101,1
3342,18.1359996796,1
3343,18.1359996796,1
3344,18.1359996796,1
3900,17.9580001831,1
3901,17.9580001831,1
3902,17.9580001831,1
3903,16.716999054,1
3921,17.9580001831,1
3922,17.9580001831,1
3923,17.9580001831,1
3924,17.6289997101,1
3930,18.1359996796,1
3931,18.1359996796,1
3932,18.1359996796,1
3933,16.3439998627,1
3942,17.9580001831,1
3943,17.9580001831,1
3944,17.9580001831,1
3945,17.6289997101,1
3951,18.1359996796,1
3952,18.1359996796,1
3953,18.1359996796,1
3954,16.3439998627,1
3964,17.6289997101,1
3965,17.6289997101,1
3966,17.6289997101,1
3972,18.1359996796,1
3973,18.1359996796,1
3974,18.1359996796,1
3975,16.3439998627,1
4530,16.1770000458,1
4531,16.1770000458,1
4532,16.1770000458,1
4551,16.1770000458,1
4552,17.6289997101,1
4553,17.6289997101,1
4554,17.6289997101,1
4572,16.1770000458,1
4573,17.6289997101,1
4574,17.6289997101,1
4575,17.6289997101,1
4594,17.6289997101,1
4595,17.6289997101,1
4596,17.6289997101,1
4931,17.5709991455,1
4951,17.5709991455,1
4952,17.5709991455,1
4953,14.623000145,1
4971,17.5709991455,1
4972,17.5709991455,1
4973,17.5709991455,1
4974,14.623000145,1
4993,14.623000145,1
4994,14.623000145,1
4995,14.623000145,1
5182,15.0109996796,1
5183,15.0109996796,1
5184,15.0109996796,1
5203,15.0109996796,1
5204,15.0109996796,1
5205,15.0109996796,1
5224,15.0109996796,1
5225,15.0109996796,1
5226,15.0109996796,1
5424,18.7140007019,1
5445,19.1919994354,1
5446,19.1919994354,1
5466,19.1919994354,1
5467,19.1919994354,1
5487,19.1919994354,1
5488,19.1919994354,1
5489,19.1919994354,1
5508,18.267999649,1
5509,18.267999649,1
5561,17.5709991455,1
5562,15.6800003052,1
5581,17.5709991455,1
5582,17.5709991455,1
5583,15.6800003052,1
5601,17.5709991455,1
5602,17.5709991455,1
5603,17.5709991455,1
5604,15.6800003052,1
5624,14.623000145,1
5625,14.623000145,1
6054,20.4619998932,1
6055,20.4619998932,1
6056,20.4619998932,1
6074,17.107000351,1
6075,20.4619998932,1
6076,20.4619998932,1
6077,20.4619998932,1
6095,17.107000351,1
6096,20.4619998932,1
6097,20.4619998932,1
6098,20.4619998932,1
6116,17.107000351,1
6117,19.1919994354,1
6118,19.1919994354,1
6119,19.1919994354,1
6138,18.267999649,1
6139,18.267999649,1
6189,17.5709991455,1
6190,17.5709991455,1
6191,17.5709991455,1
6192,15.6800003052,1
6210,17.5709991455,1
6211,17.5709991455,1
6212,17.5709991455,1
6213,15.6800003052,1
6231,17.5709991455,1
6232,17.5709991455,1
6233,17.5709991455,1
6234,15.6800003052,1
6254,14.623000145,1
6255,14.623000145,1
6663,16.8190002441,1
6684,20.4619998932,1
6685,20.4619998932,1
6686,20.4619998932,1
6704,17.107000351,1
6705,20.4619998932,1
6706,20.4619998932,1
6707,20.4619998932,1
6725,17.107000351,1
6726,20.4619998932,1
6727,20.4619998932,1
6728,20.4619998932,1
6746,17.107000351,1
6747,19.1919994354,1
6748,19.1919994354,1
6749,19.1919994354,1
6750,18.8789997101,1
6768,18.267999649,1
6769,18.267999649,1
6770,18.267999649,1
6822,15.6800003052,1
6843,15.6800003052,1
6864,15.6800003052,1
7314,20.4619998932,1
7315,20.4619998932,1
7316,20.4619998932,1
7317,19.0189990997,1
7334,17.107000351,1
7335,20.4619998932,1
7336,20.4619998932,1
7337,20.4619998932,1
7338,19.0189990997,1
7355,17.107000351,1
7356,20.4619998932,1
7357,20.4619998932,1
7358,20.4619998932,1
7359,19.0189990997,1
7376,17.107000351,1
7377,17.107000351,1
7378,17.107000351,1
11044,13.3149995804,1
11045,13.3149995804,1
11046,13.3149995804,1
11073,13.3149995804,1
11074,13.3149995804,1
11075,13.3149995804,1
11102,13.3149995804,1
11103,13.3149995804,1
11104,13.3149995804,1
11999,13.3149995804,1
12000,13.3149995804,1
12001,13.3149995804,1
12026,13.0799999237,1
12027,13.0799999237,1
12028,13.9949998856,1
12029,14.170999527,1
12030,14.170999527,1
12031,14.170999527,1
12032,13.8199996948,1
12033,13.6000003815,1
12034,13.4309997559,1
12055,13.0799999237,1
12056,13.0799999237,1
12057,13.9949998856,1
12058,14.170999527,1
12059,14.170999527,1
12060,14.170999527,1
12061,13.8199996948,1
12062,13.6000003815,1
12063,13.4309997559,1
12084,13.0799999237,1
12085,13.0799999237,1
12086,13.9949998856,1
12087,14.170999527,1
12088,14.170999527,1
12089,14.170999527,1
12090,13.8199996948,1
12091,13.6669998169,1
12092,13.4309997559,1
12115,13.4350004196,1
12116,13.4350004196,1
12117,14.3199996948,1
12118,14.3199996948,1
12119,14.3199996948,1
12120,13.6669998169,1
12146,14.3199996948,1
12147,14.3199996948,1
12148,14.3199996948,1
12149,13.6669998169,1
12175,14.3199996948,1
12176,14.3199996948,1
12177,14.3199996948,1
12178,13.4079999924,1
12976,13.8509998322,1
12977,13.8509998322,1
12978,13.8509998322,1
12983,13.142999649,1
12984,13.5290002823,1
12985,13.5290002823,1
12986,13.5290002823,1
12987,13.3149995804,1
12988,12.9029998779,1
13005,13.8509998322,1
13006,13.8509998322,1
13007,13.8509998322,1
13012,14.0909996033,1
13013,14.0909996033,1
13014,14.0909996033,1
13015,14.170999527,1
13016,14.170999527,1
13017,14.170999527,1
13018,13.8199996948,1
13019,13.6000003815,1
13020,13.4309997559,1
13034,13.8509998322,1
13035,13.8509998322,1
13036,13.8509998322,1
13041,14.0909996033,1
13042,14.0909996033,1
13043,14.0909996033,1
13044,14.4639997482,1
13045,14.4639997482,1
13046,14.4639997482,1
13047,14.3549995422,1
13048,14.3549995422,1
13049,13.4619998932,1
13070,14.0909996033,1
13071,14.0909996033,1
13072,14.0909996033,1
13073,14.4639997482,1
13074,14.7379999161,1
13075,14.7379999161,1
13076,14.7379999161,1
13077,14.3549995422,1
13078,13.5220003128,1
13099,12.9600000381,1
13100,13.1339998245,1
13101,13.6180000305,1
13102,14.4639997482,1
13103,15.1000003815,1
13104,15.3360004425,1
13105,15.3360004425,1
13106,15.3360004425,1
13107,13.5220003128,1
13130,13.3310003281,1
13131,13.5260000229,1
13132,15.1000003815,1
13133,15.3360004425,1
13134,15.3360004425,1
13135,15.3360004425,1
13136,13.5220003128,1
13160,13.5260000229,1
13161,15.1000003815,1
13162,15.3360004425,1
13163,15.3360004425,1
13164,15.3360004425,1
13165,13.3339996338,1
13190,13.3229999542,1
13191,13.3229999542,1
13192,13.3229999542,1
13903,12.8859996796,1
13904,12.8859996796,1
13905,13.0260000229,1
13906,13.0260000229,1
13907,13.0260000229,1
13931,13.4709997177,1
13932,14.0290002823,1
13933,14.0290002823,1
13934,14.0290002823,1
13935,13.0260000229,1
13936,13.0260000229,1
13937,12.8540000916,1
13939,13.2829999924,1
13940,13.2829999924,1
13941,13.2829999924,1
13942,13.0659999847,1
13943,12.8710002899,1
13960,14.2299995422,1
13961,14.2299995422,1
13962,14.2299995422,1
13963,14.0290002823,1
13964,13.8509998322,1
13965,13.0260000229,1
13966,13.0209999084,1
13967,13.0209999084,1
13968,13.2829999924,1
13969,13.2829999924,1
13970,13.5290002823,1
13971,13.5290002823,1
13972,13.5290002823,1
13973,13.3149995804,1
13974,12.9029998779,1
13989,14.2299995422,1
13990,14.2299995422,1
13991,14.2299995422,1
13992,14.0290002823,1
13993,13.8509998322,1
13994,13.4200000763,1
13995,13.4200000763,1
13996,13.4200000763,1
13997,13.2829999924,1
13998,14.0909996033,1
13999,14.0909996033,1
14000,14.0909996033,1
14001,14.170999527,1
14002,14.170999527,1
14003,14.170999527,1
14004,13.8199996948,1
14005,13.6000003815,1
14006,13.4309997559,1
14018,14.2299995422,1
14019,14.2299995422,1
14020,14.2299995422,1
14021,13.8509998322,1
14022,13.8509998322,1
14023,13.4200000763,1
14024,13.4200000763,1
14025,13.4200000763,1
14026,13.2170000076,1
14027,15.1379995346,1
14028,15.1379995346,1
14029,15.1379995346,1
14030,14.5520000458,1
14031,14.5520000458,1
14032,14.5520000458,1
14033,14.3549995422,1
14034,14.3549995422,1
14035,13.4619998932,1
14050,13.1979999542,1
14051,13.2539997101,1
14052,13.4200000763,1
14053,13.4200000763,1
14054,13.4200000763,1
14055,13.6800003052,1
14056,15.1379995346,1
14057,15.5010004044,1
14058,15.5010004044,1
14059,15.5279998779,1
14060,15.5279998779,1
14061,15.5279998779,1
14062,14.7379999161,1
14063,14.3640003204,1
14064,13.5220003128,1
14065,13.3190002441,1
14083,13.236000061,1
14084,13.6800003052,1
14085,15.1379995346,1
14086,15.5010004044,1
14087,15.5010004044,1
14088,15.6350002289,1
14089,15.6350002289,1
14090,15.6350002289,1
14091,15.3360004425,1
14092,15.3360004425,1
14093,13.5220003128,1
14094,13.3190002441,1
14112,13.236000061,1
14113,13.6800003052,1
14114,14.0740003586,1
14115,15.5010004044,1
14116,15.5010004044,1
14117,15.6350002289,1
14118,15.6719999313,1
14119,15.6719999313,1
14120,15.6719999313,1
14121,15.3360004425,1
14122,13.5769996643,1
14123,13.3190002441,1
14141,13.236000061,1
14142,13.2980003357,1
14143,13.9799995422,1
14144,14.7049999237,1
14145,14.7049999237,1
14146,15.6350002289,1
14147,15.6719999313,1
14148,15.6719999313,1
14149,15.6719999313,1
14150,15.3360004425,1
14151,13.5769996643,1
14170,12.9060001373,1
14171,13.1510000229,1
14172,13.6450004578,1
14173,14.7049999237,1
14174,14.7049999237,1
14175,15.359000206,1
14176,15.6719999313,1
14177,15.6719999313,1
14178,15.6719999313,1
14179,14.2899999619,1
14180,13.5769996643,1
14201,13.0100002289,1
14202,14.7049999237,1
14203,14.7049999237,1
14204,14.890999794,1
14205,15.5279998779,1
14206,15.5279998779,1
14207,15.5279998779,1
14208,14.2899999619,1
14232,14.4919996262,1
14233,14.843000412,1
14234,14.843000412,1
14235,14.843000412,1
14236,13.9600000381,1
14261,13.3649997711,1
14262,13.3649997711,1
14263,13.3649997711,1
14803,12.9580001831,1
14804,12.9580001831,1
14805,12.9580001831,1
14829,12.9580001831,1
14830,13.0249996185,1
14831,13.0900001526,1
14832,13.0900001526,1
14833,13.0900001526,1
14834,12.9580001831,1
14858,13.2189998627,1
14859,13.2189998627,1
14860,13.2189998627,1
14861,13.734000206,1
14862,13.734000206,1
14863,13.734000206,1
14864,13.6599998474,1
14886,13.8190002441,1
14887,13.8190002441,1
14888,13.8190002441,1
14889,13.7810001373,1
14890,13.7810001373,1
14891,13.7810001373,1
14892,13.7600002289,1
14893,13.732000351,1
14894,13.732000351,1
14915,13.8190002441,1
14916,13.8190002441,1
14917,13.8190002441,1
14918,14.0290002823,1
14919,14.2349996567,1
14920,14.2349996567,1
14921,14.2349996567,1
14922,14.3120002747,1
14923,14.3120002747,1
14924,14.3120002747,1
14925,14.0290002823,1
14926,14.0290002823,1
14927,14.0290002823,1
14928,13.2220001221,1
14929,12.8710002899,1
14944,14.2299995422,1
14945,14.2299995422,1
14946,14.2299995422,1
14947,15.5860004425,1
14948,15.5860004425,1
14949,15.5860004425,1
14950,15.2709999084,1
14951,15.0780000687,1
14952,14.3120002747,1
14953,14.3120002747,1
14954,14.3050003052,1
14955,14.3050003052,1
