,scores,cavity
1633,13.5920000076,1
1663,13.5920000076,1
1664,14.2130002975,1
1693,13.5920000076,1
1694,14.2130002975,1
1724,14.2130002975,1
2353,13.5920000076,1
2383,13.5920000076,1
2384,14.5059995651,1
2385,14.8520002365,1
2413,13.5920000076,1
2414,14.5059995651,1
2415,14.8520002365,1
2444,14.5059995651,1
2445,14.8520002365,1
3042,13.1859998703,1
3043,13.1859998703,1
3072,13.7309999466,1
3073,13.8360004425,1
3074,13.8360004425,1
3102,13.7309999466,1
3103,13.8360004425,1
3104,15.404999733,1
3105,15.404999733,1
3132,13.7309999466,1
3133,14.4940004349,1
3134,15.404999733,1
3135,16.0450000763,1
3136,16.0450000763,1
3137,16.0450000763,1
3162,13.6440000534,1
3163,14.4940004349,1
3164,15.404999733,1
3165,16.0450000763,1
3166,16.0450000763,1
3167,16.0450000763,1
3193,14.4940004349,1
3194,14.9169998169,1
3195,32.0900001526,1
3196,64.1800003052,1
3197,64.1800003052,1
3225,24.8719997406,1
3226,49.7439994812,1
3261,17.3990001678,1
3262,17.3990001678,1
3263,17.3990001678,1
3264,13.9440002441,1
3289,15.9940004349,1
3290,15.9940004349,1
3291,17.3990001678,1
3292,17.3990001678,1
3293,17.3990001678,1
3294,13.9440002441,1
3319,15.9940004349,1
3320,15.9940004349,1
3321,17.3990001678,1
3322,17.3990001678,1
3324,13.9440002441,1
3349,14.7489995956,1
3350,14.7489995956,1
3351,16.9160003662,1
3352,16.9160003662,1
3379,13.7379999161,1
3380,14.517999649,1
3381,14.517999649,1
3409,13.7379999161,1
3410,12.8030004501,1
3411,12.8030004501,1
3437,13.5059995651,1
3438,13.5059995651,1
3439,13.5059995651,1
3733,13.267999649,1
3791,15.5419998169,1
3792,16.2049999237,1
3793,16.2049999237,1
3794,16.2049999237,1
3821,15.5419998169,1
3822,16.2049999237,1
3823,16.2049999237,1
3824,16.2049999237,1
3825,15.404999733,1
3851,15.5419998169,1
3852,16.2049999237,1
3853,16.2049999237,1
3854,16.2049999237,1
3855,16.0450000763,1
3856,16.0450000763,1
3857,16.0450000763,1
3882,13.6440000534,1
3883,15.0229997635,1
3884,15.404999733,1
3885,16.0450000763,1
3886,16.0450000763,1
3887,16.0450000763,1
3913,14.4940004349,1
3914,14.9169998169,1
3915,32.0900001526,1
3916,64.1800003052,1
3917,64.1800003052,1
3944,14.8970003128,1
3945,29.7940006256,1
3946,59.5880012512,1
3947,53.5519981384,1
3952,18.0340003967,1
3953,18.343000412,1
3954,18.343000412,1
3955,18.343000412,1
3981,17.3990001678,1
3982,18.0340003967,1
3983,18.343000412,1
3984,18.343000412,1
3985,18.343000412,1
4011,17.3990001678,1
4012,18.0340003967,1
4013,18.343000412,1
4014,18.343000412,1
4015,18.343000412,1
4039,15.9940004349,1
4040,15.9940004349,1
4041,17.3990001678,1
4042,17.3990001678,1
4044,16.204000473,1
4045,14.3030004501,1
4069,14.7489995956,1
4070,14.7489995956,1
4071,16.9160003662,1
4072,16.9160003662,1
4099,13.861000061,1
4100,14.517999649,1
4101,14.517999649,1
4129,13.861000061,1
4130,13.861000061,1
4131,13.0480003357,1
4157,13.5059995651,1
4158,13.5059995651,1
4159,13.5059995651,1
4423,13.3739995956,1
4424,13.3739995956,1
4425,13.3739995956,1
4426,12.9729995728,1
4427,12.9729995728,1
4428,12.9729995728,1
4451,14.1149997711,1
4452,15.8409996033,1
4453,15.8409996033,1
4454,15.8409996033,1
4455,14.4010000229,1
4482,15.8409996033,1
4483,15.8409996033,1
4484,15.8409996033,1
4485,14.4010000229,1
4511,15.5419998169,1
4512,16.2049999237,1
4513,16.2049999237,1
4514,16.2049999237,1
4515,14.4010000229,1
4541,15.5419998169,1
4542,16.2049999237,1
4543,16.2049999237,1
4544,16.2049999237,1
4545,15.404999733,1
4546,15.404999733,1
4571,15.5419998169,1
4572,16.2049999237,1
4573,16.2049999237,1
4574,16.2049999237,1
4575,16.0450000763,1
4576,16.0450000763,1
4577,16.0450000763,1
4602,15.9280004501,1
4603,15.9280004501,1
4604,15.9280004501,1
4605,16.0450000763,1
4606,16.0450000763,1
4607,16.0450000763,1
4632,14.7510004044,1
4633,15.4200000763,1
4634,15.4200000763,1
4635,32.0900001526,1
4636,64.1800003052,1
4637,64.1800003052,1
4645,15.607000351,1
4646,15.607000351,1
4647,15.607000351,1
4663,14.0279998779,1
4664,14.8970003128,1
4665,29.7940006256,1
4666,59.5880012512,1
4667,53.5519981384,1
4672,18.0340003967,1
4673,18.343000412,1
4674,18.343000412,1
4675,18.343000412,1
4676,15.607000351,1
4677,15.607000351,1
4701,17.3990001678,1
4702,18.0340003967,1
4703,18.343000412,1
4704,18.343000412,1
4705,18.343000412,1
4706,15.607000351,1
4707,15.607000351,1
4731,17.3990001678,1
4732,18.0340003967,1
4733,18.343000412,1
4734,18.343000412,1
4735,18.343000412,1
4736,14.5100002289,1
4737,14.5100002289,1
4756,12.9189996719,1
4757,13.2080001831,1
4758,13.2080001831,1
4759,15.9940004349,1
4760,15.9940004349,1
4761,17.3990001678,1
4762,17.3990001678,1
4763,17.3990001678,1
4764,16.204000473,1
4765,14.9239997864,1
4786,14.093000412,1
4787,14.093000412,1
4788,14.093000412,1
4789,14.7489995956,1
4790,14.7489995956,1
4791,16.9160003662,1
4792,16.9160003662,1
4793,16.9160003662,1
4794,14.9239997864,1
4795,14.9239997864,1
4796,13.8369998932,1
4816,14.093000412,1
4817,14.093000412,1
4818,14.093000412,1
4819,13.861000061,1
4820,14.517999649,1
4821,14.517999649,1
4822,14.517999649,1
4823,14.9239997864,1
4824,14.9239997864,1
4825,14.9239997864,1
4826,13.3360004425,1
4846,14.093000412,1
4847,14.093000412,1
4848,14.093000412,1
4849,13.861000061,1
4850,13.861000061,1
4851,13.0480003357,1
4852,12.8030004501,1
4877,13.5059995651,1
4878,13.5059995651,1
4879,13.5059995651,1
5103,13.25,1
5104,13.25,1
5105,13.25,1
5133,13.25,1
5134,13.25,1
5135,13.25,1
5143,13.3739995956,1
5144,13.3739995956,1
5145,13.3739995956,1
5146,13.5570001602,1
5147,13.5570001602,1
5148,13.5570001602,1
5163,13.25,1
5164,13.25,1
5165,13.25,1
5171,15.9809999466,1
5172,15.9809999466,1
5173,15.9809999466,1
5174,15.8409996033,1
5175,14.4010000229,1
5176,14.0760002136,1
5177,13.5570001602,1
5201,15.9809999466,1
5202,15.9809999466,1
5203,15.9809999466,1
5204,15.8409996033,1
5205,14.4010000229,1
5233,16.2049999237,1
5234,16.2049999237,1
5235,14.4010000229,1
5263,16.2049999237,1
5264,16.2049999237,1
5265,15.0229997635,1
5295,15.4200000763,1
5325,15.4200000763,1
5326,14.8970003128,1
5355,30.8400001526,1
5356,59.5880012512,1
5357,53.5519981384,1
5365,15.607000351,1
5366,15.607000351,1
5367,15.607000351,1
5385,29.7940006256,1
5386,59.5880012512,1
5387,53.5519981384,1
5392,18.0340003967,1
5393,18.343000412,1
5394,18.343000412,1
5395,18.343000412,1
5396,15.607000351,1
5397,15.607000351,1
5422,18.0340003967,1
5423,18.343000412,1
5424,18.343000412,1
5425,18.343000412,1
5426,15.607000351,1
5427,15.607000351,1
5452,18.0340003967,1
5453,18.343000412,1
5454,18.343000412,1
5455,18.343000412,1
5456,14.5100002289,1
5457,14.5100002289,1
5477,13.2080001831,1
5478,13.2080001831,1
5481,16.2600002289,1
5482,16.2600002289,1
5483,16.2600002289,1
5484,16.204000473,1
5485,14.9239997864,1
5507,13.2080001831,1
5508,13.861000061,1
5509,13.861000061,1
5510,14.6029996872,1
5511,14.6029996872,1
5512,14.6029996872,1
5513,14.9239997864,1
5514,14.9239997864,1
5515,14.9239997864,1
5516,13.8369998932,1
5537,13.2080001831,1
5538,13.861000061,1
5539,13.861000061,1
5540,13.861000061,1
5541,13.3520002365,1
5542,13.3520002365,1
5543,14.9239997864,1
5544,14.9239997864,1
5545,14.9239997864,1
5546,13.3360004425,1
5567,13.1800003052,1
5568,13.861000061,1
5569,13.861000061,1
5570,13.861000061,1
5571,13.0480003357,1
5823,13.25,1
5824,13.25,1
5825,13.25,1
5853,13.25,1
5854,15.2239999771,1
5855,15.2239999771,1
5856,15.2239999771,1
5863,13.3739995956,1
5864,13.3739995956,1
5865,13.3739995956,1
5866,13.5570001602,1
5867,13.5570001602,1
5868,13.5570001602,1
5883,13.25,1
5884,15.2239999771,1
5885,15.2239999771,1
5886,15.6470003128,1
5887,16.486000061,1
5888,16.486000061,1
5889,16.486000061,1
5890,14.6020002365,1
5891,15.9809999466,1
5892,15.9809999466,1
5893,15.9809999466,1
5894,15.8409996033,1
5895,14.4010000229,1
5896,14.0760002136,1
5897,13.5570001602,1
5898,13.5570001602,1
5914,15.2239999771,1
5915,15.2239999771,1
5916,15.6470003128,1
5917,16.486000061,1
5918,16.486000061,1
5919,16.486000061,1
5922,15.9809999466,1
5923,15.9809999466,1
5924,15.8409996033,1
5925,14.4010000229,1
5926,14.0760002136,1
5927,13.5570001602,1
5928,13.5570001602,1
5944,12.9239997864,1
5946,15.6470003128,1
5947,16.486000061,1
5948,16.486000061,1
5949,16.486000061,1
5953,15.9809999466,1
5954,15.8409996033,1
5955,14.4010000229,1
5983,15.9280004501,1
5984,15.9280004501,1
6015,15.4200000763,1
6045,15.4200000763,1
6075,30.8400001526,1
6084,14.9610004425,1
6085,15.607000351,1
6086,15.607000351,1
6087,15.607000351,1
6105,28.0559997559,1
6113,15.4499998093,1
6114,15.4499998093,1
6115,15.607000351,1
6116,15.607000351,1
6117,15.607000351,1
6143,15.4499998093,1
6144,15.4499998093,1
6145,15.607000351,1
6146,15.607000351,1
6147,15.607000351,1
6173,15.4499998093,1
6174,15.4499998093,1
6175,15.4499998093,1
6176,14.5100002289,1
6177,14.5100002289,1
6203,14.9239997864,1
6204,14.9239997864,1
6205,14.9239997864,1
6206,13.8369998932,1
6233,14.9239997864,1
6234,14.9239997864,1
6235,14.9239997864,1
6236,13.8369998932,1
6263,14.9239997864,1
6264,14.9239997864,1
6265,14.9239997864,1
6266,13.3360004425,1
6543,13.25,1
6544,13.25,1
6545,13.25,1
6573,13.25,1
6574,15.2239999771,1
6575,15.2239999771,1
6576,15.2239999771,1
6586,13.5570001602,1
6587,13.5570001602,1
6588,13.5570001602,1
6603,13.25,1
6604,15.2239999771,1
6605,15.529999733,1
6606,16.1229991913,1
6607,16.486000061,1
6608,16.486000061,1
6609,16.486000061,1
6610,14.6020002365,1
6611,15.9809999466,1
6612,15.9809999466,1
6613,15.9809999466,1
6616,13.5570001602,1
6617,13.5570001602,1
6618,13.5570001602,1
6634,15.2239999771,1
6635,15.529999733,1
6636,16.1229991913,1
6637,16.486000061,1
6638,16.486000061,1
6639,16.486000061,1
6642,15.9809999466,1
6643,15.9809999466,1
6646,13.5570001602,1
6647,13.5570001602,1
6648,13.5570001602,1
6664,14.2559995651,1
6665,15.529999733,1
6666,16.1229991913,1
6667,16.486000061,1
6668,16.486000061,1
6669,16.486000061,1
6673,15.9809999466,1
6694,14.2559995651,1
6695,15.2189998627,1
6696,15.5710000992,1
6697,15.5710000992,1
7294,15.2239999771,1
7295,15.2239999771,1
7296,15.2239999771,1
7324,15.2239999771,1
7325,15.529999733,1
7326,16.1229991913,1
7327,16.486000061,1
7328,16.486000061,1
7329,16.486000061,1
7330,14.6020002365,1
7331,14.6020002365,1
7332,14.6020002365,1
7354,15.2239999771,1
7355,15.529999733,1
7356,16.1229991913,1
7357,16.486000061,1
7358,16.486000061,1
7359,16.486000061,1
7362,15.111000061,1
7384,14.2559995651,1
7385,15.529999733,1
7386,16.1229991913,1
7387,16.486000061,1
7388,16.486000061,1
7389,16.486000061,1
7392,15.111000061,1
7414,14.2559995651,1
7415,15.2189998627,1
7416,15.5710000992,1
8045,15.529999733,1
8046,16.1229991913,1
8047,16.1229991913,1
8048,16.1229991913,1
8074,14.2559995651,1
8075,15.529999733,1
8076,16.1229991913,1
8077,16.1229991913,1
8082,15.111000061,1
8105,15.529999733,1
8106,16.1229991913,1
8112,15.111000061,1
8135,15.2189998627,1
8136,15.5710000992,1
8142,15.111000061,1
8342,14.8389997482,1
8372,14.8389997482,1
8402,14.8389997482,1
8496,13.0469999313,1
8526,13.0469999313,1
8527,13.0469999313,1
8528,13.0469999313,1
8556,13.0469999313,1
8557,13.0469999313,1
8558,13.0469999313,1
9092,14.8389997482,1
9122,14.8389997482,1
9215,13.4040002823,1
9216,14.3549995422,1
9217,14.3549995422,1
9218,14.3549995422,1
9245,13.4040002823,1
9246,14.3549995422,1
9247,14.3549995422,1
9248,14.3549995422,1
9275,13.4040002823,1
9276,13.4040002823,1
9277,13.4040002823,1
9278,13.0469999313,1
9812,14.8389997482,1
9842,14.8389997482,1
9935,13.4040002823,1
9936,14.3549995422,1
9937,14.3549995422,1
9938,14.3549995422,1
9965,13.4040002823,1
9966,14.3549995422,1
9967,14.3549995422,1
9968,14.3549995422,1
9995,13.4040002823,1
9996,13.4040002823,1
9997,13.4040002823,1
9998,13.0469999313,1
10628,14.3549995422,1
10655,13.4040002823,1
10656,14.3549995422,1
10657,14.3549995422,1
10658,14.3549995422,1
10685,13.4040002823,1
10686,14.3549995422,1
10687,14.3549995422,1
10688,14.3549995422,1
10715,13.4040002823,1
10716,13.4040002823,1
10717,13.4040002823,1
11375,12.9779996872,1
11376,12.9779996872,1
11377,12.9779996872,1
11405,12.9779996872,1
11406,12.9779996872,1
11407,12.9779996872,1
11435,12.9779996872,1
11436,12.9779996872,1
11437,12.9779996872,1
13174,12.7690000534,1
13175,14.3459997177,1
13176,14.3459997177,1
13177,14.3459997177,1
13204,12.7690000534,1
13205,15.329000473,1
13206,15.329000473,1
13207,15.329000473,1
13208,14.0329999924,1
13209,14.0329999924,1
13234,12.7690000534,1
13235,15.329000473,1
13236,17.5499992371,1
13237,17.9489994049,1
13238,17.9489994049,1
13239,17.9489994049,1
13240,15.611000061,1
13241,14.5010004044,1
13242,14.5010004044,1
13265,15.329000473,1
13266,17.5499992371,1
13267,17.9489994049,1
13268,17.9489994049,1
13269,17.9489994049,1
13270,15.611000061,1
13271,14.5010004044,1
13272,14.5010004044,1
13296,17.5499992371,1
13297,17.9489994049,1
