,scores,cavity
728,14.0100002289,1
786,15.4010000229,1
1051,17.9780006409,1
1052,17.9780006409,1
1063,20.6959991455,1
1064,20.6959991455,1
1074,20.6959991455,1
1075,20.6959991455,1
1076,20.6959991455,1
1086,20.6959991455,1
1087,20.6959991455,1
1088,20.6959991455,1
1097,15.0729999542,1
1098,18.0149993896,1
1099,18.0149993896,1
1100,18.0149993896,1
1361,16.5620002747,1
1362,17.9780006409,1
1363,17.9780006409,1
1364,17.9780006409,1
1373,16.7740001678,1
1374,20.6959991455,1
1375,20.6959991455,1
1376,20.6959991455,1
1385,16.7740001678,1
1386,20.6959991455,1
1387,20.6959991455,1
1388,20.6959991455,1
1397,16.7740001678,1
1398,20.6959991455,1
1399,20.6959991455,1
1400,20.6959991455,1
1409,15.8789997101,1
1410,18.0149993896,1
1411,18.0149993896,1
1412,18.0149993896,1
1661,13.0520000458,1
1673,16.5620002747,1
1674,17.9780006409,1
1675,17.9780006409,1
1676,17.9780006409,1
1685,16.7740001678,1
1686,20.6959991455,1
1687,20.6959991455,1
1688,20.6959991455,1
1697,16.7740001678,1
1698,20.6959991455,1
1699,20.6959991455,1
1700,20.6959991455,1
1709,16.7740001678,1
1710,20.6959991455,1
1711,20.6959991455,1
1712,20.6959991455,1
1721,15.8789997101,1
1722,18.0149993896,1
1723,18.0149993896,1
1724,18.0149993896,1
1973,13.0520000458,1
1985,13.829000473,1
1986,16.0949993134,1
1987,16.0949993134,1
1988,16.0949993134,1
1997,16.7740001678,1
1998,17.75,1
1999,17.75,1
2000,17.75,1
2009,16.7740001678,1
2010,17.75,1
2011,17.75,1
2012,17.75,1
2021,16.7740001678,1
2022,17.75,1
2023,17.75,1
2024,17.75,1
2033,15.8789997101,1
2034,17.2719993591,1
2035,17.2719993591,1
2036,17.2719993591,1
2045,15.2460002899,1
2066,13.0150003433,1
2067,14.7220001221,1
2068,16.4419994354,1
2069,16.4419994354,1
2070,16.4419994354,1
2078,13.0150003433,1
2079,15.6499996185,1
2080,16.4419994354,1
2081,16.4419994354,1
2082,16.4419994354,1
2092,16.4419994354,1
2093,16.4419994354,1
2094,16.4419994354,1
2215,14.0100002289,1
2216,14.0100002289,1
2217,14.0100002289,1
2227,14.0100002289,1
2228,14.0100002289,1
2229,14.0100002289,1
2239,28.0200004578,1
2240,28.0200004578,1
2241,28.0200004578,1
2298,15.0419998169,1
2299,15.0419998169,1
2310,15.2279996872,1
2311,15.2279996872,1
2322,16.045999527,1
2323,16.045999527,1
2324,16.045999527,1
2334,16.045999527,1
2335,16.045999527,1
2336,16.045999527,1
2346,16.045999527,1
2357,15.2460002899,1
2378,15.8439998627,1
