,scores,cavity
1126,10.626999855,1
1127,10.626999855,1
1128,10.626999855,1
1145,11.1730003357,1
1146,11.1730003357,1
1147,11.1730003357,1
1164,11.1730003357,1
1165,11.1730003357,1
1166,11.1730003357,1
1183,11.1730003357,1
1184,11.1730003357,1
1185,11.1730003357,1
1277,11.1260004044,1
1278,11.1260004044,1
1279,11.1260004044,1
1296,11.1260004044,1
1297,11.1260004044,1
1298,11.1260004044,1
1315,11.1260004044,1
1316,11.1260004044,1
1317,11.1260004044,1
1582,11.642999649,1
1583,11.642999649,1
1584,11.642999649,1
1601,14.3109998703,1
1602,14.3109998703,1
1603,14.3109998703,1
1619,11.7170000076,1
1620,14.3109998703,1
1621,14.3109998703,1
1622,14.3109998703,1
1638,11.7170000076,1
1639,14.3109998703,1
1640,14.3109998703,1
1641,14.3109998703,1
1657,12.6979999542,1
1658,12.6979999542,1
1659,12.6979999542,1
1660,11.7130002975,1
1676,14.1309995651,1
1677,14.1309995651,1
1678,14.1309995651,1
1679,11.8809995651,1
1695,14.1309995651,1
1696,14.1309995651,1
1697,14.1309995651,1
1698,11.8809995651,1
1714,14.1309995651,1
1715,14.1309995651,1
1716,14.1309995651,1
1717,11.8809995651,1
1733,12.515999794,1
1734,12.515999794,1
1735,12.515999794,1
1752,12.515999794,1
1753,12.515999794,1
1754,12.515999794,1
1771,11.1260004044,1
1772,11.1260004044,1
1773,11.1260004044,1
2038,11.642999649,1
2039,11.642999649,1
2040,11.642999649,1
2057,14.3109998703,1
2058,14.3109998703,1
2059,14.3109998703,1
2075,11.7170000076,1
2076,14.3109998703,1
2077,14.3109998703,1
2078,14.3109998703,1
2094,11.7170000076,1
2095,14.3109998703,1
2096,14.3109998703,1
2097,14.3109998703,1
2113,12.6979999542,1
2114,12.6979999542,1
2115,12.6979999542,1
2116,11.7130002975,1
2132,14.1309995651,1
2133,14.1309995651,1
2134,14.1309995651,1
2135,11.8809995651,1
2151,14.1309995651,1
2152,14.1309995651,1
2153,14.1309995651,1
2154,11.8809995651,1
2170,14.1309995651,1
2171,14.1309995651,1
2172,14.1309995651,1
2173,11.8809995651,1
2189,12.515999794,1
2190,12.515999794,1
2191,12.515999794,1
