,scores,cavity
572,16.0720005035,1
592,16.0720005035,1
593,16.0720005035,1
612,16.0720005035,1
613,16.0720005035,1
614,16.0720005035,1
822,16.0720005035,1
823,16.0720005035,1
824,16.0720005035,1
842,14.9600000381,1
843,16.0720005035,1
844,16.0720005035,1
845,16.0720005035,1
864,16.0720005035,1
865,16.0720005035,1
866,16.0720005035,1
938,11.1859998703,1
939,11.1859998703,1
940,11.1859998703,1
956,10.9870004654,1
957,10.9870004654,1
958,10.9870004654,1
1054,14.9600000381,1
1073,14.9600000381,1
1074,16.0720005035,1
1075,16.0720005035,1
1076,16.0720005035,1
1094,14.9600000381,1
1095,16.0720005035,1
1096,16.0720005035,1
1097,16.0720005035,1
1108,18.0060005188,1
1109,18.0060005188,1
1110,18.0060005188,1
1116,16.0720005035,1
1117,16.0720005035,1
1118,16.0720005035,1
1147,14.265999794,1
1148,14.265999794,1
1149,14.265999794,1
1150,13.8540000916,1
1168,14.265999794,1
1169,14.265999794,1
1170,14.265999794,1
1171,13.8540000916,1
1172,12.5649995804,1
1189,14.265999794,1
1190,14.265999794,1
1191,14.265999794,1
1192,13.8540000916,1
1193,12.5649995804,1
1208,10.9870004654,1
1209,10.9870004654,1
1210,10.9870004654,1
1211,12.3529996872,1
1212,12.3529996872,1
1213,12.3529996872,1
1360,18.0060005188,1
1361,18.0060005188,1
1362,18.0060005188,1
1399,14.265999794,1
1400,14.265999794,1
1401,14.265999794,1
1402,13.8540000916,1
1420,14.265999794,1
1421,14.265999794,1
1422,14.265999794,1
1423,13.8540000916,1
1424,12.5649995804,1
1441,14.265999794,1
1442,14.265999794,1
1443,14.265999794,1
1444,13.8540000916,1
1445,12.5649995804,1
1460,10.9870004654,1
1461,10.9870004654,1
1462,10.9870004654,1
1463,12.3529996872,1
1464,12.3529996872,1
1465,12.3529996872,1
1612,18.0060005188,1
1613,18.0060005188,1
1614,18.0060005188,1
1632,11.3620004654,1
1651,14.265999794,1
1652,14.265999794,1
1653,14.265999794,1
1654,13.8540000916,1
1655,12.5649995804,1
1672,14.265999794,1
1673,14.265999794,1
1674,14.265999794,1
1675,13.8540000916,1
1676,12.5649995804,1
1677,10.3809995651,1
1693,14.265999794,1
1694,14.265999794,1
1695,14.265999794,1
1696,13.8540000916,1
1697,12.5649995804,1
1714,10.904999733,1
1715,12.3529996872,1
1716,12.3529996872,1
1717,12.3529996872,1
4199,10.6899995804,1
4200,10.6899995804,1
4201,10.6899995804,1
4229,11.2220001221,1
4230,11.2220001221,1
4231,11.2220001221,1
4259,11.2220001221,1
4260,11.2220001221,1
4261,11.2220001221,1
4289,11.2220001221,1
4290,11.2220001221,1
4291,11.2220001221,1
5008,13.3240003586,1
5009,13.7049999237,1
5010,13.7049999237,1
5011,13.7049999237,1
5012,10.6459999084,1
5037,11.9930000305,1
5038,13.3240003586,1
5039,14.267999649,1
5040,14.267999649,1
5041,14.267999649,1
5042,12.2060003281,1
5067,11.9930000305,1
5068,13.3240003586,1
5069,14.267999649,1
5070,14.267999649,1
5071,14.267999649,1
5072,12.2060003281,1
5097,11.9930000305,1
5098,12.2419996262,1
5099,14.267999649,1
5100,14.267999649,1
5101,14.267999649,1
5102,12.2060003281,1
5127,11.4449996948,1
5128,11.4449996948,1
5129,11.4449996948,1
5130,11.0030002594,1
5131,11.0030002594,1
5132,10.736000061,1
5185,10.8879995346,1
5186,10.8879995346,1
5187,10.8879995346,1
5215,10.8879995346,1
5216,10.8879995346,1
5217,10.8879995346,1
5245,10.8879995346,1
5246,10.8879995346,1
5247,10.8879995346,1
5788,12.420999527,1
5789,12.513999939,1
5790,12.513999939,1
5791,12.513999939,1
5792,11.5279998779,1
5793,10.8629999161,1
5815,10.5570001602,1
5816,14.8710002899,1
5817,14.8710002899,1
5818,15.8800001144,1
