,scores,cavity
1620,18.1669998169,1
1621,18.1669998169,1
1622,18.1669998169,1
1641,18.1669998169,1
1642,18.1669998169,1
1643,18.1669998169,1
1662,18.1669998169,1
1663,18.1669998169,1
1664,18.1669998169,1
2228,15.3020000458,1
2229,15.3020000458,1
2230,15.3020000458,1
2249,15.3020000458,1
2250,18.1669998169,1
2251,18.1669998169,1
2252,18.1669998169,1
2270,15.3020000458,1
2271,18.1669998169,1
2272,18.1669998169,1
2273,18.1669998169,1
2292,18.1669998169,1
2293,18.1669998169,1
2294,18.1669998169,1
2880,18.1669998169,1
2881,18.1669998169,1
2882,18.1669998169,1
2900,15.3020000458,1
2901,18.1669998169,1
2902,20.3479995728,1
2903,20.3479995728,1
2904,20.3479995728,1
2921,14.9469995499,1
2922,18.1669998169,1
2923,20.3479995728,1
2924,20.3479995728,1
2925,20.3479995728,1
2943,14.5749998093,1
2944,20.3479995728,1
2945,20.3479995728,1
2946,20.3479995728,1
3532,20.3479995728,1
3533,20.3479995728,1
3534,20.3479995728,1
3551,14.9469995499,1
3553,20.3479995728,1
3554,20.3479995728,1
3555,20.3479995728,1
3574,20.3479995728,1
3575,20.3479995728,1
3576,20.3479995728,1
4139,29.8939990997,1
4140,30.281999588,1
4141,30.281999588,1
4142,30.281999588,1
4160,29.8939990997,1
4161,31.6040000916,1
4162,40.6959991455,1
4163,40.6959991455,1
4164,40.6959991455,1
4183,20.3479995728,1
4184,20.3479995728,1
4185,20.3479995728,1
4202,14.4399995804,1
4204,20.3479995728,1
4205,20.3479995728,1
4206,20.3479995728,1
4296,18.0550003052,1
4317,18.0550003052,1
4335,18.5160007477,1
4336,18.5160007477,1
4337,18.5160007477,1
4338,18.0550003052,1
4559,14.1639995575,1
4560,14.1639995575,1
4561,14.1639995575,1
4580,14.1639995575,1
4581,14.1639995575,1
4582,14.1639995575,1
4601,14.1639995575,1
4602,14.1639995575,1
4603,14.1639995575,1
4770,59.3880004883,1
4771,59.3880004883,1
4772,59.3880004883,1
4790,57.7599983215,1
4791,63.2080001831,1
4792,63.2080001831,1
4793,63.2080001831,1
4832,14.4399995804,1
4923,20.2469997406,1
4924,20.2469997406,1
4925,20.2469997406,1
4926,20.0100002289,1
4944,20.2469997406,1
4945,21.8229999542,1
4946,21.8229999542,1
4947,21.8229999542,1
4948,19.1079998016,1
4965,20.2469997406,1
4966,21.8229999542,1
4967,21.8229999542,1
4968,21.8229999542,1
4969,19.1079998016,1
4987,21.8229999542,1
4988,21.8229999542,1
4989,21.8229999542,1
4990,19.1079998016,1
5189,14.1639995575,1
5190,14.1639995575,1
5191,14.1639995575,1
5210,15.3400001526,1
5211,15.3400001526,1
5212,15.3400001526,1
5231,15.3400001526,1
5232,15.3400001526,1
5233,15.3400001526,1
5234,14.5439996719,1
5235,14.5439996719,1
5252,15.3400001526,1
5253,15.3400001526,1
5254,15.3400001526,1
5255,14.5439996719,1
5256,14.5439996719,1
5277,14.5439996719,1
5420,57.7599983215,1
5421,57.7599983215,1
5422,57.7599983215,1
