,scores,cavity
1950,14.6800003052,1
1951,14.6800003052,1
1952,14.6800003052,1
1953,13.3400001526,1
1954,9.50399971008,1
1984,11.7919998169,1
1985,18.7600002289,1
1986,18.7600002289,1
1987,18.7600002289,1
1988,16.8579998016,1
1989,13.1459999084,1
1990,10.232000351,1
2649,9.67399978638,1
2650,12.2419996262,1
2651,12.5979995728,1
2652,12.5979995728,1
2653,12.5979995728,1
2683,11.1920003891,1
2684,15.6859998703,1
2685,18.5440006256,1
2686,18.5440006256,1
2687,18.5440006256,1
2688,16.7479991913,1
2689,13.2779998779,1
2718,16.3099994659,1
2719,18.5839996338,1
2720,26.3099994659,1
2721,26.3099994659,1
2722,26.3099994659,1
2723,22.922000885,1
2724,22.1879997253,1
2725,10.0699996948,1
2753,17.0580005646,1
2754,22.4839992523,1
2755,28.8840007782,1
2756,28.8840007782,1
2757,28.8840007782,1
2758,27.4340000153,1
2759,27.3659992218,1
2760,17.5,1
3349,13.0059995651,1
3350,13.0059995651,1
3351,13.0059995651,1
3383,12.5640001297,1
3384,13.9420003891,1
3385,21.0839996338,1
3386,21.0839996338,1
3387,21.0839996338,1
3388,11.6359996796,1
3417,11.0360002518,1
3418,15.9259996414,1
3419,16.6700000763,1
3420,22.3460006714,1
3421,24.7840003967,1
3422,24.7840003967,1
3423,24.7840003967,1
3424,12.7600002289,1
3452,17.3360004425,1
3453,26.8880004883,1
3454,29.454000473,1
3455,29.781999588,1
3456,29.781999588,1
3457,29.781999588,1
3458,26.75,1
3459,22.704000473,1
3460,12.2539997101,1
3487,17.3360004425,1
3488,29.7940006256,1
3489,32.0839996338,1
3490,32.0839996338,1
3491,32.0839996338,1
3492,29.781999588,1
3493,28.9979991913,1
3494,28.9979991913,1
3495,22.2019996643,1
3496,10.1499996185,1
3522,17.3360004425,1
3523,29.7940006256,1
3524,32.0839996338,1
3525,32.0880012512,1
3526,33.8520011902,1
3527,33.8520011902,1
3528,33.8520011902,1
3529,28.9979991913,1
3530,22.8819999695,1
3531,10.3859996796,1
3631,18.232000351,1
3632,18.232000351,1
3633,18.232000351,1
3666,18.232000351,1
3667,18.232000351,1
3668,18.232000351,1
3701,18.232000351,1
3702,18.232000351,1
3703,18.232000351,1
4118,15.5240001678,1
4119,15.5240001678,1
4120,15.5240001678,1
4121,13.0059995651,1
4122,9.32199954987,1
4151,12.4940004349,1
4152,13.5900001526,1
4153,22.1319999695,1
4154,25.6620006561,1
4155,25.6620006561,1
4156,25.6620006561,1
4157,24.0480003357,1
4158,14.9200000763,1
4186,21.5060005188,1
4187,21.6819992065,1
4188,27.5739994049,1
4189,27.8339996338,1
4190,29.3320007324,1
4191,29.3320007324,1
4192,29.3320007324,1
4193,27.6100006104,1
4194,18.2560005188,1
4221,21.5060005188,1
4222,25.6840000153,1
4223,30.4459991455,1
4224,32.6119995117,1
4225,32.6119995117,1
4226,32.6119995117,1
4227,31.7840003967,1
4228,29.7159996033,1
4229,28.5300006866,1
4230,14.1800003052,1
4256,21.5060005188,1
4257,25.6840000153,1
4258,34.5660018921,1
4259,37.1440010071,1
4260,37.1440010071,1
4261,37.1440010071,1
4262,36.4379997253,1
4263,31.8360004425,1
4264,28.9979991913,1
4265,22.513999939,1
4266,10.1499996185,1
4291,15.6499996185,1
4292,25.6840000153,1
4293,34.5660018921,1
4294,37.1440010071,1
4295,37.1440010071,1
4296,37.1440010071,1
