,scores,cavity
1401,14.829000473,1
1402,14.6029996872,1
1428,14.829000473,1
1429,14.829000473,1
1430,14.829000473,1
1431,14.6029996872,1
1458,14.6029996872,1
1459,14.6029996872,1
1460,14.6029996872,1
1576,17.1609992981,1
1577,17.1609992981,1
1578,17.1609992981,1
1605,17.1609992981,1
1606,17.1609992981,1
1607,17.1609992981,1
1634,17.1609992981,1
1635,17.1609992981,1
1636,17.1609992981,1
1981,16.8999996185,1
1982,14.7390003204,1
2007,23.6870002747,1
2008,23.6870002747,1
2009,23.6870002747,1
2010,23.0849990845,1
2011,18.3069992065,1
2036,24.1650009155,1
2037,24.1650009155,1
2038,24.1650009155,1
2039,23.0849990845,1
2040,18.3069992065,1
2065,24.1650009155,1
2066,24.1650009155,1
2067,24.1650009155,1
2068,23.0849990845,1
2069,18.3069992065,1
2094,24.1650009155,1
2095,24.1650009155,1
2096,24.1650009155,1
2097,22.5310001373,1
2098,17.6049995422,1
2123,16.2290000916,1
2124,16.3050003052,1
2125,16.3050003052,1
2126,16.3050003052,1
2155,18.4120006561,1
2156,18.4120006561,1
2157,18.4120006561,1
2158,16.3120002747,1
2159,16.3120002747,1
2160,16.3120002747,1
2184,18.4120006561,1
2185,18.4120006561,1
2186,18.4120006561,1
2187,17.9549999237,1
2188,17.9549999237,1
2189,16.3120002747,1
2213,18.4120006561,1
2214,18.4120006561,1
2215,18.4120006561,1
2216,17.9549999237,1
2217,17.9549999237,1
2218,16.3120002747,1
2243,17.1609992981,1
2244,17.9549999237,1
2245,17.9549999237,1
2246,17.9549999237,1
2590,16.8999996185,1
2591,15.0629997253,1
2616,23.6870002747,1
2617,23.6870002747,1
2618,23.6870002747,1
2619,23.0849990845,1
2620,18.3069992065,1
2645,24.1650009155,1
2646,24.1650009155,1
2647,24.1650009155,1
2648,23.0849990845,1
2649,18.3069992065,1
2674,24.1650009155,1
2675,24.1650009155,1
2676,24.1650009155,1
2677,23.0849990845,1
2678,18.3069992065,1
2703,24.1650009155,1
2704,24.1650009155,1
2705,24.1650009155,1
2706,22.5310001373,1
2707,17.6049995422,1
2732,19.281999588,1
2733,21.263999939,1
2734,21.263999939,1
2735,21.263999939,1
2736,17.8309993744,1
2738,15.4709997177,1
2739,15.4709997177,1
2740,15.4709997177,1
2741,14.2650003433,1
2763,17.8309993744,1
2764,18.4120006561,1
2765,18.4120006561,1
2766,18.4120006561,1
2767,19.091999054,1
2768,19.091999054,1
2769,19.091999054,1
2770,17.295999527,1
2771,17.295999527,1
2772,17.295999527,1
2792,17.8309993744,1
2793,18.4120006561,1
2794,18.4120006561,1
2795,18.4120006561,1
2796,19.1240005493,1
2797,19.1240005493,1
2798,19.1240005493,1
2799,17.295999527,1
2800,17.295999527,1
2801,17.295999527,1
2822,18.4120006561,1
2823,18.4120006561,1
2824,18.4120006561,1
2825,19.1240005493,1
2826,19.1240005493,1
2827,19.1240005493,1
2828,17.295999527,1
2829,17.295999527,1
2830,17.295999527,1
2852,17.1609992981,1
2853,17.9549999237,1
2854,19.1240005493,1
2855,19.1240005493,1
2856,19.1240005493,1
3197,16.8999996185,1
3198,16.8999996185,1
3199,16.8999996185,1
3200,15.0629997253,1
3225,23.6870002747,1
3226,23.6870002747,1
3227,23.6870002747,1
3228,23.0849990845,1
3229,18.3069992065,1
3230,13.6510000229,1
3254,24.1650009155,1
3255,24.1650009155,1
3256,24.1650009155,1
3257,23.0849990845,1
3258,18.3069992065,1
3259,13.6510000229,1
3283,24.1650009155,1
3284,24.1650009155,1
3285,24.1650009155,1
3286,23.0849990845,1
3287,18.3069992065,1
3312,24.1650009155,1
3313,24.1650009155,1
3314,24.1650009155,1
3315,22.5310001373,1
3316,17.6049995422,1
3341,19.281999588,1
3342,21.263999939,1
3343,21.263999939,1
3344,21.263999939,1
3345,17.8309993744,1
3346,17.0240001678,1
3347,17.9249992371,1
3348,17.9249992371,1
3349,17.9249992371,1
3350,15.345000267,1
3351,15.345000267,1
3352,15.345000267,1
3372,17.8309993744,1
3373,18.4120006561,1
