,scores,cavity
259,17.4190006256,1
260,17.4190006256,1
261,17.4190006256,1
270,17.4190006256,1
271,17.4190006256,1
272,17.4190006256,1
281,17.4190006256,1
282,17.4190006256,1
283,17.4190006256,1
357,10.2620000839,1
358,10.2620000839,1
359,10.2620000839,1
367,11.1490001678,1
368,11.9390001297,1
369,17.4190006256,1
370,17.4190006256,1
371,17.4190006256,1
377,9.64000034332,1
378,11.9350004196,1
379,14.3979997635,1
380,17.4190006256,1
381,17.4190006256,1
382,17.4190006256,1
387,10.7939996719,1
388,10.7939996719,1
389,11.9350004196,1
390,14.3979997635,1
391,17.4190006256,1
392,17.4190006256,1
393,17.4190006256,1
398,10.7939996719,1
399,10.7939996719,1
400,11.9350004196,1
401,14.3979997635,1
402,14.3979997635,1
403,14.3979997635,1
404,13.7860002518,1
412,10.4460000992,1
477,11.1490001678,1
479,17.4190006256,1
480,17.4190006256,1
481,17.4190006256,1
488,11.9350004196,1
489,14.3979997635,1
490,17.4190006256,1
491,17.4190006256,1
492,17.4190006256,1
497,10.7939996719,1
498,10.7939996719,1
499,11.9350004196,1
500,14.3979997635,1
501,17.4190006256,1
502,17.4190006256,1
503,17.4190006256,1
510,11.9350004196,1
511,14.3979997635,1
512,14.3979997635,1
513,14.3979997635,1
514,13.7860002518,1
598,11.9350004196,1
599,14.3979997635,1
600,14.3979997635,1
601,14.3979997635,1
602,13.7860002518,1
607,10.7939996719,1
608,10.7939996719,1
609,11.9350004196,1
610,14.3979997635,1
611,14.3979997635,1
612,14.3979997635,1
613,13.7860002518,1
620,11.9350004196,1
621,14.3979997635,1
622,14.3979997635,1
623,14.3979997635,1
624,13.7860002518,1
2329,1.06400001049,1
2330,1.06400001049,1
2331,1.06400001049,1
2353,1.06400001049,1
2354,1.06400001049,1
2355,1.06400001049,1
2377,1.06400001049,1
2378,1.06400001049,1
2379,1.06400001049,1
2828,1.05499994755,1
2829,1.05499994755,1
2830,1.05499994755,1
2831,1.05400002003,1
2852,1.05499994755,1
2853,1.13999998569,1
2854,1.41400003433,1
2855,1.41400003433,1
2856,1.41400003433,1
2862,5.00699996948,1
2863,8.66100025177,1
2864,8.66100025177,1
2865,8.66100025177,1
2866,1.66400003433,1
2876,1.05499994755,1
2877,1.38399994373,1
2878,2.18899989128,1
2879,2.18899989128,1
2880,2.18899989128,1
2881,1.65999996662,1
2883,1.37399995327,1
2884,3.50099992752,1
2885,3.50099992752,1
2886,6.30499982834,1
2887,8.66100025177,1
2888,8.66100025177,1
2889,8.66100025177,1
2890,8.05200004578,1
2891,3.17000007629,1
2901,1.38399994373,1
2902,2.18899989128,1
2903,2.18899989128,1
2904,2.18899989128,1
2905,1.83399999142,1
2906,1.68200004101,1
2907,3.6779999733,1
2908,4.42500019073,1
2909,4.42500019073,1
2910,6.30499982834,1
2911,8.66100025177,1
2912,8.66100025177,1
2913,8.66100025177,1
2914,8.05200004578,1
2915,4.35500001907,1
2928,2.18899989128,1
2929,2.0490000248,1
2930,2.0490000248,1
2931,4.26800012589,1
2932,4.79899978638,1
2933,4.79899978638,1
2934,6.30499982834,1
2935,8.1219997406,1
2936,8.1219997406,1
2937,8.1219997406,1
2938,8.05200004578,1
2939,4.35500001907,1
2940,1.49300003052,1
2952,1.90799999237,1
2953,2.38400006294,1
2954,2.38400006294,1
2955,4.26800012589,1
2956,4.79899978638,1
2957,4.79899978638,1
2958,4.98000001907,1
2959,6.742000103,1
2960,6.742000103,1
2961,6.742000103,1
2962,6.44999980927,1
2963,4.35500001907,1
2964,1.49300003052,1
2977,2.38400006294,1
2978,2.38400006294,1
2979,4.26800012589,1
2980,4.79899978638,1
2981,4.79899978638,1
2982,4.79899978638,1
2983,4.14900016785,1
2984,6.44999980927,1
2985,6.44999980927,1
2986,6.44999980927,1
2987,3.9430000782,1
2988,1.49300003052,1
3000,1.27600002289,1
3001,2.38400006294,1
3002,2.38400006294,1
3003,2.38400006294,1
3004,4.22900009155,1
3005,4.22900009155,1
3006,4.22900009155,1
3007,3.10400009155,1
3008,3.4240000248,1
3009,3.4240000248,1
3010,3.4240000248,1
3011,2.53500008583,1
3025,1.12600004673,1
3026,1.12600004673,1
3027,1.12600004673,1
3404,1.1590000391,1
3405,1.1590000391,1
3406,1.1590000391,1
3427,3.23200011253,1
3428,3.23200011253,1
3429,3.23200011253,1
3430,2.35100007057,1
3431,1.73699998856,1
3435,1.52400004864,1
3436,2.3789999485,1
3437,3.84299993515,1
3438,3.84299993515,1
3439,3.84299993515,1
3440,3.28299999237,1
3441,2.82399988174,1
3442,2.3710000515,1
3451,3.23200011253,1
3452,3.25099992752,1
3453,3.25099992752,1
3454,3.25099992752,1
3455,3.0,1
3456,1.41400003433,1
3457,1.41799998283,1
3458,1.41799998283,1
3459,2.17499995232,1
3460,4.30399990082,1
3461,7.50099992752,1
3462,7.50099992752,1
3463,9.27900028229,1
3464,9.27900028229,1
3465,9.27900028229,1
3466,7.35799980164,1
3467,3.36400008202,1
3468,2.8069999218,1
3475,3.23200011253,1
3476,3.41700005531,1
3477,4.47700023651,1
3478,4.47700023651,1
3479,4.47700023651,1
3480,2.18899989128,1
3481,1.65999996662,1
3482,1.53299999237,1
3483,3.03800010681,1
3484,4.5529999733,1
3485,7.50099992752,1
3486,7.50099992752,1
3490,10.0270004272,1
3491,4.69600009918,1
3492,2.8069999218,1
3499,3.132999897,1
3500,3.41700005531,1
3501,4.47700023651,1
3502,4.47700023651,1
3503,4.47700023651,1
3504,3.58100008965,1
3505,2.73099994659,1
