,scores,cavity
1641,15.5310001373,1
1642,18.0909996033,1
1643,18.0909996033,1
1644,18.0909996033,1
1665,15.5310001373,1
1666,18.0909996033,1
1667,18.0909996033,1
1668,18.0909996033,1
1689,15.5310001373,1
1690,18.0909996033,1
1691,18.0909996033,1
1692,18.0909996033,1
1713,15.0399999619,1
1714,16.0039997101,1
1715,16.0039997101,1
1716,16.0039997101,1
2241,15.7849998474,1
2242,18.0909996033,1
2243,18.0909996033,1
2244,18.0909996033,1
2264,14.3389997482,1
2265,18.063999176,1
2266,18.0909996033,1
2267,18.0909996033,1
2268,18.0909996033,1
2288,14.3389997482,1
2289,18.063999176,1
2290,18.0909996033,1
2291,18.0909996033,1
2292,18.0909996033,1
2312,14.3389997482,1
2313,18.063999176,1
2314,18.063999176,1
2315,18.063999176,1
2316,17.3059997559,1
2841,15.7849998474,1
2842,18.0909996033,1
2843,18.0909996033,1
2844,18.0909996033,1
2864,14.3389997482,1
2865,18.063999176,1
2866,18.0909996033,1
2867,18.0909996033,1
2868,18.0909996033,1
2888,14.3649997711,1
2889,18.063999176,1
2890,18.0909996033,1
2891,18.0909996033,1
2892,18.0909996033,1
2912,14.3649997711,1
2913,18.063999176,1
2914,18.063999176,1
2915,18.063999176,1
2916,17.3059997559,1
2936,14.3649997711,1
2937,14.3649997711,1
3441,15.7849998474,1
3442,16.9029998779,1
3443,16.9029998779,1
3444,16.9029998779,1
3464,14.3389997482,1
3465,18.063999176,1
3466,18.063999176,1
3467,18.063999176,1
3468,17.3059997559,1
3487,13.8800001144,1
3488,14.3649997711,1
3489,18.063999176,1
3490,18.063999176,1
3491,18.063999176,1
3492,17.3059997559,1
3511,13.8800001144,1
3513,18.063999176,1
3514,18.063999176,1
3515,18.063999176,1
3516,17.3059997559,1
3535,13.8800001144,1
3659,16.4190006256,1
3660,16.4190006256,1
3661,16.4190006256,1
3662,14.638999939,1
3683,16.4190006256,1
3684,16.4190006256,1
3685,16.4190006256,1
3686,14.638999939,1
3707,16.4190006256,1
3708,16.4190006256,1
3709,16.4190006256,1
3710,14.638999939,1
4065,14.857000351,1
4066,14.857000351,1
4067,14.857000351,1
4087,13.8800001144,1
4088,14.3649997711,1
4089,14.857000351,1
4090,14.857000351,1
4091,14.857000351,1
4111,13.8800001144,1
4113,14.857000351,1
4114,14.857000351,1
4115,14.857000351,1
4135,13.8800001144,1
4259,16.4190006256,1
4260,16.4190006256,1
4261,16.4190006256,1
4262,14.638999939,1
4283,16.4190006256,1
4284,16.4190006256,1
4285,16.4190006256,1
4286,14.638999939,1
4307,16.4190006256,1
4308,16.4190006256,1
4309,16.4190006256,1
4310,14.638999939,1
4859,16.4190006256,1
4860,16.4190006256,1
4861,16.4190006256,1
4862,14.638999939,1
4883,16.4190006256,1
4884,16.4190006256,1
4885,16.4190006256,1
4886,14.638999939,1
4907,16.4190006256,1
4908,16.4190006256,1
4909,16.4190006256,1
4910,14.638999939,1
4999,13.8070001602,1
5000,27.6140003204,1
5001,27.6140003204,1
5009,13.8339996338,1
5010,13.8339996338,1
5011,13.8339996338,1
5023,13.8070001602,1
5024,27.6140003204,1
5025,27.6140003204,1
5033,14.2899999619,1
5034,14.2899999619,1
5035,14.2899999619,1
5047,13.8070001602,1
5048,27.6140003204,1
5049,27.6140003204,1
5057,14.2899999619,1
5058,14.2899999619,1
5059,14.2899999619,1
5081,14.2899999619,1
5082,14.2899999619,1
5083,14.2899999619,1
5456,20.9939994812,1
5480,20.9939994812,1
5504,20.9939994812,1
5585,14.107000351,1
5586,14.107000351,1
5587,14.107000351,1
5599,13.8070001602,1
5600,27.6140003204,1
5601,27.6140003204,1
5609,16.1410007477,1
5610,16.1410007477,1
5611,16.1410007477,1
5623,13.8070001602,1
5624,27.6140003204,1
5625,27.6140003204,1
5633,16.1410007477,1
5634,16.1410007477,1
5635,16.1410007477,1
5647,13.8070001602,1
5648,27.6140003204,1
5649,27.6140003204,1
5657,16.1410007477,1
5658,16.1410007477,1
5659,16.1410007477,1
5681,15.4469995499,1
5682,15.4469995499,1
5683,15.4469995499,1
6056,20.9939994812,1
6080,20.9939994812,1
6104,20.9939994812,1
6185,16.3990001678,1
