,scores,cavity
913,16.1730003357,1
914,16.1730003357,1
915,16.1730003357,1
936,16.1730003357,1
937,16.1730003357,1
938,16.1730003357,1
959,16.1730003357,1
960,16.1730003357,1
961,16.1730003357,1
1256,14.718000412,1
1257,15.6649999619,1
1258,15.7019996643,1
1259,15.7019996643,1
1260,15.7019996643,1
1279,19.4979991913,1
1280,19.4979991913,1
1281,19.4979991913,1
1282,18.6450004578,1
1283,17.2099990845,1
1302,19.4979991913,1
1303,19.4979991913,1
1304,19.4979991913,1
1305,18.6450004578,1
1306,17.2099990845,1
1325,19.4979991913,1
1326,19.4979991913,1
1327,19.4979991913,1
1328,18.6450004578,1
1329,17.2099990845,1
1348,15.8789997101,1
1349,17.5809993744,1
1350,17.5809993744,1
1351,17.5809993744,1
1555,14.9960002899,1
1556,14.9960002899,1
1557,14.9960002899,1
1558,14.7569999695,1
1578,14.9960002899,1
1579,14.9960002899,1
1580,14.9960002899,1
1581,14.7569999695,1
1601,14.9960002899,1
1602,14.9960002899,1
1603,14.9960002899,1
1604,14.7569999695,1
1624,14.718000412,1
1625,16.8260002136,1
1626,16.8260002136,1
1627,16.8260002136,1
1628,15.7019996643,1
1647,19.4979991913,1
1648,19.4979991913,1
1649,19.4979991913,1
1650,18.6450004578,1
1651,17.2099990845,1
1669,16.3439998627,1
1670,19.4979991913,1
1671,19.4979991913,1
1672,19.4979991913,1
1673,18.6450004578,1
1674,17.2099990845,1
1692,16.3439998627,1
1693,19.4979991913,1
1694,19.4979991913,1
1695,19.4979991913,1
1696,18.6450004578,1
1697,17.2099990845,1
1715,16.3439998627,1
1716,16.9720001221,1
1717,17.5809993744,1
1718,17.5809993744,1
1719,17.5809993744,1
1741,16.1700000763,1
1901,10.9960002899,1
1902,12.1929998398,1
1903,12.1929998398,1
1904,12.1929998398,1
1923,17.7220001221,1
1924,17.7220001221,1
1925,17.7220001221,1
1926,14.7569999695,1
1927,13.8280000687,1
1928,9.3140001297,1
1929,9.3140001297,1
1946,17.7220001221,1
1947,17.7220001221,1
1948,17.7220001221,1
1949,14.7569999695,1
1950,13.8280000687,1
1951,9.3140001297,1
1952,9.3140001297,1
1969,17.7220001221,1
1970,17.7220001221,1
1971,17.7220001221,1
1972,14.7569999695,1
1973,13.8280000687,1
1992,14.718000412,1
1993,16.8260002136,1
1994,16.8260002136,1
1995,16.8260002136,1
1996,15.7019996643,1
2015,19.4979991913,1
2016,19.4979991913,1
2017,19.4979991913,1
2018,18.6450004578,1
2019,17.2099990845,1
2037,16.3439998627,1
2038,19.4979991913,1
2039,19.4979991913,1
2040,19.4979991913,1
2041,18.6450004578,1
2042,17.2099990845,1
2060,16.3439998627,1
2061,19.4979991913,1
2062,19.4979991913,1
2063,19.4979991913,1
2064,18.6450004578,1
2065,17.2099990845,1
2083,16.3439998627,1
2084,16.9720001221,1
2085,17.5809993744,1
2086,17.5809993744,1
2087,17.5809993744,1
2269,10.9960002899,1
2270,12.1929998398,1
2271,12.1929998398,1
2272,12.1929998398,1
2290,14.984000206,1
2291,17.7220001221,1
2292,17.7220001221,1
2293,17.7220001221,1
2294,16.5149993896,1
2295,13.8280000687,1
2296,9.3140001297,1
2297,9.3140001297,1
2303,11.954000473,1
2304,11.954000473,1
2305,11.954000473,1
2313,14.984000206,1
2314,17.7220001221,1
2315,17.7220001221,1
2316,17.7220001221,1
2317,16.5149993896,1
2318,13.8280000687,1
2326,11.954000473,1
2327,11.954000473,1
2328,11.954000473,1
2336,14.984000206,1
2337,17.7220001221,1
2338,17.7220001221,1
2339,17.7220001221,1
2340,16.5149993896,1
2341,13.8280000687,1
2349,11.954000473,1
2350,11.954000473,1
2352,12.9960002899,1
2353,12.9960002899,1
2354,12.9960002899,1
2360,14.0939998627,1
2361,16.8260002136,1
2362,16.8260002136,1
2363,16.8260002136,1
2374,13.3500003815,1
2375,13.3500003815,1
2383,17.6730003357,1
2384,17.9829998016,1
2385,17.9829998016,1
2386,17.9829998016,1
2397,13.3500003815,1
2405,16.3439998627,1
2406,17.6730003357,1
2407,17.9829998016,1
2408,17.9829998016,1
2409,17.9829998016,1
2420,13.3500003815,1
2428,16.3439998627,1
2429,17.6730003357,1
2430,17.9829998016,1
2431,17.9829998016,1
2432,17.9829998016,1
2451,16.3439998627,1
2452,16.9720001221,1
2453,16.9720001221,1
2454,16.9720001221,1
2455,16.968000412,1
2637,10.9960002899,1
2638,12.1929998398,1
2639,12.1929998398,1
2640,12.1929998398,1
2648,13.5559997559,1
2649,17.2999992371,1
2650,17.2999992371,1
2651,17.2999992371,1
2658,14.984000206,1
2659,17.7220001221,1
2660,17.7220001221,1
2661,17.7220001221,1
2662,16.5149993896,1
2663,13.8280000687,1
2670,14.5030002594,1
2671,17.4640007019,1
2672,17.4640007019,1
2673,17.4640007019,1
2674,17.2999992371,1
2675,13.125,1
2681,14.984000206,1
2682,17.7220001221,1
2683,17.7220001221,1
2684,17.7220001221,1
2693,14.5030002594,1
2694,17.4640007019,1
2695,17.4640007019,1
2696,17.4640007019,1
2697,17.2999992371,1
2698,13.125,1
2704,14.984000206,1
2705,17.7220001221,1
2706,17.7220001221,1
2707,17.7220001221,1
2716,14.5030002594,1
2717,17.4640007019,1
2718,17.4640007019,1
2719,17.4640007019,1
2720,15.343000412,1
2721,14.2060003281,1
2722,12.9960002899,1
2728,14.0939998627,1
2739,11.2899999619,1
2740,14.013999939,1
2741,14.013999939,1
2742,14.8229999542,1
2743,14.8229999542,1
2751,15.9469995499,1
2752,15.9469995499,1
2753,15.9469995499,1
2764,13.3979997635,1
2765,14.8229999542,1
2788,14.8229999542,1
3005,10.3149995804,1
3006,10.3149995804,1
3007,10.3149995804,1
3016,14.6859998703,1
3017,17.658000946,1
3018,17.658000946,1
