,scores,cavity
195,10.7469997406,1
196,10.7469997406,1
197,10.7469997406,1
203,11.6739997864,1
204,11.6739997864,1
205,11.6739997864,1
210,12.0659999847,1
211,13.2600002289,1
212,13.2600002289,1
218,13.4569997787,1
219,13.8979997635,1
220,13.8979997635,1
226,13.4569997787,1
227,13.8979997635,1
228,13.8979997635,1
234,13.4569997787,1
235,13.8979997635,1
236,13.8979997635,1
237,13.8979997635,1
282,9.59200000763,1
283,10.7469997406,1
284,10.7469997406,1
285,10.7469997406,1
290,11.640999794,1
291,13.515999794,1
292,13.515999794,1
293,13.515999794,1
298,14.579000473,1
299,17.3449993134,1
300,17.3449993134,1
301,17.3449993134,1
306,18.1030006409,1
307,18.1030006409,1
308,18.1030006409,1
309,17.3449993134,1
314,18.1030006409,1
315,18.1030006409,1
316,18.1030006409,1
317,17.3449993134,1
322,18.1030006409,1
323,18.1030006409,1
324,18.1030006409,1
325,15.2399997711,1
330,14.9270000458,1
331,14.9270000458,1
332,14.9270000458,1
370,9.59200000763,1
371,10.7469997406,1
372,10.7469997406,1
373,10.7469997406,1
378,11.640999794,1
379,13.515999794,1
380,13.515999794,1
381,13.515999794,1
386,14.579000473,1
387,17.3449993134,1
388,17.3449993134,1
389,17.3449993134,1
394,18.1030006409,1
395,18.1030006409,1
396,18.1030006409,1
397,17.3449993134,1
402,18.1030006409,1
403,18.1030006409,1
404,18.1030006409,1
405,17.3449993134,1
410,18.1030006409,1
411,18.1030006409,1
412,18.1030006409,1
413,15.2399997711,1
418,14.9270000458,1
419,14.9270000458,1
420,14.9270000458,1
458,9.59200000763,1
459,10.0979995728,1
460,10.0979995728,1
461,10.0979995728,1
466,11.640999794,1
467,13.515999794,1
468,13.515999794,1
469,13.515999794,1
474,14.579000473,1
475,17.3449993134,1
476,17.3449993134,1
477,17.3449993134,1
482,18.1030006409,1
483,18.1030006409,1
484,18.1030006409,1
485,17.3449993134,1
490,18.1030006409,1
491,18.1030006409,1
492,18.1030006409,1
493,17.3449993134,1
498,18.1030006409,1
499,18.1030006409,1
500,18.1030006409,1
501,15.2399997711,1
506,14.9270000458,1
507,14.9270000458,1
508,14.9270000458,1
547,9.57999992371,1
548,9.57999992371,1
549,9.57999992371,1
555,10.8009996414,1
556,10.8009996414,1
557,10.8009996414,1
563,12.9770002365,1
564,12.9770002365,1
565,12.9770002365,1
570,15.3940000534,1
571,15.3940000534,1
572,15.3940000534,1
573,12.9770002365,1
578,15.3940000534,1
579,15.3940000534,1
580,15.3940000534,1
586,15.3940000534,1
587,15.3940000534,1
588,15.3940000534,1
594,13.8559999466,1
3257,8.40799999237,1
3258,8.47999954224,1
3259,8.47999954224,1
3260,8.47999954224,1
4067,8.40799999237,1
4068,9.12699985504,1
4069,10.3269996643,1
4070,11.2969999313,1
4071,11.2969999313,1
4072,11.2969999313,1
4094,9.53600025177,1
4095,10.8339996338,1
4096,10.8339996338,1
4097,11.2969999313,1
4098,11.2969999313,1
4099,11.2969999313,1
4121,9.72900009155,1
4122,11.0839996338,1
4123,11.1239995956,1
4148,9.72900009155,1
4149,11.2250003815,1
4150,11.2250003815,1
4176,11.75,1
4177,11.75,1
4907,8.38199996948,1
4908,8.38199996948,1
4909,8.38199996948,1
4932,8.76000022888,1
4933,9.32100009918,1
4934,9.89099979401,1
4935,9.89099979401,1
4936,9.89099979401,1
4958,11.8030004501,1
4959,11.8030004501,1
4960,11.8030004501,1
4961,11.2969999313,1
4962,11.2969999313,1
4963,11.2969999313,1
4985,11.8030004501,1
4986,11.8030004501,1
4987,11.8030004501,1
4988,11.7449998856,1
4989,11.2969999313,1
4990,11.2969999313,1
4991,8.55200004578,1
5012,11.8030004501,1
5013,11.8030004501,1
5014,11.8030004501,1
5039,11.75,1
5040,11.75,1
5041,11.75,1
5046,9.56799983978,1
5066,10.5909996033,1
5067,11.75,1
5068,11.75,1
5073,9.56799983978,1
5770,8.74100017548,1
5771,8.74100017548,1
5772,8.74100017548,1
5773,8.60900020599,1
5794,8.43799972534,1
5795,8.43799972534,1
5796,8.73299980164,1
5797,10.2580003738,1
5798,10.3100004196,1
5799,10.3100004196,1
5800,10.3100004196,1
5801,8.48999977112,1
5821,9.06799983978,1
5822,10.3800001144,1
5823,10.7440004349,1
5824,11.093000412,1
5825,11.093000412,1
5826,11.093000412,1
5827,10.7589998245,1
5828,8.93999958038,1
5848,9.06799983978,1
5849,11.8030004501,1
5850,11.8030004501,1
5851,11.8030004501,1
5852,11.470000267,1
5853,11.3219995499,1
5854,11.2969999313,1
5855,8.93999958038,1
5875,9.06799983978,1
5876,11.8030004501,1
5877,11.8030004501,1
5878,11.8170003891,1
5879,11.8170003891,1
5880,11.8170003891,1
5881,11.2969999313,1
5882,9.42199993134,1
5902,8.92500019073,1
5903,11.8030004501,1
5904,11.8030004501,1
5905,11.8170003891,1
5910,8.73099994659,1
5929,8.79599952698,1
5930,11.75,1
5931,11.75,1
5932,11.8170003891,1
5937,9.56799983978,1
5956,8.28800010681,1
5957,10.982000351,1
5958,11.75,1
5959,11.75,1
5964,9.56799983978,1
5984,10.1780004501,1
5985,11.75,1
5986,11.75,1
5991,9.56799983978,1
6633,8.45400047302,1
6634,8.45400047302,1
6635,8.45400047302,1
6658,8.47000026703,1
6659,9.31799983978,1
6660,10.7770004272,1
6661,10.7770004272,1
6662,10.7770004272,1
6663,10.3409996033,1
6664,9.96899986267,1
6685,9.29199981689,1
6686,9.98200035095,1
6687,10.7770004272,1
6688,11.248000145,1
6689,11.248000145,1
6690,11.248000145,1
6691,10.734000206,1
6692,8.48999977112,1
6712,9.64900016785,1
6713,11.8170003891,1
6714,11.8170003891,1
6715,11.8170003891,1
6716,11.7419996262,1
6717,11.248000145,1
6718,10.7589998245,1
6719,8.93999958038,1
6739,10.0679998398,1
6740,11.8170003891,1
6741,11.8170003891,1
6742,12.6739997864,1
6743,12.6739997864,1
6744,12.6739997864,1
6745,10.7589998245,1
6746,9.13300037384,1
6766,10.0679998398,1
6767,11.8170003891,1
6768,11.8170003891,1
6769,12.6739997864,1
6770,12.6739997864,1
6771,12.6739997864,1
6772,11.248000145,1
6773,10.4219999313,1
6793,10.0679998398,1
6794,11.8030004501,1
6795,11.8030004501,1
6796,12.6739997864,1
6797,12.6739997864,1
6801,10.142999649,1
6820,8.79599952698,1
6821,11.75,1
6822,11.75,1
6823,11.8170003891,1
6828,10.142999649,1
6847,8.28800010681,1
6848,10.982000351,1
6849,11.4910001755,1
6850,11.4910001755,1
6855,10.142999649,1
6856,8.8170003891,1
6875,9.00199985504,1
6876,11.4910001755,1
6877,11.4910001755,1
6882,11.8170003891,1
6883,9.78400039673,1
6905,11.75,1
6906,12.6739997864,1
6907,12.6739997864,1
7522,8.91899967194,1
7523,9.74899959564,1
7524,9.74899959564,1
7525,9.74899959564,1
