,scores,cavity
195,10.7469997406,1
196,10.7469997406,1
197,10.7469997406,1
203,11.6739997864,1
204,11.6739997864,1
205,11.6739997864,1
210,12.0659999847,1
211,13.2600002289,1
212,13.2600002289,1
218,13.4569997787,1
219,13.8979997635,1
220,13.8979997635,1
226,13.4569997787,1
227,13.8979997635,1
228,13.8979997635,1
234,13.4569997787,1
235,13.8979997635,1
236,13.8979997635,1
237,13.8979997635,1
282,9.59200000763,1
283,10.7469997406,1
284,10.7469997406,1
285,10.7469997406,1
290,11.640999794,1
291,13.515999794,1
292,13.515999794,1
293,13.515999794,1
298,14.579000473,1
299,17.3449993134,1
300,17.3449993134,1
301,17.3449993134,1
306,18.1030006409,1
307,18.1030006409,1
308,18.1030006409,1
309,17.3449993134,1
314,18.1030006409,1
315,18.1030006409,1
316,18.1030006409,1
317,17.3449993134,1
322,18.1030006409,1
323,18.1030006409,1
324,18.1030006409,1
325,15.2399997711,1
330,14.9270000458,1
331,14.9270000458,1
332,14.9270000458,1
370,9.59200000763,1
371,10.7469997406,1
372,10.7469997406,1
373,10.7469997406,1
378,11.640999794,1
379,13.515999794,1
380,13.515999794,1
381,13.515999794,1
386,14.579000473,1
387,17.3449993134,1
388,17.3449993134,1
389,17.3449993134,1
394,18.1030006409,1
395,18.1030006409,1
396,18.1030006409,1
397,17.3449993134,1
402,18.1030006409,1
403,18.1030006409,1
404,18.1030006409,1
405,17.3449993134,1
410,18.1030006409,1
411,18.1030006409,1
412,18.1030006409,1
413,15.2399997711,1
418,14.9270000458,1
419,14.9270000458,1
420,14.9270000458,1
458,9.59200000763,1
459,10.0979995728,1
460,10.0979995728,1
461,10.0979995728,1
466,11.640999794,1
467,13.515999794,1
468,13.515999794,1
469,13.515999794,1
474,14.579000473,1
475,17.3449993134,1
476,17.3449993134,1
477,17.3449993134,1
482,18.1030006409,1
483,18.1030006409,1
484,18.1030006409,1
485,17.3449993134,1
490,18.1030006409,1
491,18.1030006409,1
492,18.1030006409,1
493,17.3449993134,1
498,18.1030006409,1
499,18.1030006409,1
500,18.1030006409,1
501,15.2399997711,1
506,14.9270000458,1
507,14.9270000458,1
508,14.9270000458,1
547,9.57999992371,1
548,9.57999992371,1
549,9.57999992371,1
555,10.8009996414,1
556,10.8009996414,1
557,10.8009996414,1
563,12.9770002365,1
564,12.9770002365,1
565,12.9770002365,1
570,15.3940000534,1
571,15.3940000534,1
572,15.3940000534,1
573,12.9770002365,1
578,15.3940000534,1
579,15.3940000534,1
580,15.3940000534,1
586,15.3940000534,1
587,15.3940000534,1
588,15.3940000534,1
594,13.8559999466,1
2636,8.40799999237,1
2637,8.47999954224,1
2638,8.47999954224,1
2639,8.47999954224,1
2640,7.9279999733,1
2663,8.40799999237,1
2664,9.10099983215,1
2665,10.4409999847,1
2666,10.4409999847,1
2667,10.4409999847,1
2668,9.58100032806,1
2690,8.40799999237,1
2691,9.10099983215,1
2692,10.4409999847,1
2693,10.4409999847,1
2694,10.4409999847,1
2695,9.58100032806,1
2718,9.10099983215,1
2719,10.4409999847,1
2720,10.4409999847,1
2721,10.4409999847,1
2722,9.58100032806,1
3232,7.98600006104,1
3233,7.98600006104,1
3234,7.98600006104,1
3256,7.86899995804,1
3257,8.40799999237,1
3258,9.12699985504,1
3259,10.3269996643,1
3260,11.2969999313,1
3261,11.2969999313,1
3262,11.2969999313,1
3283,7.86899995804,1
3284,9.53600025177,1
3285,10.8339996338,1
3286,10.8339996338,1
3287,11.2969999313,1
3288,11.2969999313,1
3289,11.2969999313,1
3310,7.86899995804,1
3311,9.72900009155,1
3312,11.0839996338,1
3313,11.1239995956,1
3338,9.72900009155,1
3339,11.2250003815,1
3340,11.2250003815,1
3365,10.1780004501,1
3366,11.75,1
3367,11.75,1
3392,10.1780004501,1
3393,11.75,1
3394,11.75,1
3419,10.1780004501,1
3420,11.75,1
3421,11.75,1
3425,9.58100032806,1
3447,10.0380001068,1
3448,10.0380001068,1
3449,10.4409999847,1
3450,10.4409999847,1
3451,10.4409999847,1
3452,9.58100032806,1
3475,8.47999954224,1
3476,10.4409999847,1
3477,10.4409999847,1
3478,10.4409999847,1
3479,9.58100032806,1
3502,8.07499980927,1
3503,8.26200008392,1
3504,8.26200008392,1
3505,8.26200008392,1
3907,8.20499992371,1
3908,8.38199996948,1
3909,8.38199996948,1
3910,8.38199996948,1
3933,8.76000022888,1
3934,9.32100009918,1
3935,9.89099979401,1
3936,9.89099979401,1
3937,9.89099979401,1
3958,7.86899995804,1
3959,11.8030004501,1
3960,11.8030004501,1
3961,11.8030004501,1
3962,11.2969999313,1
3963,11.2969999313,1
3964,11.2969999313,1
3965,8.00199985504,1
3985,7.86899995804,1
3986,11.8030004501,1
3987,11.8030004501,1
3988,11.8030004501,1
3989,11.7449998856,1
3990,11.2969999313,1
3991,11.2969999313,1
3992,8.55200004578,1
4012,7.86899995804,1
4013,11.8030004501,1
4014,11.8030004501,1
4015,11.8030004501,1
4040,11.75,1
4041,11.75,1
4042,11.75,1
4047,9.56799983978,1
4067,10.5909996033,1
4068,11.75,1
4069,11.75,1
4074,9.56799983978,1
4094,10.1780004501,1
4095,11.75,1
4096,11.75,1
4101,9.56799983978,1
4121,10.1780004501,1
4122,11.75,1
4123,11.75,1
4127,11.470000267,1
4128,9.14400005341,1
4149,10.4989995956,1
4150,11.0959997177,1
4151,11.75,1
4152,11.75,1
4153,11.75,1
4154,9.67000007629,1
4155,8.07100009918,1
4177,10.6590003967,1
4178,11.5290002823,1
4179,11.5290002823,1
4180,11.5290002823,1
4181,9.58100032806,1
4182,8.07100009918,1
4204,8.93200016022,1
4205,10.4989995956,1
4206,10.4989995956,1
4207,10.4989995956,1
4208,9.01900005341,1
4231,8.93200016022,1
4232,9.6920003891,1
4233,9.6920003891,1
4234,9.6920003891,1
4235,9.01900005341,1
4582,8.74100017548,1
4583,8.74100017548,1
4584,8.74100017548,1
4585,8.60900020599,1
4606,8.43799972534,1
4607,8.43799972534,1
4608,8.73299980164,1
4609,10.2580003738,1
4610,10.3100004196,1
4611,10.3100004196,1
4612,10.3100004196,1
4613,8.48999977112,1
4633,9.06799983978,1
4634,10.3800001144,1
4635,10.7440004349,1
4636,11.093000412,1
4637,11.093000412,1
4638,11.093000412,1
4639,10.7589998245,1
4640,8.93999958038,1
4660,9.06799983978,1
4661,11.8030004501,1
4662,11.8030004501,1
4663,11.8030004501,1
4664,11.470000267,1
4665,11.3219995499,1
4666,11.2969999313,1
4667,8.93999958038,1
4687,9.06799983978,1
4688,11.8030004501,1
4689,11.8030004501,1
4690,11.8170003891,1
4691,11.8170003891,1
4692,11.8170003891,1
4693,11.2969999313,1
4694,9.42199993134,1
4714,8.92500019073,1
4715,11.8030004501,1
4716,11.8030004501,1
4717,11.8170003891,1
4722,8.73099994659,1
4741,8.79599952698,1
