,scores,cavity
1559,19.0270004272,1
1560,19.0270004272,1
1561,19.0270004272,1
1576,19.0270004272,1
1577,19.0270004272,1
1578,19.0270004272,1
1593,19.0270004272,1
1594,19.0270004272,1
1595,19.0270004272,1
2086,16.1189994812,1
2087,16.1189994812,1
2102,16.0300006866,1
2103,19.0270004272,1
2104,19.0270004272,1
2105,19.0270004272,1
2119,16.0300006866,1
2120,19.0270004272,1
2121,19.0270004272,1
2122,19.0270004272,1
2136,16.0300006866,1
2137,19.0270004272,1
2138,19.0270004272,1
2139,19.0270004272,1
2613,17.7719993591,1
2614,17.7719993591,1
2615,17.7719993591,1
2630,17.7719993591,1
2631,17.7719993591,1
2632,17.7719993591,1
2646,16.0300006866,1
2647,19.0270004272,1
2648,19.0270004272,1
2649,19.0270004272,1
2663,16.0300006866,1
2664,19.0270004272,1
2665,19.0270004272,1
2666,19.0270004272,1
2680,16.0300006866,1
2681,19.0270004272,1
2682,19.0270004272,1
2683,19.0270004272,1
3190,16.0300006866,1
3191,17.7719993591,1
3192,17.7719993591,1
3193,17.7719993591,1
3207,16.0300006866,1
3208,16.9780006409,1
3209,16.9780006409,1
3210,16.9780006409,1
3224,16.0300006866,1
3225,16.9780006409,1
3226,16.9780006409,1
3227,16.9780006409,1
3735,17.7719993591,1
8400,16.5079994202,1
8417,16.5079994202,1
8418,17.9650001526,1
8419,17.9650001526,1
8420,17.9650001526,1
8434,16.5079994202,1
8435,17.9650001526,1
8436,18.1000003815,1
8437,18.1000003815,1
8438,18.1000003815,1
8452,17.9650001526,1
8453,19.0860004425,1
8454,19.0860004425,1
8455,19.0860004425,1
8469,17.0820007324,1
8470,19.0860004425,1
8471,19.0860004425,1
8472,19.0860004425,1
8487,19.0860004425,1
8488,19.0860004425,1
8489,19.0860004425,1
8504,17.8090000153,1
8505,17.8090000153,1
8506,17.8090000153,1
8521,16.517999649,1
8522,16.517999649,1
8944,16.7269992828,1
8961,16.7269992828,1
8962,17.9650001526,1
8963,17.9650001526,1
8964,17.9650001526,1
8978,16.7269992828,1
8979,17.9650001526,1
8980,18.1000003815,1
8981,18.1000003815,1
8982,18.1000003815,1
8996,17.9650001526,1
8997,19.0860004425,1
8998,19.0860004425,1
8999,19.0860004425,1
9013,17.3369998932,1
9014,19.0860004425,1
9015,19.0860004425,1
9016,19.0860004425,1
9031,19.0860004425,1
9032,19.0860004425,1
9033,19.0860004425,1
9048,17.8090000153,1
9049,17.8090000153,1
9050,17.8090000153,1
9065,16.517999649,1
9066,16.517999649,1
9488,17.3159999847,1
9489,17.3159999847,1
9505,17.3159999847,1
9506,17.9650001526,1
9507,17.9650001526,1
9508,17.9650001526,1
9522,17.3159999847,1
9523,17.9650001526,1
9524,18.1000003815,1
9525,18.1000003815,1
9526,18.1000003815,1
9539,17.0340003967,1
9540,17.9650001526,1
9541,19.0860004425,1
9542,19.0860004425,1
9543,19.0860004425,1
9557,17.3369998932,1
9558,19.0860004425,1
9559,19.0860004425,1
9560,19.0860004425,1
9575,19.0860004425,1
9576,19.0860004425,1
9577,19.0860004425,1
9592,17.8090000153,1
9593,17.8090000153,1
9594,17.8090000153,1
9609,16.517999649,1
9610,16.517999649,1
9855,16.0359992981,1
9856,16.0359992981,1
9873,16.0359992981,1
9890,16.0359992981,1
10032,17.3159999847,1
10033,17.3159999847,1
10049,17.3159999847,1
10050,17.3159999847,1
10066,17.3159999847,1
10067,17.3369998932,1
10068,17.5729999542,1
10069,17.5729999542,1
10070,17.5729999542,1
10083,17.0340003967,1
10084,17.3369998932,1
10085,17.8099994659,1
10086,17.8099994659,1
10087,17.8099994659,1
10101,17.3369998932,1
10102,17.8099994659,1
10103,17.8099994659,1
10104,17.8099994659,1
10119,17.8099994659,1
10120,17.8099994659,1
10121,17.8099994659,1
10136,16.6809997559,1
10137,16.6809997559,1
10138,16.6809997559,1
10400,16.0359992981,1
10417,16.0359992981,1
10434,16.0359992981,1
10576,17.3159999847,1
10577,17.3159999847,1
10593,17.3159999847,1
10594,17.3159999847,1
10595,17.3159999847,1
10610,17.3159999847,1
10611,17.3159999847,1
10612,17.3159999847,1
10613,17.0170001984,1
10627,17.0340003967,1
10628,17.0340003967,1
10629,17.0340003967,1
10630,17.0170001984,1
10631,16.1299991608,1
10644,15.8839998245,1
10645,16.9139995575,1
10646,16.9139995575,1
10647,16.9139995575,1
10648,16.1299991608,1
10663,16.1299991608,1
10664,16.1299991608,1
10665,16.1299991608,1
10944,16.0359992981,1
10961,16.0359992981,1
10978,16.0359992981,1
11120,15.8719997406,1
11137,15.8719997406,1
11138,17.0170001984,1
11139,17.0170001984,1
11154,15.8839998245,1
11155,17.0170001984,1
11156,17.0170001984,1
11157,17.0170001984,1
11171,15.8839998245,1
11172,17.0170001984,1
11173,17.0170001984,1
11174,17.0170001984,1
11188,15.8839998245,1
11189,15.9759998322,1
11190,15.9759998322,1
11191,15.9759998322,1
11732,15.8839998245,1
11733,15.8839998245,1
11734,15.8839998245,1
12007,18.9120006561,1
12008,18.9120006561,1
12009,18.9120006561,1
12023,19.3729991913,1
12024,19.3729991913,1
12025,19.3729991913,1
12026,18.9120006561,1
12040,19.3729991913,1
12041,19.3729991913,1
12042,19.3729991913,1
12043,18.9120006561,1
12057,19.3729991913,1
12058,19.3729991913,1
12059,19.3729991913,1
12074,17.3920001984,1
12075,17.3920001984,1
12090,16.7259998322,1
12106,17.6289997101,1
12107,17.6289997101,1
12108,17.6289997101,1
12123,17.6289997101,1
12124,17.6289997101,1
12125,17.6289997101,1
12140,17.6289997101,1
12141,17.6289997101,1
12142,17.6289997101,1
12552,18.9120006561,1
12553,18.9120006561,1
12568,19.3729991913,1
12569,19.3729991913,1
12570,19.3700008392,1
12584,19.3729991913,1
12585,19.3729991913,1
12586,19.3729991913,1
12587,19.3700008392,1
12601,19.3729991913,1
12602,19.3729991913,1
12603,19.3729991913,1
12604,19.3700008392,1
12618,17.3920001984,1
12619,17.3920001984,1
12620,17.3920001984,1
12634,16.7259998322,1
12635,16.7259998322,1
12636,16.7259998322,1
12650,17.6289997101,1
12651,17.6289997101,1
12652,17.6289997101,1
12653,16.7259998322,1
12667,17.6289997101,1
12668,17.6289997101,1
12669,17.6289997101,1
12684,17.6289997101,1
12685,17.6289997101,1
12686,17.6289997101,1
13113,19.3729991913,1
13114,19.3700008392,1
13129,19.3729991913,1
13130,19.3729991913,1
13131,19.3700008392,1
13145,19.3729991913,1
13146,19.3729991913,1
13147,19.3729991913,1
13148,19.3700008392,1
13162,17.3920001984,1
13163,17.3920001984,1
13164,17.3920001984,1
13165,17.2740001678,1
13178,16.7259998322,1
13179,16.7259998322,1
13180,16.7259998322,1
13194,17.6289997101,1
13195,17.6289997101,1
13196,17.6289997101,1
13197,16.7259998322,1
13211,17.6289997101,1
13212,17.6289997101,1
13213,17.6289997101,1
13214,16.7259998322,1
13228,17.6289997101,1
13229,17.6289997101,1
13230,17.6289997101,1
13674,19.3700008392,1
13675,19.3700008392,1
13690,19.3700008392,1
13691,19.3700008392,1
13692,19.3700008392,1
13706,16.4440002441,1
13707,17.2740001678,1
13708,17.2740001678,1
13709,17.2740001678,1
13723,15.9600000381,1
13724,15.9600000381,1
13725,15.9600000381,1
17399,16.1959991455,1
17400,16.1959991455,1
17401,16.1959991455,1
17424,16.1959991455,1
17425,16.1959991455,1
17426,16.1959991455,1
17449,16.1959991455,1
17450,16.1959991455,1
17451,16.1959991455,1
17471,16.7479991913,1
17472,16.7479991913,1
17473,16.7479991913,1
17496,16.7479991913,1
17497,16.7479991913,1
17498,16.7479991913,1
17521,16.7479991913,1
17522,16.7479991913,1
17523,16.7479991913,1
18125,16.7490005493,1
18126,17.6730003357,1
18127,17.6730003357,1
18128,17.6730003357,1
18150,18.5119991302,1
18151,18.5119991302,1
18152,18.5119991302,1
18153,17.6730003357,1
18174,16.8169994354,1
18175,18.5119991302,1
18176,18.5119991302,1
18177,18.5119991302,1
18178,17.6730003357,1
18198,15.9429998398,1
18199,17.8490009308,1
18200,18.5119991302,1
18201,18.5119991302,1
18202,18.5119991302,1
18203,17.452999115,1
18222,16.9090003967,1
18223,18.5009994507,1
18224,18.5009994507,1
18225,18.5009994507,1
18226,18.0739994049,1
18227,17.7509994507,1
18228,17.452999115,1
18246,16.6030006409,1
18247,17.7810001373,1
18248,18.5009994507,1
18249,18.5009994507,1
18250,18.5009994507,1
