,scores,cavity
1610,19.0270004272,1
1611,19.0270004272,1
1612,19.0270004272,1
1627,19.0270004272,1
1628,19.0270004272,1
1629,19.0270004272,1
1644,19.0270004272,1
1645,19.0270004272,1
1646,19.0270004272,1
2154,16.1189994812,1
2155,16.1189994812,1
2170,16.0300006866,1
2171,19.0270004272,1
2172,19.0270004272,1
2173,19.0270004272,1
2187,16.0300006866,1
2188,19.0270004272,1
2189,19.0270004272,1
2190,19.0270004272,1
2204,16.0300006866,1
2205,19.0270004272,1
2206,19.0270004272,1
2207,19.0270004272,1
2698,17.7719993591,1
2699,17.7719993591,1
2700,17.7719993591,1
2715,17.7719993591,1
2716,17.7719993591,1
2717,17.7719993591,1
2731,16.0300006866,1
2732,19.0270004272,1
2733,19.0270004272,1
2734,19.0270004272,1
2748,16.0300006866,1
2749,19.0270004272,1
2750,19.0270004272,1
2751,19.0270004272,1
2765,16.0300006866,1
2766,19.0270004272,1
2767,19.0270004272,1
2768,19.0270004272,1
3292,16.0300006866,1
3293,17.7719993591,1
3294,17.7719993591,1
3295,17.7719993591,1
3309,16.0300006866,1
3310,16.9780006409,1
3311,16.9780006409,1
3312,16.9780006409,1
3326,16.0300006866,1
3327,16.9780006409,1
3328,16.9780006409,1
3329,16.9780006409,1
3854,17.7719993591,1
8672,16.5079994202,1
8689,16.5079994202,1
8690,17.9650001526,1
8691,17.9650001526,1
8692,17.9650001526,1
8706,16.5079994202,1
8707,17.9650001526,1
8708,18.1000003815,1
8709,18.1000003815,1
8710,18.1000003815,1
8724,17.9650001526,1
8725,19.0860004425,1
8726,19.0860004425,1
8727,19.0860004425,1
8741,17.0820007324,1
8742,19.0860004425,1
8743,19.0860004425,1
8744,19.0860004425,1
8759,19.0860004425,1
8760,19.0860004425,1
8761,19.0860004425,1
8776,17.8090000153,1
8777,17.8090000153,1
8778,17.8090000153,1
8793,16.517999649,1
8794,16.517999649,1
9233,16.7269992828,1
9250,16.7269992828,1
9251,17.9650001526,1
9252,17.9650001526,1
9253,17.9650001526,1
9267,16.7269992828,1
9268,17.9650001526,1
9269,18.1000003815,1
9270,18.1000003815,1
9271,18.1000003815,1
9285,17.9650001526,1
9286,19.0860004425,1
9287,19.0860004425,1
9288,19.0860004425,1
9302,17.3369998932,1
9303,19.0860004425,1
9304,19.0860004425,1
9305,19.0860004425,1
9320,19.0860004425,1
9321,19.0860004425,1
9322,19.0860004425,1
9337,17.8090000153,1
9338,17.8090000153,1
9339,17.8090000153,1
9354,16.517999649,1
9355,16.517999649,1
9794,17.3159999847,1
9795,17.3159999847,1
9811,17.3159999847,1
9812,17.9650001526,1
9813,17.9650001526,1
9814,17.9650001526,1
9828,17.3159999847,1
9829,17.9650001526,1
9830,18.1000003815,1
9831,18.1000003815,1
9832,18.1000003815,1
9845,17.0340003967,1
9846,17.9650001526,1
9847,19.0860004425,1
9848,19.0860004425,1
9849,19.0860004425,1
9863,17.3369998932,1
9864,19.0860004425,1
9865,19.0860004425,1
9866,19.0860004425,1
9881,19.0860004425,1
9882,19.0860004425,1
9883,19.0860004425,1
9898,17.8090000153,1
9899,17.8090000153,1
9900,17.8090000153,1
9915,16.517999649,1
9916,16.517999649,1
10178,16.0359992981,1
10179,16.0359992981,1
10196,16.0359992981,1
10213,16.0359992981,1
10355,17.3159999847,1
10356,17.3159999847,1
10372,17.3159999847,1
10373,17.3159999847,1
10389,17.3159999847,1
10390,17.3369998932,1
10391,17.5729999542,1
10392,17.5729999542,1
10393,17.5729999542,1
10406,17.0340003967,1
10407,17.3369998932,1
10408,17.8099994659,1
10409,17.8099994659,1
10410,17.8099994659,1
10424,17.3369998932,1
10425,17.8099994659,1
10426,17.8099994659,1
10427,17.8099994659,1
10442,17.8099994659,1
10443,17.8099994659,1
10444,17.8099994659,1
10459,16.6809997559,1
10460,16.6809997559,1
10461,16.6809997559,1
10740,16.0359992981,1
10757,16.0359992981,1
10774,16.0359992981,1
10916,17.3159999847,1
10917,17.3159999847,1
10933,17.3159999847,1
10934,17.3159999847,1
10935,17.3159999847,1
10950,17.3159999847,1
10951,17.3159999847,1
10952,17.3159999847,1
10953,17.0170001984,1
10967,17.0340003967,1
10968,17.0340003967,1
10969,17.0340003967,1
10970,17.0170001984,1
10971,16.1299991608,1
10984,15.8839998245,1
10985,16.9139995575,1
10986,16.9139995575,1
10987,16.9139995575,1
10988,16.1299991608,1
11003,16.1299991608,1
11004,16.1299991608,1
11005,16.1299991608,1
11301,16.0359992981,1
11318,16.0359992981,1
11335,16.0359992981,1
11495,17.0170001984,1
11496,17.0170001984,1
11511,15.8839998245,1
11512,17.0170001984,1
11513,17.0170001984,1
11514,17.0170001984,1
11528,15.8839998245,1
11529,17.0170001984,1
11530,17.0170001984,1
11531,17.0170001984,1
11545,15.8839998245,1
11546,15.9759998322,1
11547,15.9759998322,1
11548,15.9759998322,1
12106,15.8839998245,1
12107,15.8839998245,1
12108,15.8839998245,1
12398,18.9120006561,1
12399,18.9120006561,1
12400,18.9120006561,1
12414,19.3729991913,1
12415,19.3729991913,1
12416,19.3729991913,1
12417,18.9120006561,1
12431,19.3729991913,1
12432,19.3729991913,1
12433,19.3729991913,1
12434,18.9120006561,1
12448,19.3729991913,1
12449,19.3729991913,1
12450,19.3729991913,1
12465,17.3920001984,1
12466,17.3920001984,1
12481,16.7259998322,1
12497,17.6289997101,1
12498,17.6289997101,1
12499,17.6289997101,1
12514,17.6289997101,1
12515,17.6289997101,1
12516,17.6289997101,1
12531,17.6289997101,1
12532,17.6289997101,1
12533,17.6289997101,1
12941,17.2619991302,1
12942,17.2619991302,1
12943,17.2619991302,1
12958,18.8619995117,1
12959,18.9120006561,1
12960,18.9120006561,1
12961,18.9120006561,1
12975,19.3729991913,1
12976,19.3729991913,1
12977,19.3729991913,1
12978,19.3700008392,1
12992,19.3729991913,1
12993,19.3729991913,1
12994,19.3729991913,1
12995,19.3700008392,1
13009,19.3729991913,1
13010,19.3729991913,1
13011,19.3729991913,1
13012,19.3700008392,1
13026,17.3920001984,1
13027,17.3920001984,1
13028,17.3920001984,1
13042,16.7259998322,1
13043,16.7259998322,1
13044,16.7259998322,1
13058,17.6289997101,1
13059,17.6289997101,1
13060,17.6289997101,1
13061,16.7259998322,1
13075,17.6289997101,1
13076,17.6289997101,1
13077,17.6289997101,1
13092,17.6289997101,1
13093,17.6289997101,1
13094,17.6289997101,1
13502,17.2619991302,1
13503,17.2619991302,1
13504,17.2619991302,1
13519,18.8619995117,1
13520,18.9120006561,1
13521,18.9120006561,1
13522,18.9120006561,1
13536,19.3729991913,1
13537,19.3729991913,1
13538,19.3729991913,1
13539,19.3700008392,1
13553,19.3729991913,1
13554,19.3729991913,1
13555,19.3729991913,1
13556,19.3700008392,1
13570,19.3729991913,1
13571,19.3729991913,1
13572,19.3729991913,1
13573,19.3700008392,1
13587,17.3920001984,1
13588,17.3920001984,1
13589,17.3920001984,1
13590,17.2740001678,1
13603,16.7259998322,1
13604,16.7259998322,1
13605,16.7259998322,1
13619,17.6289997101,1
13620,17.6289997101,1
13621,17.6289997101,1
13622,16.7259998322,1
13636,17.6289997101,1
13637,17.6289997101,1
13638,17.6289997101,1
13639,16.7259998322,1
13653,17.6289997101,1
13654,17.6289997101,1
13655,17.6289997101,1
14063,17.2619991302,1
14064,17.2619991302,1
14065,17.2619991302,1
14080,18.8619995117,1
14081,18.8619995117,1
14082,18.8619995117,1
14083,17.5170001984,1
14097,18.888999939,1
14098,19.3700008392,1
14099,19.3700008392,1
14100,19.3700008392,1
14114,18.888999939,1
14115,19.3700008392,1
14116,19.3700008392,1
14117,19.3700008392,1
14131,18.888999939,1
14132,19.3700008392,1
14133,19.3700008392,1
14134,19.3700008392,1
14148,16.4440002441,1
14149,17.2740001678,1
14150,17.2740001678,1
14151,17.2740001678,1
14165,15.9600000381,1
14166,15.9600000381,1
14167,15.9600000381,1
14641,15.888999939,1
14642,15.888999939,1
14643,15.888999939,1
14658,15.888999939,1
14659,15.888999939,1
14660,15.888999939,1
14675,15.888999939,1
14676,15.888999939,1
14677,15.888999939,1
18436,16.1959991455,1
18437,16.1959991455,1
18438,16.1959991455,1
18461,16.1959991455,1
18462,16.1959991455,1
18463,16.1959991455,1
18486,16.1959991455,1
18487,16.1959991455,1
18488,16.1959991455,1
18508,16.7479991913,1
18509,16.7479991913,1
18510,16.7479991913,1
18533,16.7479991913,1
18534,16.7479991913,1
18535,16.7479991913,1
18558,16.7479991913,1
18559,16.7479991913,1
18560,16.7479991913,1
19162,16.7490005493,1
19163,17.6730003357,1
19164,17.6730003357,1
19165,17.6730003357,1
19187,18.5119991302,1
19188,18.5119991302,1
19189,18.5119991302,1
19190,17.6730003357,1
19211,16.8169994354,1
19212,18.5119991302,1
19213,18.5119991302,1
19214,18.5119991302,1
19215,17.6730003357,1
19235,15.9429998398,1
19236,17.8490009308,1
19237,18.5119991302,1
19238,18.5119991302,1
19239,18.5119991302,1
19240,17.452999115,1
19259,16.9090003967,1
19260,18.5009994507,1
19261,18.5009994507,1
19262,18.5009994507,1
19263,18.0739994049,1
19264,17.7509994507,1
19265,17.452999115,1
19283,16.6030006409,1
19284,17.7810001373,1
19285,18.5009994507,1
19286,18.5009994507,1
19287,18.5009994507,1
19288,18.0739994049,1
19289,17.0979995728,1
19306,15.986000061,1
19307,16.3050003052,1
19308,17.2700004578,1
19309,17.7810001373,1
19310,18.5009994507,1
19311,18.5009994507,1
19312,18.5009994507,1
19313,18.0739994049,1
19332,16.3050003052,1
19333,17.2700004578,1
19334,17.7810001373,1
19335,17.7810001373,1
19336,17.7810001373,1
19337,17.4319992065,1
19358,17.2700004578,1
19359,17.2700004578,1
19360,17.2700004578,1
19361,16.2250003815,1
19383,17.0979995728,1
19384,17.0979995728,1
19385,17.0979995728,1
19386,15.9989995956,1
19408,16.9120006561,1
19409,16.9120006561,1
19410,16.9120006561,1
19938,17.6679992676,1
19939,17.6679992676,1
19940,17.6679992676,1
19961,16.5069999695,1
19962,18.1669998169,1
19963,20.3059997559,1
19964,20.3059997559,1
19965,20.3059997559,1
19966,18.2019996643,1
19984,16.1940002441,1
