,scores,cavity
716,13.4309997559,1
734,15.0059995651,1
735,15.0059995651,1
744,16.3819999695,1
745,17.8020000458,1
746,17.8020000458,1
747,17.8020000458,1
752,15.0059995651,1
753,15.0059995651,1
762,16.3819999695,1
763,17.8020000458,1
764,17.8020000458,1
765,17.8020000458,1
769,15.0059995651,1
770,15.0059995651,1
771,15.0059995651,1
779,16.8500003815,1
780,16.8500003815,1
781,17.8020000458,1
782,17.8020000458,1
783,17.8020000458,1
797,16.8500003815,1
798,16.8500003815,1
799,16.8500003815,1
800,16.6240005493,1
815,16.8500003815,1
816,16.8500003815,1
817,16.8500003815,1
818,16.6240005493,1
940,15.6210002899,1
941,16.5750007629,1
942,16.5750007629,1
943,16.5750007629,1
958,16.6140003204,1
959,17.1420001984,1
960,17.1420001984,1
961,17.1420001984,1
962,14.6440000534,1
976,16.6140003204,1
977,17.1420001984,1
978,17.1420001984,1
979,17.1420001984,1
980,14.6440000534,1
994,16.6140003204,1
995,17.1420001984,1
996,17.1420001984,1
997,17.1420001984,1
998,14.6440000534,1
1012,13.6789999008,1
1013,16.0720005035,1
1017,16.4640007019,1
1018,16.4640007019,1
1033,17.8020000458,1
1034,17.8020000458,1
1035,17.8020000458,1
1036,16.4640007019,1
1041,15.0059995651,1
1051,17.8020000458,1
1052,17.8020000458,1
1053,17.8020000458,1
1054,16.4640007019,1
1057,15.0059995651,1
1058,15.0059995651,1
1059,15.0059995651,1
1067,16.8500003815,1
1068,16.8500003815,1
1069,17.8020000458,1
1070,17.8020000458,1
1071,17.8020000458,1
1072,15.7740001678,1
1085,16.8500003815,1
1086,16.8500003815,1
1087,16.8500003815,1
1088,16.6240005493,1
1089,14.6190004349,1
1103,16.8500003815,1
1104,16.8500003815,1
1105,16.8500003815,1
1106,16.6240005493,1
1191,15.8739995956,1
1192,15.8739995956,1
1193,15.8739995956,1
1209,17.045999527,1
1210,17.8470001221,1
1211,18.9619998932,1
1212,18.9619998932,1
1213,18.9619998932,1
1227,17.045999527,1
1228,18.5540008545,1
1229,19.3999996185,1
1230,19.3999996185,1
1231,19.3999996185,1
1232,16.0830001831,1
1245,17.045999527,1
1246,18.5540008545,1
1247,20.9430007935,1
1248,20.9430007935,1
1249,20.9430007935,1
1250,16.8470001221,1
1263,16.8789997101,1
1264,18.5540008545,1
1265,20.9430007935,1
1266,20.9430007935,1
1267,20.9430007935,1
1268,17.4190006256,1
