,scores,cavity
767,17.2779998779,1
768,17.2779998779,1
769,17.2779998779,1
787,17.2779998779,1
1127,17.2779998779,1
1128,17.2779998779,1
1129,17.2779998779,1
1147,17.2779998779,1
1156,17.9279994965,1
1157,17.9279994965,1
1158,17.9279994965,1
1159,16.9969997406,1
1174,17.9279994965,1
1192,17.9279994965,1
1344,14.873000145,1
1346,15.4910001755,1
1347,15.4910001755,1
1362,14.873000145,1
1363,15.4910001755,1
1364,15.4910001755,1
1365,15.4910001755,1
1380,14.873000145,1
1381,15.4910001755,1
1382,15.4910001755,1
1383,15.4910001755,1
1487,17.2779998779,1
1488,17.2779998779,1
1489,17.2779998779,1
1498,19.3649997711,1
1499,19.3649997711,1
1500,19.3649997711,1
1507,17.2779998779,1
1516,19.3649997711,1
1517,19.3649997711,1
1518,19.3649997711,1
1519,16.9969997406,1
1534,19.3649997711,1
1535,19.3649997711,1
1536,19.3649997711,1
1552,18.7549991608,1
1553,18.7549991608,1
1554,18.7549991608,1
1704,16.8090000153,1
1705,16.8090000153,1
1706,16.8090000153,1
1707,15.4910001755,1
1721,15.248000145,1
1722,16.8090000153,1
1723,16.8090000153,1
1724,16.8090000153,1
1725,15.4910001755,1
1739,15.248000145,1
1740,16.8090000153,1
1741,16.8090000153,1
1742,16.8090000153,1
1743,15.4910001755,1
1757,12.765999794,1
1758,14.8319997787,1
1759,14.8319997787,1
1760,14.8319997787,1
1761,13.986000061,1
1858,19.3649997711,1
1859,19.3649997711,1
1860,19.3649997711,1
1876,19.3649997711,1
1877,19.3649997711,1
1878,19.3649997711,1
1879,16.9969997406,1
1894,19.3649997711,1
1895,19.3649997711,1
1896,19.3649997711,1
1912,18.7549991608,1
1913,18.7549991608,1
1914,18.7549991608,1
1930,16.5300006866,1
2064,16.9249992371,1
2065,16.9249992371,1
2066,16.9249992371,1
2081,16.188999176,1
2082,16.9249992371,1
2083,16.9249992371,1
2084,16.9249992371,1
2085,15.4910001755,1
2099,16.188999176,1
2100,16.9249992371,1
2101,16.9249992371,1
2102,16.9249992371,1
2103,15.4910001755,1
2117,14.6969995499,1
2118,15.3210000992,1
2119,15.3210000992,1
2120,15.3210000992,1
2121,13.986000061,1
2218,19.3649997711,1
2219,19.3649997711,1
2220,19.3649997711,1
2236,19.3649997711,1
2237,19.3649997711,1
2238,19.3649997711,1
2254,19.3649997711,1
2255,19.3649997711,1
2256,19.3649997711,1
2272,18.7549991608,1
2273,18.7549991608,1
2274,18.7549991608,1
2424,16.9249992371,1
2425,16.9249992371,1
2426,16.9249992371,1
2442,16.9249992371,1
2443,16.9249992371,1
2444,16.9249992371,1
2459,16.188999176,1
2460,16.9249992371,1
2461,16.9249992371,1
2462,16.9249992371,1
2477,14.6969995499,1
2478,15.3210000992,1
2479,15.3210000992,1
2480,15.3210000992,1
2481,13.986000061,1
2578,17.8719997406,1
2579,17.8719997406,1
2580,17.8719997406,1
2596,17.8719997406,1
2597,17.8719997406,1
2598,17.8719997406,1
2614,17.8719997406,1
2615,17.8719997406,1
2616,17.8719997406,1
2632,17.0209999084,1
2786,16.9249992371,1
2802,16.9249992371,1
2803,16.9249992371,1
2804,16.9249992371,1
2820,16.9249992371,1
2821,16.9249992371,1
2822,16.9249992371,1
2837,14.6969995499,1
2838,15.3210000992,1
2839,15.3210000992,1
2840,15.3210000992,1
4790,17.0520000458,1
4808,17.0520000458,1
4826,17.0520000458,1
5150,17.0520000458,1
5168,17.0520000458,1
5186,17.0520000458,1
5492,15.5939998627,1
5493,16.1200008392,1
5510,17.0520000458,1
5511,17.0520000458,1
5512,17.0520000458,1
5528,17.0520000458,1
5529,17.0520000458,1
5530,17.0520000458,1
5546,17.0520000458,1
5547,17.0520000458,1
5548,17.0520000458,1
5817,14.595000267,1
5818,14.595000267,1
5852,15.5939998627,1
5853,17.0450000763,1
5854,17.0450000763,1
5855,17.0450000763,1
5870,15.5939998627,1
5871,17.0450000763,1
5872,17.0450000763,1
5888,15.5939998627,1
5889,17.0450000763,1
5890,17.0450000763,1
5907,17.0,1
5908,17.0,1
6177,14.6990003586,1
6178,14.6990003586,1
6179,14.6990003586,1
6195,16.2980003357,1
6196,16.2980003357,1
6197,16.2980003357,1
6212,15.5939998627,1
6213,17.1149997711,1
6214,17.1149997711,1
6215,17.1149997711,1
6230,15.5939998627,1
6231,17.1149997711,1
6232,17.1149997711,1
6248,15.5939998627,1
6249,17.1149997711,1
6250,17.1149997711,1
6267,17.0,1
6268,17.0,1
6537,14.6990003586,1
6538,14.6990003586,1
6539,14.6990003586,1
6555,16.2980003357,1
6556,16.2980003357,1
6557,16.2980003357,1
6573,17.1149997711,1
6574,17.1149997711,1
6575,17.1149997711,1
6591,17.1149997711,1
6592,17.1149997711,1
6593,17.1149997711,1
6609,17.1149997711,1
6610,17.1149997711,1
6611,17.1149997711,1
6627,16.6669998169,1
6628,16.6669998169,1
6629,16.6669998169,1
6897,14.6990003586,1
6898,14.6990003586,1
6899,14.6990003586,1
6915,16.2980003357,1
6916,16.2980003357,1
6917,16.2980003357,1
6932,15.6590003967,1
6933,17.1149997711,1
6934,17.1149997711,1
6935,17.1149997711,1
6950,15.6590003967,1
6951,17.1149997711,1
6952,17.1149997711,1
6953,17.1149997711,1
6968,15.6590003967,1
6969,17.1149997711,1
6970,17.1149997711,1
6971,17.1149997711,1
7292,15.6590003967,1
7293,15.6590003967,1
7294,15.6590003967,1
7310,15.6590003967,1
7311,15.6590003967,1
7328,15.6590003967,1
7329,15.6590003967,1
7652,15.6590003967,1
7653,15.6590003967,1
7654,15.6590003967,1
7670,15.6590003967,1
7671,15.6590003967,1
7688,15.6590003967,1
7689,15.6590003967,1
9722,14.1350002289,1
9723,16.313999176,1
9724,16.313999176,1
9725,16.313999176,1
9726,13.3559999466,1
9727,12.9779996872,1
9741,12.531999588,1
9742,13.9020004272,1
9743,15.4630002975,1
9744,16.313999176,1
9745,16.313999176,1
9746,16.313999176,1
9747,14.1459999084,1
9748,12.9779996872,1
9761,13.1680002213,1
9762,15.3830003738,1
9763,16.6119995117,1
9764,16.6119995117,1
9765,16.6119995117,1
9766,16.313999176,1
9767,16.313999176,1
9768,14.1459999084,1
9769,12.9779996872,1
9782,13.1680002213,1
9783,15.3830003738,1
9784,16.6119995117,1
9785,16.6119995117,1
9786,16.6119995117,1
9787,15.4630002975,1
9788,14.4169998169,1
9789,14.1459999084,1
9803,13.1680002213,1
9804,15.3830003738,1
9805,16.6119995117,1
9806,16.6119995117,1
9807,16.6119995117,1
9808,15.0989999771,1
9809,13.2670001984,1
9826,13.2650003433,1
9827,13.2650003433,1
9828,13.2650003433,1
9829,12.7130002975,1
10163,12.4809999466,1
10164,14.0769996643,1
10165,14.392999649,1
10166,14.392999649,1
10167,14.392999649,1
10168,12.8199996948,1
10183,13.3310003281,1
10184,15.3789997101,1
10185,17.3810005188,1
10186,17.3810005188,1
10187,17.3810005188,1
10188,16.3159999847,1
10189,16.3159999847,1
10200,14.5120000839,1
10201,14.5120000839,1
10202,14.5120000839,1
10203,15.4829998016,1
10204,16.0119991302,1
10205,16.8050003052,1
10206,17.3810005188,1
10207,17.3810005188,1
10208,17.3810005188,1
10209,16.3159999847,1
10210,16.3159999847,1
10221,14.5120000839,1
10222,14.5120000839,1
10223,15.3599996567,1
10224,16.8229999542,1
10225,17.1800003052,1
10226,17.1800003052,1
10227,17.3810005188,1
10228,17.3810005188,1
10229,17.3810005188,1
10230,16.3159999847,1
10231,16.3159999847,1
10242,14.5120000839,1
10243,14.5120000839,1
10244,15.3599996567,1
10245,16.8229999542,1
10246,17.1800003052,1
10247,17.1800003052,1
10248,17.1800003052,1
10249,16.8050003052,1
10250,16.7779998779,1
10251,15.984000206,1
10252,14.4899997711,1
10265,15.3599996567,1
10266,16.8229999542,1
10267,17.1800003052,1
10268,17.1800003052,1
10269,17.1800003052,1
10270,16.3509998322,1
10271,15.5310001373,1
10272,13.8310003281,1
10287,14.7130002975,1
10288,14.7130002975,1
10289,14.7130002975,1
10290,14.5620002747,1
10291,13.1210002899,1
10606,12.781999588,1
10607,13.579000473,1
10608,13.579000473,1
10609,13.579000473,1
10625,12.6199998856,1
10626,15.4239997864,1
10627,15.4239997864,1
10628,15.7329998016,1
10629,15.7329998016,1
10630,15.7329998016,1
10640,12.4560003281,1
10641,15.0509996414,1
10642,15.0830001831,1
10643,15.0830001831,1
10644,15.0830001831,1
10645,13.7239999771,1
10646,16.2770004272,1
10647,17.4290008545,1
10648,17.4290008545,1
10649,17.4290008545,1
10650,16.6009998322,1
10651,16.6009998322,1
10652,13.3789997101,1
10661,12.5860004425,1
10662,16.4610004425,1
10663,16.5160007477,1
10664,16.5160007477,1
10665,16.5160007477,1
10666,16.1779994965,1
10667,16.8050003052,1
10668,17.4290008545,1
10669,17.4290008545,1
10670,17.4290008545,1
10671,17.1210002899,1
10672,16.6009998322,1
10673,13.3789997101,1
10682,12.5860004425,1
10683,16.4610004425,1
10684,16.5160007477,1
10685,16.5160007477,1
10686,17.1000003815,1
10687,17.5170001984,1
10688,17.5170001984,1
10689,17.5170001984,1
10690,17.4290008545,1
10691,17.4290008545,1
10692,17.1210002899,1
10693,16.6009998322,1
10694,13.3789997101,1
10703,12.5860004425,1
10704,16.4610004425,1
10705,16.5160007477,1
10706,16.5160007477,1
10707,17.1000003815,1
10708,17.5170001984,1
10709,17.5170001984,1
10710,17.5170001984,1
10711,17.1210002899,1
10712,17.1210002899,1
10713,17.1210002899,1
10714,15.3489999771,1
