,scores,cavity
29109,4.4279999733,1
29110,4.88899993896,1
29111,4.88899993896,1
29112,4.88899993896,1
29133,5.57100009918,1
29134,5.57100009918,1
29135,5.57100009918,1
29136,4.92000007629,1
29157,5.57100009918,1
29158,5.57100009918,1
29159,5.57100009918,1
29160,4.92000007629,1
29181,5.57100009918,1
29182,5.57100009918,1
29183,5.57100009918,1
29184,4.92000007629,1
29185,4.29699993134,1
29205,5.19500017166,1
29206,5.19500017166,1
29207,5.19500017166,1
29208,4.29699993134,1
29209,4.29699993134,1
29229,3.93799996376,1
29230,3.93799996376,1
29231,4.29699993134,1
29232,4.29699993134,1
29233,4.29699993134,1
29253,3.87199997902,1
29254,3.87199997902,1
29255,3.87199997902,1
29660,3.74699997902,1
29661,3.74699997902,1
29662,3.74699997902,1
29684,3.74699997902,1
29685,4.3029999733,1
29686,4.3029999733,1
29687,4.3029999733,1
29707,3.85599994659,1
29708,3.85599994659,1
29709,5.48400020599,1
29710,7.41599988937,1
29711,7.41599988937,1
29712,7.41599988937,1
29713,6.00199985504,1
29730,3.98000001907,1
29731,4.91699981689,1
29732,6.23400020599,1
29733,7.24300003052,1
29734,8.45199966431,1
29735,8.45199966431,1
29736,8.45199966431,1
29737,6.00199985504,1
29738,4.80800008774,1
29754,3.98000001907,1
29755,4.91699981689,1
29756,6.62400007248,1
29757,7.50299978256,1
29758,8.45199966431,1
29759,8.45199966431,1
29760,8.45199966431,1
29761,6.76999998093,1
29762,4.80800008774,1
29778,3.98000001907,1
29779,4.91699981689,1
29780,6.62400007248,1
29781,7.50299978256,1
29782,8.45199966431,1
29783,8.45199966431,1
29784,8.45199966431,1
29785,6.76999998093,1
29786,4.80800008774,1
29803,4.48299980164,1
29804,6.62400007248,1
29805,7.50299978256,1
29806,7.91400003433,1
29807,7.91400003433,1
29808,7.91400003433,1
29809,6.76999998093,1
29810,4.13800001144,1
29827,3.93700003624,1
29828,4.80100011826,1
29829,6.65500020981,1
29830,6.90999984741,1
29831,6.90999984741,1
29832,6.90999984741,1
29833,5.57100009918,1
29834,4.01900005341,1
29852,4.28200006485,1
29853,5.03200006485,1
29854,5.88999986649,1
29855,5.88999986649,1
29856,5.88999986649,1
29857,5.19500017166,1
29858,3.95499992371,1
29879,3.94600009918,1
29880,3.94600009918,1
29881,3.94600009918,1
29882,3.87199997902,1
30211,4.02400016785,1
30212,4.0609998703,1
30213,4.0609998703,1
30214,4.0609998703,1
30235,5.75600004196,1
30236,5.75600004196,1
30237,5.75600004196,1
30238,5.64099979401,1
30239,4.15899991989,1
30258,4.625,1
30259,6.14599990845,1
30260,6.14599990845,1
30261,6.14599990845,1
30262,5.96700000763,1
30263,5.50099992752,1
30264,5.27299976349,1
30281,4.6939997673,1
30282,5.14799976349,1
30283,6.30499982834,1
30284,7.10300016403,1
30285,8.62600040436,1
30286,8.62600040436,1
30287,8.62600040436,1
30288,7.28200006485,1
30289,7.28200006485,1
30305,4.6939997673,1
30306,6.08900022507,1
30307,6.31300020218,1
30308,7.10300016403,1
30309,8.62600040436,1
30310,8.62600040436,1
30311,8.62600040436,1
30312,7.41599988937,1
30313,7.28200006485,1
30314,5.10699987411,1
30329,4.6939997673,1
30330,6.15399980545,1
30331,6.31300020218,1
30332,7.10300016403,1
30333,8.62600040436,1
30334,8.83500003815,1
30335,8.83500003815,1
30336,8.83500003815,1
30337,8.65200042725,1
30338,5.10699987411,1
30353,4.37099981308,1
30354,6.15399980545,1
30355,6.31300020218,1
30356,6.97900009155,1
30357,7.50299978256,1
30358,9.22399997711,1
