,scores,cavity
715,10.8990001678,1
716,10.8990001678,1
717,10.8990001678,1
733,10.8990001678,1
734,10.8990001678,1
735,10.8990001678,1
751,10.8990001678,1
752,10.8990001678,1
753,10.8990001678,1
985,10.8990001678,1
986,10.8990001678,1
987,10.8990001678,1
1003,10.8990001678,1
1004,10.8990001678,1
1005,10.8990001678,1
1021,10.8990001678,1
1022,10.8990001678,1
1023,10.8990001678,1
1255,10.8990001678,1
1256,10.8990001678,1
1257,10.8990001678,1
1273,10.8990001678,1
1274,10.8990001678,1
1275,10.8990001678,1
1291,10.8990001678,1
1292,10.8990001678,1
1293,10.8990001678,1
1506,10.9949998856,1
1507,10.9949998856,1
1508,10.9949998856,1
1524,10.9949998856,1
1525,10.9949998856,1
1526,10.9949998856,1
1527,10.642999649,1
1542,10.9949998856,1
1543,10.9949998856,1
1544,10.9949998856,1
1545,10.642999649,1
1561,10.642999649,1
1562,10.642999649,1
1563,10.642999649,1
1720,12.7550001144,1
1721,12.7550001144,1
1722,12.7550001144,1
1723,12.1750001907,1
1738,12.7550001144,1
1739,12.7550001144,1
1740,12.7550001144,1
1741,12.1750001907,1
1756,12.7550001144,1
1757,12.8780002594,1
1758,12.8780002594,1
1759,12.8780002594,1
1760,11.8260002136,1
1774,12.0740003586,1
1775,12.8780002594,1
1776,12.8780002594,1
1777,12.8780002594,1
1778,11.8260002136,1
1793,12.8780002594,1
1794,12.8780002594,1
1795,12.8780002594,1
1796,11.8260002136,1
1812,11.5190000534,1
1813,11.5190000534,1
1814,11.5190000534,1
1990,12.7550001144,1
1991,12.7550001144,1
1992,12.7550001144,1
1993,12.5679998398,1
2008,12.7550001144,1
2009,14.1809997559,1
2010,14.1809997559,1
2011,14.1809997559,1
2012,12.3780002594,1
2026,12.7550001144,1
2027,14.1809997559,1
2028,14.1809997559,1
2029,14.1809997559,1
2030,12.3780002594,1
2044,12.0740003586,1
2045,14.1809997559,1
2046,14.1809997559,1
2047,14.1809997559,1
2048,12.3780002594,1
2063,12.8780002594,1
2064,12.8780002594,1
2065,12.8780002594,1
2066,11.8260002136,1
2082,11.5190000534,1
2083,11.5190000534,1
2084,11.5190000534,1
2260,12.7550001144,1
2261,12.7550001144,1
2262,12.7550001144,1
2263,12.5679998398,1
2278,12.7550001144,1
2279,14.1809997559,1
2280,14.1809997559,1
2281,14.1809997559,1
2282,12.3780002594,1
2296,12.7550001144,1
2297,14.1809997559,1
2298,14.1809997559,1
2299,14.1809997559,1
2300,12.3780002594,1
2314,12.0740003586,1
2315,14.1809997559,1
2316,14.1809997559,1
2317,14.1809997559,1
2318,12.3780002594,1
2333,12.8780002594,1
2334,12.8780002594,1
2335,12.8780002594,1
2336,11.8260002136,1
2352,11.5190000534,1
2353,11.5190000534,1
2354,11.5190000534,1
2530,12.0520000458,1
2531,12.5679998398,1
2532,12.5679998398,1
2533,12.5679998398,1
2548,12.0520000458,1
2549,14.1809997559,1
2550,14.1809997559,1
2551,14.1809997559,1
2552,12.3780002594,1
2566,12.0520000458,1
2567,14.1809997559,1
2568,14.1809997559,1
2569,14.1809997559,1
2570,12.3780002594,1
2585,14.1809997559,1
2586,14.1809997559,1
2587,14.1809997559,1
2588,12.3780002594,1
2604,11.5889997482,1
2605,11.5889997482,1
2606,11.5889997482,1
2801,11.6049995422,1
2802,11.6049995422,1
2803,11.6049995422,1
2819,11.6049995422,1
2820,11.6049995422,1
2821,11.6049995422,1
2837,11.6049995422,1
2838,11.6049995422,1
2839,11.6049995422,1
3856,11.9670000076,1
3857,11.9670000076,1
3858,11.9670000076,1
3859,11.7379999161,1
3874,13.595000267,1
3875,13.595000267,1
3876,13.595000267,1
3877,12.4639997482,1
3878,12.4580001831,1
3892,13.595000267,1
3893,13.595000267,1
3894,13.595000267,1
3895,12.4639997482,1
3896,12.4580001831,1
3897,11.748000145,1
3910,13.595000267,1
3911,13.595000267,1
3912,13.595000267,1
3913,12.4639997482,1
3914,12.4580001831,1
3915,11.748000145,1
3931,12.0089998245,1
3932,13.7569999695,1
3933,13.7569999695,1
3934,13.7569999695,1
3935,12.7860002518,1
3949,15.2419996262,1
3950,16.3829994202,1
3951,16.3829994202,1
3952,16.3829994202,1
3953,15.4560003281,1
3967,15.2419996262,1
3968,16.3829994202,1
3969,16.3829994202,1
3970,16.3829994202,1
3971,15.4560003281,1
3986,16.3829994202,1
3987,16.3829994202,1
3988,16.3829994202,1
3989,15.4560003281,1
4005,15.2720003128,1
4006,15.2720003128,1
4108,13.404999733,1
4109,14.0939998627,1
4110,14.0939998627,1
4111,14.0939998627,1
4126,15.8509998322,1
4127,17.1669998169,1
4128,17.1669998169,1
4129,17.1669998169,1
4130,12.0100002289,1
4144,15.8509998322,1
4145,17.2520008087,1
4146,17.2520008087,1
4147,17.2520008087,1
4148,12.734000206,1
4149,11.5889997482,1
4162,15.8509998322,1
4163,17.2520008087,1
4164,17.2520008087,1
4165,17.2520008087,1
4166,12.734000206,1
4167,11.748000145,1
4180,14.2840003967,1
4181,17.2520008087,1
4182,17.2520008087,1
4183,17.2520008087,1
4184,13.1440000534,1
4185,13.1440000534,1
4186,13.1440000534,1
4187,12.9779996872,1
4188,10.6660003662,1
4201,17.4769992828,1
4202,17.4769992828,1
4203,17.4769992828,1
4204,16.8649997711,1
4205,13.3260002136,1
4206,10.8400001526,1
4218,15.4729995728,1
4219,18.1259994507,1
4220,18.1259994507,1
4221,18.1259994507,1
4222,16.9740009308,1
4223,15.4560003281,1
4224,10.8400001526,1
4237,18.1259994507,1
4238,18.1259994507,1
4239,18.1259994507,1
4240,16.9740009308,1
4241,15.4560003281,1
4242,10.8400001526,1
4255,18.1259994507,1
4256,18.1259994507,1
4257,18.1259994507,1
4258,16.9740009308,1
4259,15.4560003281,1
4273,16.6319999695,1
4274,16.6319999695,1
4275,16.6319999695,1
4276,15.2720003128,1
4378,18.7110004425,1
4379,18.7110004425,1
4380,18.7110004425,1
4381,16.781999588,1
4395,11.1190004349,1
4396,18.8880004883,1
4397,18.8880004883,1
4398,18.8880004883,1
4399,17.1669998169,1
