,scores,cavity
643,18.6509990692,1
644,18.6509990692,1
645,18.6509990692,1
667,18.6509990692,1
668,18.6509990692,1
669,18.6509990692,1
691,18.6509990692,1
692,18.6509990692,1
693,18.6509990692,1
907,18.6509990692,1
908,18.6509990692,1
909,18.6509990692,1
931,18.6509990692,1
932,18.6509990692,1
933,18.6509990692,1
955,18.6509990692,1
956,18.6509990692,1
957,18.6509990692,1
1171,18.6509990692,1
1172,18.6509990692,1
1173,18.6509990692,1
1195,18.6509990692,1
1196,18.6509990692,1
1197,18.6509990692,1
1219,18.6509990692,1
1220,18.6509990692,1
1221,18.6509990692,1
1241,17.8369998932,1
1242,17.8369998932,1
1243,17.7649993896,1
1459,17.7649993896,1
1479,21.329000473,1
1480,21.329000473,1
1481,21.329000473,1
1482,19.3880004883,1
1483,17.7649993896,1
1503,21.329000473,1
1504,21.329000473,1
1505,21.329000473,1
1506,19.3880004883,1
1507,17.7649993896,1
1527,21.329000473,1
1528,21.329000473,1
1529,21.329000473,1
1530,19.3880004883,1
1743,21.329000473,1
1744,21.329000473,1
1745,21.329000473,1
1746,19.3880004883,1
1767,21.329000473,1
1768,21.329000473,1
1769,21.329000473,1
1770,19.3880004883,1
1771,17.7649993896,1
1791,21.329000473,1
1792,21.329000473,1
1793,21.329000473,1
1794,19.3880004883,1
2007,21.329000473,1
2008,21.329000473,1
2009,21.329000473,1
2010,19.3880004883,1
2031,21.329000473,1
2032,21.329000473,1
2033,21.329000473,1
2034,19.3880004883,1
2055,21.329000473,1
2056,21.329000473,1
2057,21.329000473,1
2058,19.3880004883,1
2955,33.4280014038,1
2979,33.4280014038,1
3003,33.4280014038,1
3219,38.1599998474,1
3220,19.0799999237,1
3221,19.0799999237,1
3242,33.0600013733,1
3243,38.1599998474,1
3266,33.0600013733,1
3267,38.1599998474,1
3290,33.0600013733,1
3291,35.7220001221,1
3483,19.0799999237,1
3484,19.0799999237,1
3485,19.0799999237,1
3486,17.7649993896,1
3506,17.7450008392,1
3507,19.0799999237,1
3508,19.5090007782,1
3509,19.5090007782,1
3510,19.5090007782,1
3530,17.7450008392,1
3531,19.0799999237,1
3532,19.5090007782,1
3533,19.5090007782,1
3554,17.7450008392,1
3556,19.5090007782,1
3557,19.5090007782,1
3747,19.0799999237,1
3748,19.0799999237,1
3749,19.0799999237,1
3750,17.7649993896,1
3770,17.7450008392,1
3771,19.0799999237,1
3772,19.5090007782,1
3773,19.5090007782,1
3774,19.5090007782,1
3794,17.7450008392,1
3795,19.0799999237,1
3796,19.5090007782,1
3797,19.5090007782,1
3818,17.7450008392,1
3819,18.781999588,1
3820,19.5090007782,1
3821,19.5090007782,1
4012,17.7649993896,1
4013,17.7649993896,1
4014,17.7649993896,1
4034,17.7450008392,1
4035,20.7649993896,1
4036,20.7649993896,1
4037,20.7649993896,1
4038,19.5090007782,1
4058,17.7450008392,1
4059,20.7649993896,1
4060,20.7649993896,1
4061,20.7649993896,1
4062,19.5090007782,1
4082,17.7450008392,1
4083,20.7649993896,1
4084,20.7649993896,1
4085,20.7649993896,1
4086,19.5090007782,1
4299,20.7649993896,1
4300,20.7649993896,1
4301,20.7649993896,1
4323,20.7649993896,1
4324,20.7649993896,1
4325,20.7649993896,1
4347,20.7649993896,1
4348,20.7649993896,1
4349,20.7649993896,1
4563,20.7649993896,1
4564,20.7649993896,1
4565,20.7649993896,1
4566,17.6159992218,1
4587,20.7649993896,1
4588,20.7649993896,1
4589,20.7649993896,1
4590,17.6159992218,1
4611,20.7649993896,1
4612,20.7649993896,1
4613,20.7649993896,1
4827,19.0340003967,1
4828,19.0340003967,1
4829,19.0340003967,1
4851,19.0340003967,1
4852,19.0340003967,1
4853,19.0340003967,1
4875,19.0340003967,1
4876,19.0340003967,1
4877,19.0340003967,1
8347,17.5429992676,1
8378,17.5429992676,1
8409,17.5429992676,1
8441,17.781999588,1
8471,17.5990009308,1
8472,17.7269992828,1
8473,17.7269992828,1
8474,17.7269992828,1
8502,17.5990009308,1
8503,17.7269992828,1
8504,17.7269992828,1
8505,17.7269992828,1
8533,17.5990009308,1
8534,17.5990009308,1
8535,17.5990009308,1
8536,17.5340003967,1
9370,17.8969993591,1
9401,17.8969993591,1
9432,17.8969993591,1
9462,17.4780006409,1
9463,17.7310009003,1
9493,17.4780006409,1
9494,17.7310009003,1
9495,17.8920001984,1
9524,17.4780006409,1
9525,17.7310009003,1
9526,17.8920001984,1
9527,17.8920001984,1
9528,17.8920001984,1
9556,17.5990009308,1
9557,17.7600002289,1
9558,17.7600002289,1
9559,17.7600002289,1
9587,17.5990009308,1
9588,17.5990009308,1
9589,17.5990009308,1
9590,17.5340003967,1
10331,17.6509990692,1
10332,17.7579994202,1
10362,17.9430007935,1
10363,18.1359996796,1
10364,18.1359996796,1
10365,18.1359996796,1
10393,17.9430007935,1
