,scores,cavity
19331,1.11800003052,1
19332,1.11800003052,1
19333,1.11800003052,1
19355,1.15799999237,1
19356,1.15799999237,1
19357,1.15799999237,1
19358,1.11800003052,1
19380,1.15799999237,1
19381,1.15799999237,1
19382,1.15799999237,1
19383,1.11800003052,1
19405,1.15799999237,1
19406,1.15799999237,1
19407,1.15799999237,1
19806,1.18599998951,1
19807,1.18599998951,1
19808,1.18599998951,1
19829,1.17700004578,1
19830,1.48899996281,1
19831,1.69200003147,1
19832,1.69200003147,1
19833,1.69200003147,1
19834,1.04400002956,1
19835,1.04400002956,1
19853,1.5909999609,1
19854,1.73699998856,1
19855,1.73699998856,1
19856,1.93499994278,1
19857,1.93499994278,1
19858,1.93499994278,1
19859,1.37999999523,1
19860,1.37999999523,1
19878,1.5909999609,1
19879,1.87000000477,1
19880,2.34100008011,1
19881,2.34100008011,1
19882,2.34100008011,1
19883,2.27800011635,1
19884,1.95399999619,1
19885,1.39600002766,1
19903,1.5909999609,1
19904,1.87000000477,1
19905,2.34100008011,1
19906,2.34100008011,1
19907,2.34100008011,1
19908,2.625,1
19909,2.65599989891,1
19910,3.88800001144,1
19911,3.88800001144,1
19912,3.88800001144,1
19913,3.26099991798,1
19928,1.21099996567,1
19929,1.87000000477,1
19930,2.34100008011,1
19931,2.34100008011,1
19932,4.07700014114,1
19933,4.07700014114,1
19934,4.07700014114,1
19935,3.93899989128,1
19936,3.93899989128,1
19937,3.93899989128,1
19938,3.45799994469,1
19954,1.06400001049,1
19955,2.34100008011,1
19956,2.34100008011,1
19957,4.07700014114,1
19958,4.07700014114,1
19959,4.07700014114,1
19960,3.93899989128,1
19961,3.93899989128,1
19962,3.93899989128,1
19963,3.45799994469,1
19980,1.48099994659,1
19981,2.34100008011,1
19982,4.07700014114,1
19983,4.07700014114,1
19984,4.07700014114,1
19985,3.93899989128,1
19986,3.93899989128,1
19987,3.93899989128,1
19988,3.45799994469,1
20010,2.92300009727,1
20011,2.92300009727,1
20012,2.92300009727,1
20013,1.92100000381,1
20331,1.18599998951,1
20332,1.25999999046,1
20333,1.25999999046,1
20334,1.25999999046,1
20353,1.37699997425,1
20354,1.37699997425,1
20355,1.48899996281,1
20356,1.69200003147,1
20357,1.69200003147,1
20358,1.69200003147,1
20359,1.64900004864,1
20360,1.40499997139,1
20377,1.06400001049,1
20378,1.5909999609,1
20379,1.73699998856,1
20380,1.73699998856,1
20381,1.93499994278,1
20382,2.14800000191,1
20383,2.14800000191,1
20384,2.14800000191,1
20385,1.81099998951,1
20402,1.06400001049,1
20403,1.92900002003,1
20404,1.92900002003,1
20405,2.34100008011,1
20406,2.34100008011,1
20407,2.75699996948,1
20408,2.75699996948,1
20409,2.75699996948,1
20410,2.42499995232,1
20411,1.33599996567,1
20427,1.06400001049,1
20428,1.92900002003,1
20429,2.08800005913,1
20430,2.34100008011,1
20431,2.51200008392,1
20432,3.88800001144,1
20433,3.9509999752,1
20434,3.9509999752,1
20435,3.9509999752,1
20436,4.01300001144,1
20437,4.01300001144,1
20438,4.01300001144,1
20439,2.67499995232,1
20453,1.92900002003,1
20454,2.08800005913,1
20455,2.52600002289,1
20456,3.47900009155,1
20457,4.53700017929,1
20458,4.53700017929,1
20459,4.53700017929,1
20460,4.07700014114,1
20461,4.07700014114,1
20462,4.07700014114,1
20463,4.07299995422,1
20464,4.07299995422,1
20465,2.73799991608,1
20478,1.29200005531,1
20479,2.08800005913,1
20480,2.52600002289,1
20481,3.47900009155,1
20482,4.53700017929,1
20483,4.53700017929,1
20484,4.53700017929,1
20485,4.07700014114,1
20486,4.15299987793,1
20487,4.15299987793,1
20488,4.15299987793,1
20489,4.07299995422,1
20490,2.89400005341,1
20504,1.26199996471,1
20505,2.52600002289,1
20506,3.47900009155,1
20507,4.53700017929,1
20508,4.53700017929,1
20509,4.53700017929,1
20510,4.07700014114,1
20511,4.15299987793,1
20512,4.15299987793,1
20513,4.15299987793,1
20514,4.07299995422,1
20515,2.89400005341,1
20530,1.29200005531,1
20531,1.84599995613,1
20532,3.45700001717,1
20533,3.45700001717,1
20534,3.45700001717,1
20535,2.92300009727,1
20536,4.15299987793,1
20537,4.15299987793,1
20538,4.15299987793,1
20539,3.86400008202,1
