,scores,cavity
1381,15.9119997025,1
1382,15.9119997025,1
1408,17.6420001984,1
1409,15.9119997025,1
1435,17.9549999237,1
1436,15.9119997025,1
1462,17.9549999237,1
1463,15.7030000687,1
1489,17.9549999237,1
1490,15.7030000687,1
1516,15.6739997864,1
1897,16.736000061,1
1898,16.795999527,1
1899,16.795999527,1
1900,16.795999527,1
1901,16.6490001678,1
1924,16.736000061,1
1925,16.795999527,1
1926,17.3159999847,1
1927,17.5979995728,1
1928,17.5979995728,1
1929,17.5979995728,1
1948,18.343000412,1
1949,15.9119997025,1
1950,15.654999733,1
1951,16.736000061,1
1952,16.795999527,1
1953,17.3159999847,1
1954,17.5979995728,1
1955,17.5979995728,1
1956,17.5979995728,1
1975,21.1399993896,1
1976,18.9950008392,1
1977,15.654999733,1
1980,17.3159999847,1
1981,17.5979995728,1
1982,17.5979995728,1
1983,17.5979995728,1
2002,21.8810005188,1
2003,20.1879997253,1
2029,21.8810005188,1
2030,20.1879997253,1
2056,21.8810005188,1
2057,20.1879997253,1
2083,18.1550006866,1
2084,18.1550006866,1
2439,16.795999527,1
2440,16.795999527,1
2464,16.736000061,1
2465,16.795999527,1
2466,17.3159999847,1
2467,18.1319999695,1
2468,18.1319999695,1
2469,18.1319999695,1
2488,18.343000412,1
2490,15.654999733,1
2491,16.736000061,1
2492,16.795999527,1
2493,17.3159999847,1
2494,18.1319999695,1
2495,18.1319999695,1
2496,18.1319999695,1
2515,21.1399993896,1
2516,18.9950008392,1
2517,15.654999733,1
2519,16.0039997101,1
2520,17.3159999847,1
2521,18.1319999695,1
2522,18.1319999695,1
2523,18.1319999695,1
2542,24.1410007477,1
2543,23.2619991302,1
2544,16.2259998322,1
2548,17.0939998627,1
2549,17.0939998627,1
2550,17.0939998627,1
2569,27.4960002899,1
2570,23.2619991302,1
2571,17.2740001678,1
2596,27.4960002899,1
2597,23.2619991302,1
2598,17.2740001678,1
2621,27.4960002899,1
2622,27.4960002899,1
2623,27.4960002899,1
2624,18.1550006866,1
2625,17.2740001678,1
3004,16.736000061,1
3006,17.3159999847,1
3007,18.1319999695,1
3008,18.1319999695,1
3009,18.1319999695,1
3028,18.343000412,1
3031,16.736000061,1
3032,17.5629997253,1
3033,18.4659996033,1
3034,18.4659996033,1
3035,18.4659996033,1
3036,18.1319999695,1
3037,17.6270008087,1
3055,21.1399993896,1
3056,18.9950008392,1
3058,16.1919994354,1
3059,17.5629997253,1
3060,18.4659996033,1
3061,18.4659996033,1
3062,18.4659996033,1
3063,18.1319999695,1
3064,17.6270008087,1
3082,24.5219993591,1
3083,23.2619991302,1
3085,16.1919994354,1
3086,17.5629997253,1
3087,18.4659996033,1
3088,18.4659996033,1
3089,18.4659996033,1
3090,17.6270008087,1
3091,17.6270008087,1
3109,27.4960002899,1
3110,23.2619991302,1
3111,19.3239994049,1
3136,27.4960002899,1
3137,23.2619991302,1
3138,19.3239994049,1
3163,27.4960002899,1
3164,22.954000473,1
3165,19.3239994049,1
3315,16.9930000305,1
3316,16.9930000305,1
3317,16.9930000305,1
3341,16.8470001221,1
3342,19.4419994354,1
3343,19.4419994354,1
3344,19.4419994354,1
3368,16.8470001221,1
3369,19.4419994354,1
3370,19.4419994354,1
3371,19.4419994354,1
3395,16.8470001221,1
3396,19.4419994354,1
3397,19.4419994354,1
3398,19.4419994354,1
3423,16.7999992371,1
3424,16.7999992371,1
3425,16.7999992371,1
3451,15.8830003738,1
3547,18.1319999695,1
3548,18.1319999695,1
3549,18.1319999695,1
3571,16.1919994354,1
3572,17.5629997253,1
3573,18.4659996033,1
3574,18.4659996033,1
3575,18.4659996033,1
3576,18.1319999695,1
3577,17.6270008087,1
3595,20.1359996796,1
3596,18.5270004272,1
3599,18.0009994507,1
3600,18.4659996033,1
3601,18.4659996033,1
3602,18.4659996033,1
3603,18.1319999695,1
3604,17.6270008087,1
3622,24.5219993591,1
3623,23.2619991302,1
3625,17.6800003052,1
3626,18.0009994507,1
3627,18.4659996033,1
3628,18.4659996033,1
3629,18.4659996033,1
3630,17.6270008087,1
3631,17.6270008087,1
3649,27.4960002899,1
3650,23.2619991302,1
3651,19.3239994049,1
3652,18.4160003662,1
3653,18.0009994507,1
3654,18.0009994507,1
3655,18.0009994507,1
3676,27.4960002899,1
3677,23.2619991302,1
3678,19.3239994049,1
3679,18.4160003662,1
3680,17.6800003052,1
3681,17.6800003052,1
3703,27.4960002899,1
3704,22.954000473,1
3705,19.3239994049,1
3706,18.4160003662,1
3855,18.767999649,1
3856,18.767999649,1
3857,18.767999649,1
3881,16.8470001221,1
3882,21.6350002289,1
3883,21.6350002289,1
3884,21.6350002289,1
3885,17.7810001373,1
3908,16.8470001221,1
3909,21.6350002289,1
3910,21.6350002289,1
3911,21.6350002289,1
3912,17.7810001373,1
3935,16.8470001221,1
3936,21.6350002289,1
3937,21.6350002289,1
3938,21.6350002289,1
3939,17.7810001373,1
3963,16.7999992371,1
3964,16.7999992371,1
3965,16.7999992371,1
3991,15.8830003738,1
4112,17.5629997253,1
4113,18.4659996033,1
4114,18.4659996033,1
4115,18.4659996033,1
4116,17.6270008087,1
4117,17.6270008087,1
4135,17.7590007782,1
4139,18.0009994507,1
4140,18.4659996033,1
4141,18.4659996033,1
4142,18.4659996033,1
4143,17.6270008087,1
4144,17.6270008087,1
4162,24.5219993591,1
4163,21.7600002289,1
4165,17.6800003052,1
4166,18.0009994507,1
4167,18.4659996033,1
4168,18.4659996033,1
4169,18.4659996033,1
4170,17.6270008087,1
4171,17.6270008087,1
4189,24.5219993591,1
4190,22.954000473,1
4191,19.3239994049,1
4192,18.4160003662,1
4193,18.0009994507,1
4194,18.0009994507,1
4195,18.0009994507,1
4216,24.5219993591,1
4217,22.954000473,1
4218,19.3239994049,1
4219,18.4160003662,1
4220,17.6800003052,1
4221,17.6800003052,1
4243,24.138999939,1
4244,22.954000473,1
4245,19.3239994049,1
4246,18.4160003662,1
4395,18.767999649,1
4396,18.767999649,1
4397,18.767999649,1
4421,16.8470001221,1
4422,21.6350002289,1
4423,21.6350002289,1
4424,21.6350002289,1
4425,17.7810001373,1
4448,16.8470001221,1
4449,21.6350002289,1
4450,21.6350002289,1
4451,21.6350002289,1
4452,17.7810001373,1
4475,16.8470001221,1
4476,21.6350002289,1
4477,21.6350002289,1
4478,21.6350002289,1
4479,17.7810001373,1
4503,16.7999992371,1
4504,16.7999992371,1
4505,16.7999992371,1
4531,15.8830003738,1
4679,18.0009994507,1
4680,18.0009994507,1
4681,18.0009994507,1
4703,17.0820007324,1
4705,17.6800003052,1
4706,18.0009994507,1
4707,18.0009994507,1
4708,18.0009994507,1
4729,19.4230003357,1
4730,19.4230003357,1
4731,18.9440002441,1
4732,18.4160003662,1
4733,18.0009994507,1
4734,18.0009994507,1
4735,18.0009994507,1
4756,19.4230003357,1
4757,19.4230003357,1
4758,18.9440002441,1
4759,18.4160003662,1
4760,17.6800003052,1
4761,17.6800003052,1
4783,19.4230003357,1
4784,19.4230003357,1
4785,18.9440002441,1
4786,18.4160003662,1
4935,18.767999649,1
4936,18.767999649,1
4937,18.767999649,1
4961,16.658000946,1
4962,21.6350002289,1
4963,21.6350002289,1
4964,21.6350002289,1
4965,17.7810001373,1
4988,16.658000946,1
4989,21.6350002289,1
4990,21.6350002289,1
4991,21.6350002289,1
4992,17.7810001373,1
5015,16.658000946,1
5016,21.6350002289,1
5017,21.6350002289,1
5018,21.6350002289,1
5019,17.7810001373,1
8378,8.56200027466,1
8408,7.28200006485,1
8409,10.3699998856,1
8439,7.28200006485,1
8440,10.3699998856,1
8470,7.28200006485,1
8471,10.3699998856,1
8502,6.71600008011,1
9091,9.89999961853,1
9121,8.99800014496,1
9122,13.718000412,1
9152,15.0579996109,1
9153,19.232000351,1
9182,8.34799957275,1
9183,19.1879997253,1
9184,20.6240005493,1
9212,8.44600009918,1
9213,13.1540002823,1
9214,22.063999176,1
9215,22.6639995575,1
9243,8.73200035095,1
9244,17.5200004578,1
9245,23.9839992523,1
9246,23.9839992523,1
9274,8.73200035095,1
9275,17.5200004578,1
9276,23.9839992523,1
9277,23.9839992523,1
9305,8.73200035095,1
9306,17.5200004578,1
9307,23.9839992523,1
9308,23.9839992523,1
9337,16.1079998016,1
9338,17.6079998016,1
9339,19.1100006104,1
9369,9.15799999237,1
9370,9.15799999237,1
9790,13.7150001526,1
