,scores,cavity
453,17.9659996033,1
454,17.9659996033,1
455,17.9659996033,1
470,17.9659996033,1
471,17.9659996033,1
486,17.9659996033,1
487,17.9659996033,1
629,18.6459999084,1
630,18.6459999084,1
631,18.6459999084,1
645,18.6459999084,1
646,18.6459999084,1
647,18.6459999084,1
661,18.6459999084,1
662,18.6459999084,1
663,18.6459999084,1
806,18.6459999084,1
807,18.6459999084,1
822,18.6459999084,1
823,18.6459999084,1
838,18.6459999084,1
839,18.6459999084,1
982,18.6459999084,1
983,18.6459999084,1
998,18.6459999084,1
999,18.6459999084,1
1014,18.6459999084,1
1015,18.6459999084,1
1140,19.3390007019,1
1154,19.3390007019,1
1155,19.3390007019,1
1156,19.3390007019,1
1158,18.5249996185,1
1174,18.5249996185,1
1190,18.5249996185,1
1266,18.138999939,1
1267,18.138999939,1
1268,18.138999939,1
1284,18.138999939,1
1300,18.138999939,1
1316,19.3390007019,1
1332,19.3390007019,1
1442,18.138999939,1
1443,21.3080005646,1
1444,21.3080005646,1
1445,21.3080005646,1
1459,21.3080005646,1
1460,21.3080005646,1
1461,21.3080005646,1
1475,21.3080005646,1
1476,21.3080005646,1
1477,21.3080005646,1
1492,19.3390007019,1
1508,19.3390007019,1
1524,19.3390007019,1
1618,18.138999939,1
1619,21.3080005646,1
1620,21.3080005646,1
1621,21.3080005646,1
1635,21.3080005646,1
1636,21.3080005646,1
1637,21.3080005646,1
1651,21.3080005646,1
1652,21.3080005646,1
1653,21.3080005646,1
1794,18.0090007782,1
1795,21.3080005646,1
1796,21.3080005646,1
1797,21.3080005646,1
1810,18.0090007782,1
1811,21.3080005646,1
1812,21.3080005646,1
1813,21.3080005646,1
1827,21.3080005646,1
1828,21.3080005646,1
1829,21.3080005646,1
1971,20.2140007019,1
1972,20.2140007019,1
1973,20.2140007019,1
1987,20.2140007019,1
1988,20.2140007019,1
1989,20.2140007019,1
2003,20.2140007019,1
2004,20.2140007019,1
2005,20.2140007019,1
3211,16.2980003357,1
3212,16.2980003357,1
3227,16.2980003357,1
3228,16.2980003357,1
3244,16.2980003357,1
3385,16.6790008545,1
3386,16.6790008545,1
3387,17.3269996643,1
3388,17.3269996643,1
3389,17.3269996643,1
3401,16.6790008545,1
3402,16.6790008545,1
3403,17.3269996643,1
3404,17.3269996643,1
3405,17.3269996643,1
3419,17.3269996643,1
3420,17.3269996643,1
3421,17.3269996643,1
3561,16.6790008545,1
3562,16.6790008545,1
3563,17.3269996643,1
3564,17.3269996643,1
3565,17.3269996643,1
3577,16.6790008545,1
3578,16.6790008545,1
3579,17.3269996643,1
3580,17.3269996643,1
3581,17.3269996643,1
3593,16.6790008545,1
3594,16.6790008545,1
3595,17.3269996643,1
3596,17.3269996643,1
3597,17.3269996643,1
3612,16.4290008545,1
3737,16.6790008545,1
3738,16.6790008545,1
3739,17.3269996643,1
3740,17.3269996643,1
3741,17.3269996643,1
3753,16.6790008545,1
3754,16.6790008545,1
3755,17.3269996643,1
3756,17.3269996643,1
3757,17.3269996643,1
3769,16.6790008545,1
3770,16.6790008545,1
3771,17.3269996643,1
3772,17.3269996643,1
3773,17.3269996643,1
3788,16.4290008545,1
3930,16.4290008545,1
3931,16.4290008545,1
3932,16.4290008545,1
3946,16.4290008545,1
3947,16.4290008545,1
3948,16.4290008545,1
3964,16.4290008545,1
6888,15.7869997025,1
6934,15.7869997025,1
6980,15.7869997025,1
7806,15.7869997025,1
7807,15.7869997025,1
7808,15.7869997025,1
7852,15.7869997025,1
7853,15.7869997025,1
7854,15.7869997025,1
7898,15.7869997025,1
7899,15.7869997025,1
7900,15.7869997025,1
8682,15.7869997025,1
8683,15.7869997025,1
8684,15.7869997025,1
8726,15.7869997025,1
8727,15.7869997025,1
8728,15.7869997025,1
8729,15.7869997025,1
8730,15.7869997025,1
8731,15.7869997025,1
8732,15.7869997025,1
8733,15.7869997025,1
8772,15.7869997025,1
8773,15.7869997025,1
8774,15.7869997025,1
8775,15.7869997025,1
8776,15.7869997025,1
8777,15.7869997025,1
8778,15.7869997025,1
8779,15.7869997025,1
8818,15.7869997025,1
8819,15.7869997025,1
8820,15.7869997025,1
8823,15.7869997025,1
8824,15.7869997025,1
8825,15.7869997025,1
9510,15.295999527,1
9511,15.295999527,1
9512,15.295999527,1
9556,15.295999527,1
9557,15.295999527,1
9558,15.295999527,1
9564,15.4110002518,1
9565,15.4110002518,1
9566,15.4110002518,1
9602,15.7869997025,1
9603,15.7869997025,1
9604,15.7869997025,1
9605,15.295999527,1
9610,15.6059999466,1
9611,15.6059999466,1
9612,15.6059999466,1
9648,15.7869997025,1
