,scores,cavity
980,20.6040000916,1
981,20.6040000916,1
982,20.6040000916,1
998,20.6040000916,1
999,20.6040000916,1
1000,20.6040000916,1
1016,20.6040000916,1
1017,20.6040000916,1
1018,20.6040000916,1
1322,20.9139995575,1
1323,25.5240001678,1
1324,25.5240001678,1
1325,25.5240001678,1
1339,19.0189990997,1
1340,24.4750003815,1
1341,25.5240001678,1
1342,25.5240001678,1
1343,25.5240001678,1
1344,22.6900005341,1
1357,19.0189990997,1
1358,24.4750003815,1
1359,25.5240001678,1
1360,25.5240001678,1
1361,25.5240001678,1
1362,22.6900005341,1
1376,24.4750003815,1
1377,24.4750003815,1
1378,24.4750003815,1
1379,23.6700000763,1
1380,22.6900005341,1
1623,18.2299995422,1
1624,18.3780002594,1
1625,18.3780002594,1
1640,17.2600002289,1
1641,18.2299995422,1
1642,18.3780002594,1
1643,18.3780002594,1
1658,17.2600002289,1
1659,18.2299995422,1
1660,18.3780002594,1
1661,18.3780002594,1
1676,17.2600002289,1
1677,17.2600002289,1
1678,17.6790008545,1
1679,17.8670005798,1
1683,25.5240001678,1
1684,25.5240001678,1
1685,25.5240001678,1
1699,19.0189990997,1
1700,24.4750003815,1
1701,25.5240001678,1
1702,25.5240001678,1
1703,25.5240001678,1
1704,22.6900005341,1
1717,19.0189990997,1
1718,24.4750003815,1
1719,25.5240001678,1
1720,25.5240001678,1
1721,25.5240001678,1
1722,22.6900005341,1
1736,24.4750003815,1
1737,24.4750003815,1
1738,24.4750003815,1
1739,23.6700000763,1
1740,22.6900005341,1
1754,18.422000885,1
1756,20.8549995422,1
1757,20.8549995422,1
1758,20.8549995422,1
1983,18.2299995422,1
1984,18.3780002594,1
1985,18.3780002594,1
2000,17.2600002289,1
2001,18.2299995422,1
2002,18.3780002594,1
2003,18.3780002594,1
2018,17.2600002289,1
2019,18.2299995422,1
2020,18.3780002594,1
2021,18.3780002594,1
2036,17.2600002289,1
2037,17.2600002289,1
2038,17.6790008545,1
2043,25.5240001678,1
2044,25.5240001678,1
2045,25.5240001678,1
2059,19.0189990997,1
2060,24.4750003815,1
2061,25.5240001678,1
2062,25.5240001678,1
2063,25.5240001678,1
2064,22.6900005341,1
2077,19.0189990997,1
2078,24.4750003815,1
2079,25.5240001678,1
2080,25.5240001678,1
2081,25.5240001678,1
2082,22.6900005341,1
2096,24.4750003815,1
2097,24.4750003815,1
2098,24.4750003815,1
2099,23.6700000763,1
2100,22.6900005341,1
2116,20.8549995422,1
2117,20.8549995422,1
2118,20.8549995422,1
2343,18.2299995422,1
2344,18.3780002594,1
2360,17.2600002289,1
2361,18.2299995422,1
2362,18.3780002594,1
2378,17.2600002289,1
2379,18.2299995422,1
2380,18.3780002594,1
2396,17.2600002289,1
2397,17.2600002289,1
2398,17.6790008545,1
2420,19.4570007324,1
2421,21.1030006409,1
2422,21.1030006409,1
2423,21.1030006409,1
2424,19.8710002899,1
2439,21.1030006409,1
2440,21.1030006409,1
2441,21.1030006409,1
2442,20.8549995422,1
2457,21.1030006409,1
2458,21.1030006409,1
2459,21.1030006409,1
2460,20.8549995422,1
2476,20.8549995422,1
2477,20.8549995422,1
2478,20.8549995422,1
5519,16.0279998779,1
5520,16.0279998779,1
5521,16.0279998779,1
5879,16.0279998779,1
5880,16.0279998779,1
5881,16.0279998779,1
5915,18.5799999237,1
5916,19.3390007019,1
5917,19.3390007019,1
5918,19.3390007019,1
