,scores,cavity
1611,17.3659992218,1
1612,17.3659992218,1
1613,17.3659992218,1
1635,17.3659992218,1
1636,17.3659992218,1
1637,17.3659992218,1
1659,17.3659992218,1
1660,17.3659992218,1
1661,17.3659992218,1
1683,17.3299999237,1
1684,17.3299999237,1
1685,17.3299999237,1
2211,17.3659992218,1
2212,17.3659992218,1
2235,17.3659992218,1
2236,18.9780006409,1
2237,18.9780006409,1
2238,18.9780006409,1
2259,17.3659992218,1
2260,19.0170001984,1
2261,19.0170001984,1
2262,19.0170001984,1
2283,17.3299999237,1
2284,19.0170001984,1
2285,19.0170001984,1
2286,19.0170001984,1
2308,19.0170001984,1
2309,19.0170001984,1
2310,19.0170001984,1
2450,16.9309997559,1
2451,18.0109996796,1
2452,18.0109996796,1
2453,18.0109996796,1
2454,17.2789993286,1
2474,16.9309997559,1
2475,18.0109996796,1
2476,18.0109996796,1
2477,18.0109996796,1
2478,17.2789993286,1
2498,16.9309997559,1
2499,18.0109996796,1
2500,18.0109996796,1
2501,18.0109996796,1
2502,17.2789993286,1
2811,17.3659992218,1
2812,17.3659992218,1
2835,17.3659992218,1
2836,18.9780006409,1
2837,18.9780006409,1
2838,18.9780006409,1
2859,17.3659992218,1
2860,19.0170001984,1
2861,19.0170001984,1
2862,19.0170001984,1
2883,17.3299999237,1
2884,19.045999527,1
2885,19.045999527,1
2886,19.045999527,1
2908,19.045999527,1
2909,19.045999527,1
2910,19.045999527,1
2932,19.045999527,1
2933,19.045999527,1
2934,19.045999527,1
3050,16.9309997559,1
3051,18.0109996796,1
3052,18.0109996796,1
3053,18.0109996796,1
3054,17.2789993286,1
3074,17.186000824,1
3075,18.0109996796,1
3076,18.7600002289,1
3077,18.7600002289,1
3078,18.7600002289,1
3079,17.3330001831,1
3098,17.186000824,1
3099,18.0109996796,1
3100,18.7600002289,1
3101,18.7600002289,1
3102,18.7600002289,1
3103,17.3330001831,1
3122,17.186000824,1
3123,17.9279994965,1
3124,18.7600002289,1
3125,18.7600002289,1
3126,18.7600002289,1
3258,18.138999939,1
3259,18.138999939,1
3281,21.2269992828,1
3282,21.2269992828,1
3283,21.2269992828,1
3284,20.5869998932,1
3305,21.2269992828,1
3306,21.2269992828,1
3307,21.2269992828,1
3308,20.5869998932,1
3329,21.2269992828,1
3330,21.2269992828,1
3331,21.2269992828,1
3332,20.5869998932,1
3333,20.5869998932,1
3413,18.6170005798,1
3414,18.6170005798,1
3415,18.6170005798,1
3436,18.9780006409,1
3437,18.9780006409,1
3438,18.9780006409,1
3439,18.9060001373,1
3460,19.0170001984,1
3461,19.0170001984,1
3462,19.0170001984,1
3463,18.9060001373,1
3484,19.2709999084,1
3485,19.2709999084,1
3486,19.2709999084,1
3487,18.9060001373,1
3508,19.2709999084,1
3509,19.2709999084,1
3510,19.2709999084,1
3511,18.642999649,1
3532,19.2709999084,1
3533,19.2709999084,1
3534,19.2709999084,1
3650,16.9309997559,1
3651,18.0109996796,1
3652,18.0109996796,1
3653,18.0109996796,1
3654,17.2789993286,1
3674,17.186000824,1
3675,18.0109996796,1
3676,18.7600002289,1
3677,18.7600002289,1
3678,18.7600002289,1
3679,18.1749992371,1
3698,17.186000824,1
3699,18.0109996796,1
3700,18.7600002289,1
3701,18.7600002289,1
3702,18.7600002289,1
3703,18.1749992371,1
3722,17.186000824,1
3723,17.9279994965,1
3724,18.7600002289,1
3725,18.7600002289,1
3726,18.7600002289,1
3727,18.1749992371,1
3858,20.2409992218,1
3859,20.2409992218,1
3860,20.2409992218,1
3880,19.4769992828,1
3881,21.2269992828,1
3882,21.2269992828,1
3883,21.2269992828,1
3884,20.5869998932,1
3904,20.6849994659,1
3905,21.2269992828,1
3906,21.2269992828,1
3907,21.2269992828,1
3908,20.5869998932,1
3928,20.6849994659,1
3929,21.2269992828,1
3930,21.2269992828,1
3931,21.2269992828,1
3932,20.5869998932,1
3933,20.5869998932,1
3952,20.6849994659,1
3953,20.6849994659,1
3954,20.6849994659,1
3955,18.4629993439,1
3977,18.4629993439,1
3978,18.4629993439,1
3979,18.4629993439,1
4012,17.0200004578,1
4013,18.6170005798,1
4014,18.6170005798,1
4015,18.6170005798,1
4036,18.7630004883,1
4037,18.9060001373,1
4038,18.9060001373,1
4039,18.9060001373,1
4060,18.7630004883,1
4061,18.9060001373,1
4062,18.9060001373,1
4063,18.9060001373,1
4084,19.2709999084,1
4085,19.2709999084,1
4086,19.2709999084,1
4087,18.9060001373,1
4108,19.2709999084,1
4109,19.2709999084,1
4110,19.2709999084,1
4111,18.642999649,1
4132,19.2709999084,1
4133,19.2709999084,1
4134,19.2709999084,1
4251,17.2859992981,1
4252,17.2859992981,1
4253,17.2859992981,1
4274,17.186000824,1
4275,17.9279994965,1
4276,18.7600002289,1
4277,18.7600002289,1
4278,18.7600002289,1
4279,18.1749992371,1
4298,17.186000824,1
4299,17.9279994965,1
4300,18.7600002289,1
4301,18.7600002289,1
4302,18.7600002289,1
4303,18.1749992371,1
4322,17.186000824,1
4323,17.9279994965,1
4324,18.7600002289,1
4325,18.7600002289,1
4326,18.7600002289,1
4327,18.1749992371,1
4458,20.2409992218,1
4459,20.2409992218,1
4460,20.2409992218,1
4480,19.6049995422,1
4481,21.2269992828,1
4482,21.2269992828,1
4483,21.2269992828,1
4484,20.5869998932,1
4504,20.6849994659,1
4505,21.7259998322,1
4506,21.7259998322,1
4507,21.7259998322,1
4508,20.5869998932,1
4528,20.6849994659,1
4529,21.7259998322,1
4530,21.7259998322,1
4531,21.7259998322,1
4532,20.5869998932,1
4533,20.5869998932,1
4552,20.6849994659,1
4553,21.7259998322,1
4554,21.7259998322,1
4555,21.7259998322,1
4577,18.4629993439,1
4578,18.4629993439,1
4579,18.4629993439,1
4612,17.017999649,1
4613,18.6170005798,1
4614,18.6170005798,1
4615,18.6170005798,1
4636,17.8150005341,1
4637,18.9060001373,1
4638,18.9060001373,1
4639,18.9060001373,1
4660,18.6420001984,1
4661,18.9060001373,1
4662,18.9060001373,1
4663,18.9060001373,1
4684,19.2709999084,1
4685,19.2709999084,1
4686,19.2709999084,1
4687,18.9060001373,1
4708,19.2709999084,1
4709,19.2709999084,1
4710,19.2709999084,1
4711,18.642999649,1
4732,19.2709999084,1
4733,19.2709999084,1
4734,19.2709999084,1
4876,17.1319999695,1
4877,18.1749992371,1
4878,18.1749992371,1
4879,18.1749992371,1
4900,17.1319999695,1
4901,18.1749992371,1
4902,18.1749992371,1
4903,18.1749992371,1
4925,18.1749992371,1
4926,18.1749992371,1
4927,18.1749992371,1
5058,20.2409992218,1
5059,20.2409992218,1
5060,20.2409992218,1
5080,19.6049995422,1
5081,19.6049995422,1
5082,20.2409992218,1
5083,20.2409992218,1
5084,20.2409992218,1
5104,20.6849994659,1
5105,21.7259998322,1
5106,21.7259998322,1
5107,21.7259998322,1
5108,20.2409992218,1
5128,20.6849994659,1
5129,21.7259998322,1
5130,21.7259998322,1
5131,21.7259998322,1
5152,20.6849994659,1
5153,21.7259998322,1
5154,21.7259998322,1
5155,21.7259998322,1
5176,18.0820007324,1
5177,18.4629993439,1
5178,18.4629993439,1
5179,18.4629993439,1
5198,17.9699993134,1
5199,18.0820007324,1
5200,18.0820007324,1
5201,18.0820007324,1
5212,17.0489997864,1
5213,17.763999939,1
5222,17.9699993134,1
5223,18.0820007324,1
5224,18.0820007324,1
5225,18.0820007324,1
5236,17.6060009003,1
5237,18.5200004578,1
5238,18.5200004578,1
5239,18.5200004578,1
5260,17.6060009003,1
5261,18.5200004578,1
5262,18.5200004578,1
5263,18.5200004578,1
5284,17.7800006866,1
5285,18.5200004578,1
5286,18.5200004578,1
5287,18.5200004578,1
5308,17.7800006866,1
5309,18.138999939,1
5310,18.138999939,1
5332,17.7800006866,1
5333,17.7800006866,1
5334,17.7800006866,1
5680,19.6049995422,1
5681,19.6049995422,1
5682,19.6049995422,1
5683,19.3360004425,1
5704,19.6049995422,1
5705,21.7259998322,1
5706,21.7259998322,1
5707,21.7259998322,1
5728,19.6049995422,1
5729,21.7259998322,1
5730,21.7259998322,1
5731,21.7259998322,1
