,scores,cavity
873,16.5720005035,1
874,16.5720005035,1
875,16.5720005035,1
893,16.5720005035,1
894,16.5720005035,1
895,16.5720005035,1
913,16.5720005035,1
914,16.5720005035,1
915,16.5720005035,1
1193,16.5720005035,1
1194,16.5720005035,1
1195,16.5720005035,1
1213,16.5720005035,1
1214,16.5720005035,1
1215,16.5720005035,1
1233,16.5720005035,1
1234,16.5720005035,1
1235,16.5720005035,1
1513,16.5720005035,1
1514,16.5720005035,1
1515,16.5720005035,1
1533,16.5720005035,1
1553,16.5720005035,1
1991,59.7120018005,1
2022,23.7999992371,1
2042,23.7999992371,1
2045,26.2439994812,1
2047,29.813999176,1
2048,29.813999176,1
2049,29.813999176,1
2062,23.7999992371,1
2063,30.2059993744,1
2064,30.5219993591,1
2065,30.5219993591,1
2066,30.5219993591,1
2067,29.8479995728,1
2068,29.813999176,1
2069,29.813999176,1
2083,30.2059993744,1
2084,30.5219993591,1
2085,30.5219993591,1
2086,30.5219993591,1
2087,29.8479995728,1
2088,29.813999176,1
2089,29.813999176,1
2103,30.2059993744,1
2104,30.5219993591,1
2105,30.5219993591,1
2106,30.5219993591,1
2107,29.8479995728,1
2109,28.4260005951,1
2129,28.4260005951,1
2130,28.4260005951,1
2131,28.4260005951,1
2149,27.313999176,1
2150,27.313999176,1
2151,27.313999176,1
2311,62.8359985352,1
2322,25.0839996338,1
2342,25.7919998169,1
2362,25.7919998169,1
2363,28.4839992523,1
2364,30.3159999847,1
2365,30.3159999847,1
2366,30.3159999847,1
2367,29.813999176,1
2368,29.813999176,1
2382,25.7919998169,1
2383,30.2059993744,1
2384,30.5219993591,1
2385,30.5219993591,1
2386,30.5219993591,1
2387,29.8479995728,1
2388,29.813999176,1
2402,24.3799991608,1
2403,30.2059993744,1
2404,30.5219993591,1
2405,30.5219993591,1
2406,30.5219993591,1
2407,29.8479995728,1
2408,29.813999176,1
2423,30.2059993744,1
2424,30.5219993591,1
2425,30.5219993591,1
2426,30.5219993591,1
2427,29.8479995728,1
2449,28.4260005951,1
2450,28.4260005951,1
2451,28.4260005951,1
2469,27.313999176,1
2470,27.313999176,1
2471,27.313999176,1
2610,60.9959983826,1
2611,60.9959983826,1
2631,64.8639984131,1
2642,25.0839996338,1
2651,64.8639984131,1
2662,25.7919998169,1
2663,26.281999588,1
2664,26.281999588,1
2665,26.281999588,1
2671,64.8639984131,1
2682,25.7919998169,1
2683,28.4839992523,1
2684,30.3159999847,1
2685,30.3159999847,1
2686,30.3159999847,1
2703,30.2059993744,1
2704,30.5219993591,1
2705,30.5219993591,1
2706,30.5219993591,1
2725,30.5219993591,1
2726,30.5219993591,1
2745,30.5219993591,1
2746,30.5219993591,1
2771,28.4260005951,1
2789,27.313999176,1
2790,27.313999176,1
2791,27.313999176,1
2922,19.7560005188,1
2930,60.9959983826,1
2931,62.5359992981,1
2942,21.3600006104,1
2951,64.8639984131,1
2962,25.2380008698,1
2971,64.8639984131,1
2982,27.4260005951,1
2983,26.281999588,1
2984,26.281999588,1
2985,26.281999588,1
3002,27.4260005951,1
3003,28.4839992523,1
3004,30.3159999847,1
3005,30.3159999847,1
3006,30.3159999847,1
3022,27.4260005951,1
3024,30.3159999847,1
3025,30.3159999847,1
3026,30.3159999847,1
3044,30.3159999847,1
3045,30.3159999847,1
3046,30.3159999847,1
3064,29.5480003357,1
3065,29.5480003357,1
3066,29.5480003357,1
3242,19.7560005188,1
3250,60.9959983826,1
3251,62.5359992981,1
3262,26.7000007629,1
3271,64.8639984131,1
3282,26.7000007629,1
3291,64.8639984131,1
3302,27.7719993591,1
3303,26.281999588,1
3304,26.281999588,1
3305,26.281999588,1
3322,27.7719993591,1
3323,27.8959999084,1
3324,28.4899997711,1
3325,28.4899997711,1
3326,28.4899997711,1
3342,27.7719993591,1
