,scores,cavity
121,14.1280002594,2
122,14.1280002594,2
163,14.1280002594,2
164,14.1280002594,2
165,14.1280002594,2
170,14.1280002594,2
171,14.1280002594,2
172,14.1280002594,2
1566,2.04399991035,2
1567,2.06299996376,2
1568,2.44199991226,2
1569,2.44199991226,2
1570,2.44199991226,2
1588,4.22300004959,2
1589,4.22300004959,2
1590,4.22300004959,2
1591,4.22200012207,2
1592,3.57399988174,2
1593,2.93400001526,2
1611,4.96899986267,2
1612,4.96899986267,2
1613,4.96899986267,2
1614,4.56500005722,2
1615,3.57399988174,2
1616,2.93400001526,2
1634,4.96899986267,2
1635,4.96899986267,2
1636,4.96899986267,2
1637,4.56500005722,2
1638,3.57399988174,2
1639,2.93400001526,2
1657,4.96899986267,2
1658,4.96899986267,2
1659,4.96899986267,2
1660,4.56500005722,2
1661,3.45600008965,2
2048,4.17100000381,2
2049,4.75099992752,2
2050,5.28800010681,2
2051,5.28800010681,2
2052,5.28800010681,2
2053,4.3060002327,2
2054,3.21300005913,2
2070,3.5039999485,2
2071,5.78599977493,2
2072,7.09499979019,2
2073,7.09499979019,2
2074,7.09499979019,2
2075,6.84100008011,2
2076,5.61100006104,2
2077,5.08300018311,2
2078,3.78099989891,2
2093,4.72300004959,2
2094,7.31599998474,2
2095,7.31599998474,2
2096,7.31699991226,2
2097,7.31699991226,2
2098,7.31699991226,2
2099,6.94299983978,2
2100,6.10500001907,2
2101,4.62699985504,2
2102,3.03200006485,2
2115,5.32499980927,2
2116,6.98699998856,2
2117,7.31599998474,2
2118,7.61100006104,2
2119,7.73299980164,2
2120,8.65699958801,2
2121,8.65699958801,2
2122,8.65699958801,2
2123,7.06699991226,2
2124,5.53999996185,2
2125,3.92499995232,2
2138,5.71500015259,2
2139,6.98699998856,2
2140,7.31599998474,2
2141,7.61100006104,2
2142,7.73299980164,2
2143,8.65699958801,2
2144,8.65699958801,2
2145,8.65699958801,2
2146,7.06699991226,2
2147,5.53999996185,2
2148,3.92499995232,2
2161,5.71500015259,2
2162,6.98699998856,2
2163,6.98699998856,2
2164,7.61100006104,2
2165,7.73299980164,2
2166,8.65699958801,2
2167,8.65699958801,2
2168,8.65699958801,2
2169,7.06699991226,2
2170,5.53999996185,2
2171,3.92499995232,2
2184,5.71500015259,2
2185,6.79500007629,2
2186,6.867000103,2
2187,6.867000103,2
2188,6.867000103,2
2189,6.82000017166,2
2190,5.96299982071,2
2191,5.72300004959,2
2192,4.92199993134,2
2193,4.27899980545,2
2194,2.47000002861,2
2209,3.59699988365,2
2210,6.82000017166,2
2211,6.82000017166,2
2212,6.82000017166,2
2213,5.5110001564,2
2214,4.62400007248,2
2215,1.30499994755,2
2531,1.18499994278,2
2532,3.33200001717,2
2533,6.43699979782,2
2534,6.43699979782,2
2535,6.43699979782,2
2536,6.10699987411,2
2537,4.8220000267,2
2538,4.8220000267,2
2539,4.18699979782,2
2540,3.76999998093,2
2553,2.21600008011,2
2554,4.96199989319,2
2555,6.43800020218,2
2556,8.18000030518,2
2557,8.18000030518,2
2558,8.18000030518,2
2559,8.02099990845,2
2560,6.49399995804,2
2561,5.94299983978,2
2562,5.56199979782,2
2563,4.11100006104,2
2564,3.45900011063,2
2565,2.06399989128,2
2575,2.02600002289,2
2576,5.70800018311,2
2577,8.40499973297,2
2578,9.64999961853,2
2579,9.9610004425,2
2580,9.9610004425,2
2581,9.9610004425,2
2582,9.71800041199,2
2583,8.625,2
2584,6.66599988937,2
2585,5.64300012589,2
2586,4.96299982071,2
2587,4.20300006866,2
2588,3.25900006294,2
2597,1.51999998093,2
2598,4.67500019073,2
2599,7.41599988937,2
2600,9.71800041199,2
2601,9.90100002289,2
2602,10.1459999084,2
2603,10.3870000839,2
2604,10.3870000839,2
2605,10.3870000839,2
2606,9.47700023651,2
2607,7.37300014496,2
2608,6.13899993896,2
2609,5.47499990463,2
2610,4.27199983597,2
2611,3.25900006294,2
2620,3.8069999218,2
2621,6.40399980545,2
2622,8.43500041962,2
2623,9.90999984741,2
2624,9.94699954987,2
2625,10.1459999084,2
2626,10.3870000839,2
2627,10.3870000839,2
2628,10.3870000839,2
2629,9.93500041962,2
2630,7.91800022125,2
2631,6.13899993896,2
2632,5.47499990463,2
2633,4.27199983597,2
2634,3.25900006294,2
2643,4.11999988556,2
2644,7.31599998474,2
2645,8.91199970245,2
2646,9.90999984741,2
2647,9.94699954987,2
2648,10.1459999084,2
2649,10.3870000839,2
2650,10.3870000839,2
2651,10.3870000839,2
2652,9.93500041962,2
2653,7.9279999733,2
2654,6.13899993896,2
2655,5.47499990463,2
2656,4.27199983597,2
2657,2.39199995995,2
2666,4.11999988556,2
2667,7.31599998474,2
2668,8.91199970245,2
2669,9.90999984741,2
2670,9.94699954987,2
2671,9.97599983215,2
2672,10.2770004272,2
2673,10.2770004272,2
2674,10.2770004272,2
2675,9.93500041962,2
2676,7.9279999733,2
2677,6.09499979019,2
2678,3.83100008965,2
2679,2.09100008011,2
2689,4.11999988556,2
2690,7.31599998474,2
2691,8.91199970245,2
2692,9.76599979401,2
2693,9.79500007629,2
2694,9.79500007629,2
2695,9.79500007629,2
2696,9.65699958801,2
2697,9.65699958801,2
2698,9.43799972534,2
2699,7.9279999733,2
2700,6.0640001297,2
2701,2.60299992561,2
2702,1.07899999619,2
2712,1.52499997616,2
2713,5.02099990845,2
2714,6.76200008392,2
2715,7.73299980164,2
2716,8.88799953461,2
2717,8.88799953461,2
2718,8.88799953461,2
2719,8.35400009155,2
2720,8.05900001526,2
2721,7.41599988937,2
2722,4.95599985123,2
2723,2.09299993515,2
2737,3.97000002861,2
2738,7.73299980164,2
2739,7.73299980164,2
2740,7.73299980164,2
2741,5.67299985886,2
2742,4.21299982071,2
2743,2.42499995232,2
2905,1.02600002289,2
2906,1.2840000391,2
2907,1.2840000391,2
2908,1.2840000391,2
2928,2.75,2
2929,3.92700004578,2
2930,3.92700004578,2
2931,3.92700004578,2
2932,2.51699995995,2
2933,2.21799993515,2
2934,1.15699994564,2
2949,1.49199998379,2
2950,2.78500008583,2
2951,4.71099996567,2
2952,5.40399980545,2
2953,5.40399980545,2
2954,5.40399980545,2
2955,4.40299987793,2
2956,4.40299987793,2
2957,3.26200008392,2
2958,1.74800002575,2
2972,3.4470000267,2
2973,4.6890001297,2
2974,6.54799985886,2
2975,6.59100008011,2
2976,6.59100008011,2
2977,6.59100008011,2
2978,5.59999990463,2
2979,5.46299982071,2
2980,5.14099979401,2
2981,2.67899990082,2
2995,6.28200006485,2
2996,7.33599996567,2
2997,7.33599996567,2
2998,7.33599996567,2
2999,7.26000022888,2
3000,7.09600019455,2
3001,6.74800014496,2
3002,6.74800014496,2
3003,6.01000022888,2
3004,2.67899990082,2
3018,7.92700004578,2
3019,10.1660003662,2
3020,10.1660003662,2
3021,10.1660003662,2
3022,8.10000038147,2
3023,8.10000038147,2
3024,7.17299985886,2
3025,6.74800014496,2
3026,6.01000022888,2
3027,2.67899990082,2
3036,1.51900005341,2
3037,2.35400009155,2
3038,4.84000015259,2
3039,7.35400009155,2
3040,8.11499977112,2
3041,9.3140001297,2
3042,10.2629995346,2
3043,10.2629995346,2
3044,10.2629995346,2
3045,9.99800014496,2
3046,8.81200027466,2
3047,7.17299985886,2
3048,6.74800014496,2
3049,6.01000022888,2
3050,2.40400004387,2
3058,2.2539999485,2
3059,2.86500000954,2
3060,4.96199989319,2
3061,7.75699996948,2
3062,10.0799999237,2
3063,10.904999733,2
3064,10.904999733,2
3065,10.904999733,2
3066,10.736000061,2
3067,10.736000061,2
3068,9.99800014496,2
3069,8.81200027466,2
3070,7.29199981689,2
3071,6.67999982834,2
3072,4.77199983597,2
3073,2.23099994659,2
3080,1.64800000191,2
3081,5.27299976349,2
3082,7.05399990082,2
3083,9.99800014496,2
3084,11.6140003204,2
3085,12.2790002823,2
3086,12.2790002823,2
3087,12.2790002823,2
3088,11.9309997559,2
3089,11.748000145,2
3090,11.0830001831,2
3091,11.0830001831,2
3092,9.71199989319,2
3093,8.53199958801,2
3094,6.66699981689,2
3095,4.73600006104,2
3096,1.91799998283,2
3103,3.19400000572,2
3104,5.32499980927,2
3105,9.14200019836,2
3106,11.4040002823,2
3107,12.2969999313,2
3108,13.2510004044,2
3109,13.2510004044,2
3110,13.2510004044,2
3111,12.5670003891,2
3112,12.5670003891,2
3113,12.5670003891,2
3114,12.4739999771,2
3115,9.71199989319,2
3116,8.53199958801,2
3117,6.66699981689,2
3118,3.79999995232,2
3119,1.67900002003,2
3126,5.06799983978,2
3127,6.76599979401,2
3128,9.67899990082,2
3129,11.6190004349,2
3130,13.4259996414,2
3131,13.4259996414,2
3132,13.4259996414,2
3133,13.2510004044,2
3134,12.5670003891,2
3135,12.5670003891,2
3136,12.5670003891,2
3137,12.4739999771,2
3138,9.71199989319,2
3139,8.53199958801,2
3140,6.66699981689,2
3141,3.02600002289,2
3149,6.08199977875,2
3150,7.31599998474,2
3151,9.67899990082,2
3152,11.6190004349,2
3153,13.4259996414,2
3154,13.4259996414,2
3155,13.4259996414,2
3156,13.2510004044,2
3157,12.5670003891,2
3158,12.5670003891,2
3159,12.5670003891,2
3160,12.4739999771,2
3161,8.64500045776,2
3162,6.02500009537,2
3163,5.5,2
3164,2.19499993324,2
3172,6.08199977875,2
3173,7.31599998474,2
3174,9.67899990082,2
3175,11.6190004349,2
3176,13.4259996414,2
3177,13.4259996414,2
3178,13.4259996414,2
3179,11.6169996262,2
3180,11.0579996109,2
3181,11.0010004044,2
3182,11.0010004044,2
3183,8.95499992371,2
3184,6.72499990463,2
3185,4.67199993134,2
3186,2.63899993896,2
3195,6.08199977875,2
3196,7.31599998474,2
3197,9.44099998474,2
3198,9.97599983215,2
3199,9.97599983215,2
3200,11.6169996262,2
3201,11.6169996262,2
3202,11.6169996262,2
3203,11.0579996109,2
3204,9.68999958038,2
3205,8.82400035858,2
3206,7.125,2
3207,4.8060002327,2
3208,2.63700008392,2
3218,2.73000001907,2
3219,6.14699983597,2
3220,7.23799991608,2
3221,9.5670003891,2
3222,9.5670003891,2
3223,9.5670003891,2
3224,8.88799953461,2
3225,8.625,2
3226,8.21000003815,2
3227,7.41599988937,2
3228,5.53599977493,2
3229,5.53599977493,2
3230,3.53500008583,2
3231,1.28900003433,2
3241,1.37300002575,2
3242,3.4279999733,2
3243,7.19999980927,2
3244,7.97800016403,2
3245,7.97800016403,2
3246,7.97800016403,2
3247,6.09299993515,2
3248,4.21299982071,2
3249,3.73699998856,2
3250,2.70700001717,2
