,scores,cavity
28525,12.0329999924,1
28526,12.0329999924,1
28527,12.0329999924,1
28545,12.4790000916,1
28546,12.4790000916,1
28547,12.4790000916,1
28548,12.0450000763,1
28565,12.4790000916,1
28566,13.5030002594,1
28567,13.5030002594,1
28568,13.5030002594,1
28585,12.4790000916,1
28586,13.5030002594,1
28587,13.5030002594,1
28588,13.5030002594,1
28605,11.8549995422,1
28606,13.5030002594,1
28607,13.5030002594,1
28608,13.5030002594,1
28609,11.5579996109,1
28625,11.8549995422,1
28626,12.7650003433,1
29025,11.017999649,1
29026,11.017999649,1
29027,11.017999649,1
29045,12.0329999924,1
29046,12.0329999924,1
29047,12.0329999924,1
29048,11.1029996872,1
29064,11.2250003815,1
29065,12.4790000916,1
29066,12.4790000916,1
29067,12.4790000916,1
29068,12.0450000763,1
29084,11.5970001221,1
29085,13.5539999008,1
29086,13.6440000534,1
29087,13.6440000534,1
29088,13.6440000534,1
29104,11.5970001221,1
29105,13.5539999008,1
29106,13.8269996643,1
29107,13.8269996643,1
29108,13.8269996643,1
29109,11.1459999084,1
29124,11.5970001221,1
29125,13.5539999008,1
29126,13.8269996643,1
29127,13.8269996643,1
29128,13.8269996643,1
29129,13.5030002594,1
29145,12.5869998932,1
29146,13.8269996643,1
29147,13.8269996643,1
29148,13.8269996643,1
29149,13.5030002594,1
29165,11.7589998245,1
29166,13.5030002594,1
29167,13.5030002594,1
29168,13.5030002594,1
29169,13.5030002594,1
29525,12.0329999924,1
29526,12.0329999924,1
29527,12.0329999924,1
29544,11.5679998398,1
29545,12.4790000916,1
29546,12.4790000916,1
29547,12.4790000916,1
29548,12.0450000763,1
29564,11.6850004196,1
29565,12.4790000916,1
29566,13.5030002594,1
29567,13.5030002594,1
29568,13.5030002594,1
29584,11.6850004196,1
29585,13.8269996643,1
29586,13.8269996643,1
29587,13.8269996643,1
29588,13.5030002594,1
29604,11.6850004196,1
29605,13.8269996643,1
29606,13.8269996643,1
29607,13.8269996643,1
29608,13.6440000534,1
29609,11.4309997559,1
29624,11.5970001221,1
29625,13.8269996643,1
29626,13.8269996643,1
29627,13.8269996643,1
29628,13.8269996643,1
29629,11.5850000381,1
29644,11.5970001221,1
29645,13.5539999008,1
29646,13.8269996643,1
29647,13.8269996643,1
29648,13.8269996643,1
29649,13.5030002594,1
29650,12.1680002213,1
29664,12.0629997253,1
29665,12.6730003357,1
29666,13.8269996643,1
29667,13.8269996643,1
29668,13.8269996643,1
29669,13.6440000534,1
