,scores,cavity
1718,12.4160003662,1
1719,12.4160003662,1
1720,12.4160003662,1
1721,11.9739999771,1
1740,14.109000206,1
1741,14.109000206,1
1742,14.109000206,1
1743,11.9739999771,1
1762,14.109000206,1
1763,14.109000206,1
1764,14.109000206,1
1765,11.9739999771,1
1784,14.109000206,1
1785,14.109000206,1
1786,14.109000206,1
1806,13.6359996796,1
1807,12.8699998856,1
2400,12.4160003662,1
2401,12.4160003662,1
2402,12.4160003662,1
2403,11.9739999771,1
2422,14.4029998779,1
2423,14.4029998779,1
2424,14.4029998779,1
2425,13.5769996643,1
2444,14.4029998779,1
2445,14.4029998779,1
2446,14.4029998779,1
2447,13.5769996643,1
2466,14.4029998779,1
2467,14.4029998779,1
2468,14.4029998779,1
2469,13.5769996643,1
2488,13.6359996796,1
2489,13.2760000229,1
2510,11.531999588,1
3082,12.4160003662,1
3083,12.4160003662,1
3084,12.4160003662,1
3085,11.9739999771,1
3104,14.4029998779,1
3105,14.4029998779,1
3106,14.4029998779,1
3107,13.5769996643,1
3126,14.4029998779,1
3127,14.4029998779,1
3128,14.4029998779,1
3129,13.5769996643,1
3148,14.4029998779,1
3149,14.4029998779,1
3150,14.4029998779,1
3151,13.5769996643,1
3170,13.6359996796,1
3171,13.2760000229,1
3192,11.531999588,1
3786,14.4029998779,1
3787,14.4029998779,1
3788,14.4029998779,1
3789,13.5769996643,1
3808,14.4029998779,1
3809,14.4029998779,1
3810,14.4029998779,1
3811,13.5769996643,1
3830,14.4029998779,1
3831,14.4029998779,1
3832,14.4029998779,1
3833,13.5769996643,1
3852,13.2760000229,1
3853,13.2760000229,1
3874,11.531999588,1
7406,14.5850000381,1
7407,14.5850000381,1
7408,14.5850000381,1
7428,14.5850000381,1
7429,14.5850000381,1
7430,14.5850000381,1
7450,14.5850000381,1
7451,14.5850000381,1
7452,14.5850000381,1
8088,14.5850000381,1
8089,14.5850000381,1
8090,14.5850000381,1
8110,14.5850000381,1
8111,14.5850000381,1
8112,14.5850000381,1
8132,14.5850000381,1
8133,14.5850000381,1
8134,14.5850000381,1
8770,14.5850000381,1
8771,14.5850000381,1
8772,14.5850000381,1
8792,14.5850000381,1
8793,14.5850000381,1
8794,14.5850000381,1
8814,14.5850000381,1
8815,14.5850000381,1
8816,14.5850000381,1
9228,14.392999649,1
9229,14.392999649,1
9230,14.392999649,1
9250,14.392999649,1
9251,14.392999649,1
9252,14.392999649,1
9272,14.392999649,1
9273,14.392999649,1
9274,14.392999649,1
9320,14.6940002441,1
9321,14.6940002441,1
9322,14.6940002441,1
9323,12.4110002518,1
9342,14.6940002441,1
9343,14.6940002441,1
9344,14.6940002441,1
9345,12.4110002518,1
9364,14.6940002441,1
9365,14.6940002441,1
9366,14.6940002441,1
9889,15.2600002289,1
9894,13.8549995422,1
9895,13.8549995422,1
9896,13.8549995422,1
9909,17.8850002289,1
9910,17.8850002289,1
9911,17.8850002289,1
9912,14.8330001831,1
9916,14.5220003128,1
9917,14.5220003128,1
9918,14.5220003128,1
9919,11.9549999237,1
9931,17.8850002289,1
9932,17.8850002289,1
9933,17.8850002289,1
9934,14.8330001831,1
9938,14.5220003128,1
9939,14.5220003128,1
9940,14.5220003128,1
9941,11.9549999237,1
9953,17.8850002289,1
9954,17.8850002289,1
9955,17.8850002289,1
9956,14.8330001831,1
9960,14.5220003128,1
9961,14.5220003128,1
9962,14.5220003128,1
9963,11.9549999237,1
9979,12.7130002975,1
9980,13.6040000916,1
9981,13.8559999466,1
9982,13.8559999466,1
9983,13.8559999466,1
10001,12.7130002975,1
10002,14.6940002441,1
10003,14.6940002441,1
10004,14.6940002441,1
10005,13.8559999466,1
10023,12.7130002975,1
10024,14.6940002441,1
10025,14.6940002441,1
10026,14.6940002441,1
10027,13.8559999466,1
10046,14.6940002441,1
10047,14.6940002441,1
10048,14.6940002441,1
10553,14.2899999619,1
10554,14.2899999619,1
10555,14.2899999619,1
10569,17.1779994965,1
10570,17.1779994965,1
10571,17.1779994965,1
10576,14.4989995956,1
10577,14.4989995956,1
10578,14.4989995956,1
10579,13.7139997482,1
10591,17.8850002289,1
10592,17.8850002289,1
10593,17.8850002289,1
10594,14.8330001831,1
10598,16.1779994965,1
10599,17.1060009003,1
10600,17.1060009003,1
10601,17.1060009003,1
10613,17.8850002289,1
10614,17.8850002289,1
10615,17.8850002289,1
10616,14.8330001831,1
10620,16.1779994965,1
10621,17.1060009003,1
10622,17.1060009003,1
10623,17.1060009003,1
10635,17.8850002289,1
10636,17.8850002289,1
10637,17.8850002289,1
10638,14.8330001831,1
10642,16.1779994965,1
10643,17.1060009003,1
10644,17.1060009003,1
10645,17.1060009003,1
10661,12.7130002975,1
10662,13.8020000458,1
10663,14.1120004654,1
10664,14.1120004654,1
10665,14.1120004654,1
10666,13.6719999313,1
10667,13.6719999313,1
10683,12.7130002975,1
10684,14.6940002441,1
10685,14.6940002441,1
10686,14.6940002441,1
10687,14.1120004654,1
10688,13.3710002899,1
10705,12.7130002975,1
10706,14.6940002441,1
10707,14.6940002441,1
10708,14.6940002441,1
10709,14.1120004654,1
10710,13.3710002899,1
10728,14.6940002441,1
10729,14.6940002441,1
10730,14.6940002441,1
10963,14.1979999542,1
10964,14.1979999542,1
10965,14.1979999542,1
10985,14.1979999542,1
10986,14.1979999542,1
10987,14.1979999542,1
11007,14.1979999542,1
11008,14.1979999542,1
11009,14.1979999542,1
11214,13.986000061,1
11215,13.986000061,1
11236,14.2899999619,1
11237,14.2899999619,1
11250,18.813999176,1
11251,18.8640003204,1
11252,18.8640003204,1
11253,18.8640003204,1
11254,15.7139997482,1
11258,14.9110002518,1
11259,17.063999176,1
11260,17.063999176,1
11261,17.063999176,1
11272,18.813999176,1
11273,18.8640003204,1
11274,18.8640003204,1
11275,18.8640003204,1
11276,15.7139997482,1
11280,19.8920001984,1
11281,21.3649997711,1
11282,21.3649997711,1
11283,21.3649997711,1
11294,18.813999176,1
11295,18.8640003204,1
11296,18.8640003204,1
11297,18.8640003204,1
11298,15.7139997482,1
11302,19.8920001984,1
11303,21.3649997711,1
11304,21.3649997711,1
11305,21.3649997711,1
11317,17.8850002289,1
11318,17.8850002289,1
11319,17.8850002289,1
11320,14.8330001831,1
11324,19.8920001984,1
11325,21.3649997711,1
11326,21.3649997711,1
11327,21.3649997711,1
11343,12.7130002975,1
11344,13.8020000458,1
11345,14.1120004654,1
11346,14.1120004654,1
11347,17.7019996643,1
11348,17.7019996643,1
11349,17.7019996643,1
11365,12.7130002975,1
11366,13.8020000458,1
11367,14.1120004654,1
11368,14.1120004654,1
11369,14.1120004654,1
11370,13.3710002899,1
11387,12.7130002975,1
11388,13.8020000458,1
11389,14.1120004654,1
11390,14.1120004654,1
11391,14.1120004654,1
11392,13.3710002899,1
11410,12.6899995804,1
11411,12.6899995804,1
11412,12.6899995804,1
11645,14.1979999542,1
11646,14.1979999542,1
11647,14.1979999542,1
11669,14.1979999542,1
11691,14.1979999542,1
11896,13.986000061,1
11897,13.986000061,1
11918,14.2899999619,1
11919,14.2899999619,1
11932,18.813999176,1
11933,22.2770004272,1
11934,22.2770004272,1
11935,22.2770004272,1
11936,15.7139997482,1
11940,16.1459999084,1
11941,19.5130004883,1
11942,19.5130004883,1
11943,19.5130004883,1
11954,18.813999176,1
11955,22.2770004272,1
11956,22.2770004272,1
11957,22.2770004272,1
11958,15.8310003281,1
11962,19.8920001984,1
11963,21.3649997711,1
11964,21.3649997711,1
11965,21.3649997711,1
11975,13.4189996719,1
11976,18.813999176,1
11977,22.2770004272,1
11978,22.2770004272,1
11979,22.2770004272,1
11980,15.8310003281,1
11984,19.8920001984,1
11985,21.3649997711,1
11986,21.3649997711,1
11987,21.3649997711,1
11998,14.7010002136,1
11999,18.7159996033,1
12000,18.7159996033,1
12001,18.7159996033,1
12002,15.8310003281,1
12006,19.8920001984,1
12007,21.3649997711,1
12008,21.3649997711,1
12009,21.3649997711,1
12026,13.8020000458,1
12027,14.1120004654,1
12028,14.1120004654,1
12029,17.7019996643,1
12030,17.7019996643,1
12031,17.7019996643,1
12048,13.8020000458,1
12049,14.1120004654,1
12050,14.1120004654,1
12051,14.1120004654,1
12052,13.3710002899,1
12070,13.8020000458,1
12071,14.1120004654,1
12072,14.1120004654,1
12073,14.1120004654,1
12074,13.3710002899,1
12327,14.1979999542,1
12328,14.1979999542,1
12329,14.1979999542,1
12578,13.986000061,1
12579,13.986000061,1
12600,13.986000061,1
12601,13.986000061,1
12613,15.0329999924,1
12614,18.813999176,1
12615,22.2770004272,1
12616,22.2770004272,1
12617,22.2770004272,1
12618,15.7139997482,1
12622,16.1459999084,1
12623,19.5130004883,1
12624,19.5130004883,1
12625,19.5130004883,1
12635,15.0329999924,1
12636,18.813999176,1
12637,22.2770004272,1
12638,22.2770004272,1
12639,22.2770004272,1
12640,15.8310003281,1
12644,19.8920001984,1
12645,21.3649997711,1
12646,21.3649997711,1
12647,21.3649997711,1
12657,15.0329999924,1
12658,18.813999176,1
12659,22.2770004272,1
12660,22.2770004272,1
12661,22.2770004272,1
12662,15.8310003281,1
12666,19.8920001984,1
12667,21.3649997711,1
12668,21.3649997711,1
12669,21.3649997711,1
12680,14.7010002136,1
12681,18.7159996033,1
12682,18.7159996033,1
12683,18.7159996033,1
12684,15.8310003281,1
12688,19.8920001984,1
12689,21.3649997711,1
12690,21.3649997711,1
12691,21.3649997711,1
12708,13.2290000916,1
12709,13.6560001373,1
12710,16.6359996796,1
12711,17.7019996643,1
12712,17.7019996643,1
12713,17.7019996643,1
12730,13.2290000916,1
12731,13.6560001373,1
12732,16.6359996796,1
