,scores,cavity
1801,13.2250003815,1
1802,13.2250003815,1
1803,13.2250003815,1
1828,13.2250003815,1
1829,13.2250003815,1
1830,13.2250003815,1
1855,13.2250003815,1
1856,13.2250003815,1
1857,13.2250003815,1
1882,13.1689996719,1
1883,13.1689996719,1
1884,13.1689996719,1
2610,15.4610004425,1
2611,15.4610004425,1
2612,15.4610004425,1
2613,13.2250003815,1
2637,15.4610004425,1
2638,15.4610004425,1
2639,15.4610004425,1
2640,13.2250003815,1
2664,15.4610004425,1
2665,15.4610004425,1
2666,15.4610004425,1
2667,13.2250003815,1
2691,14.8059997559,1
2692,14.8059997559,1
2693,14.8059997559,1
2694,13.1689996719,1
3420,15.4610004425,1
3421,15.4610004425,1
3422,15.4610004425,1
3423,13.2250003815,1
3447,15.4610004425,1
3448,15.4610004425,1
3449,15.4610004425,1
3450,13.2250003815,1
3474,15.4610004425,1
3475,15.4610004425,1
3476,15.4610004425,1
3477,13.2250003815,1
3501,14.8059997559,1
3502,14.8059997559,1
3503,14.8059997559,1
3504,13.1689996719,1
3803,13.579000473,1
3804,13.579000473,1
3830,13.579000473,1
3831,13.579000473,1
3857,13.579000473,1
3858,13.579000473,1
4230,15.4610004425,1
4231,15.4610004425,1
4232,15.4610004425,1
4257,15.4610004425,1
4258,15.4610004425,1
4259,15.4610004425,1
4284,15.4610004425,1
4285,15.4610004425,1
4286,15.4610004425,1
4312,14.8059997559,1
4313,14.8059997559,1
4587,13.6219997406,1
4613,13.5839996338,1
4614,13.6219997406,1
4624,16.0860004425,1
4625,16.0860004425,1
4626,16.0860004425,1
4640,13.5839996338,1
4641,13.6219997406,1
4651,16.0860004425,1
4652,16.7089996338,1
4653,16.7089996338,1
4654,16.7089996338,1
4667,13.5839996338,1
4668,13.5839996338,1
4678,16.0860004425,1
4679,16.7089996338,1
4680,16.7089996338,1
4681,16.7089996338,1
4682,15.2370004654,1
4694,13.1529998779,1
4695,13.1529998779,1
4706,16.7089996338,1
4707,16.7089996338,1
4708,16.7089996338,1
4709,15.2370004654,1
4733,16.5839996338,1
4734,16.5839996338,1
4735,16.5839996338,1
4736,15.2370004654,1
4760,16.5839996338,1
4761,16.5839996338,1
4762,16.5839996338,1
4763,13.579000473,1
5370,13.0100002289,1
5396,13.1000003815,1
5397,13.6800003052,1
5422,13.8669996262,1
