,scores,cavity
163,11.97599983215332,1
164,11.97599983215332,1
165,11.97599983215332,1
170,13.449000358581543,1
171,13.449000358581543,1
172,13.449000358581543,1
173,12.11299991607666,1
178,13.449000358581543,1
179,13.449000358581543,1
180,13.449000358581543,1
181,12.11299991607666,1
186,13.449000358581543,1
187,13.449000358581543,1
188,13.449000358581543,1
189,12.11299991607666,1
194,11.565999984741211,1
195,11.565999984741211,1
196,11.565999984741211,1
235,14.206000328063965,1
236,14.206000328063965,1
237,14.206000328063965,1
242,13.449000358581543,1
243,14.206000328063965,1
244,14.206000328063965,1
245,14.206000328063965,1
250,13.449000358581543,1
251,14.206000328063965,1
252,14.206000328063965,1
253,14.206000328063965,1
258,13.449000358581543,1
259,13.449000358581543,1
260,13.449000358581543,1
261,12.11299991607666,1
266,11.565999984741211,1
267,11.565999984741211,1
268,11.565999984741211,1
307,14.206000328063965,1
308,14.206000328063965,1
309,14.206000328063965,1
314,13.449000358581543,1
315,14.206000328063965,1
316,14.206000328063965,1
317,14.206000328063965,1
322,13.449000358581543,1
323,14.206000328063965,1
324,14.206000328063965,1
325,14.206000328063965,1
330,13.449000358581543,1
331,13.449000358581543,1
332,13.449000358581543,1
333,12.11299991607666,1
338,11.565999984741211,1
339,11.565999984741211,1
340,11.565999984741211,1
379,14.206000328063965,1
380,14.206000328063965,1
381,14.206000328063965,1
387,14.206000328063965,1
388,14.206000328063965,1
389,14.206000328063965,1
395,14.206000328063965,1
396,14.206000328063965,1
397,14.206000328063965,1
2218,3.752000093460083,1
2219,4.841000080108643,1
2220,4.841000080108643,1
2221,4.841000080108643,1
2241,4.48799991607666,1
2242,5.650000095367432,1
2243,5.650000095367432,1
2264,4.48799991607666,1
2265,6.001999855041504,1
2286,3.1389999389648438,1
2287,4.48799991607666,1
2288,6.001999855041504,1
2308,3.128999948501587,1
2309,4.190000057220459,1
2310,4.452000141143799,1
2311,6.001999855041504,1
2331,3.128999948501587,1
2332,4.190000057220459,1
2333,4.440999984741211,1
2334,5.0279998779296875,1
2354,3.128999948501587,1
2355,4.190000057220459,1
2356,4.440999984741211,1
2357,4.440999984741211,1
2358,4.440999984741211,1
2359,4.14900016784668,1
2377,2.6489999294281006,1
2378,3.999000072479248,1
2379,4.132999897003174,1
2380,4.132999897003174,1
2381,4.132999897003174,1
2382,3.7300000190734863,1
2400,2.6489999294281006,1
2401,3.242000102996826,1
2402,4.132999897003174,1
2403,4.132999897003174,1
2404,4.132999897003174,1
2405,3.0739998817443848,1
2815,2.6989998817443848,1
2816,2.6989998817443848,1
2817,2.6989998817443848,1
2838,3.313999891281128,1
2839,4.4710001945495605,1
2840,4.4710001945495605,1
2841,4.4710001945495605,1
2842,4.360000133514404,1
2843,4.360000133514404,1
2844,2.9130001068115234,1
2861,3.313999891281128,1
2862,6.298999786376953,1
2863,7.767000198364258,1
2864,7.767000198364258,1
2865,7.767000198364258,1
2866,5.994999885559082,1
2867,4.064000129699707,1
2868,4.064000129699707,1
2869,2.8310000896453857,1
2884,3.937999963760376,1
2885,7.199999809265137,1
2886,7.767000198364258,1
2887,7.767000198364258,1
2892,2.8310000896453857,1
2907,6.6579999923706055,1
2908,7.65500020980835,1
2909,8.760000228881836,1
2915,3.0460000038146973,1
2929,4.497000217437744,1
2930,6.807000160217285,1
2931,7.7769999504089355,1
2938,3.0460000038146973,1
2951,3.11899995803833,1
2952,4.497000217437744,1
2953,7.933000087738037,1
2961,3.0460000038146973,1
2974,3.11899995803833,1
2975,6.586999893188477,1
2997,4.327000141143799,1
2998,6.675000190734863,1
3005,8.925999641418457,1
3020,4.327000141143799,1
3021,6.675000190734863,1
3025,11.352999687194824,1
3026,7.88700008392334,1
3027,4.050000190734863,1
3043,4.327000141143799,1
3044,6.675000190734863,1
3048,8.541999816894531,1
3049,7.256999969482422,1
3066,3.9690001010894775,1
3067,5.603000164031982,1
3068,5.603000164031982,1
3069,5.603000164031982,1
3070,5.420000076293945,1
3071,5.420000076293945,1
3072,3.821000099182129,1
3091,2.7360000610351562,1
3092,2.7360000610351562,1
3093,2.7360000610351562,1
3436,5.2769999504089355,1
3437,5.2769999504089355,1
3438,5.2769999504089355,1
3457,3.9630000591278076,1
3458,5.497000217437744,1
3459,7.0929999351501465,1
3460,7.0929999351501465,1
3461,7.0929999351501465,1
3462,5.9629998207092285,1
3463,3.6059999465942383,1
3464,3.2839999198913574,1
3480,3.9630000591278076,1
3481,9.204999923706055,1
3482,9.675999641418457,1
3483,9.675999641418457,1
3484,9.675999641418457,1
3485,7.494999885559082,1
3486,7.073999881744385,1
3487,7.073999881744385,1
3488,5.85099983215332,1
3489,4.584000110626221,1
3490,3.009000062942505,1
3503,3.9630000591278076,1
3504,9.204999923706055,1
3505,9.675999641418457,1
3506,9.675999641418457,1
3507,9.675999641418457,1
3508,9.01200008392334,1
3509,7.863999843597412,1
3510,7.863999843597412,1
3511,7.756999969482422,1
3512,6.2769999504089355,1
3513,4.140999794006348,1
3526,3.9070000648498535,1
3527,9.204999923706055,1
3528,9.675999641418457,1
3529,10.29699993133545,1
3530,10.29699993133545,1
3531,10.29699993133545,1
3532,9.96500015258789,1
3536,4.809000015258789,1
3537,2.5889999866485596,1
3548,2.7219998836517334,1
3549,4.656000137329102,1
3550,6.745999813079834,1
3551,9.236000061035156,1
3552,10.29699993133545,1
3553,10.29699993133545,1
3560,3.1630001068115234,1
