,scores,cavity
32417,9.982000350952148,1
32418,10.657999992370605,1
32419,10.657999992370605,1
32420,10.657999992370605,1
32421,10.449999809265137,1
32422,10.449999809265137,1
32442,12.435999870300293,1
32443,12.435999870300293,1
32444,12.435999870300293,1
32445,11.92199993133545,1
32446,10.449999809265137,1
32447,10.449999809265137,1
32467,12.435999870300293,1
32468,12.638999938964844,1
32469,12.638999938964844,1
32470,12.638999938964844,1
32471,10.449999809265137,1
32472,10.449999809265137,1
32492,12.435999870300293,1
32493,12.907999992370605,1
32494,12.907999992370605,1
32495,12.907999992370605,1
32496,10.430000305175781,1
32497,10.430000305175781,1
32517,12.338000297546387,1
32518,12.907999992370605,1
32519,12.907999992370605,1
32520,12.907999992370605,1
32521,10.381999969482422,1
32542,12.338000297546387,1
32543,12.907999992370605,1
32544,12.907999992370605,1
32545,12.907999992370605,1
32546,10.381999969482422,1
32568,11.331999778747559,1
32569,11.331999778747559,1
32570,11.331999778747559,1
33268,10.52299976348877,1
33269,10.52299976348877,1
33270,10.52299976348877,1
33291,10.41100025177002,1
33292,10.934000015258789,1
33293,12.362000465393066,1
33294,12.362000465393066,1
33295,12.362000465393066,1
33296,11.916999816894531,1
33297,11.722000122070312,1
33316,10.559000015258789,1
33317,12.435999870300293,1
33318,14.031999588012695,1
33319,14.031999588012695,1
33320,14.031999588012695,1
33321,12.829000473022461,1
33322,12.829000473022461,1
33341,10.559000015258789,1
33342,12.435999870300293,1
33343,14.031999588012695,1
33344,14.031999588012695,1
33345,14.031999588012695,1
33346,13.795999526977539,1
33347,12.829000473022461,1
33348,10.079000473022461,1
33366,10.85099983215332,1
33367,12.54800033569336,1
33368,14.031999588012695,1
33369,14.031999588012695,1
33370,14.031999588012695,1
33371,13.795999526977539,1
33372,12.829000473022461,1
33373,10.430999755859375,1
33391,10.85099983215332,1
33392,12.54800033569336,1
33393,13.581000328063965,1
33394,13.795999526977539,1
33395,13.795999526977539,1
33396,13.795999526977539,1
33397,11.281000137329102,1
33398,10.430999755859375,1
33416,10.85099983215332,1
33417,12.54800033569336,1
33418,12.907999992370605,1
33419,12.907999992370605,1
33420,12.907999992370605,1
33421,11.39900016784668,1
33422,11.281000137329102,1
33423,10.430999755859375,1
33442,10.61299991607666,1
33443,12.350000381469727,1
33444,12.350000381469727,1
33445,12.350000381469727,1
34142,10.597000122070312,1
34143,12.496000289916992,1
34144,12.496000289916992,1
34145,12.496000289916992,1
34146,10.793999671936035,1
34147,10.557000160217285,1
34166,10.41100025177002,1
34167,10.934000015258789,1
34168,13.109000205993652,1
34169,13.109000205993652,1
34170,13.109000205993652,1
34171,12.505999565124512,1
34172,12.505999565124512,1
34191,10.559000015258789,1
34192,12.435999870300293,1
34193,14.350000381469727,1
34194,14.350000381469727,1
34195,14.350000381469727,1
34196,13.305999755859375,1
34197,13.031999588012695,1
34198,11.508000373840332,1
34215,10.04800033569336,1
34216,11.569000244140625,1
34217,12.435999870300293,1
34218,14.350000381469727,1
34219,15.03499984741211,1
34220,15.03499984741211,1
34221,15.03499984741211,1
34222,13.154000282287598,1
34223,11.508000373840332,1
34240,10.04800033569336,1
34241,11.76099967956543,1
34242,12.54800033569336,1
34243,14.350000381469727,1
34244,15.03499984741211,1
34245,15.03499984741211,1
34246,15.03499984741211,1
34247,13.154000282287598,1
34248,12.168999671936035,1
34249,11.350000381469727,1
34265,10.04800033569336,1
34266,11.76099967956543,1
34267,12.54800033569336,1
34268,13.718999862670898,1
34269,15.03499984741211,1
34270,15.03499984741211,1
34271,15.03499984741211,1
34272,13.154000282287598,1
34273,12.168999671936035,1
34274,11.350000381469727,1
34291,11.76099967956543,1
34292,12.54800033569336,1
34293,13.583000183105469,1
34294,13.722000122070312,1
34295,13.722000122070312,1
34296,13.722000122070312,1
34297,13.069000244140625,1
