,scores,cavity
952,20.270000457763672,1
965,20.270000457763672,1
978,20.270000457763672,1
979,20.270000457763672,1
980,20.270000457763672,1
1290,20.270000457763672,1
1303,20.270000457763672,1
1316,20.270000457763672,1
1317,20.270000457763672,1
1318,20.270000457763672,1
1628,20.270000457763672,1
1641,20.270000457763672,1
1654,20.270000457763672,1
1655,20.270000457763672,1
1656,20.270000457763672,1
3778,17.0310001373291,1
3801,17.93899917602539,1
3802,17.93899917602539,1
3932,17.76300048828125,1
3933,17.76300048828125,1
3934,17.76300048828125,1
4116,17.0310001373291,1
4138,17.256000518798828,1
4139,17.93899917602539,1
4140,17.93899917602539,1
4152,18.246000289916992,1
4153,18.246000289916992,1
4165,18.246000289916992,1
4166,18.246000289916992,1
4178,18.246000289916992,1
4179,18.246000289916992,1
4180,18.246000289916992,1
4244,17.76300048828125,1
4257,17.76300048828125,1
4258,17.76300048828125,1
4259,17.76300048828125,1
4270,17.76300048828125,1
4271,17.76300048828125,1
4272,17.76300048828125,1
4436,17.0310001373291,1
4449,17.0310001373291,1
4454,17.0310001373291,1
4466,17.93899917602539,1
4476,17.256000518798828,1
4477,17.93899917602539,1
4478,17.93899917602539,1
4479,18.288000106811523,1
4490,18.246000289916992,1
4491,19.73699951171875,1
4492,19.73699951171875,1
4500,16.4689998626709,1
4502,17.660999298095703,1
4503,18.246000289916992,1
4504,19.73699951171875,1
4505,19.73699951171875,1
4513,16.32200050354004,1
4515,17.660999298095703,1
4516,18.246000289916992,1
4517,19.73699951171875,1
4518,19.73699951171875,1
4519,19.73699951171875,1
4520,19.610000610351562,1
4521,18.253000259399414,1
4530,18.045000076293945,1
4531,19.16200065612793,1
4532,19.16200065612793,1
4533,19.16200065612793,1
4534,18.253000259399414,1
4543,18.045000076293945,1
4544,18.763999938964844,1
4545,18.763999938964844,1
4546,18.763999938964844,1
4761,17.29599952697754,1
4774,17.29599952697754,1
4787,17.29599952697754,1
4788,17.29599952697754,1
4789,17.29599952697754,1
4790,16.857999801635742,1
4791,16.857999801635742,1
4792,16.857999801635742,1
4800,17.0310001373291,1
4801,17.0310001373291,1
4802,17.190000534057617,1
4803,17.190000534057617,1
4804,18.520000457763672,1
4812,16.4689998626709,1
4813,16.4689998626709,1
4814,17.256000518798828,1
4815,17.256000518798828,1
4816,17.670000076293945,1
4817,18.520000457763672,1
4818,19.17799949645996,1
4819,19.17799949645996,1
4820,19.17799949645996,1
4825,16.4689998626709,1
4826,16.4689998626709,1
4827,17.256000518798828,1
4828,18.246000289916992,1
4829,19.73699951171875,1
4830,19.73699951171875,1
4831,19.73699951171875,1
4832,19.610000610351562,1
4833,19.17799949645996,1
4838,16.4689998626709,1
4839,16.4689998626709,1
4840,17.660999298095703,1
4841,18.246000289916992,1
4842,19.73699951171875,1
4843,19.73699951171875,1
4844,19.73699951171875,1
4845,19.610000610351562,1
4846,19.17799949645996,1
4851,16.32200050354004,1
4852,16.32200050354004,1
4853,17.660999298095703,1
4854,18.246000289916992,1
4855,19.73699951171875,1
4856,19.73699951171875,1
4857,19.73699951171875,1
4858,19.610000610351562,1
4859,18.253000259399414,1
4866,17.660999298095703,1
4867,17.660999298095703,1
4868,18.045000076293945,1
4869,19.16200065612793,1
4870,19.16200065612793,1
4871,19.16200065612793,1
4872,18.253000259399414,1
4881,18.045000076293945,1
4882,18.763999938964844,1
4883,18.763999938964844,1
4884,18.763999938964844,1
5099,17.29599952697754,1
5100,19.54800033569336,1
5101,19.54800033569336,1
5102,19.54800033569336,1
5112,17.29599952697754,1
5113,19.54800033569336,1
5114,19.54800033569336,1
5115,19.54800033569336,1
5125,17.29599952697754,1
5126,19.54800033569336,1
5127,19.54800033569336,1
5128,19.54800033569336,1
5129,16.660999298095703,1
5138,17.0310001373291,1
5139,17.0310001373291,1
5140,17.190000534057617,1
5141,17.190000534057617,1
5142,18.520000457763672,1
5143,18.520000457763672,1
5144,18.520000457763672,1
5153,17.190000534057617,1
5154,17.670000076293945,1
5155,18.520000457763672,1
5156,19.17799949645996,1
5157,19.17799949645996,1
5158,19.17799949645996,1
5165,16.434999465942383,1
5166,17.190000534057617,1
5167,19.73699951171875,1
5168,19.73699951171875,1
5169,19.73699951171875,1
5170,19.610000610351562,1
5171,19.17799949645996,1
5178,16.434999465942383,1
5179,16.434999465942383,1
5180,19.73699951171875,1
5181,19.73699951171875,1
5182,19.73699951171875,1
5183,19.610000610351562,1
5184,19.17799949645996,1
5191,16.434999465942383,1
5192,16.434999465942383,1
5193,19.73699951171875,1
5194,19.73699951171875,1
5195,19.73699951171875,1
5196,19.610000610351562,1
5197,18.253000259399414,1
5206,18.045000076293945,1
5207,19.16200065612793,1
5208,19.16200065612793,1
5209,19.16200065612793,1
5210,18.253000259399414,1
5219,18.045000076293945,1
5220,18.763999938964844,1
5221,18.763999938964844,1
5222,18.763999938964844,1
5437,17.31800079345703,1
5438,19.54800033569336,1
5439,19.54800033569336,1
5440,19.54800033569336,1
5450,17.31800079345703,1
5451,19.54800033569336,1
5452,19.54800033569336,1
5453,19.54800033569336,1
5454,16.37299919128418,1
5463,17.31800079345703,1
5464,19.54800033569336,1
5465,19.54800033569336,1
5466,19.54800033569336,1
5467,16.37299919128418,1
5478,16.37299919128418,1
5479,16.37299919128418,1
5480,18.520000457763672,1
5481,18.520000457763672,1
5482,18.520000457763672,1
5493,18.520000457763672,1
5494,19.17799949645996,1
5495,19.17799949645996,1
5496,19.17799949645996,1
5505,16.851999282836914,1
5506,18.520000457763672,1
5507,19.17799949645996,1
5508,19.17799949645996,1
5509,19.17799949645996,1
5518,16.851999282836914,1
5519,16.851999282836914,1
5520,19.17799949645996,1
5521,19.17799949645996,1
5522,19.17799949645996,1
5531,16.851999282836914,1
5532,16.851999282836914,1
5533,16.851999282836914,1
5775,17.31800079345703,1
5776,19.54800033569336,1
5777,19.54800033569336,1
5778,19.54800033569336,1
5788,17.31800079345703,1
