,scores,cavity
1315,16.381999969482422,1
1316,16.381999969482422,1
1317,16.381999969482422,1
1318,15.097999572753906,1
1341,16.381999969482422,1
1342,16.381999969482422,1
1343,16.381999969482422,1
1344,15.097999572753906,1
1367,16.381999969482422,1
1368,16.381999969482422,1
1369,16.381999969482422,1
1370,15.097999572753906,1
1393,15.300999641418457,1
1394,15.300999641418457,1
1395,15.300999641418457,1
1938,16.448999404907227,1
1939,16.448999404907227,1
1940,16.448999404907227,1
1941,16.381999969482422,1
1942,15.097999572753906,1
1964,16.448999404907227,1
1965,16.448999404907227,1
1966,17.038999557495117,1
1967,17.038999557495117,1
1968,17.038999557495117,1
1990,16.448999404907227,1
1991,16.448999404907227,1
1992,17.038999557495117,1
1993,17.038999557495117,1
1994,17.038999557495117,1
2018,17.038999557495117,1
2019,17.038999557495117,1
2020,17.038999557495117,1
2562,16.448999404907227,1
2563,16.448999404907227,1
2564,16.448999404907227,1
2565,16.381999969482422,1
2566,16.583999633789062,1
2567,16.583999633789062,1
2568,16.583999633789062,1
2569,16.25,1
2570,16.25,1
2571,14.901000022888184,1
2588,16.448999404907227,1
2589,16.448999404907227,1
2590,17.038999557495117,1
2591,19.43199920654297,1
2592,19.43199920654297,1
2593,19.43199920654297,1
2594,18.55699920654297,1
2595,16.25,1
2596,16.25,1
2597,14.901000022888184,1
2614,16.448999404907227,1
2615,16.448999404907227,1
2616,17.038999557495117,1
2617,19.43199920654297,1
2618,19.43199920654297,1
2619,19.43199920654297,1
2620,18.55699920654297,1
2621,16.25,1
2622,16.25,1
2623,14.901000022888184,1
2642,17.038999557495117,1
2643,19.43199920654297,1
2644,19.43199920654297,1
2645,19.43199920654297,1
2646,18.55699920654297,1
3186,16.448999404907227,1
3187,16.448999404907227,1
3188,16.448999404907227,1
3189,16.275999069213867,1
3190,16.583999633789062,1
3191,16.583999633789062,1
3192,16.583999633789062,1
3193,16.25,1
3194,16.25,1
3212,16.448999404907227,1
3213,16.448999404907227,1
3214,17.038999557495117,1
3215,19.43199920654297,1
3216,19.43199920654297,1
3217,19.43199920654297,1
3218,18.55699920654297,1
3219,16.25,1
3220,16.25,1
3238,16.448999404907227,1
3239,16.448999404907227,1
3240,17.038999557495117,1
3241,19.43199920654297,1
3242,19.43199920654297,1
3243,19.43199920654297,1
3244,18.55699920654297,1
3245,16.25,1
3246,16.25,1
3266,17.038999557495117,1
3267,19.43199920654297,1
3268,19.43199920654297,1
3269,19.43199920654297,1
3270,18.55699920654297,1
3271,16.135000228881836,1
3810,15.470999717712402,1
3811,16.275999069213867,1
3812,16.275999069213867,1
3813,16.275999069213867,1
