,scores,cavity
54750,15.706999778747559,1
54790,15.706999778747559,1
54830,15.706999778747559,1
56111,17.099000930786133,1
56112,17.099000930786133,1
56113,17.099000930786133,1
56151,17.099000930786133,1
56152,17.099000930786133,1
56153,17.099000930786133,1
56190,15.687000274658203,1
56230,16.22800064086914,1
56256,16.121000289916992,1
56257,16.121000289916992,1
56258,16.121000289916992,1
56270,16.22800064086914,1
56295,15.739999771118164,1
56296,16.121000289916992,1
56297,16.121000289916992,1
56298,16.121000289916992,1
56310,16.22800064086914,1
56317,16.91200065612793,1
56335,15.739999771118164,1
56336,16.121000289916992,1
56337,16.121000289916992,1
56338,16.121000289916992,1
56350,16.30699920654297,1
56357,16.91200065612793,1
56358,16.358999252319336,1
56375,15.739999771118164,1
56376,15.739999771118164,1
56377,15.739999771118164,1
56390,16.30699920654297,1
56395,16.91200065612793,1
56396,16.91200065612793,1
56397,16.91200065612793,1
56398,16.358999252319336,1
56399,15.395999908447266,1
56400,15.395999908447266,1
56430,16.30699920654297,1
56434,16.14699935913086,1
56435,16.409000396728516,1
56436,16.409000396728516,1
56437,16.409000396728516,1
56438,16.358999252319336,1
56439,15.395999908447266,1
56440,15.395999908447266,1
56472,16.14699935913086,1
56473,16.14699935913086,1
56474,16.14699935913086,1
56475,16.30699920654297,1
56476,16.30699920654297,1
56477,16.30699920654297,1
56478,15.90999984741211,1
56479,15.395999908447266,1
56480,15.395999908447266,1
56515,15.461999893188477,1
56516,15.461999893188477,1
56517,15.461999893188477,1
56518,15.461999893188477,1
56555,15.461999893188477,1
56556,15.461999893188477,1
57471,16.273000717163086,1
57472,16.273000717163086,1
57473,16.273000717163086,1
57511,16.273000717163086,1
57512,16.273000717163086,1
57513,16.273000717163086,1
57551,16.273000717163086,1
57552,17.05699920654297,1
57553,17.05699920654297,1
57554,17.05699920654297,1
57555,15.607999801635742,1
57595,15.607999801635742,1
57630,15.927000045776367,1
57631,16.39299964904785,1
57635,15.607999801635742,1
57670,15.927000045776367,1
57671,17.099000930786133,1
57675,15.503999710083008,1
57709,15.432000160217285,1
57710,16.413999557495117,1
57711,17.099000930786133,1
57712,17.099000930786133,1
57713,17.099000930786133,1
57714,16.409000396728516,1
57749,15.605999946594238,1
57750,17.05699920654297,1
57754,16.91200065612793,1
57755,15.598999977111816,1
57777,16.070999145507812,1
57778,17.711000442504883,1
57779,17.711000442504883,1
57780,17.711000442504883,1
57781,16.95400047302246,1
57789,16.14699935913086,1
57790,17.05699920654297,1
57794,17.09600067138672,1
57795,17.09600067138672,1
57796,15.623000144958496,1
57816,16.351999282836914,1
57817,17.270000457763672,1
57818,17.711000442504883,1
57819,17.711000442504883,1
57820,17.711000442504883,1
57821,16.95400047302246,1
57827,15.661999702453613,1
57828,16.30699920654297,1
57829,16.691999435424805,1
57830,17.05699920654297,1
57837,16.538999557495117,1
57856,17.375,1
57857,17.375,1
57858,17.711000442504883,1
57859,17.711000442504883,1
57860,17.711000442504883,1
57861,16.95400047302246,1
57867,15.661999702453613,1
57868,16.30699920654297,1
57869,16.691999435424805,1
57870,16.774999618530273,1
57877,16.91200065612793,1
