,scores,cavity
1083,12.772000312805176,1
1084,12.772000312805176,1
1085,12.772000312805176,1
1106,12.772000312805176,1
1107,12.772000312805176,1
1108,12.772000312805176,1
1129,12.772000312805176,1
1130,12.772000312805176,1
1131,12.772000312805176,1
1152,12.371000289916992,1
1153,12.371000289916992,1
1154,12.371000289916992,1
1543,15.25100040435791,1
1544,15.25100040435791,1
1545,15.25100040435791,1
1546,12.34000015258789,1
1566,16.964000701904297,1
1567,16.964000701904297,1
1568,16.964000701904297,1
1569,14.781000137329102,1
1589,16.964000701904297,1
1590,16.964000701904297,1
1591,16.964000701904297,1
1592,14.781000137329102,1
1612,16.964000701904297,1
1613,16.964000701904297,1
1614,16.964000701904297,1
1615,14.781000137329102,1
1635,15.255000114440918,1
1636,15.255000114440918,1
1637,15.255000114440918,1
1638,14.184000015258789,1
1659,14.107999801635742,1
1660,14.107999801635742,1
1661,14.107999801635742,1
1682,12.486000061035156,1
1683,12.486000061035156,1
1684,12.486000061035156,1
2026,15.25100040435791,1
2027,15.25100040435791,1
2028,15.25100040435791,1
2029,14.234999656677246,1
2049,18.726999282836914,1
2050,18.726999282836914,1
2051,18.726999282836914,1
2052,15.982999801635742,1
2072,18.726999282836914,1
2073,18.726999282836914,1
2074,18.726999282836914,1
2075,15.982999801635742,1
2095,18.726999282836914,1
2096,18.726999282836914,1
2097,18.726999282836914,1
2098,15.982999801635742,1
2118,17.260000228881836,1
2119,17.260000228881836,1
2120,17.260000228881836,1
2121,15.930000305175781,1
2141,12.444999694824219,1
2142,14.107999801635742,1
2143,14.107999801635742,1
2144,14.107999801635742,1
2165,12.486000061035156,1
2166,12.486000061035156,1
2167,12.486000061035156,1
2499,13.04699993133545,1
2500,13.04699993133545,1
2501,12.630000114440918,1
2509,15.25100040435791,1
2510,15.25100040435791,1
2511,15.25100040435791,1
2512,14.234999656677246,1
2521,15.687000274658203,1
2522,15.687000274658203,1
2523,15.687000274658203,1
2524,12.630000114440918,1
2532,18.726999282836914,1
2533,18.726999282836914,1
2534,18.726999282836914,1
2535,15.982999801635742,1
2542,11.343000411987305,1
2543,12.241000175476074,1
2544,15.687000274658203,1
2545,15.687000274658203,1
2546,15.687000274658203,1
2547,12.630000114440918,1
2555,18.726999282836914,1
2556,18.726999282836914,1
2557,18.726999282836914,1
2558,15.982999801635742,1
2565,11.343000411987305,1
2566,12.241000175476074,1
2567,15.687000274658203,1
2568,15.687000274658203,1
2569,15.687000274658203,1
2578,18.726999282836914,1
2579,18.726999282836914,1
2580,18.726999282836914,1
2581,15.982999801635742,1
2588,12.053999900817871,1
2589,12.241000175476074,1
2590,12.241000175476074,1
2591,12.241000175476074,1
2601,17.260000228881836,1
2602,17.260000228881836,1
2603,17.260000228881836,1
2604,15.930000305175781,1
2611,12.053999900817871,1
2612,12.053999900817871,1
2613,12.053999900817871,1
2624,12.444999694824219,1
2625,14.107999801635742,1
2626,14.107999801635742,1
2627,14.107999801635742,1
2634,12.053999900817871,1
2635,12.053999900817871,1
2636,12.053999900817871,1
2648,12.486000061035156,1
2958,16.97800064086914,1
2959,16.97800064086914,1
2960,16.97800064086914,1
2961,11.729999542236328,1
2979,15.404000282287598,1
2980,21.826000213623047,1
2981,21.826000213623047,1
2982,21.826000213623047,1
2983,20.503000259399414,1
2984,12.630000114440918,1
2993,14.234999656677246,1
2994,14.234999656677246,1
2995,14.234999656677246,1
3002,16.57699966430664,1
3003,22.363000869750977,1
3004,22.363000869750977,1
3005,22.363000869750977,1
3006,20.503000259399414,1
3007,13.020999908447266,1
3015,18.726999282836914,1
3016,18.726999282836914,1
3017,18.726999282836914,1
3018,15.982999801635742,1
3025,16.57699966430664,1
3026,22.363000869750977,1
3027,22.363000869750977,1
3028,22.363000869750977,1
3029,20.503000259399414,1
3030,13.020999908447266,1
3038,18.726999282836914,1
3039,18.726999282836914,1
3040,18.726999282836914,1
3041,15.982999801635742,1
3048,16.57699966430664,1
3049,22.363000869750977,1
3050,22.363000869750977,1
3051,22.363000869750977,1
3052,15.687000274658203,1
3053,13.020999908447266,1
3061,18.726999282836914,1
3062,18.726999282836914,1
3063,18.726999282836914,1
3064,15.982999801635742,1
3071,14.835000038146973,1
3072,14.835000038146973,1
3073,14.835000038146973,1
3074,13.32800006866455,1
3075,13.32800006866455,1
3084,17.260000228881836,1
3085,17.260000228881836,1
3086,17.260000228881836,1
3087,15.930000305175781,1
3094,13.319999694824219,1
3095,13.319999694824219,1
3096,13.319999694824219,1
3097,11.940999984741211,1
3117,12.053999900817871,1
