,scores,cavity
1700,15.996000289916992,1
1701,15.996000289916992,1
1702,15.996000289916992,1
1729,15.996000289916992,1
1730,15.996000289916992,1
1731,15.996000289916992,1
1758,15.996000289916992,1
1759,18.40399932861328,1
1760,18.40399932861328,1
1761,18.40399932861328,1
1788,18.40399932861328,1
1789,18.40399932861328,1
1790,18.40399932861328,1
1817,18.40399932861328,1
1818,18.40399932861328,1
1819,18.40399932861328,1
2124,13.760000228881836,1
2153,13.760000228881836,1
2154,13.760000228881836,1
2155,13.760000228881836,1
2182,13.760000228881836,1
2183,13.760000228881836,1
2184,13.760000228881836,1
2483,18.097000122070312,1
2484,18.097000122070312,1
2485,18.097000122070312,1
2486,16.559999465942383,1
2512,18.38599967956543,1
2513,18.534000396728516,1
2514,18.534000396728516,1
2515,18.534000396728516,1
2541,18.38599967956543,1
2542,19.138999938964844,1
2543,19.138999938964844,1
2544,19.138999938964844,1
2545,17.32200050354004,1
2570,18.38599967956543,1
2571,19.138999938964844,1
2572,19.138999938964844,1
2573,19.138999938964844,1
2574,17.32200050354004,1
2600,19.138999938964844,1
2601,19.138999938964844,1
2602,19.138999938964844,1
2603,17.32200050354004,1
2703,16.91200065612793,1
2704,16.91200065612793,1
2705,16.91200065612793,1
2732,16.91200065612793,1
2761,16.91200065612793,1
2907,13.760000228881836,1
2908,16.85099983215332,1
2909,16.85099983215332,1
2910,16.85099983215332,1
2936,14.541999816894531,1
2937,16.85099983215332,1
2938,16.85099983215332,1
2939,16.85099983215332,1
2940,15.663999557495117,1
2965,14.541999816894531,1
2966,16.85099983215332,1
2967,16.85099983215332,1
2968,16.85099983215332,1
2969,15.663999557495117,1
2994,14.541999816894531,1
2995,16.6560001373291,1
2996,16.6560001373291,1
2997,16.6560001373291,1
2998,15.663999557495117,1
3265,16.545000076293945,1
3266,18.097000122070312,1
3267,18.097000122070312,1
3268,18.097000122070312,1
3269,16.559999465942383,1
3294,16.545000076293945,1
3295,19.121000289916992,1
3296,19.121000289916992,1
3297,19.121000289916992,1
3298,18.534000396728516,1
3323,16.545000076293945,1
3324,19.121000289916992,1
3325,19.138999938964844,1
3326,19.138999938964844,1
3327,19.138999938964844,1
3328,18.327999114990234,1
3353,19.121000289916992,1
3354,19.138999938964844,1
3355,19.138999938964844,1
3356,19.138999938964844,1
3357,18.327999114990234,1
3383,19.138999938964844,1
3384,19.138999938964844,1
3385,19.138999938964844,1
3386,18.327999114990234,1
3486,17.722000122070312,1
3487,17.722000122070312,1
3488,17.722000122070312,1
3515,17.722000122070312,1
3516,17.722000122070312,1
3517,17.722000122070312,1
3544,17.722000122070312,1
3690,13.760000228881836,1
3691,16.85099983215332,1
3692,16.85099983215332,1
3693,16.85099983215332,1
3719,14.541999816894531,1
3720,16.85099983215332,1
3721,16.85099983215332,1
3722,16.85099983215332,1
3748,14.541999816894531,1
3749,16.85099983215332,1
3750,16.85099983215332,1
3751,16.85099983215332,1
3752,15.663999557495117,1
3777,14.541999816894531,1
3778,16.6560001373291,1
3779,16.6560001373291,1
3780,16.6560001373291,1
3781,15.663999557495117,1
4048,16.545000076293945,1
4049,18.097000122070312,1
4050,18.097000122070312,1
4051,18.097000122070312,1
4052,16.559999465942383,1
4077,16.545000076293945,1
4078,19.121000289916992,1
4079,19.121000289916992,1
4080,19.121000289916992,1
4081,18.534000396728516,1
4107,19.121000289916992,1
4108,19.138999938964844,1
4109,19.138999938964844,1
4110,19.138999938964844,1
4111,18.327999114990234,1
4136,19.121000289916992,1
4137,19.138999938964844,1
4138,19.138999938964844,1
4139,19.138999938964844,1
4140,18.327999114990234,1
4166,19.138999938964844,1
4167,19.138999938964844,1
4168,19.138999938964844,1
4169,18.327999114990234,1
4238,15.329999923706055,1
4239,18.125,1
4240,18.125,1
4241,18.125,1
4256,17.864999771118164,1
4267,16.27899932861328,1
4268,18.125,1
4269,18.125,1
4270,18.125,1
4271,17.722000122070312,1
4285,17.864999771118164,1
4296,16.27899932861328,1
4297,18.125,1
4298,18.125,1
4299,18.125,1
4300,17.722000122070312,1
4314,17.864999771118164,1
4325,16.27899932861328,1
4326,17.94700050354004,1
4327,17.94700050354004,1
4328,17.94700050354004,1
4329,17.722000122070312,1
4474,16.85099983215332,1
4475,16.85099983215332,1
4476,16.85099983215332,1
4502,14.541999816894531,1
4503,16.85099983215332,1
4504,16.85099983215332,1
4505,16.85099983215332,1
4531,14.541999816894531,1
4532,16.85099983215332,1
4533,16.85099983215332,1
4534,16.85099983215332,1
4560,14.541999816894531,1
4561,16.6560001373291,1
4562,16.6560001373291,1
4563,16.6560001373291,1
4592,15.21399974822998,1
4593,16.163999557495117,1
4594,16.163999557495117,1
4595,16.163999557495117,1
4831,16.545000076293945,1
4832,16.545000076293945,1
4833,16.545000076293945,1
4860,16.545000076293945,1
4861,19.121000289916992,1
4862,19.121000289916992,1
4863,19.121000289916992,1
4864,18.052000045776367,1
4890,19.121000289916992,1
4891,19.121000289916992,1
4892,19.121000289916992,1
4893,18.327999114990234,1
4894,18.327999114990234,1
4919,19.121000289916992,1
4920,19.121000289916992,1
4921,19.121000289916992,1
