,scores,cavity
604,18.233999252319336,1
605,18.233999252319336,1
606,18.233999252319336,1
617,18.233999252319336,1
618,18.233999252319336,1
619,18.233999252319336,1
630,18.233999252319336,1
631,18.233999252319336,1
632,18.233999252319336,1
866,19.645999908447266,1
867,19.645999908447266,1
868,19.645999908447266,1
877,18.233999252319336,1
878,19.57900047302246,1
879,19.645999908447266,1
880,19.645999908447266,1
881,19.645999908447266,1
891,19.57900047302246,1
892,19.645999908447266,1
893,19.645999908447266,1
894,19.645999908447266,1
904,19.57900047302246,1
905,19.57900047302246,1
906,19.57900047302246,1
907,18.941999435424805,1
1136,18.17300033569336,1
1137,18.513999938964844,1
1138,18.513999938964844,1
1139,20.694000244140625,1
1140,20.694000244140625,1
1141,20.694000244140625,1
1149,18.17300033569336,1
1150,18.513999938964844,1
1151,19.57900047302246,1
1152,20.694000244140625,1
1153,20.694000244140625,1
1154,20.694000244140625,1
1164,19.57900047302246,1
1165,20.694000244140625,1
1166,20.694000244140625,1
1167,20.694000244140625,1
1177,19.57900047302246,1
1178,19.57900047302246,1
1179,19.57900047302246,1
1180,18.948999404907227,1
1397,18.69099998474121,1
1398,18.69099998474121,1
1399,18.69099998474121,1
1400,17.356000900268555,1
1409,18.17300033569336,1
1410,18.69099998474121,1
1411,18.69099998474121,1
1412,20.694000244140625,1
1413,20.694000244140625,1
1414,20.694000244140625,1
1422,18.17300033569336,1
1423,18.69099998474121,1
1424,19.57900047302246,1
1425,20.694000244140625,1
1426,20.694000244140625,1
1427,20.694000244140625,1
1437,19.57900047302246,1
1438,20.694000244140625,1
1439,20.694000244140625,1
1440,20.694000244140625,1
1450,19.57900047302246,1
1451,19.57900047302246,1
1452,19.57900047302246,1
1453,18.948999404907227,1
1670,18.69099998474121,1
1671,18.69099998474121,1
1672,18.69099998474121,1
1673,17.356000900268555,1
1682,18.17300033569336,1
1683,18.69099998474121,1
1684,18.69099998474121,1
1685,20.694000244140625,1
1686,20.694000244140625,1
1687,20.694000244140625,1
1696,18.69099998474121,1
1697,18.69099998474121,1
1698,20.694000244140625,1
1699,20.694000244140625,1
1700,20.694000244140625,1
1710,18.513999938964844,1
1711,20.694000244140625,1
1712,20.694000244140625,1
1713,20.694000244140625,1
1724,18.948999404907227,1
1725,18.948999404907227,1
1726,18.948999404907227,1
1943,18.69099998474121,1
1944,18.69099998474121,1
1945,18.69099998474121,1
1956,18.69099998474121,1
1957,18.69099998474121,1
1958,18.69099998474121,1
1971,18.69099998474121,1
1984,18.23200035095215,1
2383,18.763999938964844,1
2384,18.763999938964844,1
2385,18.763999938964844,1
2396,18.763999938964844,1
2397,18.763999938964844,1
2398,18.763999938964844,1
2409,18.763999938964844,1
2410,18.763999938964844,1
2411,18.763999938964844,1
2642,17.625999450683594,1
2643,17.625999450683594,1
2644,17.625999450683594,1
2645,17.236000061035156,1
2655,17.625999450683594,1
2656,18.763999938964844,1
2657,18.763999938964844,1
2658,18.763999938964844,1
2668,17.625999450683594,1
2669,18.763999938964844,1
2670,18.763999938964844,1
2671,18.763999938964844,1
