,scores,cavity
603,14.173999786376953,1
604,15.11299991607666,1
605,15.11299991607666,1
606,15.11299991607666,1
620,14.173999786376953,1
621,15.11299991607666,1
622,15.11299991607666,1
623,15.11299991607666,1
637,14.173999786376953,1
638,15.11299991607666,1
639,15.11299991607666,1
640,15.11299991607666,1
655,14.243000030517578,1
656,14.243000030517578,1
657,14.243000030517578,1
858,14.173999786376953,1
859,15.116999626159668,1
860,15.116999626159668,1
861,15.116999626159668,1
875,14.173999786376953,1
876,15.116999626159668,1
877,15.116999626159668,1
878,15.116999626159668,1
892,14.173999786376953,1
893,15.116999626159668,1
894,15.116999626159668,1
895,15.116999626159668,1
910,14.770999908447266,1
911,14.770999908447266,1
912,14.770999908447266,1
1113,14.173999786376953,1
1114,15.116999626159668,1
1115,15.116999626159668,1
1116,15.116999626159668,1
1131,15.116999626159668,1
1148,15.116999626159668,1
1165,14.770999908447266,1
1219,13.836999893188477,1
1220,13.836999893188477,1
1221,13.836999893188477,1
1369,15.116999626159668,1
1370,15.116999626159668,1
1371,15.116999626159668,1
1386,15.116999626159668,1
1389,16.70199966430664,1
1390,16.70199966430664,1
1391,16.70199966430664,1
1403,15.116999626159668,1
1406,16.70199966430664,1
1407,16.70199966430664,1
1408,16.70199966430664,1
1422,31.690000534057617,1
1423,16.70199966430664,1
1424,16.70199966430664,1
1425,16.70199966430664,1
1439,15.845000267028809,1
1440,15.89900016784668,1
1441,15.89900016784668,1
1442,15.89900016784668,1
1456,15.845000267028809,1
1457,15.845000267028809,1
1458,15.845000267028809,1
1474,13.836999893188477,1
1475,13.836999893188477,1
1476,13.836999893188477,1
1644,16.70199966430664,1
1645,16.70199966430664,1
1646,16.70199966430664,1
1661,16.70199966430664,1
1662,16.70199966430664,1
1663,16.70199966430664,1
1677,15.845000267028809,1
1678,16.70199966430664,1
1679,16.70199966430664,1
1680,16.70199966430664,1
1694,15.845000267028809,1
1695,15.89900016784668,1
1696,15.89900016784668,1
1697,15.89900016784668,1
1711,15.845000267028809,1
1712,15.845000267028809,1
1713,15.845000267028809,1
1729,13.836999893188477,1
1730,13.836999893188477,1
1731,13.836999893188477,1
1899,16.70199966430664,1
1900,16.70199966430664,1
1901,16.70199966430664,1
1916,16.70199966430664,1
1917,16.70199966430664,1
1918,16.70199966430664,1
1932,15.845000267028809,1
1933,16.70199966430664,1
1934,16.70199966430664,1
1935,16.70199966430664,1
1949,15.845000267028809,1
1950,15.89900016784668,1
1951,15.89900016784668,1
1952,15.89900016784668,1
1966,15.845000267028809,1
1967,15.845000267028809,1
1968,15.845000267028809,1
5259,28.474000930786133,1
5260,28.474000930786133,1
5409,13.298999786376953,1
5410,13.298999786376953,1
5411,13.298999786376953,1
5426,16.4689998626709,1
5427,16.4689998626709,1
5428,16.4689998626709,1
5443,16.4689998626709,1
5444,16.4689998626709,1
5445,16.4689998626709,1
5460,16.4689998626709,1
5461,16.4689998626709,1
5462,16.4689998626709,1
5513,14.237000465393066,1
5514,28.474000930786133,1
5515,28.474000930786133,1
5516,25.73200035095215,1
5531,25.73200035095215,1
5532,25.73200035095215,1
