,scores,cavity
588,12.288999557495117,1
589,12.288999557495117,1
590,12.288999557495117,1
605,12.09000015258789,1
606,15.298999786376953,1
607,15.298999786376953,1
608,15.298999786376953,1
609,12.192000389099121,1
623,12.09000015258789,1
624,15.298999786376953,1
625,15.298999786376953,1
626,15.298999786376953,1
627,12.626999855041504,1
641,12.09000015258789,1
642,15.298999786376953,1
643,15.298999786376953,1
644,15.298999786376953,1
645,12.626999855041504,1
659,11.559000015258789,1
660,12.4399995803833,1
661,12.626999855041504,1
662,12.626999855041504,1
663,12.626999855041504,1
677,12.197999954223633,1
678,12.197999954223633,1
679,12.197999954223633,1
680,11.454000473022461,1
695,12.197999954223633,1
696,12.197999954223633,1
697,12.197999954223633,1
698,11.454000473022461,1
713,12.197999954223633,1
714,12.197999954223633,1
715,12.197999954223633,1
716,11.454000473022461,1
840,12.288999557495117,1
841,12.288999557495117,1
842,12.288999557495117,1
857,12.09000015258789,1
858,15.298999786376953,1
859,15.298999786376953,1
860,15.298999786376953,1
861,12.192000389099121,1
875,12.09000015258789,1
876,15.298999786376953,1
877,15.298999786376953,1
878,15.298999786376953,1
879,12.192000389099121,1
893,12.09000015258789,1
894,15.298999786376953,1
895,15.298999786376953,1
896,15.298999786376953,1
897,12.192000389099121,1
911,11.559000015258789,1
912,12.003999710083008,1
913,12.003999710083008,1
914,12.003999710083008,1
929,12.197999954223633,1
930,12.197999954223633,1
931,12.197999954223633,1
932,11.454000473022461,1
947,12.197999954223633,1
948,12.197999954223633,1
949,12.197999954223633,1
950,11.454000473022461,1
965,12.197999954223633,1
966,12.197999954223633,1
967,12.197999954223633,1
968,11.454000473022461,1
1110,13.368000030517578,1
1111,13.368000030517578,1
1112,13.368000030517578,1
1113,12.192000389099121,1
1128,13.368000030517578,1
1129,13.368000030517578,1
1130,13.368000030517578,1
1131,12.192000389099121,1
1146,13.368000030517578,1
1147,13.368000030517578,1
1148,13.368000030517578,1
1149,12.192000389099121,1
3840,11.6899995803833,1
3841,11.6899995803833,1
3842,11.6899995803833,1
3858,11.6899995803833,1
3859,15.89900016784668,1
3860,15.89900016784668,1
3861,15.89900016784668,1
3874,14.116999626159668,1
3875,14.116999626159668,1
3876,14.116999626159668,1
3877,15.89900016784668,1
3878,15.89900016784668,1
3879,15.89900016784668,1
3892,14.116999626159668,1
3893,14.116999626159668,1
3894,14.116999626159668,1
3895,15.89900016784668,1
3896,15.89900016784668,1
3897,15.89900016784668,1
3913,15.532999992370605,1
3914,15.532999992370605,1
3915,15.532999992370605,1
3967,14.449000358581543,1
4076,13.57800006866455,1
4077,13.57800006866455,1
4078,13.57800006866455,1
4089,12.550000190734863,1
4090,12.550000190734863,1
4091,12.550000190734863,1
4092,13.326000213623047,1
4093,17.465999603271484,1
4094,17.465999603271484,1
4095,17.465999603271484,1
4096,13.57800006866455,1
4106,13.98900032043457,1
4107,13.98900032043457,1
4108,13.98900032043457,1
4109,12.550000190734863,1
4110,13.326000213623047,1
4111,18.895999908447266,1
4112,18.895999908447266,1
4113,18.895999908447266,1
4114,15.795000076293945,1
4124,13.98900032043457,1
4125,13.98900032043457,1
4126,14.116999626159668,1
4127,16.22599983215332,1
4128,16.22599983215332,1
4129,18.895999908447266,1
4130,18.895999908447266,1
4131,18.895999908447266,1
4132,15.795000076293945,1
4142,13.98900032043457,1
4143,13.98900032043457,1
4144,14.116999626159668,1
4145,16.22599983215332,1
4146,16.22599983215332,1
4147,18.895999908447266,1
4148,18.895999908447266,1
4149,18.895999908447266,1
4150,15.795000076293945,1
4163,16.22599983215332,1
4164,16.22599983215332,1
4165,17.135000228881836,1
4166,17.135000228881836,1
4167,17.135000228881836,1
4183,14.449000358581543,1
4201,14.449000358581543,1
4219,14.449000358581543,1
4328,13.57800006866455,1
4329,13.57800006866455,1
4330,13.57800006866455,1
4331,11.692000389099121,1
4341,13.958000183105469,1
4342,13.958000183105469,1
4343,13.958000183105469,1
4344,14.689000129699707,1
4345,17.465999603271484,1
4346,17.465999603271484,1
4347,17.465999603271484,1
4348,14.206000328063965,1
4349,13.312999725341797,1
4358,13.98900032043457,1
4359,16.6560001373291,1
4360,16.6560001373291,1
4361,16.6560001373291,1
4362,14.904999732971191,1
4363,19.172000885009766,1
4364,19.172000885009766,1
4365,19.172000885009766,1
4366,15.795000076293945,1
4367,13.312999725341797,1
4376,13.98900032043457,1
4377,16.6560001373291,1
4378,16.6560001373291,1
4379,16.6560001373291,1
4380,16.22599983215332,1
4381,19.172000885009766,1
4382,19.172000885009766,1
4383,19.172000885009766,1
4384,15.795000076293945,1
4385,13.312999725341797,1
4394,13.98900032043457,1
4395,16.6560001373291,1
4396,16.6560001373291,1
4397,16.6560001373291,1
4398,16.22599983215332,1
4399,19.172000885009766,1
4400,19.172000885009766,1
4401,19.172000885009766,1
4402,15.795000076293945,1
4413,13.829999923706055,1
4414,14.116999626159668,1
4415,16.22599983215332,1
4416,16.22599983215332,1
4417,17.135000228881836,1
4418,17.135000228881836,1
4419,17.135000228881836,1
4420,15.696000099182129,1
4435,14.449000358581543,1
4453,14.449000358581543,1
4471,14.449000358581543,1
4487,13.430999755859375,1
4488,13.430999755859375,1
4489,13.430999755859375,1
4575,12.225000381469727,1
4576,12.225000381469727,1
4577,12.225000381469727,1
4579,16.226999282836914,1
4580,16.226999282836914,1
4581,16.226999282836914,1
4582,13.920999526977539,1
4583,11.692000389099121,1
4592,14.314000129699707,1
4593,15.550000190734863,1
4594,15.550000190734863,1
4595,15.550000190734863,1
4596,14.689000129699707,1
4597,17.736000061035156,1
4598,18.05299949645996,1
4599,18.05299949645996,1
4600,18.05299949645996,1
4601,13.312999725341797,1
4610,14.314000129699707,1
