,scores,cavity
170,26.775999069213867,1
171,26.775999069213867,1
172,26.775999069213867,1
178,26.871999740600586,1
179,26.871999740600586,1
180,26.871999740600586,1
186,26.871999740600586,1
187,26.871999740600586,1
188,26.871999740600586,1
194,26.871999740600586,1
195,26.871999740600586,1
196,26.871999740600586,1
235,26.281999588012695,1
236,26.281999588012695,1
237,26.281999588012695,1
242,26.775999069213867,1
243,26.775999069213867,1
244,26.775999069213867,1
245,26.281999588012695,1
250,27.63800048828125,1
251,27.63800048828125,1
252,27.63800048828125,1
253,26.281999588012695,1
258,27.63800048828125,1
259,27.63800048828125,1
260,27.63800048828125,1
261,26.031999588012695,1
266,27.63800048828125,1
267,27.63800048828125,1
268,27.63800048828125,1
307,26.281999588012695,1
308,26.281999588012695,1
309,26.281999588012695,1
314,26.93400001525879,1
315,26.93400001525879,1
316,26.93400001525879,1
317,26.375999450683594,1
322,27.63800048828125,1
323,27.63800048828125,1
324,27.63800048828125,1
325,26.375999450683594,1
330,27.63800048828125,1
331,27.63800048828125,1
332,27.63800048828125,1
333,26.375999450683594,1
338,27.63800048828125,1
339,27.63800048828125,1
340,27.63800048828125,1
379,26.281999588012695,1
380,26.281999588012695,1
381,26.281999588012695,1
386,26.93400001525879,1
387,26.93400001525879,1
388,26.93400001525879,1
389,26.492000579833984,1
394,27.63800048828125,1
395,27.63800048828125,1
396,27.63800048828125,1
397,26.492000579833984,1
402,27.63800048828125,1
403,27.63800048828125,1
404,27.63800048828125,1
405,26.492000579833984,1
410,27.63800048828125,1
411,27.63800048828125,1
412,27.63800048828125,1
458,26.93400001525879,1
459,26.93400001525879,1
460,26.93400001525879,1
461,26.492000579833984,1
466,27.016000747680664,1
467,27.016000747680664,1
468,27.016000747680664,1
469,26.492000579833984,1
474,27.016000747680664,1
475,27.016000747680664,1
476,27.016000747680664,1
477,26.492000579833984,1
482,27.016000747680664,1
483,27.016000747680664,1
484,27.016000747680664,1
531,26.492000579833984,1
532,26.492000579833984,1
533,26.492000579833984,1
538,27.016000747680664,1
539,27.016000747680664,1
540,27.016000747680664,1
541,26.492000579833984,1
546,27.016000747680664,1
547,27.016000747680664,1
548,27.016000747680664,1
549,26.492000579833984,1
554,27.016000747680664,1
555,27.016000747680664,1
556,27.016000747680664,1
959,13.503000259399414,1
1010,14.472000122070312,1
1049,13.503000259399414,1
1100,14.472000122070312,1
1139,13.503000259399414,1
1190,14.472000122070312,1
1229,12.451000213623047,1
1280,14.104999542236328,1
1281,14.236000061035156,1
1282,14.236000061035156,1
1283,14.236000061035156,1
1370,13.824999809265137,1
1371,14.236000061035156,1
1372,14.236000061035156,1
1373,14.236000061035156,1
1379,14.472000122070312,1
1409,14.809000015258789,1
1856,13.991000175476074,1
1857,17.9950008392334,1
1858,17.9950008392334,1
1859,17.9950008392334,1
1867,17.9950008392334,1
1875,17.9950008392334,1
1883,17.812999725341797,1
