,scores,cavity
1149,15.871999740600586,1
1150,15.871999740600586,1
1151,15.871999740600586,1
1183,15.871999740600586,1
1184,15.871999740600586,1
1185,15.871999740600586,1
1217,15.871999740600586,1
1218,15.871999740600586,1
1219,15.871999740600586,1
1251,14.935999870300293,1
1252,14.935999870300293,1
1253,14.935999870300293,1
1591,15.871999740600586,1
1592,15.871999740600586,1
1593,15.871999740600586,1
1623,13.255000114440918,1
1624,13.527000427246094,1
1625,15.871999740600586,1
1626,15.871999740600586,1
1627,15.871999740600586,1
1659,15.871999740600586,1
1660,15.871999740600586,1
1661,15.871999740600586,1
1694,15.767999649047852,1
1695,15.767999649047852,1
2033,15.871999740600586,1
2034,15.871999740600586,1
2035,15.871999740600586,1
2067,15.871999740600586,1
2068,15.871999740600586,1
2069,15.871999740600586,1
2101,15.871999740600586,1
2102,15.871999740600586,1
2103,15.871999740600586,1
2136,15.767999649047852,1
2137,15.767999649047852,1
2509,15.767999649047852,1
2510,15.767999649047852,1
2511,15.767999649047852,1
2543,15.767999649047852,1
2544,15.767999649047852,1
2545,15.767999649047852,1
2578,15.767999649047852,1
2579,15.767999649047852,1
2893,13.78499984741211,1
2894,13.78499984741211,1
2895,13.78499984741211,1
2926,12.899999618530273,1
2927,14.041999816894531,1
2928,14.041999816894531,1
2929,14.041999816894531,1
2930,12.371999740600586,1
2960,12.899999618530273,1
2961,14.041999816894531,1
2962,14.041999816894531,1
2963,14.041999816894531,1
2964,12.371999740600586,1
2994,12.899999618530273,1
2995,14.041999816894531,1
2996,14.041999816894531,1
2997,14.041999816894531,1
2998,12.371999740600586,1
3334,13.019000053405762,1
3335,13.78499984741211,1
3336,13.78499984741211,1
3337,13.78499984741211,1
3368,13.019000053405762,1
3369,14.041999816894531,1
3370,14.041999816894531,1
3371,14.041999816894531,1
3372,12.371999740600586,1
3402,13.019000053405762,1
3403,14.041999816894531,1
3404,14.041999816894531,1
3405,14.041999816894531,1
3406,12.371999740600586,1
3436,12.899999618530273,1
3437,14.041999816894531,1
3438,14.041999816894531,1
3439,14.041999816894531,1
3440,12.371999740600586,1
3776,13.019000053405762,1
3777,13.78499984741211,1
3778,13.78499984741211,1
3779,13.78499984741211,1
3810,13.019000053405762,1
3811,14.041999816894531,1
3812,14.041999816894531,1
3813,14.041999816894531,1
3814,12.371999740600586,1
3844,13.019000053405762,1
3845,14.041999816894531,1
3846,14.041999816894531,1
3847,14.041999816894531,1
3848,12.371999740600586,1
3878,12.899999618530273,1
3879,14.041999816894531,1
3880,14.041999816894531,1
3881,14.041999816894531,1
3882,12.371999740600586,1
4218,13.019000053405762,1
4219,13.057000160217285,1
4220,13.057000160217285,1
4221,13.057000160217285,1
4252,13.019000053405762,1
4253,13.057000160217285,1
4254,13.057000160217285,1
4255,13.057000160217285,1
4286,13.019000053405762,1
4287,13.057000160217285,1
4288,13.057000160217285,1
4289,13.057000160217285,1
4517,14.541999816894531,1
4518,14.541999816894531,1
4519,14.541999816894531,1
4551,14.541999816894531,1
4552,14.541999816894531,1
4553,14.541999816894531,1
4585,14.541999816894531,1
4586,14.541999816894531,1
4587,14.541999816894531,1
4959,14.541999816894531,1
4960,14.541999816894531,1
4961,14.541999816894531,1
4993,14.541999816894531,1
4994,14.541999816894531,1
4995,14.541999816894531,1
5027,14.541999816894531,1
5028,14.541999816894531,1
5029,14.541999816894531,1
5401,14.541999816894531,1
5402,14.541999816894531,1
5403,14.541999816894531,1
5435,14.541999816894531,1
5436,14.541999816894531,1
5437,14.541999816894531,1
5469,14.541999816894531,1
5470,14.541999816894531,1
5471,14.541999816894531,1
10913,12.345999717712402,1
10914,12.345999717712402,1
10915,12.345999717712402,1
10947,13.336000442504883,1
10948,13.336000442504883,1
10949,13.336000442504883,1
10950,12.345999717712402,1
10982,13.336000442504883,1
10983,13.336000442504883,1
10984,13.336000442504883,1
10985,12.345999717712402,1
11017,13.336000442504883,1
11018,13.336000442504883,1
11019,13.336000442504883,1
11020,12.588000297546387,1
11052,12.838000297546387,1
11053,12.838000297546387,1
11054,12.838000297546387,1
11055,12.588000297546387,1
11087,12.552000045776367,1
11088,12.588000297546387,1
11089,12.588000297546387,1
11090,12.588000297546387,1
11122,13.670999526977539,1
11123,13.670999526977539,1
11124,13.670999526977539,1
11157,13.670999526977539,1
11158,13.670999526977539,1
11159,13.670999526977539,1
11192,13.670999526977539,1
11193,13.670999526977539,1
11194,13.670999526977539,1
11227,12.934000015258789,1
11228,12.934000015258789,1
11229,12.934000015258789,1
11298,13.043999671936035,1
11299,13.043999671936035,1
11300,13.043999671936035,1
11333,13.043999671936035,1
11334,13.043999671936035,1
11335,13.043999671936035,1
11368,13.043999671936035,1
11369,13.043999671936035,1
11370,13.043999671936035,1
11403,12.62399959564209,1
11404,12.62399959564209,1
11405,12.62399959564209,1
11438,12.515000343322754,1
11439,12.515000343322754,1
11472,12.515000343322754,1
11473,12.515000343322754,1
11474,12.515000343322754,1
11507,12.515000343322754,1
11508,12.515000343322754,1
11509,12.515000343322754,1
12524,12.404000282287598,1
12525,12.404000282287598,1
12526,12.404000282287598,1
12558,12.788000106811523,1
12559,13.09000015258789,1
12560,13.09000015258789,1
12561,13.09000015258789,1
12593,13.743000030517578,1
12594,13.743000030517578,1
12595,13.743000030517578,1
12596,13.218999862670898,1
12627,13.670999526977539,1
12628,14.088000297546387,1
12629,14.088000297546387,1
12630,14.088000297546387,1
12631,13.218999862670898,1
12662,13.670999526977539,1
12663,14.90999984741211,1
12664,14.90999984741211,1
12665,14.90999984741211,1
12666,13.218999862670898,1
12697,13.90999984741211,1
12698,14.90999984741211,1
12699,14.90999984741211,1
12700,14.90999984741211,1
12701,12.496999740600586,1
12731,13.015000343322754,1
12732,14.666999816894531,1
12733,14.90999984741211,1
12734,14.90999984741211,1
12735,14.90999984741211,1
12736,12.475000381469727,1
12766,13.015000343322754,1
12767,15.034000396728516,1
12768,15.034000396728516,1
12769,15.034000396728516,1
12770,14.564000129699707,1
12771,12.892000198364258,1
12801,13.079999923706055,1
12802,15.255000114440918,1
12803,15.255000114440918,1
12804,15.255000114440918,1
12805,13.829000473022461,1
12806,12.892000198364258,1
12836,13.946999549865723,1
12837,15.255000114440918,1
12838,15.255000114440918,1
12839,15.255000114440918,1
12840,13.829000473022461,1
12841,12.892000198364258,1
12871,13.946999549865723,1
12872,15.255000114440918,1
12873,15.255000114440918,1
12874,15.255000114440918,1
12875,13.364999771118164,1
12876,12.37399959564209,1
12906,13.946999549865723,1
12907,14.928999900817871,1
12908,14.928999900817871,1
12909,14.928999900817871,1
12910,13.468999862670898,1
12911,12.359999656677246,1
12941,13.145999908447266,1
12942,14.928999900817871,1
12943,14.928999900817871,1
12944,14.928999900817871,1
12945,13.468999862670898,1
12946,13.027999877929688,1
12976,13.145999908447266,1
12977,13.145999908447266,1
12978,13.468999862670898,1
12979,13.468999862670898,1
12980,13.468999862670898,1
12981,13.027999877929688,1
13012,14.79699993133545,1
13013,14.79699993133545,1
13014,14.79699993133545,1
13015,13.395999908447266,1
13016,13.027999877929688,1
