,scores,cavity
1194,14.958999633789062,1
1195,14.958999633789062,1
1196,14.958999633789062,1
1214,18.202999114990234,1
1215,18.202999114990234,1
1216,18.202999114990234,1
1234,18.202999114990234,1
1235,18.202999114990234,1
1236,18.202999114990234,1
1237,13.262999534606934,1
1254,18.202999114990234,1
1255,18.202999114990234,1
1256,18.202999114990234,1
1257,13.262999534606934,1
1274,14.197999954223633,1
1275,14.197999954223633,1
1276,14.197999954223633,1
1634,14.958999633789062,1
1635,14.958999633789062,1
1636,14.958999633789062,1
1654,18.202999114990234,1
1655,18.202999114990234,1
1656,18.202999114990234,1
1674,18.202999114990234,1
1675,18.202999114990234,1
1676,18.202999114990234,1
1677,13.262999534606934,1
1694,18.202999114990234,1
1695,18.202999114990234,1
1696,18.202999114990234,1
1697,13.262999534606934,1
1714,14.197999954223633,1
1715,14.197999954223633,1
1716,14.197999954223633,1
1953,15.598999977111816,1
1973,16.718000411987305,1
1974,16.718000411987305,1
1975,16.718000411987305,1
1992,15.791999816894531,1
1993,16.718000411987305,1
1994,16.718000411987305,1
1995,16.718000411987305,1
2012,19.19099998474121,1
2013,19.19099998474121,1
2014,19.19099998474121,1
2015,18.530000686645508,1
2032,19.19099998474121,1
2033,19.19099998474121,1
2034,19.19099998474121,1
2035,18.530000686645508,1
2052,19.19099998474121,1
2053,19.19099998474121,1
2054,19.19099998474121,1
2055,18.530000686645508,1
2073,15.437000274658203,1
2074,15.437000274658203,1
2075,15.437000274658203,1
2076,14.958999633789062,1
2077,12.097999572753906,1
2094,18.202999114990234,1
2095,18.202999114990234,1
2096,18.202999114990234,1
2097,13.262999534606934,1
2114,18.202999114990234,1
2115,18.202999114990234,1
2116,18.202999114990234,1
2117,13.262999534606934,1
2134,18.202999114990234,1
2135,18.202999114990234,1
2136,18.202999114990234,1
2137,13.262999534606934,1
2154,14.197999954223633,1
2155,14.197999954223633,1
2156,14.197999954223633,1
2393,15.598999977111816,1
2413,16.718000411987305,1
2414,16.718000411987305,1
2415,16.718000411987305,1
2432,19.33099937438965,1
2433,19.33099937438965,1
2434,19.33099937438965,1
2435,16.718000411987305,1
2452,20.25200080871582,1
2453,20.25200080871582,1
2454,20.25200080871582,1
2455,18.530000686645508,1
2472,20.25200080871582,1
2473,20.25200080871582,1
2474,20.25200080871582,1
2475,18.530000686645508,1
2492,20.25200080871582,1
2493,20.25200080871582,1
2494,20.25200080871582,1
2495,18.530000686645508,1
2513,15.437000274658203,1
2514,15.437000274658203,1
2515,15.437000274658203,1
2853,16.718000411987305,1
2854,16.718000411987305,1
2855,16.718000411987305,1
2872,19.33099937438965,1
2873,19.33099937438965,1
2874,19.33099937438965,1
2875,16.718000411987305,1
2892,20.25200080871582,1
2893,20.25200080871582,1
2894,20.25200080871582,1
2895,18.530000686645508,1
2912,20.25200080871582,1
2913,20.25200080871582,1
2914,20.25200080871582,1
2915,18.530000686645508,1
2932,20.25200080871582,1
2933,20.25200080871582,1
2934,20.25200080871582,1
2935,18.530000686645508,1
2953,15.437000274658203,1
2954,15.437000274658203,1
2955,15.437000274658203,1
3312,19.33099937438965,1
3313,19.33099937438965,1
3314,19.33099937438965,1
3332,20.25200080871582,1
3333,20.25200080871582,1
3334,20.25200080871582,1
3352,20.25200080871582,1
3353,20.25200080871582,1
3354,20.25200080871582,1
3355,16.655000686645508,1
3372,20.25200080871582,1
3373,20.25200080871582,1
3374,20.25200080871582,1
3375,16.655000686645508,1
5388,12.949000358581543,1
5389,12.949000358581543,1
5390,12.949000358581543,1
5408,12.949000358581543,1
5409,12.949000358581543,1
5410,12.949000358581543,1
5428,12.949000358581543,1
5429,12.949000358581543,1
5430,12.949000358581543,1
5826,11.911999702453613,1
5827,14.199000358581543,1
5828,14.199000358581543,1
5829,14.199000358581543,1
5830,12.949000358581543,1
5845,12.371999740600586,1
5846,12.371999740600586,1
5847,14.279000282287598,1
5848,14.279000282287598,1
5849,14.279000282287598,1
5850,12.949000358581543,1
5864,17.51099967956543,1
5865,17.51099967956543,1
5866,17.51099967956543,1
5867,14.279000282287598,1
5868,14.279000282287598,1
5869,14.279000282287598,1
5883,13.541000366210938,1
5884,19.95800018310547,1
5885,19.95800018310547,1
5886,19.95800018310547,1
5887,14.48799991607666,1
5888,14.279000282287598,1
5889,14.279000282287598,1
5903,13.541000366210938,1
5904,19.95800018310547,1
5905,19.95800018310547,1
5906,19.95800018310547,1
5907,14.48799991607666,1
5923,13.541000366210938,1
5924,19.95800018310547,1
5925,19.95800018310547,1
5926,19.95800018310547,1
5927,14.48799991607666,1
5944,14.642000198364258,1
5945,14.642000198364258,1
5946,14.642000198364258,1
5947,13.991000175476074,1
6213,14.619999885559082,1
6214,14.619999885559082,1
6215,14.619999885559082,1
6233,14.619999885559082,1
6234,14.619999885559082,1
6235,14.619999885559082,1
6247,12.156999588012695,1
6248,12.47700023651123,1
6249,12.47700023651123,1
6250,12.47700023651123,1
6266,11.911999702453613,1
6267,14.199000358581543,1
6268,14.199000358581543,1
6269,14.199000358581543,1
6270,13.098999977111816,1
6283,12.78600025177002,1
6284,13.611000061035156,1
6285,13.611000061035156,1
6286,13.611000061035156,1
6287,14.279000282287598,1
6288,14.279000282287598,1
6289,14.279000282287598,1
6290,14.20199966430664,1
6303,15.713000297546387,1
6304,18.785999298095703,1
6305,18.785999298095703,1
6306,18.785999298095703,1
6307,14.954000473022461,1
6308,14.279000282287598,1
6309,14.279000282287598,1
6310,14.20199966430664,1
6323,17.6560001373291,1
6324,21.716999053955078,1
6325,21.716999053955078,1
6326,21.716999053955078,1
6327,16.70800018310547,1
6328,14.279000282287598,1
6329,14.279000282287598,1
6330,14.20199966430664,1
6343,17.6560001373291,1
6344,21.716999053955078,1
6345,21.716999053955078,1
6346,21.716999053955078,1
6347,16.70800018310547,1
6348,13.288999557495117,1
6363,17.6560001373291,1
6364,21.716999053955078,1
6365,21.716999053955078,1
6366,21.716999053955078,1
6367,16.70800018310547,1
6368,13.288999557495117,1
6384,17.08799934387207,1
6385,17.08799934387207,1
6386,17.08799934387207,1
6387,13.991000175476074,1
6388,13.288999557495117,1
6407,12.282999992370605,1
6408,12.282999992370605,1
6653,14.619999885559082,1
6654,14.619999885559082,1
6655,14.619999885559082,1
6663,12.640000343322754,1
6664,12.640000343322754,1
6665,12.640000343322754,1
6666,12.074999809265137,1
6673,14.619999885559082,1
6674,14.619999885559082,1
6675,14.619999885559082,1
6682,12.392999649047852,1
6683,12.640000343322754,1
6684,12.640000343322754,1
6685,12.640000343322754,1
6686,13.687000274658203,1
6687,15.5600004196167,1
6688,15.5600004196167,1
6689,15.5600004196167,1
6690,14.128999710083008,1
6691,14.10099983215332,1
6702,12.392999649047852,1
6703,12.640000343322754,1
6704,12.640000343322754,1
6705,12.640000343322754,1
6706,13.687000274658203,1
6707,15.5600004196167,1
6708,15.5600004196167,1
6709,15.5600004196167,1
6710,14.395000457763672,1
6711,14.10099983215332,1
6722,12.392999649047852,1
6723,12.78600025177002,1
6724,13.611000061035156,1
6725,13.611000061035156,1
6726,13.687000274658203,1
6727,15.5600004196167,1
6728,15.5600004196167,1
6729,15.5600004196167,1
6730,14.395000457763672,1
6731,14.10099983215332,1
6743,15.713000297546387,1
6744,18.785999298095703,1
6745,18.785999298095703,1
6746,18.785999298095703,1
6747,14.954000473022461,1
6748,14.395000457763672,1
6763,17.6560001373291,1
6764,21.716999053955078,1
6765,21.716999053955078,1
6766,21.716999053955078,1
6767,16.70800018310547,1
6768,14.279000282287598,1
6783,17.6560001373291,1
6784,21.716999053955078,1
6785,21.716999053955078,1
6786,21.716999053955078,1
6787,16.70800018310547,1
6803,17.6560001373291,1
6804,21.716999053955078,1
6805,21.716999053955078,1
6806,21.716999053955078,1
6807,16.70800018310547,1
6824,17.08799934387207,1
6825,17.08799934387207,1
6826,17.08799934387207,1
6827,13.991000175476074,1
6828,13.288999557495117,1
6847,12.282999992370605,1
6848,12.282999992370605,1
7093,14.619999885559082,1
7094,14.619999885559082,1
7095,14.619999885559082,1
7103,16.121000289916992,1
7104,16.121000289916992,1
7105,16.121000289916992,1
7106,12.074999809265137,1
7113,14.619999885559082,1
7114,14.619999885559082,1
7115,14.619999885559082,1
7122,12.392999649047852,1
7123,16.121000289916992,1
7124,16.121000289916992,1
7125,16.121000289916992,1
7126,13.687000274658203,1
7127,15.5600004196167,1
7128,15.5600004196167,1
7129,15.5600004196167,1
7130,14.654000282287598,1
7131,14.10099983215332,1
7142,12.392999649047852,1
7143,16.121000289916992,1
7144,16.121000289916992,1
7145,16.121000289916992,1
7146,13.687000274658203,1
7147,15.5600004196167,1
7148,15.5600004196167,1
7149,15.5600004196167,1
7150,14.654000282287598,1
7151,14.10099983215332,1
7162,12.392999649047852,1
7163,13.934000015258789,1
7164,13.934000015258789,1
7165,13.934000015258789,1
7166,13.687000274658203,1
7167,15.5600004196167,1
7168,15.5600004196167,1
7169,15.5600004196167,1
7170,14.654000282287598,1
7171,14.10099983215332,1
7183,15.713000297546387,1
7184,18.785999298095703,1
7185,18.785999298095703,1
7186,18.785999298095703,1
7187,14.954000473022461,1
7188,14.395000457763672,1
7203,17.6560001373291,1
7204,21.716999053955078,1
7205,21.716999053955078,1
7206,21.716999053955078,1
7207,16.70800018310547,1
7208,14.20199966430664,1
7223,17.6560001373291,1
7224,21.716999053955078,1
7225,21.716999053955078,1
7226,21.716999053955078,1
7227,16.70800018310547,1
7243,17.6560001373291,1
7244,21.716999053955078,1
7245,21.716999053955078,1
7246,21.716999053955078,1
7247,16.70800018310547,1
7264,17.08799934387207,1
7265,17.08799934387207,1
7266,17.08799934387207,1
7267,13.369000434875488,1
7268,13.288999557495117,1
7287,12.282999992370605,1
7288,12.282999992370605,1
7543,16.121000289916992,1
7544,16.121000289916992,1
7545,16.121000289916992,1
7546,12.074999809265137,1
7563,16.121000289916992,1
7564,16.121000289916992,1
7565,16.121000289916992,1
7566,13.687000274658203,1
7567,15.5600004196167,1
7568,15.5600004196167,1
7569,15.5600004196167,1
7570,14.654000282287598,1
7571,14.10099983215332,1
7582,12.392999649047852,1
7583,16.121000289916992,1
7584,16.121000289916992,1
7585,16.121000289916992,1
7586,13.687000274658203,1
7587,15.5600004196167,1
7588,15.5600004196167,1
7589,15.5600004196167,1
7590,14.654000282287598,1
7591,14.10099983215332,1
7602,12.392999649047852,1
7603,13.934000015258789,1
7604,13.934000015258789,1
7605,13.934000015258789,1
7606,13.687000274658203,1
7607,15.5600004196167,1
7608,15.5600004196167,1
7609,15.5600004196167,1
7610,14.654000282287598,1
7611,14.10099983215332,1
7623,15.126999855041504,1
7624,15.411999702453613,1
7625,15.411999702453613,1
7626,15.411999702453613,1
7627,13.821999549865723,1
7628,14.395000457763672,1
7643,15.126999855041504,1
7644,16.10700035095215,1
7645,16.10700035095215,1
7646,16.10700035095215,1
7663,15.126999855041504,1
7664,16.10700035095215,1
7665,16.10700035095215,1
7666,16.10700035095215,1
7667,12.847000122070312,1
7683,14.918000221252441,1
7684,16.10700035095215,1
7685,16.10700035095215,1
7686,16.10700035095215,1
7687,12.847000122070312,1
7704,14.151000022888184,1
7705,14.151000022888184,1
7706,14.151000022888184,1
7707,12.491999626159668,1
7708,12.491999626159668,1
7983,16.121000289916992,1
7984,16.121000289916992,1
7985,16.121000289916992,1
8003,16.121000289916992,1
8004,16.121000289916992,1
8005,16.121000289916992,1
8007,13.782999992370605,1
8008,14.654000282287598,1
8009,14.654000282287598,1
8010,14.654000282287598,1
8023,16.121000289916992,1
8024,16.121000289916992,1
8025,16.121000289916992,1
8028,14.654000282287598,1
8029,14.654000282287598,1
8030,14.654000282287598,1
8043,13.934000015258789,1
8044,13.934000015258789,1
8045,13.934000015258789,1
8048,14.654000282287598,1
8049,14.654000282287598,1
8050,14.654000282287598,1
8589,24.25,1
8590,27.336000442504883,1
8591,29.20199966430664,1
8592,14.60099983215332,1
8593,14.60099983215332,1
8594,13.871999740600586,1
8609,25.763999938964844,1
8610,27.336000442504883,1
8611,29.20199966430664,1
8612,14.60099983215332,1
8613,14.60099983215332,1
8614,13.871999740600586,1
8629,12.881999969482422,1
8630,13.668000221252441,1
8631,14.60099983215332,1
8632,14.60099983215332,1
8633,14.60099983215332,1
8634,13.871999740600586,1
8635,13.517999649047852,1
8649,12.881999969482422,1
8650,12.881999969482422,1
8651,12.906000137329102,1
8652,12.906000137329102,1
8653,13.517999649047852,1
8654,13.517999649047852,1
8655,13.517999649047852,1
9029,24.25,1
9030,27.926000595092773,1
9031,29.20199966430664,1
9032,14.60099983215332,1
9033,14.60099983215332,1
9049,25.763999938964844,1
9050,30.625999450683594,1
9051,30.625999450683594,1
9052,15.312999725341797,1
9053,15.01200008392334,1
9054,14.404000282287598,1
9070,15.312999725341797,1
9071,15.312999725341797,1
9072,15.312999725341797,1
9073,15.01200008392334,1
9074,14.404000282287598,1
9075,13.517999649047852,1
9089,12.881999969482422,1
9090,15.312999725341797,1
9091,15.312999725341797,1
9092,15.312999725341797,1
9093,15.01200008392334,1
9094,14.404000282287598,1
9095,13.517999649047852,1
9469,24.25,1
9470,27.926000595092773,1
9471,29.20199966430664,1
9472,14.60099983215332,1
9473,14.60099983215332,1
9489,25.763999938964844,1
9490,30.625999450683594,1
9491,30.625999450683594,1
9492,15.312999725341797,1
9493,15.01200008392334,1
9494,14.404000282287598,1
9510,15.312999725341797,1
9511,15.312999725341797,1
9512,15.312999725341797,1
9513,15.01200008392334,1
9514,14.404000282287598,1
9515,13.517999649047852,1
9529,12.881999969482422,1
9530,15.312999725341797,1
9531,15.312999725341797,1
9532,15.312999725341797,1
9533,15.01200008392334,1
9534,14.404000282287598,1
9535,13.517999649047852,1
9910,27.926000595092773,1
9911,27.926000595092773,1
9929,25.673999786376953,1
9930,30.625999450683594,1
9931,30.625999450683594,1
9932,15.312999725341797,1
9933,15.01200008392334,1
9934,14.404000282287598,1
9950,15.312999725341797,1
9951,15.312999725341797,1
9952,15.312999725341797,1
9953,15.01200008392334,1
9954,14.404000282287598,1
9969,12.836999893188477,1
9970,15.312999725341797,1
9971,15.312999725341797,1
9972,15.312999725341797,1
9973,15.01200008392334,1
9974,14.404000282287598,1
12190,12.805000305175781,1
12191,12.805000305175781,1
12192,12.805000305175781,1
12216,15.496999740600586,1
12217,15.496999740600586,1
12218,15.496999740600586,1
12219,12.383999824523926,1
12242,15.772000312805176,1
12243,15.772000312805176,1
12244,15.772000312805176,1
12245,12.62600040435791,1
12267,12.178999900817871,1
12268,15.772000312805176,1
12269,15.772000312805176,1
12270,15.772000312805176,1
12271,12.62600040435791,1
12293,13.746999740600586,1
12294,15.772000312805176,1
12295,15.772000312805176,1
12296,15.772000312805176,1
12297,12.62600040435791,1
12318,13.270999908447266,1
12319,13.746999740600586,1
12320,13.746999740600586,1
12321,13.746999740600586,1
12322,13.411999702453613,1
12344,13.270999908447266,1
12345,13.746999740600586,1
12346,13.746999740600586,1
12347,13.746999740600586,1
12348,12.635000228881836,1
12370,13.270999908447266,1
12371,13.270999908447266,1
12372,13.270999908447266,1
12373,13.100000381469727,1
12374,12.635000228881836,1
12658,11.840999603271484,1
12659,11.840999603271484,1
12660,11.840999603271484,1
12684,12.880000114440918,1
12685,12.880000114440918,1
12686,12.880000114440918,1
12687,12.423999786376953,1
12710,15.496999740600586,1
12711,15.496999740600586,1
12712,15.496999740600586,1
12713,12.423999786376953,1
12735,12.998000144958496,1
12736,15.772000312805176,1
12737,15.772000312805176,1
12738,15.772000312805176,1
12739,12.62600040435791,1
12760,14.442999839782715,1
12761,14.442999839782715,1
12762,15.772000312805176,1
12763,15.772000312805176,1
12764,15.772000312805176,1
12765,12.62600040435791,1
12786,14.442999839782715,1
12787,14.442999839782715,1
12788,15.772000312805176,1
12789,15.772000312805176,1
12790,15.772000312805176,1
12791,12.62600040435791,1
12812,14.442999839782715,1
12813,14.442999839782715,1
12814,14.442999839782715,1
12815,14.406999588012695,1
12816,13.411999702453613,1
12838,14.07800006866455,1
12839,14.406999588012695,1
12840,14.406999588012695,1
12841,14.406999588012695,1
12842,13.024999618530273,1
12864,13.885000228881836,1
12865,13.885000228881836,1
12866,13.885000228881836,1
12867,13.411999702453613,1
