,scores,cavity
1069,17.474000930786133,1
1070,17.474000930786133,1
1071,17.474000930786133,1
1093,15.913999557495117,1
1094,17.474000930786133,1
1095,17.474000930786133,1
1096,17.474000930786133,1
1118,15.913999557495117,1
1119,17.474000930786133,1
1120,17.474000930786133,1
1121,17.474000930786133,1
1143,15.913999557495117,1
1144,15.913999557495117,1
1145,15.913999557495117,1
1289,14.256999969482422,1
1290,14.256999969482422,1
1291,14.256999969482422,1
1314,15.579000473022461,1
1315,15.579000473022461,1
1316,15.579000473022461,1
1339,15.579000473022461,1
1340,15.579000473022461,1
1341,15.579000473022461,1
1364,15.579000473022461,1
1365,15.579000473022461,1
1366,15.579000473022461,1
1389,12.979999542236328,1
1390,12.979999542236328,1
1391,12.979999542236328,1
1442,15.817000389099121,1
1443,16.086000442504883,1
1444,16.086000442504883,1
1445,16.086000442504883,1
1467,15.817000389099121,1
1468,16.909000396728516,1
1469,17.474000930786133,1
1470,17.474000930786133,1
1471,17.474000930786133,1
1472,15.449000358581543,1
1492,15.817000389099121,1
1493,18.045000076293945,1
1494,18.045000076293945,1
1495,18.045000076293945,1
1496,17.474000930786133,1
1497,15.449000358581543,1
1517,15.15999984741211,1
1518,18.045000076293945,1
1519,18.045000076293945,1
1520,18.045000076293945,1
1521,17.474000930786133,1
1522,15.449000358581543,1
1543,18.045000076293945,1
1544,18.045000076293945,1
1545,18.045000076293945,1
1546,16.825000762939453,1
1689,16.277000427246094,1
1714,16.71500015258789,1
1715,16.71500015258789,1
1716,16.71500015258789,1
1739,16.71500015258789,1
1740,16.71500015258789,1
1741,16.71500015258789,1
1764,16.71500015258789,1
1841,18.03499984741211,1
1842,18.03499984741211,1
1843,18.03499984741211,1
1844,18.742000579833984,1
1845,18.742000579833984,1
1846,18.742000579833984,1
1866,18.03499984741211,1
1867,18.472999572753906,1
1868,18.472999572753906,1
1869,18.742000579833984,1
1870,18.742000579833984,1
1871,18.742000579833984,1
1872,17.152999877929688,1
1891,18.03499984741211,1
1892,18.472999572753906,1
1893,18.472999572753906,1
1894,18.742000579833984,1
1895,18.742000579833984,1
1896,18.742000579833984,1
1897,17.152999877929688,1
1917,18.472999572753906,1
1918,18.472999572753906,1
1919,18.472999572753906,1
1920,18.406999588012695,1
1921,18.406999588012695,1
1922,17.152999877929688,1
1943,18.045000076293945,1
1944,18.045000076293945,1
1945,18.045000076293945,1
1946,16.825000762939453,1
2089,16.277000427246094,1
2114,16.71500015258789,1
2139,16.71500015258789,1
2164,16.71500015258789,1
2219,16.511999130249023,1
2220,16.511999130249023,1
2241,18.03499984741211,1
2242,18.03499984741211,1
2243,18.03499984741211,1
2244,18.742000579833984,1
2245,18.742000579833984,1
2246,18.742000579833984,1
2266,18.03499984741211,1
2267,18.472999572753906,1
2268,18.472999572753906,1
2269,18.742000579833984,1
2270,18.742000579833984,1
2271,18.742000579833984,1
2272,17.152999877929688,1
2291,18.03499984741211,1
2292,18.472999572753906,1
2293,18.472999572753906,1
2294,18.742000579833984,1
2295,18.742000579833984,1
2296,18.742000579833984,1
2297,17.152999877929688,1
2317,18.472999572753906,1
2318,18.472999572753906,1
2319,18.472999572753906,1
2320,18.406999588012695,1
2321,18.406999588012695,1
2322,17.152999877929688,1
2343,18.045000076293945,1
2344,18.045000076293945,1
2345,18.045000076293945,1
2346,16.825000762939453,1
2464,14.720999717712402,1
2489,16.277000427246094,1
2619,16.511999130249023,1
2620,16.511999130249023,1
2641,18.03499984741211,1
2642,18.03499984741211,1
2643,18.03499984741211,1
2644,18.742000579833984,1
2645,18.742000579833984,1
2646,18.742000579833984,1
2666,18.03499984741211,1
2667,18.472999572753906,1
2668,18.472999572753906,1
2669,18.742000579833984,1
2670,18.742000579833984,1
2671,18.742000579833984,1
2672,17.152999877929688,1
2691,18.03499984741211,1
2692,18.472999572753906,1
2693,18.472999572753906,1
2694,18.742000579833984,1
2695,18.742000579833984,1
2696,18.742000579833984,1
2697,17.152999877929688,1
2717,18.472999572753906,1
2718,18.472999572753906,1
2719,18.472999572753906,1
2720,18.406999588012695,1
2721,18.406999588012695,1
2722,17.152999877929688,1
2863,27.645999908447266,1
