,scores,cavity
1132,10.755000114440918,1
1133,10.755000114440918,1
1134,10.755000114440918,1
1158,10.755000114440918,1
1159,10.755000114440918,1
1160,10.755000114440918,1
1184,10.755000114440918,1
1185,10.755000114440918,1
1186,10.755000114440918,1
1210,9.442000389099121,1
1211,9.442000389099121,1
1212,9.442000389099121,1
1601,11.907999992370605,1
1602,11.907999992370605,1
1603,10.975000381469727,1
1626,11.907999992370605,1
1627,11.907999992370605,1
1628,11.907999992370605,1
1629,10.975000381469727,1
1652,11.907999992370605,1
1653,11.907999992370605,1
1654,11.907999992370605,1
1655,10.975000381469727,1
1678,11.086000442504883,1
1679,11.086000442504883,1
1680,11.086000442504883,1
1681,10.03600025177002,1
1939,13.223999977111816,1
1940,13.223999977111816,1
1941,13.223999977111816,1
1964,13.598999977111816,1
1965,13.598999977111816,1
1966,13.598999977111816,1
1967,13.223999977111816,1
1992,13.598999977111816,1
1993,13.223999977111816,1
2018,13.598999977111816,1
2069,12.942000389099121,1
2070,12.942000389099121,1
2071,12.942000389099121,1
2094,11.907999992370605,1
2095,12.942000389099121,1
2096,12.942000389099121,1
2097,12.942000389099121,1
2120,11.907999992370605,1
2121,12.942000389099121,1
2122,12.942000389099121,1
2123,12.942000389099121,1
2146,11.343000411987305,1
2147,11.555000305175781,1
2148,11.555000305175781,1
2149,11.555000305175781,1
2407,13.223999977111816,1
2408,13.223999977111816,1
2409,13.223999977111816,1
2432,14.02400016784668,1
2433,14.02400016784668,1
2434,14.02400016784668,1
2435,13.223999977111816,1
2457,14.244999885559082,1
2458,14.244999885559082,1
2459,14.244999885559082,1
2460,14.02400016784668,1
2461,13.223999977111816,1
2483,14.244999885559082,1
2484,14.244999885559082,1
2485,14.244999885559082,1
2486,14.02400016784668,1
2509,14.244999885559082,1
2510,14.244999885559082,1
2511,14.244999885559082,1
2537,12.942000389099121,1
2538,12.942000389099121,1
2539,12.942000389099121,1
2562,11.907999992370605,1
2563,12.942000389099121,1
2564,12.942000389099121,1
2565,12.942000389099121,1
2588,11.907999992370605,1
2589,12.942000389099121,1
2590,12.942000389099121,1
2591,12.942000389099121,1
2614,11.343000411987305,1
2615,12.515999794006348,1
2616,12.515999794006348,1
2617,12.515999794006348,1
2875,13.223999977111816,1
2876,13.223999977111816,1
2877,13.223999977111816,1
2900,14.02400016784668,1
2901,14.02400016784668,1
2902,14.02400016784668,1
2903,13.223999977111816,1
2925,14.244999885559082,1
2926,14.244999885559082,1
2927,14.244999885559082,1
2928,14.02400016784668,1
2929,13.223999977111816,1
2951,14.244999885559082,1
2952,14.244999885559082,1
2953,14.244999885559082,1
2954,14.02400016784668,1
2977,14.244999885559082,1
2978,14.244999885559082,1
2979,14.244999885559082,1
3005,12.942000389099121,1
3006,12.942000389099121,1
3007,12.942000389099121,1
3031,12.942000389099121,1
3032,12.942000389099121,1
3033,12.942000389099121,1
3056,11.859000205993652,1
3057,12.942000389099121,1
3058,12.942000389099121,1
3059,12.942000389099121,1
3082,11.343000411987305,1
3083,12.515999794006348,1
3084,12.515999794006348,1
3085,12.515999794006348,1
3368,14.02400016784668,1
3369,14.02400016784668,1
3370,14.02400016784668,1
3393,14.244999885559082,1
3394,14.244999885559082,1
3395,14.244999885559082,1
3396,14.02400016784668,1
3419,14.244999885559082,1
3420,14.244999885559082,1
3421,14.244999885559082,1
3422,14.02400016784668,1
3445,14.244999885559082,1
3446,14.244999885559082,1
3447,14.244999885559082,1
3525,12.515999794006348,1
3526,12.515999794006348,1
3527,12.515999794006348,1
3551,12.515999794006348,1
3552,12.515999794006348,1
3553,12.515999794006348,1
4075,13.026000022888184,1
4076,13.026000022888184,1
4077,13.026000022888184,1
4101,13.026000022888184,1
4102,13.026000022888184,1
4103,13.026000022888184,1
4127,13.026000022888184,1
4128,13.026000022888184,1
4129,13.026000022888184,1
4465,13.925999641418457,1
4466,13.925999641418457,1
4467,13.925999641418457,1
4491,13.925999641418457,1
4492,13.925999641418457,1
4493,13.925999641418457,1
4494,13.064000129699707,1
4517,15.668999671936035,1
4518,15.668999671936035,1
4519,15.668999671936035,1
4520,14.383999824523926,1
4542,15.145000457763672,1
4543,16.41200065612793,1
4544,16.41200065612793,1
4545,16.41200065612793,1
4546,14.383999824523926,1
