,scores,cavity
641,29.31800079345703,1
642,29.31800079345703,1
643,29.31800079345703,1
658,29.31800079345703,1
659,29.31800079345703,1
660,29.31800079345703,1
675,29.31800079345703,1
676,29.31800079345703,1
677,29.31800079345703,1
913,29.667999267578125,1
914,29.667999267578125,1
915,29.667999267578125,1
930,29.667999267578125,1
931,29.667999267578125,1
932,29.667999267578125,1
947,29.667999267578125,1
948,29.667999267578125,1
949,29.667999267578125,1
1185,29.667999267578125,1
1186,29.667999267578125,1
1187,29.667999267578125,1
1202,29.667999267578125,1
1203,29.667999267578125,1
1204,29.667999267578125,1
1219,29.667999267578125,1
1220,29.667999267578125,1
1221,29.667999267578125,1
1449,17.065000534057617,1
1450,17.065000534057617,1
1451,17.065000534057617,1
1457,29.667999267578125,1
1458,29.667999267578125,1
1459,29.667999267578125,1
1466,17.065000534057617,1
1467,17.065000534057617,1
1468,17.065000534057617,1
1474,29.667999267578125,1
1475,29.667999267578125,1
1476,29.667999267578125,1
1483,17.065000534057617,1
1484,17.065000534057617,1
1485,17.065000534057617,1
1491,29.667999267578125,1
1492,29.667999267578125,1
1493,29.667999267578125,1
1708,17.21299934387207,1
1721,17.13599967956543,1
1722,17.13599967956543,1
1723,17.21299934387207,1
1724,17.21299934387207,1
1725,17.21299934387207,1
1738,17.13599967956543,1
1739,17.13599967956543,1
1740,17.21299934387207,1
1741,17.21299934387207,1
1742,17.21299934387207,1
1757,17.13599967956543,1
1758,16.961000442504883,1
1978,17.707000732421875,1
1979,17.707000732421875,1
1980,17.707000732421875,1
1981,17.209999084472656,1
1993,17.13599967956543,1
1994,17.81599998474121,1
1995,17.81599998474121,1
1996,17.81599998474121,1
1997,17.707000732421875,1
1998,17.209999084472656,1
2008,16.78499984741211,1
2010,17.13599967956543,1
2011,17.81599998474121,1
2012,17.81599998474121,1
2013,17.81599998474121,1
2014,17.707000732421875,1
2015,17.209999084472656,1
2028,17.81599998474121,1
2029,17.81599998474121,1
2030,17.81599998474121,1
2031,17.5049991607666,1
2218,16.183000564575195,1
2219,16.183000564575195,1
2234,15.887999534606934,1
2235,16.183000564575195,1
2249,16.51300048828125,1
2250,17.707000732421875,1
2251,17.707000732421875,1
2252,17.707000732421875,1
2253,17.209999084472656,1
2265,17.14900016784668,1
2266,17.81599998474121,1
2267,18.32699966430664,1
2268,18.32699966430664,1
2269,18.32699966430664,1
2270,17.209999084472656,1
2280,16.78499984741211,1
2281,17.7810001373291,1
2282,17.829999923706055,1
2283,17.829999923706055,1
2284,18.32699966430664,1
2285,18.32699966430664,1
2286,18.32699966430664,1
2287,17.209999084472656,1
2299,17.829999923706055,1
2300,17.829999923706055,1
2301,18.32699966430664,1
2302,18.32699966430664,1
2303,18.32699966430664,1
2316,17.829999923706055,1
2317,17.829999923706055,1
2318,17.829999923706055,1
2319,17.615999221801758,1
2490,16.183000564575195,1
2491,16.183000564575195,1
2506,15.887999534606934,1
2507,16.183000564575195,1
2521,16.51300048828125,1
2522,17.707000732421875,1
2523,17.707000732421875,1
2524,17.707000732421875,1
2525,17.209999084472656,1
2537,17.14900016784668,1
2538,17.81599998474121,1
2539,18.32699966430664,1
2540,18.32699966430664,1
2541,18.32699966430664,1
2542,17.209999084472656,1
2552,16.78499984741211,1
2553,17.7810001373291,1
2554,17.829999923706055,1
2555,17.829999923706055,1
2556,18.32699966430664,1
2557,18.32699966430664,1
2558,18.32699966430664,1
2559,17.209999084472656,1
2572,17.829999923706055,1
2573,18.32699966430664,1
2574,18.32699966430664,1
2575,18.32699966430664,1
2589,17.829999923706055,1
2590,17.829999923706055,1
2591,17.615999221801758,1
2606,17.009000778198242,1
2607,17.009000778198242,1
2762,16.183000564575195,1
2763,16.183000564575195,1
2779,16.183000564575195,1
2780,16.183000564575195,1
2795,16.562999725341797,1
2796,16.562999725341797,1
2797,16.562999725341797,1
2809,17.14900016784668,1
2810,17.14900016784668,1
2811,18.32699966430664,1
2812,18.32699966430664,1
2813,18.32699966430664,1
2814,16.562999725341797,1
2825,17.7810001373291,1
2826,17.829999923706055,1
2827,17.829999923706055,1
2828,18.32699966430664,1
2829,18.32699966430664,1
2830,18.32699966430664,1
2831,16.562999725341797,1
2844,17.829999923706055,1
2845,18.32699966430664,1
2846,18.32699966430664,1
2847,18.32699966430664,1
2861,17.829999923706055,1
2862,17.829999923706055,1
2863,17.615999221801758,1
2878,17.009000778198242,1
2879,17.009000778198242,1
3067,15.623000144958496,1
3081,15.696999549865723,1
3082,16.222000122070312,1
3083,17.268999099731445,1
3084,17.268999099731445,1
3085,17.268999099731445,1
3097,16.604000091552734,1
3098,17.07699966430664,1
3099,17.077999114990234,1
3100,17.268999099731445,1
3101,17.268999099731445,1
3102,17.268999099731445,1
3116,17.077999114990234,1
3117,17.268999099731445,1
3118,17.268999099731445,1
3119,17.268999099731445,1
3133,17.077999114990234,1
3134,17.077999114990234,1
3135,17.077999114990234,1
3150,17.009000778198242,1
3151,17.009000778198242,1
3354,16.222000122070312,1
3370,16.506000518798828,1
3371,16.506000518798828,1
3626,16.222000122070312,1
4259,17.392000198364258,1
4260,17.392000198364258,1
4261,17.392000198364258,1
4262,16.031999588012695,1
4275,17.41200065612793,1
4276,17.41200065612793,1
4277,17.41200065612793,1
4278,17.392000198364258,1
4279,16.031999588012695,1
4292,17.41200065612793,1
4293,17.41200065612793,1
4294,17.41200065612793,1
4295,17.392000198364258,1
4296,16.031999588012695,1
4309,17.41200065612793,1
4310,17.41200065612793,1
4311,17.41200065612793,1
4530,16.679000854492188,1
4531,17.392000198364258,1
4532,17.392000198364258,1
4533,17.392000198364258,1
4534,16.031999588012695,1
4547,17.41200065612793,1
4548,17.41200065612793,1
4549,17.41200065612793,1
4550,17.392000198364258,1
4551,16.031999588012695,1
4564,17.41200065612793,1
4565,17.41200065612793,1
4566,17.41200065612793,1
4567,17.392000198364258,1
4568,16.031999588012695,1
4581,17.41200065612793,1
4582,17.41200065612793,1
4583,17.41200065612793,1
4802,16.679000854492188,1
4803,17.392000198364258,1
4804,17.392000198364258,1
4805,17.392000198364258,1
4806,16.031999588012695,1
4819,17.41200065612793,1
4820,17.41200065612793,1
4821,17.41200065612793,1
4822,17.392000198364258,1
4823,16.031999588012695,1
4836,17.41200065612793,1
4837,17.41200065612793,1
4838,17.41200065612793,1
4839,17.392000198364258,1
4840,16.031999588012695,1
4853,17.41200065612793,1
4854,17.41200065612793,1
4855,17.41200065612793,1
5074,16.679000854492188,1
5075,16.679000854492188,1
5076,16.679000854492188,1
5077,15.82800006866455,1
5091,16.679000854492188,1
5092,16.679000854492188,1
5093,16.679000854492188,1
5094,15.82800006866455,1
5108,16.679000854492188,1
5109,16.679000854492188,1
5110,16.679000854492188,1
5111,15.82800006866455,1
7679,16.18400001525879,1
7680,16.18400001525879,1
7681,16.18400001525879,1
7704,16.18400001525879,1
7705,16.18400001525879,1
7706,16.18400001525879,1
7707,15.812000274658203,1
7729,16.18400001525879,1
7730,16.18400001525879,1
7731,16.18400001525879,1
8476,16.18400001525879,1
8477,16.18400001525879,1
8478,16.18400001525879,1
8501,16.18400001525879,1
8502,16.18400001525879,1
8503,16.18400001525879,1
8526,16.18400001525879,1
8527,16.18400001525879,1
8528,16.18400001525879,1
8579,16.18400001525879,1
8580,16.18400001525879,1
8604,16.18400001525879,1
8605,16.18400001525879,1
8629,16.18400001525879,1
8630,16.18400001525879,1
8631,16.18400001525879,1
